pathway_name,distance,n
M00001,0.20323491228427815,4
M00002,0.2932806965034047,2
M00003,0.277302073775993,2
M00004,0.43444266315395214,1
M00005,0.2978836192696177,1
M00007,0.43593124578029985,1
M00009,0.25035563585507586,3
M00011,0.2511032916308436,3
M00013,0.47201042295198453,1
M00014,0.21175212696859835,3
M00015,0.4524931416021809,1
M00017,0.19652213620030484,2
M00019,0.15298769847426952,2
M00020,0.40823392200240216,1
M00027,0.3472916971901113,2
M00029,0.45189623703452814,1
M00032,0.13896845221828164,2
M00034,0.27555391104635973,3
M00035,0.0713926395057541,6
M00036,0.18042073670396713,5
M00037,0.15037470378014456,3
M00038,0.1666045184886677,2
M00042,0.2972521733909866,2
M00044,0.30725651378595153,2
M00045,0.43513670845449737,1
M00047,0.1057648079795167,3
M00048,0.3853284501546888,1
M00049,0.10674545071647139,6
M00050,0.10363244438631006,3
M00051,0.08733834630087649,3
M00052,0.13413828508852868,3
M00053,0.13043982786538522,4
M00055,0.4967312951547716,3
M00056,0.1408985809445262,4
M00057,0.15495775358526423,2
M00058,0.5227428298889217,1
M00059,0.06157826084109128,6
M00065,0.3739972623323593,2
M00066,0.47124711480806997,2
M00067,0.6278508473600011,1
M00068,0.311714122805162,4
M00069,0.3701493244067034,2
M00070,0.5433452290996975,2
M00071,0.5892666113766841,1
M00072,0.11734611226948158,3
M00073,0.3105283394873925,2
M00074,0.3026502593095716,2
M00075,0.25726072428494157,6
M00076,0.1602193268129863,2
M00077,0.16026438254971184,2
M00078,0.15132832004353214,4
M00079,0.23836456711590215,3
M00082,0.19353921122664325,3
M00083,0.33583723716641317,1
M00085,0.41735806535423703,1
M00086,0.3356881358693722,1
M00087,0.13124238110308686,3
M00088,0.4280972791717755,1
M00089,0.09161837985258353,6
M00090,0.10180093504395978,4
M00091,0.43293221707048263,1
M00092,0.11617097497515887,7
M00093,0.44615020705187064,1
M00094,0.27563325577532033,2
M00095,0.437641384706607,2
M00098,0.08876273103289647,5
M00099,0.284347540828592,2
M00100,0.34274327339800675,1
M00101,0.3867121927145302,3
M00102,0.3773634263589964,3
M00104,0.5174248943296206,2
M00106,0.5616228484145139,2
M00107,0.34541594110831864,1
M00109,0.5920486540494443,1
M00113,0.4137454686800959,1
M00114,0.22879327193383586,2
M00115,0.0922237759300022,3
M00119,0.15298769847426952,2
M00120,0.20420460577781055,3
M00122,0.11981031580477579,2
M00124,0.4670037199764099,1
M00126,0.3830756246006202,2
M00128,0.5230216670506365,2
M00129,0.4347766581587825,1
M00130,0.13356682106187026,4
M00131,0.3473974713550486,1
M00132,0.14329689868275391,2
M00135,0.16466923043311288,2
M00140,0.4158755187597903,1
M00141,0.3674237635243962,1
M00143,0.49864317293030475,1
M00146,0.29930931875663364,1
M00147,0.16487192898899342,1
M00148,0.3588662052218194,1
M00152,0.5314527090891373,1
M00154,0.33463321681227953,2
M00158,0.24520753022520977,4
M00160,0.13077796554339094,5
M00165,0.1841442193538276,3
M00169,0.36520629650930797,1
M00170,0.4882782831991054,1
M00171,0.41393082719390617,1
M00172,0.36520629650930797,1
M00307,0.2581553180485937,3
M00308,0.3085567971430548,1
M00338,0.33012268566366276,1
M00344,0.5206396881741117,1
M00345,0.35004215205766714,1
M00346,0.3830111756767991,1
M00367,0.46530595561152716,2
M00368,0.2895859132131329,2
M00373,0.3962219788881934,1
M00374,0.42576429027808227,1
M00375,0.44487382399228326,1
M00415,0.15512488926726556,3
M00532,0.43519688821927244,1
M00546,0.3789006876838298,1
M00549,0.14515087395638743,2
M00552,0.3085567971430548,1
M00554,0.39373825251745004,1
M00565,0.4544515239698577,1
M00570,0.15342345158437,2
M00572,0.3419442760335674,1
M00609,0.2895859132131329,2
M00621,0.3674513665965758,1
M00632,0.32009787556193514,2
M00793,0.3996984330291473,1
M00840,0.3220794532089467,1
M00844,0.4007523727906221,1
M00849,0.440041244924612,2
M00854,0.4413055838071725,1
M00855,0.1831674347270079,2
M00861,0.3928029337624594,1
M00868,0.35386785973056417,2
M00872,0.33296007861760707,2
M00873,0.28012717184876096,2
M00874,0.15521570275472715,4
M00880,0.182893240277733,2
M00882,0.4299557487410627,1
M00883,0.5218382218716899,1
M00885,0.4315222978540711,1
M00886,0.4315222978540711,1
M00892,0.29645478611494813,2
M00909,0.26981510447840484,2
M00912,0.08342739615173128,4
M00913,0.3240858841553446,1
M00917,0.3662429103562046,3
M00938,0.1310951662201808,4
M00953,0.2895859132131329,2
M00955,0.3199406547882765,2
M00957,0.15170142632448774,2
M00958,0.14610237094279888,4
M00959,0.11564996428816157,3
M00970,0.2499544440853246,2
M00972,0.38966782722378374,4
M00974,0.22299947095962638,2
M00975,0.4394128753511359,1
M00976,0.547762968953927,1
M00977,0.5139614330111166,2
M00978,0.3960480200524703,1
M00983,0.23484636919368046,3
M00987,0.3144099784888883,1
M00994,0.3123855685339771,1
M00995,0.22217047263934034,2
M01000,0.22879327193383586,2
M01001,0.10509652166650603,3
M01002,0.22217047263934034,2
M01006,0.4141310842293709,1
M01015,0.08951561583627389,3
M01022,0.3996984330291473,1
M01023,0.3996984330291473,1
M01024,0.3996984330291473,1
M01025,0.3996984330291473,1
M01026,0.3996984330291473,1
M01027,0.3996984330291473,1
hsa00010,0.13330794259026807,9
hsa00020,0.223307722711471,6
hsa00030,0.1803007064777334,4
hsa00040,0.09001207914355033,5
hsa00051,0.11508138441537002,11
hsa00052,0.0913726102347546,8
hsa00053,0.17034279340322142,4
hsa00061,0.08154591161000978,5
hsa00062,0.11832992721056945,3
hsa00071,0.11940675371346797,7
hsa00100,0.20824471853952772,7
hsa00120,0.5396202098933328,2
hsa00130,0.39244124637458616,3
hsa00140,0.2203429146476335,6
hsa00190,0.060584065611501106,13
hsa00220,0.1338094029475944,2
hsa00230,0.06431403633685381,23
hsa00232,0.4141330793445968,2
hsa00240,0.07252716589596424,11
hsa00250,0.057724068420808655,9
hsa00260,0.10107687494281777,6
hsa00270,0.09239633190071186,9
hsa00280,0.16077839399321336,8
hsa00290,0.15342345158437,2
hsa00310,0.0880617049203727,13
hsa00330,0.12673923736703951,10
hsa00340,0.12105769707642235,4
hsa00350,0.20132771340956007,4
hsa00360,0.24419711599521654,2
hsa00380,0.15026033234540398,7
hsa00400,0.3110754923132196,2
hsa00410,0.06421780634245823,6
hsa00430,0.4117625401309936,2
hsa00440,0.2056902579275817,5
hsa00450,0.08539018373633349,4
hsa00470,0.27228526577653295,2
hsa00480,0.18225787275244865,12
hsa00500,0.1445812633336001,6
hsa00510,0.18229203634679314,14
hsa00511,0.18210265317751292,3
hsa00512,0.11688110891012034,6
hsa00513,0.16520363267451088,13
hsa00514,0.17041610432183218,7
hsa00515,0.14985981133124393,4
hsa00520,0.10520661560526576,7
hsa00524,0.49241684534148444,1
hsa00531,0.0906773842293946,6
hsa00532,0.07311535838042463,4
hsa00533,0.10331953967395568,6
hsa00534,0.0776455373956189,7
hsa00541,0.08858792879628652,3
hsa00561,0.08627006134203272,16
hsa00562,0.09769315760776547,26
hsa00563,0.2994659604510716,4
hsa00564,0.04879938390419987,18
hsa00565,0.12693250254167096,4
hsa00590,0.1359779856609123,6
hsa00591,0.5231950077518582,1
hsa00592,0.5244536395184367,1
hsa00600,0.17910993402437195,10
hsa00601,0.14234562324099198,5
hsa00603,0.21333228615027483,6
hsa00604,0.2027402698669954,7
hsa00620,0.09453558557495205,9
hsa00630,0.1509672450890897,2
hsa00640,0.13844952065357452,4
hsa00650,0.08404616745464256,7
hsa00670,0.06882319853001309,6
hsa00730,0.19404630729336558,2
hsa00740,0.19567221092535503,2
hsa00750,0.4756012653460541,1
hsa00760,0.07832119253032137,9
hsa00770,0.2311622610314283,6
hsa00780,0.34991076229930923,1
hsa00785,0.2000022953071484,4
hsa00790,0.11674214666602764,7
hsa00830,0.06864292108981004,7
hsa00860,0.061438275663824,6
hsa00900,0.4514694429645494,2
hsa00920,0.09724642153643752,4
hsa00970,0.15549065792238004,14
hsa00980,0.06188571624500316,9
hsa00982,0.16852186888639648,5
hsa00983,0.059026638353551285,10
hsa01040,0.10600368147509183,3
hsa01100,0.03041885759944114,150
hsa01200,0.0704329688165216,12
hsa01210,0.10406909406525906,5
hsa01212,0.0719499802083323,9
hsa01230,0.09090645462391718,10
hsa01232,0.0338692494876627,15
hsa01240,0.09492583584636308,24
hsa01250,0.12530797143203348,9
hsa01320,0.3144099784888883,1
hsa01521,0.2077447459567863,35
hsa01522,0.11480077288656017,46
hsa01523,0.15654872074100631,12
hsa01524,0.09289108244289428,26
hsa02010,0.06282403623639977,16
hsa03008,0.070695187302335,22
hsa03010,0.1748960836845956,9
hsa03013,0.025678115869414785,24
hsa03015,0.06466612950729245,21
hsa03018,0.0726112978502475,17
hsa03020,0.0790532651732744,6
hsa03022,0.32927699590178244,8
hsa03030,0.08191838571426373,10
hsa03040,0.13663988305882843,29
hsa03050,0.06999026064905267,6
hsa03060,0.07671130991512069,8
hsa03082,0.13400065361174196,25
hsa03083,0.026544889476589253,25
hsa03250,0.10439063851507605,28
hsa03260,0.19242240775247305,3
hsa03264,0.09873088804874523,5
hsa03265,0.15070711292024117,7
hsa03266,0.05845183521034908,7
hsa03267,0.30060424088850823,3
hsa03272,0.0802919819707471,10
hsa03273,0.22259441906640232,8
hsa03320,0.05233174410399542,14
hsa03410,0.05962002924239087,11
hsa03420,0.05198144919540457,13
hsa03430,0.1032687508794871,6
hsa03440,0.29686201178095584,7
hsa03450,0.4934895267456105,4
hsa03460,0.10204933636338746,18
hsa04010,0.13847038951729604,90
hsa04012,0.17922747949815784,33
hsa04014,0.2133556500700889,68
hsa04015,0.1654359863331488,80
hsa04020,0.09193350092558265,58
hsa04022,0.07334687274334808,37
hsa04024,0.02508365443571418,48
hsa04060,0.0408718495454745,32
hsa04061,0.18422537183663912,13
hsa04062,0.13905167416332173,50
hsa04064,0.06730136135728017,32
hsa04066,0.10044377930780786,25
hsa04068,0.14870704856736466,45
hsa04070,0.06359502697342584,33
hsa04071,0.11523944331630452,43
hsa04072,0.24280451625329416,70
hsa04080,0.019508784820908318,53
hsa04081,0.03962631717827278,37
hsa04082,0.044926580342738415,38
hsa04110,0.04869444627910323,28
hsa04114,0.03773808355162574,19
hsa04115,0.04074194449451573,18
hsa04120,0.049025472711324285,35
hsa04122,0.2795964728122901,2
hsa04130,0.1742833131633217,4
hsa04136,0.34708725341205593,3
hsa04137,0.13656891825857548,41
hsa04140,0.08855958716376167,67
hsa04141,0.08691340139078657,34
hsa04142,0.11764061256549989,30
hsa04144,0.03228358672435574,49
hsa04145,0.036533857815183715,21
hsa04146,0.04331687982045608,16
hsa04148,0.038130168608679606,41
hsa04150,0.14847443383784692,49
hsa04151,0.16753392658391558,106
hsa04152,0.0618893192510641,27
hsa04210,0.09735156665870837,63
hsa04211,0.2712700643328502,37
hsa04213,0.21989843057530245,32
hsa04215,0.11976544282242295,14
hsa04216,0.10110416454909353,10
hsa04217,0.05310029423313874,35
hsa04218,0.13564906372885244,52
hsa04260,0.07671596934865772,10
hsa04261,0.06480439263227064,21
hsa04270,0.05669666713101269,21
hsa04310,0.1321868429004857,50
hsa04330,0.12857817781257885,19
hsa04340,0.03374166805558328,13
hsa04350,0.109754899204181,19
hsa04360,0.07424591130913794,62
hsa04370,0.17034053258123644,31
hsa04371,0.09378341170807337,46
hsa04380,0.028870828268509948,34
hsa04382,0.05015369138649129,46
hsa04390,0.06093833550787614,28
hsa04392,0.08238042419119841,9
hsa04510,0.048666159034352355,46
hsa04512,0.05690123117611487,29
hsa04514,0.028971433802853788,22
hsa04520,0.06670661769781934,29
hsa04530,0.033509332254878586,42
hsa04540,0.13752823976168027,36
hsa04550,0.10057396520603427,52
hsa04610,0.11205948323850899,14
hsa04611,0.047278037144448316,23
hsa04612,0.10184318056870752,16
hsa04613,0.054712086613753125,29
hsa04614,0.11623277243745629,5
hsa04620,0.0993663135094624,24
hsa04621,0.08480521998133914,43
hsa04622,0.07348405491349164,17
hsa04623,0.1356480160852501,18
hsa04625,0.1805834495134903,48
hsa04630,0.06165602942305757,31
hsa04640,0.3022558125476375,39
hsa04650,0.16566184477260293,41
hsa04657,0.12216187593121397,32
hsa04658,0.03350647603859446,19
hsa04659,0.08533341761243131,22
hsa04660,0.12681245683653616,42
hsa04662,0.1815985630169968,38
hsa04664,0.16630178124093162,33
hsa04666,0.1008020162971573,17
hsa04668,0.046249120256444516,38
hsa04670,0.0684264536797489,21
hsa04672,0.2304650289204296,8
hsa04710,0.0442344319303916,9
hsa04713,0.044350394701661154,21
hsa04714,0.18178457505436846,43
hsa04720,0.0839080114031099,31
hsa04721,0.20810217487672933,16
hsa04722,0.19780788617699688,42
hsa04723,0.13126577113177323,30
hsa04724,0.129953115100709,34
hsa04725,0.09694480379778535,39
hsa04726,0.08407579027690007,42
hsa04727,0.11636804379820014,21
hsa04728,0.1951894756819021,22
hsa04730,0.12445489201576089,29
hsa04740,0.04162654620890543,18
hsa04742,0.035900319944545456,22
hsa04744,0.21211075540825555,7
hsa04750,0.06422914668560421,19
hsa04810,0.09712593856343571,61
hsa04814,0.026839036967402943,43
hsa04820,0.02901096573841068,62
hsa04910,0.11988026472553508,48
hsa04911,0.16234682181294655,22
hsa04912,0.11312291573191291,36
hsa04913,0.07254367527446767,8
hsa04914,0.10164303464088559,35
hsa04915,0.06535574399338073,56
