pathway_name,distance,n
M00001,0.0764428067162533,49
M00002,0.1891445007785511,21
M00003,0.11623196153362306,32
M00004,0.2301892003713366,18
M00005,0.1428503743114895,10
M00006,0.2708000741118715,8
M00007,0.23458980887015127,16
M00008,0.2538738306469013,8
M00009,0.058488232183804154,45
M00010,0.06490369591919876,24
M00011,0.11539640869813672,28
M00012,0.06314768383776324,16
M00013,0.09522480360447763,17
M00014,0.07664134546233113,44
M00015,0.12657529046338262,13
M00017,0.4452526222615379,6
M00019,0.049483199777690105,22
M00020,0.19320008620201776,18
M00027,0.10913762979854062,22
M00028,0.19155046699774114,11
M00029,0.1349086258661865,18
M00032,0.2409871774101086,28
M00034,0.11570046947412511,70
M00035,0.12023862579576015,70
M00036,0.26689356930586067,52
M00037,0.04353989248313256,27
M00038,0.24549713864912176,34
M00042,0.12659135492949747,11
M00043,0.23349796765014036,3
M00044,0.14211975090575008,20
M00045,0.26444593444456055,21
M00046,0.23981693372170962,12
M00047,0.06645474045646188,33
M00048,0.2801531434372653,30
M00049,0.18380148855910053,35
M00050,0.1024176682743448,44
M00051,0.45151456936768,5
M00052,0.06140380102068828,29
M00053,0.1580949322187258,29
M00055,0.08009869321083773,51
M00056,0.08652855577675626,76
M00057,0.16360511781495865,33
M00058,0.15600847168815302,11
M00059,0.05189008332603506,41
M00065,0.0648342627369268,32
M00066,0.054167409382314936,20
M00067,0.1378076369782901,10
M00068,0.09667662953759533,16
M00069,0.03891135065047094,38
M00070,0.17183524076097415,20
M00071,0.19330832016302674,16
M00072,0.1691204743017719,38
M00073,0.09297894261632736,19
M00074,0.1194240449240799,11
M00075,0.07722100218627367,32
M00076,0.10605632179115254,22
M00077,0.09231405998008496,23
M00078,0.08673724384205377,24
M00079,0.062205166970658504,19
M00082,0.07565781629630533,21
M00083,0.13604202409500116,11
M00085,0.17399518395392513,19
M00086,0.21019938857257336,7
M00087,0.1399735879846428,31
M00088,0.1307849299852292,25
M00089,0.13642441758576504,64
M00090,0.10116240933003584,12
M00091,0.22499256212961702,6
M00092,0.13581062039706338,17
M00093,0.2866347036726211,6
M00094,0.09609298331990818,36
M00095,0.11038823000439274,18
M00096,0.23788914361080693,6
M00098,0.0384556431734512,86
M00099,0.04473541716614066,46
M00100,0.06309815235794508,27
M00101,0.0617098747816037,55
M00102,0.06279792082171055,48
M00103,0.1253490297925478,11
M00104,0.19393518178992264,42
M00106,0.2983351116337447,14
M00107,0.15066009134896183,17
