pathway_name,distance,n
M00001,0.15408172868456152,15
M00002,0.22001076832892846,8
M00003,0.22835245235960286,12
M00004,0.20483635954729187,12
M00005,0.38676277545937643,5
M00006,0.3349133236272757,3
M00007,0.3132418206428284,6
M00009,0.23334535191630032,18
M00010,0.21346958278966027,9
M00011,0.2533319524314065,9
M00012,0.1432843452066516,2
M00013,0.4106078448262037,1
M00014,0.16343554528335336,6
M00019,0.36059074629942633,2
M00027,0.14582459824540048,6
M00029,0.19488866893071852,5
M00034,0.2926967681892169,7
M00035,0.08822580259246067,9
M00036,0.1670037518665616,5
M00037,0.3336773338676461,1
M00038,0.11363061847073608,9
M00042,0.37078385830372224,3
M00043,0.4428275736861161,3
M00044,0.23464987550100053,4
M00045,0.3675938820124518,2
M00046,0.22334261181446574,5
M00047,0.38373697823184383,12
M00048,0.10513090543895871,10
M00049,0.27254068428281475,8
M00050,0.2275491532976753,5
M00051,0.40232221128253837,1
M00052,0.14567141176179832,8
M00053,0.21932154484691996,14
M00055,0.35710593416091674,7
M00056,0.08085389770695461,18
M00057,0.15196390977494345,4
M00058,0.3523104075440545,5
M00059,0.16064214230140186,14
M00065,0.2551080731656327,11
M00066,0.34692742600556875,2
M00068,0.28317664492110983,2
M00069,0.4658314915291762,2
M00072,0.42655208703349107,4
M00075,0.38680185647923165,1
M00076,0.1871807394855855,9
M00077,0.2015390614517586,7
M00078,0.11977766512176619,12
M00079,0.47570631235228134,1
M00086,0.25947535569095204,4
M00088,0.40183962143711943,1
M00089,0.18511993803044383,9
M00090,0.26362070840556007,9
M00092,0.26668296065660385,6
M00094,0.47092376315921347,2
M00095,0.36905522438130994,2
M00098,0.28876251255099167,9
M00099,0.16003904488476933,9
M00100,0.17298368411279072,4
M00101,0.21060333645515456,6
M00102,0.2189282956053961,6
M00104,0.362867052956527,3
M00107,0.3020149522195329,1
M00108,0.41063043069430033,1
M00109,0.2851334711352117,2
M00110,0.2863819184833514,1
M00115,0.22305980576435971,4
M00118,0.349614552212202,1
M00119,0.36059074629942633,2
M00120,0.2943317360848445,6
M00121,0.28961616670478646,6
M00122,0.11372272229944468,2
M00126,0.2784376058341338,12
M00129,0.20909853949775034,4
M00130,0.12685104148938,15
M00131,0.3080020218811323,3
M00132,0.48887797916859027,2
M00134,0.3712267668016242,5
M00142,0.07269872123638353,12
M00146,0.08777644933588219,10
M00148,0.2185272240295353,6
M00152,0.3435405141123972,4
M00154,0.123622114004817,17
M00158,0.3804323221815951,6
M00160,0.21200573285747323,8
M00165,0.26380736782101394,11
M00169,0.4302928837601355,1
M00170,0.18104054157397906,6
M00171,0.17368717580088944,6
M00172,0.4302928837601355,1
M00173,0.2529793079825095,7
M00308,0.25745588784578644,2
M00338,0.42234829200742363,1
M00344,0.2677036911304367,5
M00345,0.21474203393559368,6
M00346,0.3255569483537055,2
M00366,0.42793859077828866,3
M00367,0.15843163457292675,5
M00368,0.32514650685768054,1
M00373,0.2521458246646957,4
M00415,0.08409410303594708,17
M00532,0.36474228205950393,2
M00549,0.3192552848501838,2
M00552,0.25745588784578644,2
M00554,0.3364401877796802,2
M00570,0.3735750611272655,2
M00609,0.32514650685768054,1
M00632,0.34229777447902265,2
M00740,0.18699790144057438,8
M00741,0.25326194123935075,4
M00841,0.3014312020860687,7
M00842,0.2912169375292693,7
M00843,0.2972524096464236,7
