pathway_name,distance,n
M00001,0.12003133867677128,3025
M00002,0.09530295492559167,1407
M00003,0.07660806873871912,1571
M00004,0.061764677840148746,877
M00005,0.14545868189212685,846
M00006,0.02364606103551048,269
M00007,0.09674229178477924,528
M00008,0.03376483704205071,156
M00009,0.16202501845407014,3183
M00010,0.20064333367185294,1354
M00011,0.13121297521692438,1929
M00012,0.24594263617321133,1214
M00013,0.03394546629252347,1131
M00014,0.09703968895846263,2743
M00015,0.09102510051319328,810
M00017,0.15135332088902553,669
M00019,0.1457096793582233,762
M00020,0.10493667199132393,551
M00027,0.07949765600444958,1104
M00028,0.19637438144637082,226
M00029,0.06307856208127459,1314
M00032,0.12395042141619692,2098
M00034,0.17448627509572218,3019
M00035,0.12652824792284229,2701
M00036,0.13194597357637652,2407
M00037,0.1819899072249222,1884
M00038,0.13206120344193745,1229
M00042,0.017030283990059528,1388
M00043,0.0666976746366373,156
M00044,0.012547750505993967,1335
M00045,0.13078547772616714,758
M00046,0.09204020812906547,385
M00047,0.026283240429450128,1797
M00048,0.14442761105395174,1481
M00049,0.13289790434447804,3063
M00050,0.22127802806373403,2927
M00051,0.10315538578762042,819
M00052,0.09996205294859975,2454
M00053,0.08438426096227175,2826
M00055,0.0684202199967436,1762
M00056,0.021756837672876846,3460
M00057,0.06534490870300068,1162
M00058,0.022881723955341205,1104
M00059,0.0866519154681344,2759
M00065,0.007079606961670322,1965
M00066,0.02363967711466197,875
M00067,0.07982166930001085,490
M00068,0.12842922936680695,1264
M00069,0.04741686934488961,1413
M00070,0.11360979814663552,900
M00071,0.07173009830903339,602
M00072,0.06001955857643401,1958
M00073,0.07380839323623002,1493
M00074,0.07500556367117668,1292
M00075,0.04875347186974758,2173
M00076,0.06258799578488322,1616
M00077,0.07825332830020472,1793
M00078,0.034335734088882436,1873
M00079,0.09278327098105167,995
M00082,0.04421122960651298,1274
M00083,0.024195185649848946,971
M00085,0.10206535939252163,1129
M00086,0.0790531594904909,926
M00087,0.0580243604328779,1622
M00088,0.08143961913101094,1215
M00089,0.06223593493450832,3871
M00090,0.025420732905645265,888
M00091,0.06432553155762186,428
M00092,0.0968297120028153,984
M00093,0.06311763566382744,553
M00094,0.11809918858043277,2280
M00095,0.05975551400379661,1487
M00096,0.13153308584450557,192
M00098,0.07160391500599839,4745
M00099,0.09434634748993083,2830
M00100,0.07698205425664943,1207
M00101,0.090641895354144,2854
M00102,0.08632283487423277,2292
M00103,0.04376698176803486,551
M00104,0.019508249044394854,2280
M00106,0.03818009774859729,738
M00107,0.07745843718556662,845
M00108,0.028814872393194742,855
M00109,0.044909907609653466,1403
M00110,0.022752038298738043,771
M00113,0.06821978297652527,681
M00114,0.17072524437202236,597
M00115,0.09827931855121885,1650
M00118,0.09343252111965111,425
M00119,0.1457096793582233,762
M00120,0.11751908472236122,1894
M00121,0.12716925501617993,1443
M00122,0.1370915208751249,922
M00124,0.07127255921423217,346
M00126,0.1821268094761612,1636
M00128,0.03819081640012103,951
M00129,0.11628408548700185,2277
M00130,0.045830824613917444,3369
M00131,0.03104368005045757,814
M00132,0.02162785099358446,890
M00133,0.1613033757157374,554
M00134,0.12866318394698098,302
M00135,0.12054972219484429,798
M00140,0.08729128320880068,523
M00141,0.12672877325894363,807
M00142,0.16702567547169003,11
M00143,0.0828147116412056,499
M00146,0.047417522355647085,1582
M00147,0.17813201582913996,643
M00148,0.28882784843423287,552
M00151,0.08548564730771545,430
M00152,0.04637832048886899,1281
M00154,0.12510930779180096,1678
M00158,0.09290837297893392,1763
M00160,0.08869370328331858,1910
M00165,0.06612655682590604,1374
M00168,0.2203091026894369,275
M00169,0.1276307015089362,502
M00170,0.07325675459271483,949
M00171,0.19440485295836976,1682
M00172,0.1276307015089362,502
M00173,0.16222331174733085,770
M00307,0.06573290620481564,1638
M00308,0.1529936394769148,425
M00338,0.19703569309127217,473
M00344,0.02621190603451456,545
M00345,0.1287763388032691,531
M00346,0.1696446280418397,1132
M00357,0.08918235402807836,394
M00364,0.13153308584450557,192
M00365,0.13153308584450557,192
M00366,0.1648213369638402,587
M00367,0.15292314793661688,683
M00368,0.27987271608566344,1096
M00373,0.1197252474876994,1087
M00374,0.07652715414422555,479
M00375,0.05465382246619257,648
M00376,0.06831229202690929,649
M00415,0.06327915875835104,2356
M00532,0.11852357397799432,1806
M00546,0.02160901146186321,406
M00549,0.1687357031770086,1892
M00552,0.1529936394769148,425
M00554,0.07632247171583316,555
M00555,0.2380874303786708,131
M00565,0.09398177360748203,99
M00570,0.16972291122765373,1238
M00572,0.01825201064227501,963
M00580,0.04603491209444932,89
M00609,0.27987271608566344,1096
M00621,0.1171319704054988,834
M00632,0.08508240345114401,859
M00740,0.14326279416726276,740
M00741,0.1527382652590827,706
M00761,0.07247627672092577,80
M00793,0.12613570044338118,824
M00840,0.34056831951959426,344
M00841,0.2694524534382865,247
M00842,0.15719718089689486,475
M00843,0.17581299270997658,439
M00844,0.1304848576293551,953
M00845,0.15630508277161986,719
M00846,0.07925914950203362,386
M00849,0.061292116487303934,1433
M00854,0.14101193901370432,1209
M00855,0.06195064950288874,1101
M00861,0.10656156817083026,1105
M00862,0.0970564446832321,542
M00868,0.04032225055040441,1613
M00872,0.042247542981285365,2776
M00873,0.025702533389888916,1866
M00874,0.07548007624923861,2079
M00880,0.17691494042174613,893
M00881,0.1596562217265873,148
M00882,0.06905392035099511,330
M00883,0.017393630233730615,354
M00884,0.1596562217265873,148
M00885,0.08893198156419943,672
M00886,0.08893198156419943,672
M00892,0.23839580221657872,1809
M00897,0.0922331382537071,106
M00898,0.0922331382537071,106
M00909,0.2759949176931762,1506
M00911,0.126008469205987,422
M00912,0.09991465212733122,2093
M00913,0.1882023165528786,192
M00917,0.08296030989827209,1448
M00926,0.0994195775155427,806
M00936,0.22759486364195303,258
M00938,0.08653622097644854,2868
M00953,0.27987271608566344,1096
M00955,0.022774955969846536,1210
M00957,0.10112346824337312,925
M00958,0.059355209840179925,2372
M00959,0.08761965600339823,1786
M00968,0.049087462156857845,66
M00970,0.07101479594439536,727
M00972,0.057089954131169116,1452
M00974,0.106334577516482,1279
M00975,0.055637306145700664,663
M00976,0.05135791512311798,1562
M00977,0.07030050105443039,1568
M00978,0.12297767587900733,1006
M00981,0.22759486364195303,258
M00982,0.058881269650509126,289
M00983,0.04368120965657924,1566
M00987,0.06192884013826164,582
M00988,0.17581299270997658,439
M00991,0.1268022177942672,441
M00992,0.1268022177942672,441
M00994,0.06875943342763237,442
M00995,0.3358231253346445,1252
M00997,0.052181578745295006,231
M00999,0.07247627672092577,80
M01000,0.17072524437202236,597
M01001,0.03456417056179637,533
M01002,0.3358231253346445,1252
M01003,0.12189028156253552,589
M01004,0.1876532820297884,132
M01006,0.14680867048582752,422
M01015,0.17803358576647407,1447
M01016,0.15147443999067273,172
M01017,0.24193683383682085,51
M01018,0.24193683383682085,51
M01019,0.24193683383682085,51
M01020,0.24193683383682085,51
M01022,0.12613570044338118,824
M01023,0.12613570044338118,824
M01024,0.12613570044338118,824
M01025,0.12613570044338118,824
M01026,0.12613570044338118,824
M01027,0.12613570044338118,824
M01034,0.24193683383682085,51
hsa00010,0.09520724852795723,7025
hsa00020,0.13974783284408412,4343
hsa00030,0.06830755358008424,2971
hsa00040,0.11729981302785378,4184
hsa00051,0.09359498786315908,5332
hsa00052,0.08488939453515588,5270
hsa00053,0.11573905904412014,3073
hsa00061,0.048588822205002484,3229
hsa00062,0.10900480372808585,4476
hsa00071,0.0778666756277734,5015
hsa00100,0.06195963004376736,4273
hsa00120,0.02520721025471656,2529
hsa00130,0.013657812719144962,2306
hsa00140,0.07440718121523936,6936
hsa00190,0.05619760209109679,7855
hsa00220,0.08505383116035556,3702
hsa00230,0.07156711933856356,16435
hsa00232,0.030716270066545648,1254
hsa00240,0.06642175469751016,7504
hsa00250,0.12209580702063193,6577
hsa00260,0.07172470074651742,5189
hsa00270,0.11920172730310175,6975
hsa00280,0.11006368926110544,5266
hsa00290,0.16972291122765373,1238
hsa00310,0.021784059594457367,12678
hsa00330,0.03985448567549717,6023
hsa00340,0.08576770389803312,2920
hsa00350,0.1107480682214122,5218
hsa00360,0.10809022969336618,2716
hsa00380,0.09637540020906987,5503
hsa00400,0.07381898582592351,1737
hsa00410,0.0844919927404943,4682
hsa00430,0.09117105770323605,2944
hsa00440,0.06409963115537266,825
hsa00450,0.16931866478757301,3862
hsa00470,0.06018603927875517,767
hsa00480,0.11958175781010369,6604
hsa00500,0.10770013861098865,5578
hsa00510,0.07444898768486201,7418
hsa00511,0.05789099241112142,2157
hsa00512,0.022062513425077153,4537
hsa00513,0.07117476330232271,6317
hsa00514,0.05400743618754825,6148
hsa00515,0.039640128408058216,4412
hsa00520,0.1480146299866753,5304
hsa00524,0.16918812273195918,1164
hsa00531,0.04874098950800187,3125
hsa00532,0.01532392753022723,3334
hsa00533,0.013449386617984895,2160
hsa00534,0.06415368596630633,4123
hsa00541,0.16821154185868378,3426
hsa00561,0.08314884173671368,10418
hsa00562,0.020318100817686747,13485
hsa00563,0.006869528064259002,4110
hsa00564,0.0720705368696377,11448
hsa00565,0.05955682487787934,5327
hsa00590,0.06021988688746809,7739
hsa00591,0.0528925492728926,3270
hsa00592,0.04683295915339779,2792
hsa00600,0.04329456137328886,5884
hsa00601,0.026268010657600097,2903
hsa00603,0.010190809331240528,2164
hsa00604,0.05819486789913808,3032
hsa00620,0.09972784564670069,5145
hsa00630,0.14524314826923812,3988
hsa00640,0.07931544618793641,4037
hsa00650,0.0706480729443575,3369
hsa00670,0.17327245619089174,4715
hsa00730,0.11662409319521562,3585
hsa00740,0.11378388401802414,1879
hsa00750,0.0655421604247686,982
hsa00760,0.08313888106482349,5607
hsa00770,0.12079147086465458,4364
hsa00780,0.011874240076128,1118
hsa00785,0.07858298405579243,3135
hsa00790,0.15851268554168954,4264
hsa00830,0.1067085591577334,8129
hsa00860,0.11474041683907514,5614
hsa00900,0.10753754919305096,3450
hsa00910,0.10232697682838823,1620
hsa00920,0.0709400278006009,1593
hsa00970,0.15773879168832486,9894
hsa00980,0.07204431878428062,6402
hsa00982,0.0703906701663187,6140
hsa00983,0.09282354779669962,7675
hsa01040,0.09969802134844931,3706
hsa01100,0.038015321651043786,111575
hsa01200,0.09808240197235568,11956
hsa01210,0.14406370838528304,5718
hsa01212,0.09550725088914616,7783
hsa01230,0.13053367696191037,9119
hsa01232,0.0829233464687897,9953
hsa01240,0.11745460311436891,16503
hsa01250,0.17200299480343434,6560
hsa01320,0.06192884013826164,582
hsa01521,0.04087099982048252,13412
hsa01522,0.03978668201369399,16381
hsa01523,0.07988653270808276,6091
hsa01524,0.027253682179526128,11279
hsa02010,0.07609590763159578,11613
hsa03008,0.0454653905925094,11805
hsa03010,0.044899888492731084,8201
