pathway_name,distance,n
M00001,0.40248468967599854,3
M00002,0.37061344743094515,2
M00003,0.3297581922778602,1
M00004,0.5297692388435699,1
M00006,0.48711179312016895,1
M00008,0.5278209642785409,1
M00009,0.1945572398504853,4
M00011,0.19442592073494555,4
M00012,0.4977411357392038,1
M00013,0.3313499088530009,1
M00014,0.14064453295593618,2
M00017,0.18903826663886045,2
M00019,0.45837925533022167,1
M00032,0.2304054781707985,3
M00034,0.2984660628128105,3
M00035,0.30701674610720964,3
M00036,0.10169096753665499,4
M00037,0.421072652888854,1
M00042,0.3464898572094331,2
M00046,0.3532706366799621,1
M00047,0.13434317672118218,11
M00048,0.33546554481566293,1
M00049,0.182608525389869,4
M00050,0.14242187472328927,4
M00051,0.3332176443775969,1
M00052,0.19981054723639036,4
M00053,0.07783435553691778,14
M00056,0.18835133345530783,2
M00059,0.2567019104847564,3
M00065,0.32571498680835,1
M00066,0.2925004002219846,1
M00067,0.29495512286481873,1
M00069,0.43832402828279476,1
M00071,0.3352507621256273,1
M00072,0.34539783309642125,1
M00073,0.39407944069799683,1
M00075,0.3265050587744545,1
M00082,0.26743579242372256,2
M00083,0.33123169431957694,1
M00085,0.31761266874808836,1
M00087,0.3036815750020867,2
M00088,0.44263772360460857,1
M00089,0.27763091491602987,4
M00095,0.4326055069863479,1
M00098,0.14812072279359687,7
M00101,0.40941055660981385,1
M00104,0.5174248943296206,1
M00113,0.38686150488656434,1
M00114,0.4402222113279753,1
M00118,0.399184372406523,1
M00119,0.45837925533022167,1
M00120,0.18172538817346515,3
M00121,0.3572016181271291,2
M00122,0.4521940976285992,2
M00126,0.46010222991600586,3
M00129,0.1424077716314619,2
M00130,0.13995419123264263,3
M00131,0.36431970077030423,1
M00134,0.5241590350606354,1
M00142,0.1416088221586783,3
M00146,0.15467295627582142,2
M00151,0.26921144447085005,2
M00152,0.20097222967178896,4
M00154,0.10397852495437028,7
M00160,0.37785040709170775,1
M00165,0.3198180071566542,1
M00168,0.5025718035000447,1
M00171,0.450901604114915,1
M00307,0.4383447689366835,1
M00308,0.3412517750454454,1
M00346,0.3697416800978231,1
M00368,0.25093146783929987,2
M00415,0.12956463151604283,2
M00532,0.16358578768682808,3
M00549,0.30998839954961205,2
