pathway_name,distance,n
M00001,0.19846956451308528,2
M00009,0.3200026891302876,1
M00010,0.314135590290789,1
M00015,0.34547747887743135,1
M00019,0.34463827372691697,1
M00029,0.318393763087144,1
M00032,0.32619945378942916,1
M00034,0.26619606005805224,2
M00035,0.2817737020478919,2
M00036,0.3315856591305059,1
M00037,0.329270077027466,1
M00038,0.3297517947639898,1
M00045,0.32449779692629166,1
M00049,0.44614840646343684,5
M00050,0.2232685048490479,6
M00052,0.4823476302340543,5
M00053,0.3416862783002439,6
M00056,0.4548553046540091,5
M00057,0.45184989435368705,1
M00058,0.4194618077937363,2
M00059,0.47297647771534623,1
M00071,0.30016071895154584,1
M00072,0.13085272417295837,2
M00075,0.44779704533959286,1
M00076,0.3357323920723998,3
M00077,0.3356627793136074,3
M00082,0.3641600042192646,1
M00087,0.38758201319311514,1
M00088,0.3476489667807528,1
M00089,0.12673597009315266,2
M00094,0.3224811873313745,5
M00095,0.3528490610216438,1
M00098,0.11914280719810497,3
M00099,0.17951059263464775,6
M00100,0.3806721373090562,2
M00101,0.3775364548517888,1
M00104,0.14577939217512056,2
M00106,0.16329849956066309,2
M00109,0.378853117600244,5
M00115,0.3331294605654879,1
M00118,0.36679497229985764,1
M00119,0.34463827372691697,1
M00120,0.5007118266856186,1
M00126,0.4834848598862069,1
M00128,0.4456656827338799,1
M00130,0.18294880306138409,9
M00131,0.46010940218323343,1
M00133,0.33704155924249746,1
M00135,0.39101669384525584,3
M00170,0.38302150880113306,1
M00171,0.24596149633283246,2
M00338,0.33342334808508123,1
M00344,0.5206396881741117,1
M00346,0.3132451725291695,1
M00368,0.23160531967216264,2
M00373,0.32926470816509246,1
M00374,0.33542861660301615,1
M00375,0.3504547057435501,1
M00415,0.32473590152105897,1
M00532,0.2581753226039193,2
M00549,0.20945605874780007,6
M00570,0.26556934125389653,2
M00609,0.23160531967216264,2
M00632,0.452901966223556,1
M00793,0.4088693442253539,1
M00844,0.30325158809194225,1
M00845,0.2952871244276217,1
M00849,0.3546791969343812,1
M00854,0.3385376322089083,5
M00855,0.4536332603015073,1
M00872,0.43592575244074494,5
M00873,0.3811978146488379,1
M00874,0.34498287716020715,1
M00880,0.31149690478616193,1
M00885,0.3615018183153213,1
