pathway_name,distance,n
M00001,4.499260006882572,7
M00002,44280.563807440914,5
M00003,91.44308183987232,6
M00004,153210.24851547548,2
M00005,8.497611656929887,6
M00007,146544.57275274987,2
M00009,30.417741040251038,7
M00010,15417.406271450329,2
M00011,109.29268122819201,6
M00012,67133.18210613019,2
M00013,175650.13443149696,1
M00014,27.402215955499507,8
M00015,5740.664712783306,3
M00017,236298.51692475256,1
M00019,89601.42742792422,3
M00020,60364.54668581184,2
M00027,56430.804259636236,4
M00028,193838.06798122756,1
M00029,6110.394745435525,5
M00032,56553.65890443542,3
M00034,2740.60447356352,9
M00035,752.9931772158336,8
M00036,715.3227336328018,6
M00037,60754.87809937987,2
M00038,130.80822901521302,6
M00042,461.840568637148,5
M00043,110323.2953261614,3
M00044,41272.28546603214,3
M00045,113114.74346771183,4
M00046,134436.35769767466,2
M00047,10728.531594117776,6
M00048,63469.19734418945,4
M00049,26.405945290013165,8
M00050,161.76656384628146,6
M00051,6237.58363840156,3
M00052,440.27706312158864,5
M00053,41.305297035839175,9
M00055,101673.90296729328,2
M00056,90279.44261716217,7
M00057,107347.45267112291,2
M00058,144118.04078411378,1
M00059,7317.067598895814,5
M00065,84323.3949344573,3
M00066,113683.97902005182,1
M00067,81103.75945599069,1
M00068,50330.24429837027,2
M00069,3256.9813346341402,5
M00070,21540.863955074055,2
M00072,6316.263511440406,6
M00073,4549.765820042449,3
M00074,4475.269810982546,3
M00075,92729.86034217413,1
M00076,51.77719770156576,9
M00077,42653.61416321015,6
M00078,10.757002177809223,9
M00079,13443.025508183324,4
M00082,56784.87166866619,2
M00083,39704.752327437294,3
M00085,20969.7224828763,2
M00086,4058.252409782913,4
M00087,190167.72669635367,1
M00088,57504.26524120567,2
M00089,36.04847819689437,9
M00090,3353.8901754344865,4
M00091,171204.28528116425,1
M00092,9737.592801755278,3
M00093,61274.40303389627,2
M00094,408.5714730739577,6
M00095,526.3167753687218,5
M00096,97175.58082264366,2
M00098,190.91366652134712,11
M00099,427.9513552828364,6
M00100,39609.22841929233,3
M00101,5302.472655948913,6
M00102,40517.84049120391,3
M00103,101928.70674462113,1
M00104,3977.924546387337,4
M00106,33041.80638066097,1
M00107,69567.839058714,1
M00110,29311.91077979924,1
M00113,189948.95120553125,1
M00115,495.23194723654666,6
M00118,162075.99509834062,1
M00119,89754.53205646375,3
M00120,56752.373059761536,8
M00121,25.960371405308972,10
M00122,176393.16209444994,1
M00124,70632.26919153068,1
M00126,108266.07489566164,3
M00128,41299.35099386465,4
M00129,78.22833750228084,7
M00130,12.80946064130923,7
M00131,94663.99264314797,2
M00132,75881.91086352982,3
M00133,54876.731162830474,3
M00134,54599.09008335979,3
M00135,81163.23555816576,1
M00140,189952.41108015046,1
M00141,20487.092508949427,3
M00143,67796.67977124249,1
M00146,27559.441170524926,1
M00147,8521.974753049288,3
M00148,15645.817770548178,3
M00151,132113.81394832893,1
M00152,116561.0255913231,1
M00154,283.4501108839588,8
M00158,111721.4642020642,5
M00160,993.0603660997361,6
M00165,100.35750564302329,6
M00168,69802.08802451819,1
M00169,69393.23733750026,1
M00170,45993.96186529083,3
M00171,58750.10037448685,3
M00172,68535.23155450945,1
M00173,69181.10665580057,1
M00307,125950.46665924115,1
M00308,51816.538103792074,4
M00338,209512.70676137978,1
M00344,113464.96926803324,1
M00345,15543.669571612381,2
M00346,131125.39428310105,4
M00357,210460.65112971206,1
M00364,102283.55779453089,2
M00365,98895.02107821815,2
M00366,43725.47421597936,4
M00367,48767.24832619297,4
M00368,160162.8875322685,4
M00373,64256.04969467551,2
M00374,181834.9919709765,1
M00375,176434.92494830876,1
M00376,55798.37729830724,2
M00415,2.246053200514891,11
M00532,54233.670327056876,3
M00546,39906.15015414688,3
M00549,7372.444757571187,4
M00552,52164.173084088114,4
M00554,128744.36173759165,1
M00555,163914.64782101067,1
M00570,84312.2011450966,4
M00572,38241.32251758726,3
M00609,160538.79796021787,4
M00621,71199.31905008541,2
M00632,62416.56557721445,3
M00740,238431.10402666254,2
M00741,67544.38211584584,2
M00793,81733.26437811594,3
M00842,55628.27158796216,2
M00843,63570.67780850178,2
M00844,6955.055637517846,5
M00845,62523.61120774759,4
M00846,364.43320073463224,6
M00849,518.2022663287485,5
M00854,38691.202688991776,3
M00855,5547.6833119019175,3
M00861,4068.4543940791295,4
M00862,4194.73660255907,4
M00868,18.891429120497023,8
M00872,260.45401545892787,5
M00873,17155.97795073508,4
