pathway_name,distance,n
M00001,169684.42584726962,1
M00009,1.4618971088106305,14
M00010,279.0607357127092,8
M00011,27.728260519645428,6
M00012,17784.113053672518,1
M00014,24951.12542721225,4
M00015,17639.33310202207,2
M00017,22783.46180543202,1
M00032,11647.977772928076,2
M00034,15782.79955791217,2
M00035,3.396390667326643,50
M00036,3980.6283496903247,3
M00037,19644.745994109457,1
M00043,16716.164999399563,1
M00047,7734.048070078546,5
M00048,18574.89548053145,1
M00049,10387.789821380344,4
M00050,17617.76255283819,3
M00052,15875.46273125928,3
M00053,1010.3118337041924,9
M00055,144201.6600735855,3
M00056,38718.42385233801,6
M00059,166618.87888007346,1
M00065,49119.071147538016,2
M00066,13604.604334196216,1
M00067,14464.282633947658,1
M00068,11926.086943912696,1
M00069,14146.184904681351,1
M00072,10198.221805632958,2
M00073,9636.51240078522,2
M00074,9526.910976190491,2
M00075,14627.55330232374,2
M00076,69754.5743194978,1
M00077,69961.3487351294,1
M00078,17378.885618685617,1
M00085,23435.723925394934,1
M00089,164847.6783741334,2
M00094,11066.6205323558,4
M00098,11508.4479225,2
M00099,11791.750181858371,5
M00100,54956.48110394389,2
M00101,86753.37243891401,3
M00102,87659.78413484857,3
M00104,22578.89800876989,2
M00106,23249.04574914873,2
M00107,14753.828474566733,2
M00108,24430.003545182553,1
M00109,13266.681121144364,3
M00110,15582.056476917733,1
M00114,121341.13474856518,1
M00115,14653.908969927174,2
M00118,39414.682907967624,2
M00120,16349.717399243405,3
M00122,20861.590241531718,1
M00126,185271.33081229107,1
M00129,24669.91026653259,4
M00130,85.07013729718088,9
M00135,24252.160645430762,1
M00146,13602.092822006356,2
M00147,16027.255485443744,1
M00148,17547.97216727653,1
M00151,15541.685776325186,2
M00152,4256.505604585379,5
M00158,4728.533669187417,4
M00160,149975.11134536032,5
M00170,43935.207222053185,1
M00171,57871.73580520266,1
M00173,98.26864573664093,10
M00307,11707.099732369757,2
M00376,9532.863571067524,2
M00415,13575.090012641671,4
M00532,11292.576696472484,2
M00546,20538.591162392033,1
M00549,160885.4532866229,2
M00621,13348.022780106163,2
M00740,259.94718868141126,8
M00872,8811.923288053971,4
M00873,21131.030932963895,1
M00874,18677.982161393316,1
M00892,6212.772365141266,3
M00909,6687.186429480602,3
M00911,17562.479049166886,1
M00912,13487.388248101837,2
M00917,94849.74584683958,3
M00938,1010.1025142729338,9
M00955,20478.228559129213,1
M00958,10226.085118514997,3
M00959,10611.156281835383,2
M00970,7014.5248493932395,5
M00972,1075.7131171338513,7
M00974,18405.75707694439,1
M00976,13468.425131080625,3
M00977,13402.288053987377,3
M00982,9249.361178682911,2
M00983,162301.8942888916,1
M00987,16763.377723858972,1
M00995,5911.150844904808,3
M01000,123977.27688053198,1
M01002,6273.634230466986,3
M01015,132793.46256174034,2
hsa00010,9.791684926471179,8
hsa00020,1.4830269409568535,14
hsa00040,24696.631466949257,4
hsa00051,3.7106153155012085,10
hsa00052,9739.067696599584,6
hsa00053,23033.92316391905,6
hsa00061,21127.01143805522,2
hsa00062,9118.974894023315,6
hsa00071,17975.077224249286,1
hsa00100,405.98603994622425,6
hsa00120,23103.718255567594,2
hsa00130,15221.489880957091,1
hsa00140,11.051554049722045,12
hsa00190,7.864922067376594,14
hsa00220,10527.303039003431,2
hsa00230,0.8385690046265477,23
hsa00232,26853.964347564615,1
hsa00240,3.5083754693585156,13
hsa00250,16.96644486271338,7
hsa00260,51.68226538657765,10
hsa00270,2.845368148948171,57
hsa00280,133.36387046512442,6
hsa00310,4.369924283009421,13
hsa00330,6.783339468824945,10
hsa00350,31.17806391340444,7
hsa00360,8129.209122040136,3
hsa00380,33820.50873184274,5
hsa00400,43298.4733756425,1
hsa00410,23111.362783953206,2
hsa00430,15879.054437005034,2
hsa00450,10147.219243957628,3
hsa00480,1.3779949572716919,24
hsa00500,144.25346741267444,7
hsa00510,132.66728325489544,9
hsa00511,97829.0805915029,1
hsa00512,39505.75143382047,6
hsa00513,417.3129946313703,8
hsa00514,340.8887355017799,7
hsa00515,6664.522443174653,5
hsa00520,137.74122899604058,7
hsa00524,159147.22600527748,1
hsa00531,8827.523708690504,2
hsa00532,18976.654064495076,1
hsa00533,13372.022494676617,2
hsa00534,156266.25633462373,1
hsa00541,20435.977557863644,3
hsa00561,34.77269794092391,6
hsa00562,19.292987092579068,16
hsa00563,103.24526831922715,7
hsa00564,7.71423099212152,12
hsa00565,5904.658160235015,5
hsa00590,9.544396178797061,12
hsa00591,7262.851163662583,5
hsa00592,34642.87045279721,3
hsa00600,7.864876595313194,10
hsa00601,9569.615638852014,3
hsa00603,11167.622776754604,2
hsa00604,3729.2846274484036,5
hsa00620,74.63402541231447,6
hsa00630,10033.127316927743,3
hsa00640,31334.54308957088,4
hsa00670,28216.40413607643,4
hsa00730,16616.973009468515,2
hsa00740,16729.8624726255,1
hsa00750,25654.55309701094,1
hsa00760,25.323409508981655,5
hsa00770,83291.55102620937,4
hsa00780,131059.8207342597,2
hsa00785,6178.018703456242,3
hsa00790,10383.482311247342,4
hsa00830,5.3035727064919005,12
hsa00860,3127.8011955190327,6
hsa00900,14660.767372859511,3
hsa00920,15034.640242299718,2
hsa00970,6.352386574734238,10
hsa00980,37.72749682016984,10
hsa00982,2528.3187698795596,8
hsa00983,291.5293514175495,12
hsa01040,14108.69761265406,5
hsa01100,0.10590661894060004,180
hsa01200,0.23342867903588793,16
hsa01210,10.65225676068979,12
hsa01212,13622.553179480496,5
hsa01230,82.9301407002896,12
hsa01232,2.686595076131999,15
hsa01240,2.1175303204162192,18
hsa01250,261.6659881100963,7
hsa01320,16398.94868060288,1
hsa01521,1.6204135653350296,23
hsa01522,1.8580050771120677,27
hsa01523,4351.546294954015,4
hsa01524,9.584458892209074,12
hsa02010,5.197125734736563,9
hsa03008,26654.789259857105,4
hsa03010,78.43478000175331,13
hsa03013,18.07875308334161,9
hsa03015,4.680613594073881,14
hsa03018,10.740663424793487,15
hsa03020,10596.850862003406,4
hsa03022,9413.44200342792,3
hsa03030,10172.927602943326,3
hsa03040,52.40953113648078,11
hsa03050,6.578768473181228,11
hsa03060,10070.508107214122,4
hsa03082,2.4676560226783666,22
hsa03083,0.8045118195586168,14
hsa03250,4.91701707291762,16
hsa03265,6495.04823302944,2
hsa03266,14927.17616111472,1
hsa03272,9.192511618258234,9
hsa03273,10182.542117841851,4
hsa03320,8729.131480376802,5
hsa03410,270.97328497892687,6
hsa03420,4087.0061253193544,6
hsa03430,10069.580398677572,4
hsa03440,7140.325787684153,5
hsa03450,6058.642782626279,2
hsa03460,720.5937276349716,5
hsa04010,0.43172936179609744,81
hsa04012,15.50181972134175,19
hsa04014,0.3447284872970986,71
hsa04015,0.3337493233343248,44
hsa04020,0.36924814676043755,56
hsa04022,0.6194273937070537,28
hsa04024,0.6025058572553246,41
hsa04060,0.6931252945071613,25
hsa04061,36.294178933803344,11
hsa04062,0.5800390359000128,29
hsa04064,53.79174879760431,10
hsa04066,7.50386672495957,17
hsa04068,6.933041654695943,18
hsa04070,5.88527354297774,21
hsa04071,0.9021119697340979,28
hsa04072,1.7622802738763443,32
hsa04080,0.293397914783587,50
hsa04081,3.7913571284158665,35
hsa04082,0.4660642101328074,39
hsa04110,0.19919313053249915,25
hsa04114,2.6158376446577227,20
hsa04115,1.656218787840427,16
hsa04120,1.559593896372601,11
hsa04130,21327.898772591412,1
hsa04136,3770.5686464694,5
hsa04137,3.0169498295974226,20
hsa04140,0.107039337207069,28
hsa04141,1.140413903357286,22
hsa04142,0.3786881799358552,18
hsa04144,0.317740518855301,31
hsa04145,0.4836528046834468,20
hsa04146,42.810442718552736,16
hsa04148,1.8197152739558615,82
hsa04150,0.1352838104143019,28
hsa04151,0.21742192576456432,81
hsa04152,7.6071121835307425,14
hsa04210,0.7711327050023733,30
hsa04211,5.073900167888723,19
hsa04213,19.616845845052715,12
hsa04215,8497.078312794674,4
hsa04216,4.516160284976444,12
hsa04217,76.3976215363903,10
hsa04218,0.48211358277146,30
hsa04260,4.90484134510266,14
hsa04261,0.7187558892629058,21
hsa04270,0.5743141058325486,26
hsa04310,0.8985021081016134,30
hsa04330,4.41013443785931,14
hsa04340,3.2175840017138855,12
hsa04350,0.6324224338723423,21
hsa04360,1.8744138492261055,32
hsa04370,5.90191812129184,18
hsa04371,1.8820169615396303,26
hsa04380,4.74642037222836,19
