pathway_name,distance,n
M00001,0.19863568439574325,743
M00002,0.2136004212904887,402
M00003,0.13420116561325787,421
M00004,0.18247891954189832,212
M00005,0.37218045680269424,155
M00006,0.20273633491523874,85
M00007,0.25272161317926084,110
M00008,0.2610370793057438,40
M00009,0.21011624920306732,960
M00010,0.17677216508372606,370
M00011,0.05030584588836473,632
M00012,0.2955107759499152,294
M00013,0.05945669685447714,382
M00014,0.08965756110413835,741
M00015,0.465648635628205,207
M00017,0.4073798089518019,200
M00019,0.21995649771563966,327
M00020,0.08359262448890327,168
M00027,0.11216431631462208,337
M00028,0.6910144313344269,65
M00029,0.07480433679235907,354
M00032,0.23597603250232263,625
M00034,0.16178830173644523,826
M00035,0.21028498973299428,728
M00036,0.17067113543353257,813
M00037,0.32839171349948093,549
M00038,0.2978386109434262,289
M00042,0.17706941894586176,354
M00043,0.7557714774483999,66
M00044,0.13665851996883246,336
M00045,0.4397184972374517,241
M00046,0.2430432946854971,151
M00047,0.2759176914010828,1128
M00048,0.13879336392947275,414
M00049,0.1622756729927948,721
M00050,0.13714140393801894,683
M00051,0.1747173658437432,185
M00052,0.13369190474534876,530
M00053,0.16242169561198655,1164
M00055,0.1925723665419532,430
M00056,0.026142124061084314,870
M00057,0.27681447995072145,362
M00058,0.16161812502370632,303
M00059,0.11641682993569331,592
M00065,0.26649434179337034,488
M00066,0.2138029674106001,209
M00067,0.40592713581600326,163
M00068,0.2697129086746108,267
M00069,0.1402279115793827,368
M00070,0.29167016602749024,253
M00071,0.24735836453593685,208
M00072,0.0868611014710861,494
M00073,0.22462813590725328,384
M00074,0.2995410273981682,311
M00075,0.1556525931832443,583
M00076,0.17065523793092927,316
M00077,0.1852960183904966,371
M00078,0.10024341560532372,462
M00079,0.10015902209375506,251
M00082,0.26739358542241226,410
M00083,0.151585983267952,203
M00085,0.08971322737513414,386
M00086,0.36805869800600655,147
M00087,0.17756230421409994,495
M00088,0.20060305770851955,418
M00089,0.14770717169659064,994
M00090,0.0601025716229736,260
