pathway_name,distance,n
M00001,0.15718162367058727,539
M00002,0.24094549264362386,248
M00003,0.1377754259735082,333
M00004,0.17769854593138507,110
M00005,0.772120180481967,118
M00006,0.6485660569305747,47
M00007,1.4373057790904853,48
M00008,5.1768591698964945,25
M00009,0.24489254050343834,672
M00010,0.290084222421556,313
M00011,0.26493153010206216,380
M00012,0.5853735736007709,243
M00013,0.3524350228159788,276
M00014,0.04939982977262839,503
M00015,0.16158415193279657,188
M00017,0.6643294977607408,131
M00019,0.5532903927297594,154
M00020,0.27293883135793323,105
M00027,0.20086658395476967,255
M00028,14.481630277197695,27
M00029,0.09878095086804456,339
M00032,0.06628183365779117,449
M00034,0.1359803997188811,625
M00035,0.12212472252963398,565
M00036,0.3150451650432964,484
M00037,0.18443258458198544,419
M00038,0.7481710309794899,232
M00042,0.12685423109744545,264
M00043,1.1035268414044117,34
M00044,0.06699976117734163,241
M00045,0.19838116497617342,149
M00046,0.6760413446128402,39
M00047,0.3593800567341277,1177
M00048,0.24387683663232593,341
M00049,0.14564044520360558,663
M00050,0.333755201038201,599
M00051,0.13549378468763362,176
M00052,0.17640873098451101,471
M00053,0.24906927218205643,1381
M00055,0.11142158096988683,404
M00056,0.14855173339937827,650
M00057,0.14514026054853282,225
M00058,0.08988579438625677,193
M00059,0.09800836293426785,496
M00065,0.20478500703048766,370
M00066,0.1722799788149892,163
M00067,0.3185849946146174,90
M00068,0.4422856238556299,237
M00069,0.11887278070137913,262
M00070,0.19939158901186582,187
M00071,0.34223027132918243,115
M00072,0.13063456490753753,341
M00073,0.20617915823761654,281
M00074,0.15189433605082991,248
M00075,0.11713646907774392,410
M00076,0.19703167694901436,292
M00077,0.1602530233046373,346
M00078,0.19124147047798998,355
M00079,0.15543657302815536,215
M00082,0.164375888200297,310
M00083,0.1611775534655867,185
M00085,0.27341770651506486,245
M00086,0.20720908753359563,168
M00087,0.14109366717149072,340
M00088,0.2290120820829047,262
M00089,0.10411641135571816,780
M00090,0.18607893073025444,195
M00091,0.9119816435164747,72
M00092,0.18526788865694402,188
M00093,0.17135334582593575,99
M00094,0.10291047270706136,420
