pathway_name,distance,n
M00001,0.2943367624562699,326
M00002,0.32915374371399575,176
M00003,0.4300122563922847,177
M00004,0.24970118955616352,96
M00005,8.82076652075014,90
M00006,1.9139033519796689,43
M00007,0.637827397121362,44
M00008,2.772320824076839,20
M00009,0.2744498554687949,332
M00010,0.4874118764361292,107
M00011,0.29158984776718444,236
M00012,1.1827741343877831,114
M00013,0.34242429041954653,124
M00014,0.07505373861262128,310
M00015,0.5648637553502589,71
M00017,1.0997989643762793,49
M00019,2.0165911663338814,75
M00020,0.3428148767691088,64
M00027,0.4108824975548836,114
M00028,9.539489751886771,18
M00029,0.430027198097824,126
M00032,0.13500062542865526,230
M00034,0.29676484724317087,323
M00035,0.2193965112249355,284
M00036,0.3550293927817372,247
M00037,0.27626638998208525,197
M00038,0.5882593722319122,114
M00042,0.39071083848742366,145
M00043,0.9798130680569378,28
M00044,0.22438780610812956,169
M00045,0.3057873056007281,80
M00046,0.5836728348907354,40
M00047,0.1731067826286274,174
M00048,0.22546222510223374,168
M00049,0.061029586986953405,289
M00050,0.22606770846141225,291
M00051,0.3257957499035504,104
M00052,0.08118266997794317,222
M00053,0.0368139652982636,290
M00055,0.2842401865490856,162
M00056,0.20489468734243882,300
M00057,0.15368045120796944,145
M00058,0.34571807012740474,108
M00059,0.15782938653100959,279
M00065,0.19056537773417967,191
M00066,0.2989837273815771,98
M00067,0.612318785950488,52
M00068,0.5931220480662726,123
M00069,0.8662008681887017,164
M00070,0.513969924272718,78
M00071,0.39668346894584994,61
M00072,0.28997174885766946,225
M00073,0.18841959521469465,174
M00074,0.2567655844878782,159
M00075,0.2587150249922401,272
M00076,0.1768911195431456,153
M00077,0.4031359444507958,166
M00078,0.1423576530016936,229
M00079,0.562269678862124,111
M00082,0.30060938568079676,168
M00083,0.7003555716989365,121
M00085,0.6610500252410533,138
M00086,0.3618108352640512,88
M00087,0.24519193033417713,172
M00088,0.5042765254419416,116
M00089,0.30323635870741894,433
M00090,0.2528199572976032,112
M00091,1.2855283811509488,37
M00092,0.5885331840164881,118
