pathway_name,distance,n
M00001,15142.70515864961,3
M00003,225265.44491327065,1
M00005,32359.027129232694,2
M00009,20403.38204400509,4
M00010,21418.779620452504,3
M00011,229021.98863759442,1
M00012,21639.413747943105,2
M00013,126015.1953074698,3
M00014,29233.972970481962,2
M00015,30130.07890720619,2
M00019,122347.59522670966,1
M00020,19590.196216366978,2
M00027,112232.71367312579,2
M00029,15856.27386255196,3
M00032,310.921173847679,7
M00034,20690.003131480695,3
M00035,21413.470005155203,5
M00036,148561.16540693652,5
M00037,11912.625553322683,3
M00038,12189.883690088547,4
M00042,20814.0049625533,2
M00044,18614.75553117445,2
M00045,41738.05388802558,3
M00047,14963.326930531437,2
M00048,220545.08064786263,1
M00049,22136.255127409033,1
M00050,21741.80882677843,2
M00051,145530.2484901247,4
M00052,20688.565280267183,1
M00053,7442.671835545943,3
M00055,37650.026347507395,1
M00056,7922.305003051075,2
M00059,5244.8334332319255,4
M00065,17893.108705400573,1
M00068,13186.774282884573,1
M00069,17336.62951451381,1
M00072,21468.206343187165,3
M00073,7395.912656522372,3
M00074,7382.121918408305,3
M00075,19269.562064593436,1
M00076,19216.872242473317,2
M00077,19626.422195236762,2
M00078,14680.982204833925,3
M00079,17344.197566171784,2
M00082,130899.12451125588,4
M00083,18397.4031216333,2
M00085,203345.02859366022,1
M00086,181734.42748697515,1
M00087,136221.02600043226,3
M00088,198388.56907285142,1
M00089,15272.284726036296,4
M00093,196840.5185989155,1
M00094,17750.390566607213,3
M00095,195294.72963936048,1
M00098,1784.7593740811712,6
M00099,16559.967637419868,3
M00100,13960.15692799629,2
M00101,2062.2823663639897,6
M00102,127843.82549505672,4
M00104,14164.735812890664,3
M00106,16898.24108478479,2
M00107,15192.822767055017,2
M00108,13619.718004283895,2
M00109,12699.560797610828,2
M00110,16628.479730654744,2
M00115,18521.59974245075,3
M00119,121605.06837431503,1
M00120,173281.67293519527,2
M00121,186601.85853673142,1
M00128,20574.21979831125,2
M00129,189514.8826521639,1
M00130,15936.136347933132,3
M00131,19076.941701035248,1
M00132,14380.789072995507,2
M00133,143585.82398345298,2
M00134,197620.43260036528,1
M00141,15843.928559645,1
M00142,22734.069247556152,1
M00143,218237.4895582755,1
M00146,105197.51532917027,1
M00151,158499.63209664135,1
M00152,21750.844676591314,2
M00154,159.6031679057,5
M00158,17312.49419066607,2
M00160,181913.00829764025,3
M00168,234045.00466072655,1
M00169,228168.0181110012,1
M00170,164344.98018257553,1
M00171,155671.19387901478,2
M00172,235106.96922173066,1
M00173,20611.448813416417,3
M00307,20275.37932881206,2
M00338,172441.46956856825,1
M00344,18994.193946030526,1
M00346,169992.35899176326,1
M00357,48536.600933823174,1
M00366,141134.0110853006,2
M00367,17057.609855429288,3
M00368,198682.05295918442,1
M00373,215262.21493483943,1
M00376,194811.9352076256,1
M00415,134597.3841327194,2
M00532,145837.2095578655,2
M00546,19386.81665771055,2
M00549,15450.099213702517,3
M00570,117724.28879004138,2
M00572,17850.45265230976,2
M00609,194475.50398607348,1
M00621,235228.61427122587,1
M00632,107464.58075386047,2
M00740,19050.459251428758,2
M00741,223347.40937459134,1
M00842,187874.4586687785,1
M00843,203693.47198529763,1
M00844,155554.9446977987,2
M00845,166451.59324189273,2
M00849,190812.8255480297,1
M00854,150547.83594523484,1
M00855,26263.710666016214,1
M00861,212461.58150478304,1
M00862,185127.31259777647,1
M00868,22070.126639718183,2
M00872,155254.5753633354,3
M00873,21890.746413899415,2
M00874,21832.041063636527,5
M00880,30610.7732228356,1
M00885,204596.36810185254,1
M00886,206076.23865738563,1
M00911,147720.2753958588,1
M00912,1573.3805230931666,5
M00917,22455.767587517836,2
M00926,203071.78532376135,1
M00936,292217.0730790187,1
M00938,7103.830186971477,3
M00953,195756.79263517965,1
M00955,20415.142835440107,1
M00957,41205.393386120726,5
M00958,15886.847641511482,3
M00959,16125.049666750056,3
M00970,12561.432937877184,3
M00972,5699.782941741748,4
M00974,24508.3584791967,2
M00976,19474.471170502275,2
M00977,16802.65107553069,3
M00978,158612.92619532935,2
M00981,296545.4357340572,1
M00982,226249.43886080742,1
M00983,19892.033041148985,1
M00987,27045.852081886453,1
