pathway_name,distance,n
M00001,42406.77965899856,3
M00002,43055.204346016966,2
M00003,210933.92357412475,1
M00004,6871.476157823934,2
M00007,7147.072472956826,2
M00009,22481.11346146581,1
M00011,21549.022350150393,1
M00019,160777.75150133634,3
M00029,173847.4284925335,1
M00032,15886.142533420803,2
M00034,180638.38833309713,3
M00035,15904.748916048873,4
M00036,14442.949188611225,4
M00037,26365.84564140963,5
M00038,14784.423909141045,2
M00042,178128.67495118,1
M00043,23621.473211149336,1
M00045,188626.54256972426,1
M00047,1.9960754681035253,19
M00048,12432.692414714747,2
M00050,210054.65305212242,1
M00053,12.64924447538888,16
M00057,2942.6914583640455,4
M00058,127251.59845762896,1
M00059,10208.229671895335,4
M00065,138026.8554745567,1
M00067,96356.67635880099,1
M00068,14569.583371315239,1
M00069,124763.80163294521,2
M00070,21904.243850609688,1
M00075,111633.97345453352,1
M00077,110715.65640429259,2
M00078,10139.419214516733,6
M00079,130228.50598552155,2
M00085,18324.18429736929,1
M00087,18204.513325790416,1
M00089,486.2174517836713,7
M00094,167565.3388202579,1
M00095,21202.70099131238,1
M00098,125331.76051089111,4
M00099,161335.27377620764,1
M00100,98247.42133657853,3
M00101,12291.45112490799,3
M00102,12535.868435982593,3
M00103,88780.93651741225,1
M00104,7950.653831301626,2
M00106,23219.40467119896,1
M00109,60205.253839048506,1
M00114,13405.93303731179,2
M00115,179841.47263900642,1
M00119,158702.08364684068,3
M00120,15140.003951189077,1
M00121,16698.940733296437,3
M00122,17660.609403579503,1
M00126,179584.9531074509,2
M00130,17022.515238915876,4
M00133,188265.46963271574,1
M00140,19154.803137620136,1
M00141,17593.07296154896,1
M00143,72767.7220844381,1
M00146,20102.572940718703,2
M00148,19507.659372779064,1
M00151,22688.780923207247,1
M00152,8510.163018585712,3
M00154,6660.922513905913,2
M00158,8556.942108367783,3
M00160,10543.010337916874,3
M00165,6467.904880018363,3
M00171,26002.50254255887,3
M00307,17672.419240085906,1
M00308,248153.90551503477,1
M00338,216087.33959012834,1
M00346,17100.17695851402,2
M00366,22471.401155509997,1
M00367,21678.763562206204,1
M00368,231148.93864962689,3
M00415,135469.5748244371,2
M00532,10297.717801135315,3
M00549,217989.23150207175,1
M00552,247073.29559940434,1
M00570,154071.6271267998,4
M00609,232114.87439326104,3
M00621,19192.105497759574,1
M00740,20324.813438341607,1
M00793,111062.98231153026,5
M00842,70057.40497156105,1
M00843,78946.35875507467,1
M00844,201094.9448124983,1
M00845,214828.38953866472,1
M00846,20366.19961246361,1
M00849,20922.80989646642,1
M00854,193023.84186294512,1
M00868,17850.498360325753,1
M00872,4267.906404938717,4
M00873,16216.786704208063,1
M00880,5690.067616899864,2
M00911,22593.25241953175,2
M00912,14294.477167043447,2
M00917,13953.412566074323,3
M00926,20644.055294679667,1
M00936,297585.68915967847,1
M00938,12.358229835755422,16
M00953,234127.37747251187,3
M00958,13668.050659530692,2
M00959,13905.366329673612,2
M00970,14.455487906039323,17
M00972,19.082759717579385,17
