pathway_name,distance,n
M00001,0.06825817064563426,306
M00002,0.23589473301787603,140
M00003,0.06185456641124999,170
M00004,0.24104001416327278,81
M00005,0.5850019385205176,76
M00006,0.9540805962821938,28
M00007,0.3360858954632943,49
M00008,3.0638696351973667,14
M00009,0.15281189653529012,368
M00010,0.23981105878987877,145
M00011,0.15799589966447755,235
M00012,0.35980793770313785,135
M00013,0.11063727059835367,140
M00014,0.10379816310669047,293
M00015,0.15997550162045282,96
M00017,0.20897856422868477,79
M00019,0.25306468518663766,98
M00020,0.13137917812001806,69
M00027,0.20239216919708947,155
M00028,1.981302331749098,21
M00029,0.09533772428275,156
M00032,0.1435024947712293,247
M00034,0.21783053947812586,320
M00035,0.23882475294676234,257
M00036,0.14409083698293704,302
M00037,0.14694295979325367,208
M00038,0.0632783948825698,159
M00042,0.051361414105000856,158
M00043,0.23511751465113556,31
M00044,0.15274116548644462,145
M00045,0.34150172941259455,82
M00046,0.17600588122562863,56
M00047,0.1835532030378723,359
M00048,0.13010711986693624,163
M00049,0.13665409078717486,311
M00050,0.22697716768843174,294
M00051,0.2236839181692078,104
M00052,0.05965125252592976,235
M00053,0.08773818924512478,416
M00055,0.12262218077356594,193
M00056,0.07818060810751552,415
M00057,0.08123458498366999,120
M00058,0.1490827775262112,127
M00059,0.06680704125143595,301
M00065,0.25924273291295574,165
M00066,0.22693036812325923,96
M00067,0.4347127717301012,55
M00068,0.3578856018236278,111
M00069,0.2122091371656903,137
M00070,0.3683669621279746,96
M00071,0.36520684870793796,74
M00072,0.09508163191799404,204
M00073,0.08518639188687498,150
M00074,0.23565224710471985,132
M00075,0.087721407539575,228
M00076,0.06332701530191026,159
M00077,0.0239559490172742,192
M00078,0.10752345106125642,201
M00079,0.08444172557701383,88
M00082,0.0717646816033955,171
M00083,0.11107778304481417,100
M00085,0.1474077290385855,159
M00086,0.1203841321382648,94
M00087,0.15523686714899881,177
M00088,0.08687691494530013,144
M00089,0.02231609343761976,424
M00090,0.12162792230740851,101
M00091,0.3578429755280754,55
M00092,0.08545319694228576,119
M00093,0.49672476179468433,66
M00094,0.07535966786135985,270
M00095,0.0936968436660818,183
M00096,1.2321566265498387,15
M00098,0.14848143254476978,505
M00099,0.09501440847160997,345
M00100,0.13779156717703817,117
M00101,0.11401306140459817,333
M00102,0.1380625383898624,288
M00103,0.21972891381571827,56
M00104,0.10658988263171484,267
M00106,0.2135495441643729,104
M00107,0.3599285523126389,60
M00108,0.18124979241474354,95
M00109,0.10385577762648658,161
M00110,0.05058329023609279,93
M00113,0.18693243300298287,81
M00114,0.22285065267868204,62
M00115,0.10217891899536663,175
M00118,0.37644084313592324,36
M00119,0.19848824006463384,98
M00120,0.17572647788518367,245
M00121,0.16671454924487178,168
M00122,0.21496898603775508,97
M00124,0.4310358942946919,40
M00126,0.23529809435649043,203
M00128,0.049411143858626945,123
M00129,0.13152937584884739,247
M00130,0.0673971509750256,382
M00131,0.02485250314185727,62
M00132,0.40172045509779536,68
M00133,0.391662943155608,65
M00134,0.49204243152976396,42
M00135,0.10835404552111927,93
M00140,0.1547720236267489,63
M00141,0.0995077026879408,102
M00143,0.13966874601749144,61
M00146,0.03729514406866673,188
M00147,0.18694994853316574,79
M00148,0.3074682811858433,78
M00151,0.22629507053994274,50
M00152,0.1426432199510593,149
M00154,0.07561461194005228,173
M00158,0.14666642746625513,201
M00160,0.1416527761193649,231
M00165,0.17241176810705305,138
M00168,0.2988040193957564,39
M00169,0.44261478886447747,64
M00170,0.19885923100786665,125
M00171,0.12526281322460586,194
M00172,0.2591131510282698,64
M00173,0.2752758423961094,89
M00307,0.015059554555087024,174
M00308,1.083517583232332,36
M00338,0.43942535045013603,42
M00344,0.24600804966255127,76
M00345,0.16193327853157588,57
