pathway_name,distance,n
M00001,0.12121900163427117,659
M00002,0.20587554515472,311
M00003,0.14964727188918267,383
M00004,0.29073304153722157,175
M00005,0.34395729073508446,158
M00006,1.3474650193571085,50
M00007,0.2405890725935581,112
M00008,0.4247196655647682,25
M00009,0.2075024708056246,830
M00010,0.3209867525305206,352
M00011,0.18960993808010196,494
M00012,0.46238805417335355,308
M00013,0.09473981403716697,258
M00014,0.11018051770005545,679
M00015,0.26494179488425745,198
M00017,0.31508831524357955,172
M00019,0.1717383549220366,242
M00020,0.22239912208033985,139
M00027,0.13888742583705738,324
M00028,1.026832132006314,37
M00029,0.08522024410395936,345
M00032,0.1312702633064154,563
M00034,0.17907692034214623,723
M00035,0.09366122359583048,629
M00036,0.16615251389829927,667
M00037,0.2645874794077491,423
M00038,0.14440608258173587,361
M00042,0.11341502571980681,313
M00043,0.7729469091664681,58
M00044,0.23959275616566966,312
M00045,0.1522270453201067,183
M00046,0.1487956463934502,138
M00047,0.18612711253561687,801
M00048,0.12794290733768043,395
M00049,0.10442144488987228,704
M00050,0.28979627081377574,683
M00051,0.1496430409957981,227
M00052,0.189430482695048,542
M00053,0.1053428898032026,939
M00055,0.06016172652961119,414
M00056,0.10014165247018125,922
M00057,0.03098748570863802,247
M00058,0.11345188009801808,249
M00059,0.0875075236196434,605
M00065,0.1260761890096078,375
M00066,0.1835808106578072,231
M00067,0.3312906417008382,122
M00068,0.24946809354133015,261
M00069,0.18425133136327168,318
M00070,0.2236308521285242,212
M00071,0.2656542493710535,165
M00072,0.16056372331724578,428
M00073,0.2439941136565207,358
M00074,0.2339412466151522,301
M00075,0.09748088597341946,497
M00076,0.10109483906033266,332
M00077,0.10007014769945653,407
M00078,0.15057426476730218,407
M00079,0.18905763790112332,205
M00082,0.0832196218838227,319
M00083,0.16066360704846858,196
M00085,0.2693856785744724,299
M00086,0.0961998524688422,208
M00087,0.15617800462530196,380
M00088,0.1993860919161436,267
M00089,0.11804972478352997,965
M00090,0.10673647658319543,235
M00091,0.41765607618275097,99
M00092,0.15112346993313316,249
M00093,0.31952709869036305,144
M00094,0.08350485128787531,596
M00095,0.11832549428131313,339
M00096,0.6138917871905704,35
M00098,0.09301581120606041,1154
M00099,0.09105341467554143,742
M00100,0.09230020828749042,268
M00101,0.1249546637639271,708
M00102,0.15589392054781512,584
M00103,0.11578781898256069,123
M00104,0.09142146208202621,526
M00106,0.31288931254429514,207
M00107,0.1921619984190652,143
M00108,0.13030381850427106,225
M00109,0.06792536153294816,341
M00110,0.14924339684192472,173
M00113,0.3058264563197947,161
M00114,0.19952503007358274,154
M00115,0.1623207922262201,379
M00118,0.7236291378587875,105
M00119,0.17381867879677343,242
M00120,0.15084512728310195,583
M00121,0.13991806790333067,353
M00122,0.23819860685978284,220
M00124,0.21499492830772737,89
M00126,0.31198827918806565,421
M00128,0.04714361761798109,247
M00129,0.10650077651722611,546
M00130,0.06779106159529535,760
M00131,0.10250931785964758,136
M00132,0.2393587378808729,178
M00133,0.3828128358114651,126
M00134,0.16321385869529864,89
M00135,0.1906810409768057,202
M00140,0.2967065712727448,116
M00141,0.1197363650846642,198
M00143,0.0911726576131432,126
M00146,0.031674897573282235,377
M00147,0.22412978075333448,143
M00148,0.5370969479072609,167
M00151,0.40920010079091923,93
M00152,0.15695717447253135,330
M00154,0.15181627382300159,367
M00158,0.17776968624084796,448
M00160,0.15973183227888413,498
M00165,0.11253898046796597,323
M00168,0.3114220979094827,70
M00169,0.20520485401810998,132
M00170,0.2270431856284828,251
M00171,0.1248462824625581,403
M00172,0.21355368030973995,132
M00173,0.1883761102545622,196
M00307,0.13378195974966303,369
M00308,0.15915710010424206,108
M00338,0.3780137279920409,102
M00344,0.4175429491862109,138
M00345,0.11818558061408643,115
M00346,0.17249356514049877,257
M00357,0.2571012827041148,86
M00364,0.8856576512984823,35
M00365,0.3231372197546128,35
M00366,0.35956809161688236,132
M00367,0.26210310477638876,154
M00368,0.30027321302858884,259
M00373,0.16697185276319004,270
M00374,0.2946954481094763,107
M00375,0.1636923434353191,153
M00376,0.22962330258287203,143
M00415,0.054728551058433904,562
M00532,0.1352634373296385,407
M00546,0.37174973901391783,104
M00549,0.12001485290104574,436
M00552,0.1538631955647921,108
M00554,0.21246922593224982,150
M00555,0.5830265365956006,41
M00565,0.6386090681740528,31
M00570,0.2548454315930055,358
M00572,0.19395064768024808,190
M00580,142.8401448921139,15
M00609,0.29523148583533376,259
M00621,0.22125092845675723,194
M00632,0.2495589585173635,222
M00740,0.12510471494213488,188
M00741,0.3184746010332767,177
M00761,22.792471816440887,19
M00793,0.2707361129583886,228
M00840,0.9332383958989574,123
M00841,0.7855896367568399,59
M00842,0.13999905522887546,128
M00843,0.3295258112239628,120
M00844,0.12824870096526014,253
M00845,0.3192837679215961,177
