pathway_name,distance,n
M00001,0.19236983997820126,457
M00002,0.3821088838812424,220
M00003,0.1103283517579546,266
M00004,0.21610243502090307,131
M00005,0.4318857203073332,109
M00006,0.6316024543067551,51
M00007,0.30204948062800857,72
M00008,0.5609193923798008,43
M00009,1.3113511918109835,2027
M00010,1.8462692302441563,1753
M00011,0.14783498987027938,288
M00012,0.4998018954583295,177
M00013,0.23933210864719953,282
M00014,0.10038850699664813,597
M00015,0.220557145973987,107
M00017,0.47918477566854345,120
M00019,0.4955871898162933,93
M00020,0.3938278443831529,84
M00027,0.08287302433480669,214
M00028,17.69897536803594,27
M00029,0.28276414779584985,199
M00032,0.17301139227198228,318
M00034,0.15510561684283203,486
M00035,0.24338936386391938,392
M00036,0.20630735801018818,341
M00037,0.32151135450968593,336
M00038,0.2909738994176873,194
M00042,0.10246965114801979,215
M00043,1.903778565116712,51
M00044,0.2098981303031559,188
M00045,0.5486904155156979,114
M00046,0.7852993065840391,40
M00047,0.6255398607158222,1589
M00048,0.1431215432923279,183
M00049,0.029853696831993678,492
M00050,0.24725153412139916,473
M00051,0.3440776317404192,112
M00052,0.06565595723879969,366
M00053,0.5051735211762326,1718
M00055,0.059103957158664025,256
M00056,0.020916794484282786,567
M00057,0.3069625145518462,201
M00058,0.19234701709741264,150
M00059,0.1962882574905237,375
M00065,0.19404893473116466,269
M00066,0.08887307464067615,132
M00067,0.5706447324168172,61
M00068,0.22656593805128936,186
M00069,0.15594665623662632,216
M00070,0.15119548715206005,152
M00071,0.2588068992733668,96
M00072,0.2581886439260845,246
M00073,0.1535900514711904,217
M00074,0.18110289905393862,185
M00075,0.09921146389225896,324
M00076,0.6019556062394699,140
M00077,0.3437331746594461,192
M00078,0.09370448899058517,236
M00079,0.5183281301486894,134
M00082,0.07132740043350418,198
M00083,0.4496638841010328,114
M00085,0.24383189312230816,163
M00086,0.36500601005814737,104
M00087,0.1051473478872225,256
M00088,0.0805481433182679,215
M00089,0.06076956820549179,541
M00090,0.2063012423817742,133
M00091,0.6912422402825135,78
M00092,0.33279742131776346,157
M00093,0.30605698278190496,57
M00094,0.13671426523444338,374
M00095,0.20137194055331853,239
M00096,0.9116849351726458,37
M00098,0.15989196135275166,764
M00099,0.049831146528268644,467
M00100,0.25147002700893056,164
M00101,0.08587729294126634,437
M00102,0.12796467180976032,340
M00103,0.2541657253464286,109
M00104,0.160784052451055,343
M00106,0.8588163985052691,96
M00107,0.5499086328868771,110
M00108,0.17787061598793125,165
M00109,0.11587009779967136,260
M00110,0.2911199489069466,129
M00113,0.3533968608099979,108
M00114,0.6806258942433012,70
M00115,0.1641459330831065,207
M00118,0.3198509638275676,68
M00119,0.47542181829723684,93
M00120,0.128347095247671,263
M00121,0.2085756854081019,234
M00122,0.7294427155529903,160
M00124,0.4724971663745255,41
M00126,0.3855464358253694,296
M00128,0.0709900727778626,141
M00129,0.10080721068313377,482
M00130,0.06842500194093507,526
M00131,1.3248216504593264,78
M00132,0.40394672481017535,107
M00133,1.6855845542015413,99
M00134,0.25634317423252817,39
M00135,0.19695145547430698,149
M00140,0.31816356115774597,87
M00141,0.3708840590139517,119
M00143,1.578559272639999,40
M00146,0.14270895394702057,259
M00147,0.4217555839183485,106
M00148,0.47485967009158486,96
M00151,0.0899097750884268,90
M00152,0.09565410112935377,250
M00154,0.16313816783087476,183
M00158,0.20456562999416916,290
M00160,0.14675876327031395,270
M00165,0.1415707996883489,215
M00168,54.14368564188939,23
M00169,0.7305215418083455,80
M00170,0.28522666022205084,127
M00171,0.40966418619913986,263
M00172,0.6125626342227843,80
M00173,2.4300812132651575,1658
M00307,0.3354547457602157,256
M00308,0.5661913316006781,70
M00338,0.8028676937623737,70
M00344,0.0931759870319994,112
M00345,0.6237080679591019,88
M00346,0.2326108362780854,173
M00357,0.8154773095263529,70
M00364,0.9255858118230812,37
M00365,0.9480114483110436,37
M00366,0.5156126191220377,70
M00367,0.5097547571624345,83
M00368,0.6089519696147294,176
M00373,0.11081953492513334,182
M00374,0.3689181600126652,84
M00375,0.2526359019415256,126
M00376,0.31008311694943,109
M00415,0.0933531754311749,318
M00532,0.11981897497635427,277
M00546,0.34723280643794785,81
M00549,0.2553339386992023,279
M00552,0.5827720341721766,70
M00554,0.35307896499089475,55
M00555,4.77721456326416,25
M00565,18088.707055533858,2
M00570,0.31666859317007295,168
M00572,0.39393952711920466,114
M00580,11339.646268370261,11
M00609,0.6070128621211512,176
M00621,0.15706943730173634,128
M00632,0.13441942252708713,87
M00740,2.3551353869449376,1671
M00741,1.5859613853060215,119
M00761,13162.825116124332,5
M00793,1.7063635777140274,105
M00840,1.7443461562341607,77
M00841,16.063862630903095,28
M00842,0.6600104020206785,61
M00843,0.7411856617194802,55
M00844,0.4680031303464405,132
M00845,0.65331538492431,100
M00846,0.6769617416183156,73
M00849,0.09631066748616525,225
M00854,0.17554268420014602,157
M00855,0.49851834726267535,136
M00861,0.3927222681645334,154
M00862,0.7143902674154635,70
M00868,0.09659965426310216,224
M00872,0.15448852611573496,405
M00873,0.12067258646765622,281
M00874,0.07048543108988095,332
M00880,0.5087905498627824,114
M00881,9.041418642128392,20
M00882,0.2457442129943477,41
M00883,0.2681184384976491,42
M00884,78.24931170981606,20
M00885,0.42806285875859124,67
M00886,0.2753994320639381,67
M00892,0.274226542718822,282
M00897,0.8953632081952837,18
M00898,0.9009968295270042,18
M00909,0.4821687633169295,242
M00911,0.630900934286817,67
M00912,0.22384420139211889,293
M00913,1.9188873427118656,37
M00917,0.17113456003341868,297
M00926,0.09516264049541731,126
M00936,3.2620196699467843,31
M00938,0.43816720646256524,1721
M00953,0.60316177388307,176
M00955,0.2994640416048065,180
M00957,0.0909761153660197,141
