pathway_name,distance,n
M00001,0.056482561161516946,318
M00002,0.09239239022794739,143
M00003,0.06695046801509243,196
M00004,0.07415004456966562,96
M00005,0.7353781622222089,96
M00006,0.4162752550095993,40
M00007,0.1938199955013857,51
M00008,4.3386685796960816,23
M00009,0.311771948286987,386
M00010,0.3578963767846717,152
M00011,0.2904810709729074,249
M00012,0.5454395601502076,161
M00013,0.09567619687304944,127
M00014,0.08839569854799623,289
M00015,0.13931095839504096,126
M00017,0.27884864962509864,78
M00019,0.2865569597429445,112
M00020,0.1838137422335122,98
M00027,0.1621091350636759,139
M00028,0.46165666380241194,39
M00029,0.11267058726181353,189
M00032,0.20043412903131158,268
M00034,0.22180218176612979,371
M00035,0.1354530371041686,294
M00036,0.24078613505970115,304
M00037,0.15527294176334364,217
M00038,0.18568795158018075,191
M00042,0.1116059798116938,158
M00043,0.8329479656770471,31
M00044,0.10981651806914418,166
M00045,0.2041487883317512,88
M00046,0.3047418514982187,49
M00047,0.1672815861498137,366
M00048,0.2160343635630185,176
M00049,0.17665253895415187,317
M00050,0.24987778653859127,326
M00051,0.24250061602238565,110
M00052,0.2072029823701188,241
M00053,0.12072322764825676,464
M00055,0.007988181939056309,162
M00056,0.01732165256288344,386
M00057,0.050293296859880675,140
M00058,0.027192495417385436,136
M00059,0.1479477919990436,296
M00065,0.05765912249241874,192
M00066,0.020851336057260375,92
M00067,0.23733515894099583,51
M00068,0.1701353200882001,112
M00069,0.04118252167283282,174
M00070,0.144553431739734,84
M00071,0.04000218565822668,58
M00072,0.24751042180007943,227
M00073,0.11620394335026912,174
M00074,0.17938997718436686,147
M00075,0.08445174483100135,231
M00076,0.04380242241832732,180
M00077,0.07665019139272304,201
M00078,0.06765211694144802,217
M00079,0.3822038297333678,94
M00082,0.06177821913539,168
M00083,0.145534169647814,123
M00085,0.15479219517520884,158
M00086,0.1966847002063134,89
M00087,0.08393796611692962,179
M00088,0.17617652095520636,136
M00089,0.09380163882764139,473
M00090,0.18915882610239595,95
M00091,0.26453237600096174,39
M00092,0.08316388951276883,113
M00093,0.2217071860420741,78
M00094,0.06974198525839008,272
M00095,0.0866159451544683,145
M00096,6.75942862920418,18
M00098,0.07716981313288741,545
M00099,0.03469212231490234,325
M00100,0.0901239495738814,151
M00101,0.058573727708544174,350
M00102,0.12425920565279057,291
M00103,0.3517946674598989,62
M00104,0.08003575660316202,260
M00106,0.17318936536996826,93
M00107,0.48920585879869305,90
M00108,0.24639552963921282,120
M00109,0.1412617557615614,175
M00110,0.20072909479463974,107
M00113,0.1697874490024752,69
M00114,0.29540095717731085,60
M00115,0.13791886719586946,194
M00118,0.28512011769316975,44
M00119,0.287241897656149,112
M00120,0.07696040063255002,260
M00121,0.16805218359643564,199
M00122,0.48473681318863754,63
M00124,0.17571297731888225,42
M00126,0.26776571503683283,207
M00128,0.17244324397274846,121
M00129,0.10378701381989854,236
M00130,0.029655698266581498,422
M00131,0.5959200419144002,82
M00132,0.28973501160007564,87
M00133,0.2491318338914005,83
M00134,0.5155237748157514,60
M00135,0.14315499604215864,81
M00140,0.13413256311136654,43
M00141,0.1598382016573222,73
M00142,0.25993430059817374,38
M00143,0.30034193542981485,95
M00146,0.19339610423164777,180
M00147,0.15745181944440523,78
M00148,0.6224813545479676,82
M00151,0.20905249489936456,69
M00152,0.17122732190625506,165
M00154,0.07594648073948997,239
M00158,0.03284453993602212,211
M00160,0.04944289931742851,232
M00165,0.12583971664596857,148
M00168,0.6946221181809519,53
M00169,0.4926692268992525,58
M00170,0.1646530530690419,116
M00171,0.22252349315765374,203
M00172,0.4862587931697659,58
M00173,0.3503361198994231,107
M00307,0.09389194872289357,185
M00308,0.6964977721247205,38
M00338,0.42028424706373624,45
M00344,0.17584879592658803,66
M00345,0.5448182930646828,52
M00346,0.2592419559468609,103
M00357,0.16130727275149498,58
M00364,6.747264163119182,18
M00365,6.914598199017922,18
M00366,0.6377628778112652,88
M00367,0.4033005354646535,107
M00368,0.49275932245422993,124
M00373,0.22697622973782577,128
M00374,0.2519013882404974,49
M00375,0.1554238024956441,60
M00376,0.11516724268056773,88
M00415,0.051442392531224936,277
M00532,0.09354595727061002,193
M00546,0.13345477382530294,80
M00549,0.1729585203013009,205
M00552,0.5928293884790105,38
M00554,0.23931491092653773,57
M00555,0.6906568471424316,20
M00565,7.9641243992849455,11
M00570,0.27064929919896547,170
M00572,0.15680067685080248,119
M00580,5180.689814902324,4
M00609,0.48133036776198235,124
M00621,0.26651094671071346,96
M00632,0.13034169970158238,108
M00740,0.20946051970935606,84
M00741,0.27603354684139486,95
M00761,0.9563573715584902,15
M00793,0.2867392090456684,125
M00840,5.537847663768066,50
M00841,2.547534324972854,25
M00842,0.3105660673951371,76
M00843,0.4532654039936397,66
M00844,0.18952879948827686,147
M00845,0.31719347271619625,127
M00846,0.52430779205845,49
M00849,0.10340739622432024,143
M00854,0.17417780418191947,134
M00855,0.23099531416975774,113
M00861,0.06326756982558009,125
M00862,0.08318467681552233,79
M00868,0.16077053850321313,190
M00872,0.025674002305457678,314
M00873,0.14743250090388574,199
M00874,0.07988045891448564,241
M00880,0.401211613586369,101
M00881,1.0637865428976905,17
M00882,0.39767244695009824,35
M00883,0.21824553668613964,37
M00884,1.0405383093721767,17
M00885,0.240089650918877,100
M00886,0.2403557036637562,100
M00892,0.25720882542234363,196
M00897,1.4331228297984961,17
M00898,1.7184062821206498,17
M00909,0.43879975050250203,161
M00911,0.2433360679384078,56
M00912,0.06812437837504287,259
M00913,0.8129672273570903,33
M00917,0.13165959999398247,166
M00926,0.15590849694171124,119
M00936,1.624028650202462,50
M00938,0.10860372331157105,472
M00953,0.48262124005996937,124
M00955,0.1864258248503846,117
M00957,0.13884390196753177,116
M00958,0.0780591229264072,303
M00959,0.2764492706695916,214
M00968,339.84890081681607,9
M00970,0.3859773995084807,277
M00972,0.22189086307046563,366
M00974,0.1760445288941384,152
M00975,0.09827989017401309,57
M00976,0.03649763729941227,192
M00977,0.06861796454220284,193
M00978,0.22511296848071344,154
M00981,1.0892766645373675,50
M00982,1.5427503423838083,54
