pathway_name,distance,n
M00001,0.2957690448978444,160
M00002,1.2319234935835703,68
M00003,0.5852785560789491,70
M00004,0.49680465061282003,35
M00005,1.6738733353936535,57
M00006,310.13334542801346,7
M00007,2.989038621815407,18
M00008,12885.482309369852,5
M00009,0.29973351656759467,201
M00010,1.635711407487787,72
M00011,0.2055976928240329,136
M00012,0.8879711586574524,76
M00013,0.19384871401406512,100
M00014,0.17972840877883078,158
M00015,5.537017876248396,46
M00017,0.4495693692627184,69
M00019,0.4651072736468825,58
M00020,0.38571508371799773,43
M00027,0.19525279484927155,83
M00028,730.5012107436308,16
M00029,0.277908907345214,111
M00032,0.3785637583468378,149
M00034,0.3180324020544808,247
M00035,0.2368401893861037,180
M00036,0.219732344456838,174
M00037,0.4121871551512876,133
M00038,0.24105723825471154,110
M00042,0.29047038406497633,103
M00043,4.585706699335085,17
M00044,0.38986433775921603,97
M00045,0.32742015906041966,52
M00046,93.372366601374,23
M00047,0.36672310608721,406
M00048,0.4783908391627394,88
M00049,0.6575899399911553,206
M00050,0.5846588162150812,228
M00051,0.4731496825979111,67
M00052,0.7586556933267461,161
M00053,0.23583886589159528,477
M00055,0.5649921120107385,70
M00056,0.1850909307933159,237
M00057,0.26822471308054147,61
M00058,0.7743136229130929,90
M00059,0.3132793183621115,183
M00065,0.3258290379601334,117
M00066,0.5675477122195799,48
M00067,1.9437955828586986,30
M00068,1.47984499183056,78
M00069,0.14922835666675185,108
M00070,1.7270972857828224,42
M00071,0.3046855099277041,36
M00072,0.5295787465310399,140
M00073,0.3156515691086108,104
M00074,0.2569884359378771,95
M00075,0.1356797301477283,180
M00076,0.24440289672387175,99
M00077,0.4555465945005205,122
M00078,0.30036315216110493,123
M00079,3.8592139641994576,72
M00082,0.39380204973487476,100
M00083,0.4197117555406291,72
M00085,0.23642873267788173,77
M00086,0.8209890574216242,40
M00087,0.2794974517453066,99
M00088,0.24947772773269253,78
M00089,0.14557780747885873,284
M00090,0.8125587715866921,50
M00091,2.180077921752601,31
M00092,0.563143484423948,46
M00093,2.671595135494256,33
M00094,0.17058001387548205,166
M00095,0.08773831225852861,67
M00096,24070.59611637703,5
M00098,0.07071828039994506,325
M00099,0.2259089750383842,207
M00100,0.6599375001384409,83
M00101,0.2478568717647859,182
M00102,0.4890705103391997,153
M00103,1.6589399717646476,25
M00104,0.18681089633748532,128
M00106,0.5912191058751015,33
M00107,1.2387901083754758,64
M00108,0.9695280308759268,66
M00109,0.28590320566708827,100
M00110,1.149305467974227,44
M00113,0.7451274422626387,40
M00114,0.9568052700408268,26
M00115,0.27042794651155816,117
M00118,234.06597310804165,18
M00119,0.6717251892041126,58
M00120,0.1373738713517426,129
M00121,0.5331947400155159,102
M00122,0.3401602026629875,68
M00124,0.5052096782822396,31
M00126,0.6767077208364944,109
M00128,0.5594120344486834,73
M00129,0.18383083407360842,142
M00130,0.257467469650962,238
M00131,6.120939190299783,60
M00132,1.5456865279188452,45
M00133,0.49227574705941735,47
M00134,70.31705141425266,16
M00135,0.3275402259788857,47
M00140,0.661475045066673,36
M00141,0.5170700159719553,56
M00142,0.5879966645660286,29
M00143,1.049816408839696,35
M00146,0.07857509293031599,91
M00147,1.5866144668060445,49
M00148,0.7349161798591894,54
M00151,1.0414041877016502,35
M00152,0.2824196144961963,75
M00154,0.20732337886607352,166
M00158,0.30765183367434873,141
M00160,0.16325904494660962,106
M00165,0.45159469539131425,59
M00168,0.6477005478909656,23
M00169,2.264676216974217,26
M00170,0.5297761255851998,46
M00171,0.3317119748570758,95
M00172,2.2126541707939666,26
M00173,1.2659924578343464,32
M00307,0.2634419371361405,124
M00308,23.25654321855248,17
M00338,1.0842405300176614,27
M00344,4.98147225646412,17
M00345,1.7988859599665596,13
M00346,0.4076056383336349,73
M00357,0.6296778049002785,34
M00364,23955.51870400792,5
M00365,24406.103165465804,5
M00366,1.3345224275628131,44
M00367,2.0960777291616832,51
M00368,0.6430280762089202,89
M00373,0.1456787209498763,62
M00374,1.1430542857622794,28
M00375,0.4748493547535901,42
M00376,0.39100237686350714,38
M00415,0.053587914724527855,147
M00532,0.32057930489645703,104
M00546,0.22377665788579928,42
M00549,0.14848762199521123,102
M00552,22.992383488516797,17
M00554,1.0414030843499589,35
M00555,189325.17663586183,4
M00565,16434.369651555462,13
M00570,0.37558194224242686,94
M00572,0.35375747155279713,69
M00580,45775.24034778232,3
M00609,0.7710166184598155,89
M00621,0.24028951006382904,58
M00632,0.6771891673767612,55
M00740,0.46327777822529753,42
M00741,0.3006459679589255,41
M00761,16596.050353952003,4
M00793,0.9032226124398025,74
M00840,1255.8235662785187,32
M00841,22995.000055978555,9
M00842,4.578077377610102,28
M00843,3.9765697399338205,26
M00844,0.4132613305121006,77
M00845,0.40888953625643226,63
M00846,0.9081386933594711,24
M00849,0.2050889213128056,67
M00854,0.35596948334026596,83
M00855,1.087950663001705,83
M00861,0.24268073857100886,70
M00862,1.5264586866088947,41
M00868,0.34658478890678907,107
M00872,0.2732176448727563,166
M00873,0.23514636732996183,132
M00874,0.26538162069242266,159
M00880,1.132378403749497,70
M00881,179.8575804589875,11
M00882,6.031071121442588,25
M00883,6.006592332051449,25
M00884,182.8327022947012,11
M00885,0.38421997195983487,46
M00886,0.3888110042917933,46
M00892,0.103764834924765,85
M00897,47535.33139837811,6
M00898,46802.817558401206,6
M00909,0.19810914010726577,79
M00911,4.494557796121122,33
M00912,0.2752007283613215,159
M00913,18.64124023314696,14
M00917,0.38711441536995356,76
M00926,0.5891552284990127,44
M00936,5.1380652129027595,18
M00938,0.21923228822276924,483
M00953,0.8223619458481056,89
M00955,0.6463026288621349,82
M00957,0.12701239382715435,59
M00958,0.29633564162424175,146
M00959,0.35197224066631955,129
M00968,18668.962303796452,5
M00970,0.9609841591443569,334
M00972,0.6011466352885548,370
M00974,0.31448121503975435,102
M00975,0.5268429397003225,42
M00976,0.16679973857449198,111
M00977,0.256279373363504,111
M00978,0.44968909140692215,83
M00981,5.208652444584523,18
M00982,1009.5837356098565,12
M00983,0.9209634235670836,108
M00987,470.8373118239663,50
M00988,4.021836815280911,26
M00991,0.9838311464447405,35
M00992,1.2716100521440834,35
M00994,3017.8797845029026,43
M00995,0.2786505481484807,65
M00997,13.211330866195695,15
M00999,16724.339247047996,4
M01000,1.7377696974767893,26
M01001,1.1674269995597732,41
M01002,0.26886097957115684,65
M01003,2.84381658720375,19
M01004,26.634961062139645,15
M01006,1.9294166286773022,24
M01015,0.4676267900064695,73
M01016,11.02943556847023,18
M01017,19090.972081294425,4
M01018,19173.41847530618,4
M01019,18084.195385354786,4
M01020,18634.530563436685,4
M01022,0.9126493598987149,74
M01023,0.9328972063646859,74
M01024,0.9113315134646013,74
M01025,0.9070943808756954,74
M01026,0.8901196111695157,74
M01027,0.9094159596565365,74
M01034,18525.57969537817,4
hsa00010,0.04843856262088855,433
hsa00020,0.2018454166737958,280
hsa00030,0.2003729928093681,146
hsa00040,0.1544791405048233,260
hsa00051,0.15376065132244043,584
hsa00052,0.14712627985172866,301
hsa00053,0.2393084795910847,205
hsa00061,0.26610204053489067,211
hsa00062,0.10687906880108437,276
hsa00071,0.08499925022259208,318
hsa00100,0.13950582907557826,271
hsa00120,0.14200875854765346,149
hsa00130,0.4340950001224288,167
hsa00140,0.12987848917228006,397
hsa00190,0.1612879775071123,552
hsa00220,0.09848027549790213,248
hsa00230,0.04569600270671075,1281
hsa00232,0.17189960037461788,70
hsa00240,0.05954033490965512,774
hsa00250,0.046314770800436784,452
hsa00260,0.16881866084512218,626
hsa00270,0.15040557234976396,502
hsa00280,0.1958346707272117,343
hsa00290,0.2829821124172295,94
hsa00310,0.05250020765103998,847
hsa00330,0.18392724927573958,650
hsa00340,0.08974009146600084,197
hsa00350,0.08571863135453647,353
hsa00360,0.1523868234508388,191
hsa00380,0.16933800716962988,380
hsa00400,0.14591257699344223,118
hsa00410,0.09907383154941996,331
hsa00430,0.19287698823678032,202
hsa00440,0.7385725939236766,56
hsa00450,0.218745594582278,274
hsa00470,0.5249716069212125,35
hsa00480,0.1407862017376216,711
hsa00500,0.10030691530944634,360
hsa00510,0.15382786842816257,472
hsa00511,0.24229629517812673,139
hsa00512,0.11916414156574451,320
hsa00513,0.1850807392706895,398
hsa00514,0.10686234233350296,381
hsa00515,0.15863719233477105,310
hsa00520,0.22211015413490676,299
hsa00524,0.5097496032970192,53
hsa00531,0.12997945193690225,192
hsa00532,0.1819108637697499,239
hsa00533,0.3137526554723636,149
hsa00534,0.14806492451288164,264
hsa00541,0.2042648708521647,250
hsa00561,0.05437483404415214,676
hsa00562,0.07499809844787722,801
hsa00563,0.17323399595945288,239
hsa00564,0.029398312439075376,714
hsa00565,0.14547866414809635,339
hsa00590,0.15329555730937672,774
hsa00591,0.23322300051671638,194
hsa00592,0.22776147583497763,171
hsa00600,0.14193877581001257,345
hsa00601,0.12964406858906546,162
hsa00603,0.32854453241757586,125
hsa00604,0.08957893389589373,204
hsa00620,0.06214806308305235,379
hsa00630,0.15938297422938635,237
hsa00640,0.09007293762120488,300
hsa00650,0.10790655680370187,210
hsa00670,0.1673771857226738,362
hsa00730,0.37432279415054304,215
hsa00740,0.12029359016188633,142
hsa00750,0.24096532210280103,58
hsa00760,0.03326404339909488,342
hsa00770,0.09678146298212706,304
hsa00780,0.5586342238927494,74
hsa00785,0.07067572659937402,221
hsa00790,0.3855252782288105,280
hsa00830,0.13707226597848898,457
hsa00860,0.12347646412770305,356
hsa00900,0.13251011920220548,175
hsa00910,0.28059234929439353,132
hsa00920,0.44120695276805455,111
hsa00970,0.17687544712847975,736
hsa00980,0.07200451304790055,362
hsa00982,0.05840137328425399,354
hsa00983,0.058281326015934644,776
hsa01040,0.04696201911567113,208
hsa01100,0.003998341556601696,7135
hsa01200,0.04688751454696377,720
hsa01210,0.24371725784947415,371
hsa01212,0.07012622445440524,488
hsa01230,0.1749778275434744,597
hsa01232,0.06127658998252773,877
hsa01240,0.1660058277932883,1086
hsa01250,0.25903976345646595,426
hsa01320,476.9681273885957,50
hsa01521,0.14083456600401306,804
hsa01522,0.05717078197976051,1431
