pathway_name,distance,n
M00001,0.2164710522783436,165
M00002,0.6051331234323251,77
M00003,0.2613472388437074,92
M00004,0.3629132158529383,46
M00005,0.6740120836616006,76
M00006,363.072423648714,15
M00007,0.5748977706929912,27
M00008,917.3798179485074,9
M00009,0.15033230203702183,304
M00010,0.38729369717595585,139
M00011,0.12410836818373491,174
M00012,0.22686331645677887,114
M00013,0.40877413982387245,88
M00014,0.04700114083179607,220
M00015,0.17120991737719096,96
M00017,2.0640233034520175,37
M00019,2.0468357589386406,51
M00020,0.9490747132355205,47
M00027,0.2673607955219861,110
M00028,19.214326815666865,18
M00029,0.10823754378687395,125
M00032,0.17674618273570172,196
M00034,0.16724127249499082,297
M00035,0.10896915912808508,189
M00036,0.12035286494994661,202
M00037,0.44313858927434147,140
M00038,0.6381823293625196,92
M00042,0.2589886883252704,108
M00043,0.781722372871316,43
M00044,0.3949330623016461,123
M00045,0.3469415510654826,45
M00046,0.962619589887357,34
M00047,0.6984240459077761,306
M00048,0.1428282232117091,144
M00049,0.11475326739536172,214
M00050,0.4009383559464697,232
M00051,0.6966179816496022,51
M00052,0.09557052775157907,182
M00053,0.292053165600853,390
M00055,0.09669248115836483,105
M00056,0.15173472461160478,301
M00057,0.32569237854235106,80
M00058,0.5663800220212301,98
M00059,0.07070252595536901,164
M00065,0.29413259785989865,131
M00066,0.9069227505062092,55
M00067,4.248955055894471,31
M00068,0.8801807065805222,88
M00069,0.6122290655855996,119
M00070,0.6389011842468967,47
M00071,1.898378274224912,28
M00072,0.10440185231042141,158
M00073,0.26443048325201546,143
M00074,0.6302917097207986,130
M00075,0.19589788206496517,200
M00076,0.16162013304391304,135
M00077,0.31135184735940197,137
M00078,0.20745524896160036,147
M00079,3.320140346319299,50
M00082,0.1635302471930082,132
M00083,0.11482706080240983,129
M00085,0.11591085645241886,135
M00086,0.30090734852949047,62
M00087,0.3774283496134426,120
M00088,0.18423470635659772,112
M00089,0.11578514025505808,352
M00090,0.4270511444694615,67
M00091,139.28220350111596,19
M00092,1.2993463599023518,62
M00093,1.2324489834837307,40
M00094,0.0731791057621745,207
M00095,0.0798861749406407,155
M00096,358.17530882601244,15
M00098,0.15221812579309332,412
M00099,0.1334574809035802,259
M00100,0.2698279396459435,95
M00101,0.15760438491413062,254
M00102,0.1140985931230972,192
M00103,0.4768162403207467,53
M00104,0.07152797340614311,211
M00106,1.144734154712717,78
M00107,0.8052064531581841,72
M00108,0.1493890864460828,112
M00109,0.20870374447943035,144
M00110,0.2821387194544497,73
M00113,6.294102152617472,34
M00114,2.1110973095269423,29
M00115,0.3864714684963339,129
M00118,4.912834622617955,27
M00119,2.0694798742244607,51
M00120,0.3123263673749794,145
M00121,0.28709573111282666,123
M00122,0.8817613560929712,64
M00124,29.74264032556835,18
M00126,0.322218107812318,118
M00128,0.9941649731211917,67
M00129,0.10342357115381329,172
M00130,0.12685756520146446,287
M00131,1.1085217764444093,60
M00132,0.3511027286980911,74
M00133,6.020489097148735,39
M00134,1.1674487105944926,37
M00135,0.31854934899757964,63
M00140,1.236137887419363,30
M00141,0.42113792439422887,52
M00142,0.20779268317206256,101
M00143,1.9892455405887037,46
M00146,0.10789224310454215,186
M00147,0.47946254470935684,63
M00148,0.9093577321290098,64
M00151,0.24395273739494222,78
M00152,0.1625603111184887,171
M00154,0.41464273482765585,174
M00158,0.1749021296276836,215
M00160,0.1364393069515253,158
M00165,0.2990647807074346,74
M00168,0.8192457543545403,25
M00169,1.3327872055637713,40
M00170,0.4936242281599743,58
M00171,0.24158802828461076,111
M00172,1.3559348799927358,40
M00173,0.33428060348765587,88
M00307,0.10520988444856826,143
M00308,6.532697960914128,22
M00338,2.2822137613570446,39
M00344,2.326355131544441,40
M00345,20.804366510248894,25
M00346,0.2044919877246654,61
M00357,1.9314812419430287,30
M00364,352.76953173451915,15
M00365,347.4197177899152,15
M00366,0.6523226367362422,72
M00367,0.8201815105383921,77
M00368,0.5575868581763982,84
M00373,0.3963935982782179,82
M00374,3.3306148523675234,37
M00375,0.9478558713116059,45
M00376,0.3710010719211651,50
M00415,0.24861904982929145,191
M00532,0.14477892492669203,137
M00546,0.5280481229462777,51
M00549,0.16875857381450862,131
M00552,7.718668073184535,22
M00554,0.8124090553946427,42
M00555,61.99481590106485,19
M00565,85272.84885965277,1
M00570,0.3831634082108746,89
M00572,0.11541866747191008,126
M00609,0.884873928012047,84
M00621,0.559868038046322,67
M00632,0.4162260211461596,63
M00740,0.2947400147665579,98
M00741,0.643341343887292,48
M00761,19193.836042351613,3
M00793,4.309836289973234,73
M00840,6.125407926677552,35
M00841,9486.207840792946,9
M00842,1.8914387534332764,38
M00843,6.40762367402536,36
M00844,0.3134242577192465,83
M00845,0.2907661137529499,76
M00846,0.9006440738492191,34
M00849,0.10316511744372915,137
M00854,0.2805460007935581,92
M00855,1.0334340933903288,69
M00861,0.3722170362373085,84
M00862,0.21264238370097327,67
M00868,0.22835528800647562,121
M00872,0.0537684332237999,208
M00873,0.08069861212025813,204
M00874,0.13146896195628668,209
M00880,0.4289246517308508,84
M00881,10386.06370094395,7
M00882,32.40881014314643,15
M00883,23.06052578287862,15
M00884,10428.822953374789,7
M00885,0.14598536747326737,93
M00886,0.14115520733419867,93
M00892,0.5066217023116366,99
M00897,194.47657505466125,14
M00898,194.20204213926377,14
M00909,0.547118430606262,84
M00911,0.6201052649566934,55
M00912,0.5717274659099341,159
M00913,15.563577874808324,16
M00917,0.14829210398746362,136
M00926,0.33319456927881,64
M00936,11.282829909183548,26
M00938,0.28038594557591007,393
M00953,0.8805330830342122,84
M00955,0.20208481288315275,84
M00957,0.44246427505574876,66
M00958,0.1943140851808072,202
M00959,0.3307228935605359,159
M00968,10658.475920456736,5
M00970,0.5313725070598715,233
M00972,0.29249159232351374,315
M00974,0.3000269371664973,91
M00975,0.622436830817824,42
M00976,0.08949394875062996,134
M00977,0.057920529834669346,135
M00978,0.23188878349006595,86
M00981,11.214264596278511,26
M00982,1.8173067777755387,30
M00983,0.7807900017582269,86
M00987,7617.098386722166,36
M00988,2.0023249158440897,36
M00991,2.700126656404838,31
M00992,1.826244954523808,31
M00994,45821.83924183008,30
M00995,0.7907246108929942,69
M00997,6.2907953805842665,22
M00999,18694.618596418833,3
M01000,7.758750011323038,29
M01001,0.7551976940034831,42
M01002,0.8139986532557186,69
M01003,1.187351082030918,38
M01004,15463.116945555397,4
M01006,8.184797348219032,17
M01015,0.14292679064333716,98
M01016,302.11004570524983,16
M01022,0.7463140464398625,73
M01023,0.775168709931352,73
M01024,0.7754584109711926,73
M01025,4.222769925076919,73
M01026,0.80024565884624,73
M01027,0.7619692559102376,73
hsa00010,0.13185480272704736,490
hsa00020,0.14108772881336587,386
hsa00030,0.13677682370938385,190
hsa00040,0.09012450561945724,318
hsa00051,0.044754680279506145,581
hsa00052,0.18520876540787481,414
hsa00053,0.1116614168210559,217
hsa00061,0.05170532046633699,284
hsa00062,0.11959260381808308,379
hsa00071,0.1095170522981929,385
hsa00100,0.0749577867418367,384
hsa00120,0.11568675867507427,223
hsa00130,0.28778657448743394,203
hsa00140,0.04242801971329498,490
hsa00190,0.024401513900427652,942
hsa00220,0.13320994539467634,346
hsa00230,0.019127659997122078,1500
hsa00232,0.14694837250646361,120
hsa00240,0.05201075348322446,700
hsa00250,0.03972762159547346,516
hsa00260,0.1263037123883345,586
hsa00270,0.08882214264045153,564
hsa00280,0.05970417867011183,483
hsa00290,0.37417140663289683,89
hsa00310,0.07383574640567302,1024
hsa00330,0.07516437236087725,710
hsa00340,0.04931874062529584,216
hsa00350,0.08597255639781363,488
hsa00360,0.1791127354841188,248
hsa00380,0.08097390456830625,473
hsa00400,0.17797612351889266,133
hsa00410,0.14830882598041908,410
hsa00430,0.08235205633774588,256
hsa00440,0.2466585506807394,67
hsa00450,0.19911453270083423,271
hsa00470,0.38323836571973163,64
hsa00480,0.13545792468428455,730
hsa00500,0.07498666160650803,401
hsa00510,0.0497495149294723,607
hsa00511,0.06990537844040658,165
hsa00512,0.1015524141999979,366
hsa00513,0.1674147801641933,547
hsa00514,0.0752097669752506,479
hsa00515,0.059532708270912005,343
hsa00520,0.0921549148983564,354
hsa00524,0.20487974834473538,72
hsa00531,0.069372080739282,234
hsa00532,0.12362189454410022,290
hsa00533,0.12261761124242444,125
hsa00534,0.13245315417429462,262
hsa00541,0.2927069418188437,268
hsa00561,0.0957212189450526,856
hsa00562,0.025803407537843884,1018
hsa00563,0.13110162716008014,277
hsa00564,0.06382989529975543,924
hsa00565,0.04195450308566888,451
hsa00590,0.14929426199510573,807
hsa00591,0.09715158653933308,299
hsa00592,0.08466435304873028,248
hsa00600,0.023939648359412907,511
hsa00601,0.13806802771959698,179
hsa00603,0.28963697577133923,200
hsa00604,0.18724812476351727,245
hsa00620,0.0629489888407626,431
hsa00630,0.12585597155661948,306
hsa00640,0.07814140218555485,347
hsa00650,0.04608316782725335,295
hsa00670,0.11377828629674659,385
hsa00730,0.16784471948355636,281
hsa00740,0.16696110478517176,178
hsa00750,0.2500240735295058,71
hsa00760,0.09680598176859014,420
hsa00770,0.2287126560554384,330
hsa00780,0.13167721279308364,143
hsa00785,0.10655858205311979,226
hsa00790,0.17396848592683548,359
hsa00830,0.04626375145598835,619
hsa00860,0.13337548623018428,436
hsa00900,0.21774961755140793,306
hsa00910,0.11339771279171676,180
hsa00920,0.5589416421139931,131
hsa00970,0.30181014153004687,704
hsa00980,0.11526866377398717,495
hsa00982,0.09993706497760131,488
hsa00983,0.08661651287015251,805
hsa01040,0.12540470736027204,291
hsa01100,0.025173390711261935,9100
hsa01200,0.05384186406067074,898
hsa01210,0.10048790818919155,445
hsa01212,0.08125906551689605,641
hsa01230,0.13572007926638494,722
hsa01232,0.04451963335922946,887
hsa01240,0.0834391848990763,1284
hsa01250,0.2234756482655735,475
hsa01320,7917.027958465815,36
hsa01521,0.03157676258389347,1130
hsa01522,0.021505466256489927,1626
hsa01523,0.05588264043460967,575
hsa01524,0.05247628904800264,1027
hsa02010,0.10328957794062225,1025
hsa03008,0.03493026252437295,953
hsa03010,0.06840541293537476,675
hsa03013,0.018696294121646247,1149
hsa03015,0.039888073240642606,979
hsa03018,0.04327355312774056,841
hsa03020,0.09421819465638985,272
hsa03022,0.05083940682710491,448
hsa03030,0.08195423839469072,371
hsa03040,0.059020998235321746,1330
hsa03050,0.08123732348301006,434
hsa03060,0.1709401876057035,387
hsa03082,0.023879351733276415,1432
hsa03083,0.04572454018848798,1059
hsa03250,0.028200407019668184,1157
hsa03260,0.26856137041576833,128
hsa03264,0.1660630668870409,205
hsa03265,0.11356935281401637,292
hsa03266,0.09405175139956193,263
hsa03267,0.5717787129975056,110
hsa03271,1.0803058113864936,61
hsa03272,0.06228693756386469,540
hsa03273,0.19390637403292585,472
hsa03320,0.039803673499109064,892
hsa03410,0.05460844163702295,607
hsa03420,0.16328879917394204,527
hsa03430,0.07365636431759792,335
hsa03440,0.0784816398178496,596
hsa03450,0.17377680053373784,210
hsa03460,0.15778760793064894,812
hsa04010,0.011537141604765662,3474
hsa04012,0.024640235260010208,1065
hsa04014,0.019567433668411866,2245
hsa04015,0.057460846439273544,2838
hsa04020,0.030173872782013587,3443
hsa04022,0.04705163898806936,2015
hsa04024,0.019662626826190195,2575
hsa04060,0.02029761883367588,1826
hsa04061,0.031842651555047057,764
hsa04062,0.03587637995452588,1803
hsa04064,0.06936549699653692,1116
hsa04066,0.013322313508711454,1231
hsa04068,0.03780334862564995,1587
hsa04070,0.04305721463078456,1164
hsa04071,0.024461591191245833,1538
hsa04072,0.022383913925578362,1875
hsa04080,0.06406114138137124,2717
hsa04081,0.028019248975766284,2092
hsa04082,0.01882775106647243,2026
hsa04110,0.018860401534651877,1874
hsa04114,0.04727030462744158,1463
hsa04115,0.08775708804168679,1143
hsa04120,0.05576544657026159,1486
hsa04122,0.28629239676736973,116
hsa04130,0.18072530538394335,272
hsa04136,0.1892915503256635,405
hsa04137,0.025347518748828644,1389
hsa04140,0.010032407708644806,1958
hsa04141,0.03513152393764144,1496
hsa04142,0.023267986210205045,1394
hsa04144,0.03462965874599229,2291
hsa04145,0.04166356847031771,1384
hsa04146,0.04581095154000985,888
hsa04148,0.023539902903247537,2605
hsa04150,0.017024650208951903,1574
hsa04151,0.0049005212359783685,4019
hsa04152,0.02049799272042605,1481
hsa04210,0.02205738184635356,1750
hsa04211,0.020960474146135867,1432
hsa04213,0.07901507315886777,812
hsa04215,0.0904872680361419,535
hsa04216,0.12676944759526246,745
hsa04217,0.03262063952160145,1398
hsa04218,0.008592714723905132,2113
hsa04260,0.06188837465464436,1093
hsa04261,0.037483340776128055,1749
hsa04270,0.11870080296957533,1570
hsa04310,0.025199588699697864,2411
hsa04330,0.022880551694025312,1014
hsa04340,0.04385281729243328,961
hsa04350,0.023963807852830126,1272
hsa04360,0.027539192381962334,2370
hsa04370,0.04728833559081788,789
hsa04371,0.06546764986643515,1691
hsa04380,0.027360113445552333,1580
hsa04382,0.01315358140111889,2293
hsa04390,0.06871918480716391,2016
hsa04392,0.08583787717106664,553
hsa04510,0.018977250157610977,2948
hsa04512,0.015603881026514426,1772
hsa04514,0.029824319689258652,1681
hsa04520,0.06919500903156928,1735
hsa04530,0.09496042040854895,2050
hsa04540,0.08889208784973644,1232
hsa04550,0.09400882349942317,1970
hsa04610,0.026139686424123728,925
hsa04611,0.04361811639075225,1580
hsa04612,0.059053852154531454,636
hsa04613,0.01790440033768673,1491
hsa04614,0.05210219598453361,338
hsa04620,0.037939826303758466,1075
hsa04621,0.044326392312516526,2303
hsa04622,0.026072514931740228,782
hsa04623,0.09244375167999895,861
hsa04625,0.03828738632658844,1370
hsa04630,0.014485006852549765,1443
hsa04640,0.036173327792181936,1037
hsa04650,0.006878316775773771,1353
hsa04657,0.04348889166298873,1039
hsa04658,0.00899756944229332,1023
hsa04659,0.007069771804069868,1211
hsa04660,0.02902533641459126,1513
hsa04662,0.031541423535365994,1178
hsa04664,0.048703544128176034,818
hsa04666,0.03345483822206227,1185
hsa04668,0.02591201949922461,1380
hsa04670,0.053716595651951436,1512
hsa04672,0.05668626001219238,481
hsa04710,0.07411711562561217,527
hsa04713,0.03795693352888552,1477
hsa04714,0.05356384901621168,2193
hsa04720,0.06168142893872661,1007
hsa04721,0.05089036771496746,891
hsa04722,0.01432948191319477,1411
hsa04723,0.03299397469557482,1723
hsa04724,0.08352953507110976,1959
hsa04725,0.17239414251715074,1473
hsa04726,0.10761184797679803,1432
hsa04727,0.07906771733074856,1175
hsa04728,0.07853721504613942,1404
hsa04730,0.10776688488389544,1133
hsa04740,0.008014258301344918,2469
hsa04742,0.0110365624061665,1134
hsa04744,0.12401941876583533,355
hsa04750,0.07115058789244977,1251
hsa04810,0.014745393407722705,2493
hsa04814,0.007341579301186059,2623
hsa04820,0.010713442407125288,3958
hsa04910,0.044396506098260645,1487
hsa04911,0.08320319159860044,1510
hsa04912,0.037074079170175585,1252
hsa04913,0.05874270468041599,749
hsa04914,0.03508763458084371,1307
hsa04915,0.05647223116428131,1847
hsa04916,0.058358067141015976,1454
hsa04917,0.031281813003172364,875
hsa04918,0.04737001028127649,1482
hsa04919,0.058447969128323826,2256
hsa04920,0.021961504181298667,1030
hsa04921,0.03427168191160215,2087
hsa04922,0.03663510511704147,1208
hsa04923,0.044810525907300516,889
hsa04924,0.14433489961777732,1037
hsa04925,0.08836641717422442,1436
hsa04926,0.030400680920504918,1556
hsa04927,0.05035955069331006,1307
hsa04928,0.019760529153167984,1726
hsa04929,0.09112602608897,1118
hsa04930,0.01528202182162185,964
hsa04931,0.03450922994927848,1419
hsa04932,0.010977911260590658,1412
hsa04933,0.05923672945852843,1340
hsa04934,0.01396341724437665,2371
hsa04935,0.01791101845564252,1602
hsa04936,0.07282947615632483,1784
hsa04940,0.04144524307869178,426
hsa04950,0.06367615219696282,390
hsa04960,0.04358563866811822,586
hsa04961,0.0882749323406429,823
hsa04962,0.0959353553808859,597
hsa04964,0.14336783615804524,350
hsa04966,0.3904640191972743,267
hsa04970,0.06001723449469164,1545
hsa04971,0.06165473462989609,1082
hsa04972,0.07461544893013834,1528
hsa04973,0.15805818439255248,667
hsa04974,0.027860257747193667,1501
hsa04975,0.1388476652612811,811
hsa04976,0.048798543229662115,999
hsa04977,0.021810205376365823,716
hsa04978,0.08860749645320536,1118
hsa04979,0.048335773838901606,914
hsa04980,0.07449049867678523,462
hsa04981,0.05538171541900824,453
hsa05010,0.02485800414675855,3672
hsa05012,0.03273835419492422,2481
hsa05014,0.00631332525181771,3589
hsa05016,0.007039026187210609,3349
hsa05017,0.009374589627804568,1916
hsa05020,0.06777157772488507,2544
hsa05022,0.011897964393820255,4809
hsa05030,0.026378719847729774,705
hsa05031,0.14292929264839607,851
hsa05032,0.03328326508497863,1080
hsa05033,0.017029838587808918,734
hsa05034,0.098039688719235,1159
hsa05100,0.08443586244503826,1712
hsa05110,0.147424367454821,600
hsa05120,0.040370592058913246,944
hsa05130,0.0414556730080357,2177
hsa05131,0.024821518748860325,2777
hsa05132,0.041939711650977,2748
hsa05133,0.06418536764289186,781
hsa05134,0.08105461596812044,822
hsa05135,0.012686156265113772,1707
hsa05140,0.03308981025615173,869
hsa05142,0.025873759892987493,1114
hsa05143,0.0189262627463557,568
hsa05144,0.04821318027900095,816
hsa05145,0.10919380846419414,1234
hsa05146,0.03774673846673454,1433
hsa05150,0.029343138628724966,881
hsa05152,0.028438095585236717,1522
hsa05160,0.030340155583932115,1975
hsa05161,0.039952781411532814,2165
hsa05162,0.04563187775766968,1514
hsa05163,0.02567200512272951,3018
hsa05164,0.018758632868726713,1625
