pathway_name,distance,n
M00001,0.19342377031964392,180
M00002,0.22333207977972697,75
M00003,0.09210881092586445,103
M00004,0.14845918729740093,79
M00005,1.4231461089364728,82
M00006,3.851083699277527,25
M00007,0.437956476670118,46
M00008,4.005476608952077,20
M00009,0.5425737149325883,202
M00010,1.1211838275143273,84
M00011,0.2359673447237653,126
M00012,0.9737770654259706,93
M00013,0.7433526234320172,78
M00014,0.09493818866856979,176
M00015,0.8113623130790906,39
M00017,5.350014605314349,24
M00019,4.60460481520491,46
M00020,23.72351465997318,26
M00027,1.6280381301311184,68
M00028,115.49261109185251,17
M00029,0.5951157550584419,69
M00032,0.18260679511818767,158
M00034,0.27694795501298813,237
M00035,0.23445190435816457,223
M00036,0.3200510891008154,153
M00037,0.4104744072550945,90
M00038,0.39602418870240463,84
M00042,0.26592918106246477,127
M00043,275.18013708659765,16
M00044,0.3784018623579782,107
M00045,0.6785675890169262,34
M00046,3.0774456055725268,26
M00047,0.6791144037058698,837
M00048,0.4872902252101512,82
M00049,0.1913887209294263,232
M00050,0.40787151087102685,218
M00051,0.604963298334799,55
M00052,0.2147200636827037,191
M00053,0.28286806444112944,942
M00055,0.271582488369717,118
M00056,0.08945640863731871,187
M00057,0.9971720848322111,47
M00058,0.47783080261080485,73
M00059,0.2146972042111136,199
M00065,0.15743348255892636,149
M00066,0.8671128587510036,52
M00067,595.0386429413093,17
M00068,0.4611628113392657,101
M00069,0.2632802796536457,140
M00070,1.228642888745749,60
M00071,1.1078488641024504,26
M00072,0.3670005788995829,128
M00073,0.31323828381562874,128
M00074,0.3229891763859979,109
M00075,0.21380128512258,175
M00076,0.07957545718142393,125
M00077,0.05851995739481794,138
M00078,0.1959705424845925,130
M00079,0.275212674363836,102
M00082,0.3097135080785114,67
M00083,0.45767591339679947,70
M00085,3.0449395605608562,57
M00086,4.6691693837838395,47
M00087,0.3878992280085669,95
M00088,0.4712041328943394,76
M00089,0.1416593304442816,301
M00090,2.013551968001431,33
M00091,30.587970617384453,21
M00092,1.6015081251189092,56
M00093,66.12978110318214,21
M00094,0.2923193275005868,159
M00095,0.2887819204944099,100
M00096,6.143394364484156,21
M00098,0.09485118489706174,354
M00099,0.196222464617435,191
M00100,0.14020926954207993,109
M00101,0.11707076144286427,169
M00102,0.08558313294346004,136
M00103,14.680583244180143,24
M00104,0.14864716849558723,139
M00106,0.959170112770755,48
M00107,0.21154246602545781,85
M00108,0.14388485655040387,75
M00109,0.18411680275063394,93
M00110,0.28619863246106375,45
M00113,30.502908868173325,22
M00114,8.835541609075458,23
M00115,0.28733380778864587,131
M00118,1.0852060778288324,45
M00119,4.667828796270222,46
M00120,0.23221215717224586,137
M00121,0.1584397093951584,112
M00122,3.1625840422943607,47
M00124,18.740733436872123,21
M00126,0.5362413574773064,102
M00128,0.8488150180913763,48
M00129,0.17534880842528933,165
M00130,0.047086495497455805,265
M00131,0.2734864415838712,71
M00132,0.2524666449522656,100
M00133,4.074365931841439,35
M00134,19.45407031354447,26
M00135,0.7151106578740475,53
M00140,24.974662008376974,35
M00141,0.5538538024591396,75
M00143,11.808285856609862,29
M00146,0.1749911365548168,91
M00147,5.621444997974704,63
M00148,0.582290474849334,37
M00151,131.4878340710946,31
M00152,0.37325499523974065,69
M00154,0.487353741641228,123
M00158,0.48798177053856495,158
M00160,0.4114196338264541,123
M00165,0.1606193048465253,104
M00168,5.39350178548829,25
M00169,2.4772867810280323,43
M00170,3.3578159995731114,53
M00171,0.40969801107350867,81
M00172,0.9506258908041616,43
M00173,1.2141622738145317,47
M00307,0.41203525263079965,114
M00308,2.8240031096811897,31
M00338,3.314236196368597,26
M00344,3.6141293646612866,34
M00345,3.7204828979816806,34
M00346,0.47437581087872394,69
M00357,3.4730261519680994,28
M00364,6.354624592142492,21
M00365,6.439590637481219,21
M00366,0.34679706331305515,52
M00367,1.4000117612404195,52
M00368,0.5118569825261909,76
M00373,0.7389814306565442,65
M00374,1.0209576798775917,28
M00375,0.8664855688563715,42
M00376,5.604866535381827,36
M00415,0.04508718132217492,156
M00532,0.32783829354592076,130
M00546,2.8911060640220274,24
M00549,0.4668068492446919,113
M00552,2.7873028705584013,31
M00554,11.25623495554068,30
M00555,9601.068080602034,10
M00570,2.0346345354210893,72
M00572,0.3967220942242429,70
M00580,89413.83065081155,4
M00609,0.5282309137619995,76
M00621,3.3390025238502576,50
M00632,3.011954123467805,49
M00740,0.4755696856955868,45
M00741,0.7210174212647562,41
M00761,6076.774532161197,11
M00793,0.5961736479233428,77
M00840,5.093533240417967,25
M00841,24.639399258019967,15
M00842,1.651747969585191,38
M00843,1.6384057015938598,33
M00844,0.5389739569458357,49
M00845,0.7225059934364655,40
M00846,18.406506775643244,27
M00849,0.3457533805843929,98
M00854,4.879209124698854,66
M00855,0.42756554980951966,88
M00861,2.507102910843452,42
M00862,28.887863492668192,24
M00868,0.29749010668982256,125
M00872,0.18884908212301157,156
M00873,0.26363957096279345,137
M00874,0.21292342973098094,142
M00880,0.7577195760830331,85
M00881,9186.439633989477,13
M00882,99.30673226061941,17
M00883,94.34975754382306,18
M00884,9121.736811089815,13
M00885,5.741943583311459,30
M00886,1.8295967665586839,30
M00892,0.8043083811590773,93
M00897,698.44016388624,14
M00898,648.7852323612228,14
M00909,0.9694546081226337,85
M00911,8.70351151328268,34
M00912,0.1680616015776179,169
M00913,2.7970312734896354,18
M00917,0.16638768499801485,89
M00926,0.616294086258283,55
M00936,26.994033530910663,22
M00938,0.2503006656683977,942
M00953,0.4651450479488369,76
M00955,0.49733241059458266,91
M00957,0.5462754174004357,68
M00958,0.1550986335657239,180
M00959,0.17958214794503743,142
M00968,55138.74701244356,3
M00970,0.9810113560767891,770
M00972,0.7853757734926253,796
M00974,0.4261528030455089,109
M00975,22.964000731830346,40
M00976,0.20183117402469733,105
M00977,0.12138692790915495,105
M00978,0.6933560821081876,51
M00981,27.444714731604094,22
M00982,151.64036358003762,17
M00983,0.24286119604276402,119
M00987,1.567171393991864,58
M00988,1.7072814524369277,33
M00991,1.128078003566054,34
M00992,1.053371914614439,34
M00994,0.8414030746572927,52
M00995,1.00574854789108,61
M00997,8.078610940085671,28
M00999,5937.327757011171,11
M01000,8.841039974693395,23
M01001,0.4190598801658486,37
M01002,1.259083845206559,61
M01003,1.0666039185743044,46
M01004,4741.676580978234,5
M01006,163.7650669717783,15
M01015,0.5939386192517006,76
M01016,17168.783849547,5
M01017,208303.1032239074,2
M01018,209121.6825458769,2
M01019,207845.1145303221,2
M01020,210095.3443967319,2
M01022,0.6209841682603008,77
M01023,0.6326612700122951,77
