pathway_name,distance,n
M00001,0.12706598571664143,567
M00002,0.14591116030901005,265
M00003,0.18704370697508535,288
M00004,0.1451623728148909,148
M00005,0.4437300664857181,233
M00006,0.5637617443963623,37
M00007,0.37501350706422615,106
M00008,0.9381670204990874,27
M00009,0.3191043044966897,720
M00010,0.46756803900577526,335
M00011,0.12535014647297038,410
M00012,0.5976736571730031,310
M00013,0.19768433822367862,167
M00014,0.10186346934770556,550
M00015,0.23534102280818955,147
M00017,1.2759070786312887,87
M00019,0.2941847633517792,150
M00020,1.0440850294825574,95
M00027,0.32179152159601054,182
M00028,0.6206592396102687,59
M00029,0.14425525563801025,290
M00032,0.2597398692543233,429
M00034,0.32012106529159134,728
M00035,0.22129917511057615,593
M00036,0.22869742064679707,419
M00037,0.22055899945508414,417
M00038,0.30199155614787504,284
M00042,0.18909351601885746,345
M00043,0.47911454839269935,47
M00044,0.39029970329331737,333
M00045,0.6778219772591503,152
M00046,0.15915086766366682,104
M00047,0.4869335156887422,1116
M00048,0.2997396850243105,326
M00049,0.1415218727884679,695
M00050,0.3950505880431901,702
M00051,0.36499729063207226,121
M00052,0.09084966386486897,506
M00053,0.3245543107188996,1396
M00055,0.06502438082075004,335
M00056,0.05441919351008951,671
M00057,0.2120363364304342,245
M00058,0.13746553092283412,223
M00059,0.04111932755475302,554
M00065,0.03386244485461325,410
M00066,0.06770533322881753,181
M00067,0.2029221477667968,84
M00068,0.2668166409392186,314
M00069,0.06911544342920603,376
M00070,0.30698099663154005,160
M00071,0.22415663389599222,105
M00072,0.2696245168082255,418
M00073,0.22279357626470256,380
M00074,0.30076350133871066,314
M00075,0.1201276644328847,452
M00076,0.30596764910802604,373
M00077,0.23601294928399383,428
M00078,0.13143069036801008,439
M00079,0.35972024389142077,310
M00082,0.2648988301227262,242
M00083,0.49908360585352113,266
M00085,0.2477615192943473,237
M00086,0.29181622822316505,142
M00087,0.11309382538891155,300
M00088,0.10760518098649786,212
M00089,0.06390276226466227,836
M00090,0.3530282258285445,157
M00091,0.6865488223405181,57
M00092,0.30298247693116664,203
M00093,0.41318817435344224,92
M00094,0.2079396064115152,572
M00095,0.11999084101316371,275
M00096,3.14469170225039,47
M00098,0.041417554502721506,1082
M00099,0.16908331517294245,681
M00100,0.7874638918600213,314
M00101,0.09707180460049378,436
M00102,0.14588517009939256,358
M00103,0.26751127720324314,107
M00104,0.07089635508989775,473
M00106,0.37772033933610105,180
M00107,0.9105729023076845,246
M00108,0.3161272056440909,195
M00109,0.05046869125380573,271
M00110,0.183402037637589,136
M00113,0.7756336209362549,113
M00114,0.41780281861248,107
M00115,0.20031770036334137,376
M00118,0.3773118804719522,103
M00119,0.28557058223552784,150
M00120,0.23477627952110855,365
M00121,0.19944227242328003,259
M00122,0.7331577511654401,178
M00124,0.31134482175449857,61
M00126,0.24281848042255844,408
M00128,0.3155493907441434,181
M00129,0.10130897611197011,475
M00130,0.023034102159783545,821
M00131,0.7399440469803507,248
M00132,0.95482104320174,273
M00133,0.8517167685684681,111
M00134,1.0633742572788805,57
M00135,0.26800787808160415,150
M00140,0.34458807164098043,80
M00141,0.21502353138717048,133
M00142,125120.84538094378,4
M00143,0.348751700289143,103
M00146,0.11759019793562803,309
M00147,0.32539685643249205,122
M00148,0.9611340196089515,87
M00151,0.15662488578035194,105
M00152,0.11256996773113763,262
M00154,0.24276846303897337,374
M00158,0.07901389464136624,439
M00160,0.133793478087511,370
M00165,0.08538972979400884,261
M00168,1.8508866089994098,54
M00169,0.645531483436985,85
M00170,0.10306752572292849,165
M00171,0.1877714978549364,349
M00172,2.6879885945189623,85
M00173,0.3568281203041042,192
M00307,0.12724889349455867,464
M00308,0.6689093220331898,59
M00338,0.2582798650814312,93
M00344,0.4355360669140745,108
M00345,0.44388351961787864,99
M00346,0.5668587275338437,193
M00357,0.39957536243918285,75
M00364,3.142649279727282,47
M00365,3.231078431986507,47
M00366,0.49927235583380913,121
M00367,0.5762838543376853,127
M00368,0.6415741182235686,195
M00373,0.2612732117997068,205
M00374,0.8334883140837117,91
M00375,0.23305768329673357,107
M00376,0.22586303665561436,129
M00415,0.13449198624553482,486
M00532,0.1837279601185033,356
M00546,0.4899625749486164,64
M00549,0.23046111087358526,344
M00552,0.6889644857582081,59
M00554,0.389657838793446,104
M00555,1.054787217203257,34
M00570,0.22702805327002742,250
M00572,0.35402543645383333,260
M00580,5923.982740420284,16
M00609,0.6449537784029299,195
M00621,0.4229525542153898,144
M00632,0.46806758781181435,138
M00740,0.3424552511077695,170
M00741,0.25529613030802684,137
M00761,393.59687242235435,18
M00793,0.4088376031903142,152
M00840,1.1154168802517885,143
M00841,5.356810180647829,61
M00842,0.4321111374313927,103
M00843,0.8406597227497177,92
M00844,0.3582800617985061,215
M00845,0.40893081019442773,177
M00846,1.6335294754494343,52
M00849,0.09284932721130773,259
M00854,0.3482929830869688,236
M00855,0.1685090745701197,311
M00861,0.41190314817845863,191
M00862,0.4039732901121442,100
M00868,0.3929105272140443,354
M00872,0.2292194185835213,512
M00873,0.17720198205602436,427
M00874,0.33542936897039144,469
M00880,0.9350942915783753,243
M00881,2.8956416158376834,25
M00882,2.012260623952601,57
M00883,1.599218117574515,61
M00884,2.896809867128618,25
M00885,0.5626296383752276,146
M00886,0.5488223103033405,146
M00892,0.3751642515468884,315
M00897,137.08289989127348,21
M00898,140.47103007929232,21
M00909,0.4669711104028853,257
M00911,1.6536443952014517,107
M00912,0.24816102993622807,505
M00913,1.3334747080327207,39
M00917,0.07653618826995445,217
M00926,0.291687017136584,147
M00936,0.7800723815291524,69
M00938,0.31376215410120434,1400
M00953,0.633906113621966,195
M00955,0.42756103165560627,293
M00957,0.5526969607084676,148
M00958,0.1637837400467338,475
M00959,0.30705380688321154,398
M00968,7.680141190081378,20
M00970,0.593217040706993,926
M00972,0.539444396040334,1043
M00974,0.3141306669524019,309
M00975,0.21117363941372078,102
M00976,0.239991639458057,333
M00977,0.26679276839253707,328
M00978,0.3129953239707361,222
M00981,0.7670931081177349,69
M00982,1.1294707226056135,79
M00983,0.3133634775169723,331
M00987,3.04930866297343,194
M00988,0.5146105423003571,92
M00991,0.5046791089425964,64
M00992,0.5072841977116892,64
M00994,77496.72720512755,167
M00995,0.4780688622835344,211
M00997,5.322240618513397,42
M00999,391.3357996189419,18
M01000,0.31100747462868056,107
M01001,0.5527745796276964,104
M01002,0.4893959351950285,211
M01003,1.143423761597896,85
M01004,5579.284434417969,18
M01006,0.5194436643632006,85
M01015,0.3298085596902531,253
M01016,1.8357812494051835,47
M01017,209.77890421390114,24
M01018,205.92906892700228,24
M01019,204.58173944950383,24
M01020,199.23803635699934,24
M01022,0.43140894416128894,152
M01023,0.4305716844477844,152
M01024,0.4258080903335831,152
M01025,0.4006318316146343,152
M01026,0.4050849609959425,152
M01027,0.43638298693812105,152
M01034,205.4188083597981,24
hsa00010,0.034166038126837175,1439
hsa00020,0.2828741664695386,1045
hsa00030,0.05853503559952194,611
hsa00040,0.08103774110473602,943
hsa00051,0.07754853136904169,1900
hsa00052,0.085057422711491,1150
hsa00053,0.10150752838711705,750
hsa00061,0.06441997621400042,644
hsa00062,0.0927332144559869,878
