pathway_name,distance,n
M00001,0.1538069955912753,825
M00002,0.1704983871099146,443
M00003,0.13550748755340947,477
M00004,0.146591379879478,238
M00005,0.48742414278949453,403
M00006,0.2865254681304341,84
M00007,0.11814991892227736,145
M00008,0.7145113022603066,54
M00009,0.1763106016050347,874
M00010,0.4166220703178582,320
M00011,0.08122634576095979,599
M00012,0.6970491432037832,308
M00013,0.07021185517427798,366
M00014,0.02883706345156198,995
M00015,0.18450228301557012,251
M00017,0.1725981156471874,205
M00019,0.24403901874405068,230
M00020,0.39024644071172454,170
M00027,0.10519067333032082,385
M00028,1.3837811709109815,92
M00029,0.1280185634074545,475
M00032,0.0928636931695881,641
M00034,0.19348671318976243,1123
M00035,0.08537380545095986,975
M00036,0.05933192835858689,712
M00037,0.10863937056283417,582
M00038,0.057957712637428924,415
M00042,0.029882624273464903,606
M00043,0.24860050137910353,100
M00044,0.062147837054877184,608
M00045,0.11068099480990867,208
M00046,0.293872775569618,150
M00047,0.22051031599636103,922
M00048,0.17995536260457387,339
M00049,0.1381522286395359,1111
M00050,0.28961684008161764,1031
M00051,0.11126151100967159,211
M00052,0.15864423548376994,895
M00053,0.053015510285615255,1422
M00055,0.04206134634118658,477
M00056,0.05012314374962362,1154
M00057,0.21040119344066074,344
M00058,0.10130438955195621,321
M00059,0.031949406990452976,987
M00065,0.08340062080701736,709
M00066,0.11039277790500368,292
M00067,0.0687544398703259,130
M00068,0.2524712786927657,551
M00069,0.0981560996890987,648
M00070,0.21761951850037323,315
M00071,0.17930875026773296,167
M00072,0.09523066202564179,667
M00073,0.22946501992207322,572
M00074,0.3486523707253366,501
M00075,0.070268339395777,881
M00076,0.24470543009520057,606
M00077,0.16119978082196684,674
M00078,0.10912166213382507,647
M00079,0.19684850963812656,441
M00082,0.029340010966347394,322
M00083,0.1665778116351962,431
M00085,0.09949740902592405,304
M00086,0.19563937304680584,190
M00087,0.059016796673377316,464
M00088,0.07963013055331716,390
M00089,0.09734108885408026,1343
M00090,0.19718659725793822,220
M00091,0.13819395341972363,116
M00092,0.13010953473956077,295
M00093,0.255199111238482,136
M00094,0.11660919786174354,759
M00095,0.03815739807371543,439
M00096,0.30428760520867215,49
M00098,0.03384598761417511,1646
M00099,0.08415381457623641,962
M00100,0.38953796118092043,556
M00101,0.04061815601810572,839
M00102,0.04689673370396174,710
M00103,0.39712042523446617,122
M00104,0.05952256555830194,629
M00106,0.10004983195245146,217
M00107,0.12756968827789947,433
M00108,0.0321420443992815,466
M00109,0.07028632919066338,523
M00110,0.07863183191065733,241
M00113,0.09483494942338346,218
M00114,0.1703865463911232,145
M00115,0.07647806000971669,608
M00118,0.10116617460540138,156
M00119,0.22327001197565097,230
M00120,0.13011608123131438,781
M00121,0.2731013845837232,424
M00122,0.1965521815780533,242
M00124,0.25003602400100033,116
M00126,0.20871363660595588,494
M00128,0.15913820631873551,256
M00129,0.046264392512811864,855
M00130,0.042279458150777646,1186
M00131,0.4495571717196348,390
M00132,0.2113763835844652,493
M00133,0.5399350930985809,150
M00134,1.3684904118950636,68
M00135,0.12231976504214072,220
M00140,0.11505329531098116,147
M00141,0.06391869488128539,215
M00143,0.5032801261717148,130
M00146,0.15498750245068513,427
M00147,0.2865032222314532,210
M00148,0.6768850067576259,163
M00151,0.1472257543224262,119
M00152,0.09457840216098783,364
M00154,0.24288178447311135,609
M00158,0.19469703454672688,685
M00160,0.12452623648859572,521
M00165,0.13879610957349878,447
M00168,1.2922852061835457,62
M00169,0.22055321910150874,140
M00170,0.1463374508107879,264
M00171,0.1722625130790211,424
M00172,0.23211959635667662,140
M00173,0.20019368183987696,186
M00307,0.09351287262875449,713
M00308,0.20464928632016763,182
M00338,0.4248956056305371,109
M00344,0.17104678238311363,169
M00345,0.4893229224741063,164
M00346,0.1513090760441693,362
M00357,0.3087553343484481,104
M00364,0.39424403877792363,49
M00365,0.4394851892670594,49
M00366,0.35900769943004796,179
M00367,0.37516232509079855,193
M00368,0.5052796534050558,371
M00373,0.09667418839182967,294
M00374,0.08023947179604793,151
M00375,0.0882559944466144,199
M00376,0.12983546025098905,214
M00415,0.06195044512849836,778
M00532,0.09030091265332935,516
M00546,0.1086158556565036,120
M00549,0.151114255678779,510
M00552,0.30062838007817,182
M00554,0.2055784693687871,212
M00555,0.7780363550574432,42
M00565,5.463203152387109,16
M00570,0.14749379107243107,339
M00572,0.1950890128010391,427
M00580,3.048320999599385,23
M00609,0.49406276449950337,371
M00621,0.1368996499278658,229
M00632,0.17001022593162812,294
M00740,0.4146070354613703,173
M00741,0.2557915804281486,191
M00761,3.8211421804126853,25
M00793,0.13236089060745052,281
M00840,1.0110068214443706,126
M00841,2.3282525854534093,49
M00842,0.31224577073058524,130
M00843,0.3969788277463057,105
M00844,0.30029378541211404,278
M00845,0.47510131747687856,201
M00846,0.356771533760749,108
M00849,0.03365202752985359,428
M00854,0.10810359517712145,303
M00855,0.28154597132167697,477
M00861,0.0690596466902812,285
M00862,0.1749403209930217,116
M00868,0.273929354388285,540
M00872,0.06503413633225286,837
M00873,0.0711883445360095,657
M00874,0.02027572141163487,708
M00880,0.6376587206971902,403
M00881,26.63636078255028,38
M00882,0.3674548461048652,91
M00883,0.257217521536754,96
M00884,26.862719463073173,38
M00885,0.14121407752371773,178
M00886,0.12319466499916991,178
M00892,0.3292739679064505,448
M00897,0.34811261633265544,85
M00898,0.4745711972741078,85
M00909,0.44323887514107446,364
M00911,0.36033833774502666,139
M00912,0.06432312983081535,786
M00913,0.41746441359348885,76
M00917,0.026021526432979523,420
M00926,0.17094352657790668,208
M00936,1.6065535076356612,68
M00938,0.04147900222633146,1428
M00953,0.5091973850818002,371
M00955,0.11876883264976955,522
M00957,0.20494553381749206,252
M00958,0.1221357892004561,811
M00959,0.15580859515222867,662
M00968,2.212651210231694,41
M00970,0.48594776443558013,595
M00972,0.34281185023434696,849
M00974,0.1771734200716642,568
M00975,0.12436979818667476,199
M00976,0.1052341645327138,473
M00977,0.13844462205072092,454
M00978,0.2873878978256574,289
M00981,0.9029543334700304,68
M00982,0.6810825929321779,86
M00983,0.1977456881978926,708
M00987,0.4209462188485268,335
M00988,0.2631643759093279,105
M00991,0.23016120120565434,131
M00992,0.22598341787902312,131
M00994,37707.86269980554,284
M00995,0.6091714175601777,297
M00997,1.2501566534307813,55
M00999,4.158430813856799,25
M01000,0.1518952239976987,145
M01001,0.25832425987837654,173
M01002,0.6363332265341676,297
M01003,0.10444161994715127,172
M01004,2.45994655587127,36
M01006,0.2938389921643133,144
M01015,0.11496813896809481,395
M01016,1.0252145303005225,77
M01017,2.307949842952878,43
M01018,2.2770658757081126,43
M01019,2.338768021089254,43
M01020,2.2158478544278406,43
M01022,0.1426157625278485,281
M01023,0.19696549232362462,281
M01024,0.21384464108067333,281
M01025,0.22371670384252515,281
M01026,0.22835283795124647,281
M01027,0.14934329941423366,281
M01034,2.345681639914801,43
hsa00010,0.07469682014250996,2201
hsa00020,0.14316038503783535,1466
hsa00030,0.15092501553238602,964
hsa00040,0.030128099496149106,1629
hsa00051,0.1035786440282953,2067
hsa00052,0.03325415589196864,1697
hsa00053,0.02427589374822139,1253
hsa00061,0.07071053929986341,942
hsa00062,0.06667812976667985,1381
hsa00071,0.03733662276923544,1566
hsa00100,0.026959820795224174,1229
hsa00120,0.03594860856542821,668
hsa00130,0.10750560255079865,780
hsa00140,0.01974737190601722,2559
hsa00190,0.0241416342147744,2345
hsa00220,0.06464025804708493,1104
hsa00230,0.029109329420988955,5473
hsa00232,0.04105416937780691,348
hsa00240,0.025562452344057875,2644
hsa00250,0.09857896660380489,2094
hsa00260,0.04202071499868568,2005
hsa00270,0.04692416986438852,2250
hsa00280,0.05674699809581134,1641
hsa00290,0.16020195588550096,339
hsa00310,0.018867673035659952,4301
