pathway_name,distance,n
M00001,0.17136634837687365,753
M00002,0.09842552066982228,370
M00003,0.12218666455316533,389
M00004,0.04465770918884184,236
M00005,1.2513062983212675,330
M00006,0.872464747512191,71
M00007,0.3927858244259108,141
M00008,4.946797547577323,45
M00009,0.26011489561547047,750
M00010,0.5489062316701713,300
M00011,0.213961143896416,470
M00012,0.76000587457444,298
M00013,0.13652318233406127,284
M00014,0.10924469697066981,778
M00015,0.14757753647172836,238
M00017,0.4012004735741578,168
M00019,0.3455480564759257,171
M00020,0.4513184263090896,145
M00027,0.10681396140509637,311
M00028,7.67245812218495,38
M00029,0.06015797831389634,426
M00032,0.14915980885512217,555
M00034,0.33991649886075664,910
M00035,0.1877723275882552,711
M00036,0.18582479195495574,544
M00037,0.22586734378647458,498
M00038,0.17248444067864635,341
M00042,0.25432474145141215,513
M00043,0.6436903794271015,68
M00044,0.20371371212017456,517
M00045,0.23862549219665824,197
M00046,0.44361714259921464,116
M00047,0.4816446405023004,1002
M00048,0.20252286822952226,309
M00049,0.09577262272610089,911
M00050,0.3002560044778593,958
M00051,0.3505070151084127,184
M00052,0.0859653851117191,784
M00053,0.20762274304018338,1509
M00055,0.026851837492855544,379
M00056,0.025860533552483127,958
M00057,0.1632502386982657,241
M00058,0.09907474696921302,211
M00059,0.02013247322236312,787
M00065,0.056048205888541806,578
M00066,0.1892139037891096,272
M00067,0.2790412793412831,107
M00068,0.27671766160415917,484
M00069,0.1261497847528792,506
M00070,0.20287400602175218,281
M00071,0.11708061485907828,137
M00072,0.11723424097913794,545
M00073,0.0795807333190211,518
M00074,0.13537460678077962,440
M00075,0.01865650000636984,636
M00076,0.15246108446994672,499
M00077,0.06142732720459366,625
M00078,0.08968361477150877,539
M00079,0.1877468821178684,457
M00082,0.4044872010866713,251
M00083,0.6358866487420012,343
M00085,0.2228441552244707,237
M00086,0.11883175330316499,166
M00087,0.03744829498331703,351
M00088,0.17376770737005448,299
M00089,0.029361894600115904,1121
M00090,0.1407195129487785,175
M00091,0.4267230818536078,78
M00092,0.31911363434444395,233
M00093,0.16453793762704882,128
M00094,0.13809214439538608,676
M00095,0.2383394974601028,313
M00096,2.1354174830457238,54
M00098,0.09315511005428644,1475
M00099,0.12265347518956687,824
M00100,0.2052191040169872,456
M00101,0.09684489143288579,669
M00102,0.1116321502888083,509
M00103,0.5275186423985441,93
M00104,0.1714676941391282,532
M00106,0.23182773138337834,197
M00107,0.3562633641661328,363
M00108,0.09681642206818204,427
M00109,0.08453312887787796,506
M00110,0.1407319699189525,185
M00113,0.22612566872453743,153
M00114,0.5070792504157269,132
M00115,0.1492530230308303,525
M00118,0.4842989215864156,91
M00119,0.5540128576481574,171
M00120,0.13179335231424044,487
M00121,0.28150078587567184,322
M00122,0.29653765264579174,252
M00124,0.10932024251349501,83
M00126,0.2611755655585813,447
M00128,0.14520785920158638,185
M00129,0.15993143814922248,658
M00130,0.0579076589376082,980
M00131,0.1872473225077029,348
M00132,1.0787799490319898,359
M00133,2.4422644056354055,106
M00134,0.5297081587224437,78
M00135,0.276824499893165,161
M00140,0.2896857372361723,89
M00141,0.30160292248346005,164
M00143,0.46066399540829744,129
M00146,0.10053631012770997,443
M00147,0.7042099302738954,150
M00148,0.539809859086736,138
M00151,0.27590499494791304,99
M00152,0.10923685865561757,314
M00154,0.16627346214389205,548
M00158,0.049851783926393,587
M00160,0.04429275924028692,495
M00165,0.1435041018080896,381
M00168,1.1814685544303185,66
M00169,0.36496923626252015,89
M00170,0.19361123485979462,203
M00171,0.13503310244706435,376
M00172,0.4290447887380755,89
M00173,0.32957271215737793,138
M00307,0.11947156777591474,591
M00308,0.15890770950910932,131
M00338,0.48598015311480847,85
M00344,0.3009480471928926,129
M00345,0.5285082697247754,117
M00346,0.2402756010629298,209
M00357,0.3749141818722304,74
M00364,2.1680032800767775,54
M00365,2.1404009134105086,54
M00366,0.7312839907354831,175
M00367,0.5429566319328011,197
M00368,0.6201679600632211,234
M00373,0.30646071529371754,227
M00374,0.16634881915426303,103
M00375,0.22493395691423065,127
M00376,0.23126571103639,135
M00415,0.028785454723866535,545
M00532,0.16001349713272014,382
M00546,0.13521501819097168,113
M00549,0.19598320894291665,532
M00552,0.1205482508122796,131
M00554,0.4006661021965097,130
M00555,3.5562715355054664,27
M00565,1.8100062012359075,18
M00570,0.3561526179024507,270
