pathway_name,distance,n
M00001,1126.1030013316245,5
M00002,13238.817999087873,2
M00003,14195.42799587334,2
M00004,24634.963148615407,2
M00005,23039.569371753703,2
M00007,185446.93949600082,1
M00009,18468.13387694281,3
M00010,203357.78889347322,2
M00011,21466.768074860283,1
M00012,20148.22572274804,2
M00013,179632.94423176599,1
M00014,15382.653400457815,3
M00015,6625.24580004009,3
M00017,241676.35187109947,1
M00019,175685.22838023643,1
M00020,24249.69962118888,1
M00027,22549.583636419575,2
M00029,8579.60127374227,2
M00032,16202.624431342567,2
M00034,18452.262163673906,3
M00035,200672.83407539374,3
M00036,2644.2718859587885,5
M00037,169.66595324862547,8
M00038,25034.375444498884,1
M00042,20243.48422445554,3
M00043,108284.99229101534,1
M00044,27268.250090712798,1
M00047,1736.070211100001,5
M00048,21443.68627949334,4
M00049,40453.30964098066,1
M00050,46968.22617039019,2
M00051,22824.971496169273,1
M00052,37492.99919384581,1
M00053,29607.18313129605,4
M00055,43491.10048819663,3
M00056,30335.417025247007,3
M00057,63886.077650244275,3
M00058,129739.43539986773,1
M00059,15238.857106667512,3
M00065,15923.448688347271,2
M00066,113541.70724799919,1
M00071,20430.412668821566,1
M00072,20614.45291736501,1
M00073,17485.4974805447,3
M00074,17198.188448811223,3
M00075,9843.33393616127,2
M00076,6317.920373369065,4
M00077,6446.06642389376,4
M00078,14992.416983104178,2
M00082,21812.771636335063,1
M00083,24437.306616505553,1
M00085,18450.8073557498,2
M00086,7660.284225134641,3
M00088,22506.970475304206,3
M00089,48.85119646247766,5
M00091,176566.48968125271,1
M00093,19737.266732354434,1
M00094,16564.74099414826,2
M00095,22490.870154569955,3
M00098,912.6817709191466,5
M00099,8042.2629445851135,4
M00101,4086.1267854217426,4
M00102,4032.593455862123,4
M00104,7314.098662322254,3
M00106,25358.49960818266,1
M00108,23752.277900577054,1
M00109,5526.06521888546,4
M00110,24231.21094924542,1
M00114,27840.047749301888,2
M00115,20416.17210680349,2
M00119,171039.71644322047,1
M00120,11647.519098991585,2
M00121,20310.620424804874,2
M00122,200713.4602722562,1
M00126,61604.21105379174,3
M00128,18948.660140194796,2
M00129,15136.313320806974,3
M00130,8.946382485910782,8
M00131,15168.633191168985,1
M00132,132175.10651584898,1
M00133,20199.876844433235,2
M00134,23392.032477240882,1
M00140,196904.45247076865,1
M00141,228752.95319758373,2
M00143,7623.916432952452,2
M00146,14926.27010381543,3
M00152,32935.73969718029,2
M00154,7537.818571287188,3
M00158,2462.3595122851307,6
M00160,22599.18873432163,2
M00165,16420.928137138784,2
M00168,24471.660581365286,1
M00169,8208.283689137674,2
M00170,24180.03584658139,2
M00171,10106.000449634574,4
M00172,7992.4094019780905,2
M00173,20920.717755078982,2
M00308,16038.317245196597,1
M00338,221403.86558133678,1
M00345,242800.25674921702,1
M00346,215026.60887061025,1
M00357,17068.37787054952,1
M00366,25125.767831363682,1
M00367,24598.182696445958,1
M00368,243917.6622587314,1
M00373,21403.51138519814,2
M00375,177038.70627453184,1
M00376,22707.987330925942,2
M00415,19777.810176366133,4
M00532,22886.46846463071,3
M00546,27372.933821720446,1
M00552,16333.66256135077,1
M00554,75420.43813625946,2
M00570,165000.962962538,2
M00572,23727.840662276703,1
M00609,243628.6822951168,1
M00621,21221.45498247939,2
M00632,8575.72840237361,3
M00740,232140.6011510645,1
M00741,20339.14768060309,2
M00793,121445.36732446823,1
M00840,132850.09484204734,1
M00842,21317.531124305864,1
M00843,18621.27385291616,1
M00844,26632.943331608283,1
M00845,26538.451613963658,1
M00846,191960.29680761832,1
M00849,22182.789972135473,3
M00854,19751.733354477677,1
M00861,25235.62756817957,1
M00862,8265.597842089152,2
M00868,19307.827045032907,2
M00872,5375.211113156796,4
M00873,14621.050247781548,3
M00874,14503.772520613078,2
M00885,20951.55402976862,1
M00886,21530.91264878037,1
M00892,2337.6822071440524,6
M00909,2247.021888798754,6
M00912,20677.360964393145,2
M00917,5993.129576498844,3
M00926,21176.347018215572,2
M00936,19369.790779752853,2
M00938,30098.81526041325,4
M00953,241423.7264541785,1
M00955,31993.544758103824,1
M00957,25124.935811660813,1
M00958,7004.9344668268905,4
M00959,21182.56158865825,2
M00970,4548.390897165117,4
M00972,12.288876038887508,6
M00974,21392.372962122547,2
M00975,185761.3166607232,1
M00976,14890.561371965247,3
M00977,19954.678804960044,3
M00978,26481.479446529876,1
M00981,19182.212329016053,2
M00982,23209.16753274431,1
M00983,17204.82481470269,3
M00988,19073.964053815012,1
M00991,216843.7213537159,1
M00992,215048.8405055126,1
M00995,2251.0764904492967,5
M00997,18382.717265469986,1
M01000,27019.170435097276,2
M01001,163398.62209549968,1
M01002,2287.2754545202138,5
M01003,202718.58106755186,1
M01006,37842.41165853178,1
M01015,29674.706604410363,2
M01022,124142.52830390129,1
M01023,123560.74041368418,1
M01024,123209.50981805973,1
M01025,122495.76215209198,1
M01026,121756.08290717364,1
M01027,123257.6588274177,1
hsa00010,5.052803164725807,10
hsa00020,18687.765928422952,3
hsa00030,7453.348607918575,4
hsa00040,523.4515099189457,6
hsa00051,54.16482612087107,12
hsa00052,27.439512526068818,7
hsa00053,15286.49323022459,4
hsa00061,52.33109248778858,5
hsa00062,938.0199528039979,6
hsa00071,3.6536830575979495,6
hsa00100,119.82353840098534,6
hsa00120,4246.60770431861,4
hsa00130,20957.29564676398,2
hsa00140,0.7676610859618845,13
hsa00190,0.47080539094917184,13
hsa00220,212.95098753584097,5
hsa00230,0.9479568040798626,25
hsa00232,29241.239764051534,1
hsa00240,6.281749118730684,11
hsa00250,8.95030083205119,11
hsa00260,362.49739773880185,7
hsa00270,2777.007856110389,6
hsa00280,76.79347952897689,7
hsa00290,167649.4005374692,2
hsa00310,0.7436333121021194,18
