pathway_name,distance,n
M00001,17.765098383931587,6
M00002,2936.166411938779,4
M00003,3232.2068581907292,4
M00009,142.99928698053168,5
M00010,22980.305438538908,1
M00011,13260.024477320581,4
M00012,42295.89570487065,2
M00013,31466.6805702641,2
M00014,17349.71991258163,1
M00017,86925.21348698577,1
M00027,15581.660928238518,2
M00032,32337.32678703834,1
M00034,32659.87752777636,1
M00035,15721.364381315627,1
M00036,33299.093636839956,2
M00037,185866.56226161428,2
M00043,177406.28825705723,1
M00044,24501.855834530095,2
M00048,36560.4138540672,1
M00049,29198.419537301474,2
M00050,33821.68033335924,2
M00052,26749.48349832852,2
M00053,30506.457115763988,2
M00056,8470.695077336579,3
M00065,101573.48018665658,1
M00066,15878.483895511354,2
M00067,16008.517366603455,1
M00068,11159.323290539978,2
M00069,22076.204131020153,1
M00070,65535.3110856573,1
M00072,28838.669157165474,4
M00073,5976.279957154533,8
M00074,5595.631630100475,8
M00075,24043.229739545604,3
M00076,16743.48591790967,1
M00077,16331.434495385876,1
M00078,29070.707149959035,1
M00082,4304.686120991926,3
M00083,24661.25607311011,2
M00087,28939.552117626827,1
M00088,23410.039369921124,1
M00089,11554.714409266586,4
M00092,15450.250679292729,1
M00094,27837.45424218431,1
M00095,23785.242276291698,1
M00098,19895.100955453097,3
M00099,26029.544370784166,2
M00101,15431.846855338239,2
M00102,16038.35576173573,2
M00103,16621.967498871618,2
M00104,10128.283222731621,3
M00107,19772.00667393449,1
M00108,9646.396664471675,2
M00109,8417.769655215636,2
M00114,6013.8451896786555,3
M00115,30989.53992586791,1
M00120,14406.128871794217,2
M00122,197735.4695507521,1
M00126,170486.6085466762,1
M00128,20100.82204621452,1
M00129,155332.83012787288,2
M00130,16125.053983371743,2
M00131,15623.626176471578,1
M00132,34900.1840048473,2
M00146,23681.551636853757,2
M00148,16151.247391648665,1
M00151,23436.51920871867,1
M00152,22073.288012987516,1
M00154,6087.684660025545,2
M00158,21904.34658478139,3
M00160,16782.464238517077,1
M00165,23176.95267354951,3
M00168,42490.58874197138,2
M00169,42064.88105518027,2
M00170,18099.476034043728,1
M00171,13516.235497513708,3
M00172,41612.6087427903,2
M00173,23491.468513029205,1
M00307,32828.41586612327,1
M00338,19218.601629592526,1
M00344,20958.83564581371,2
M00345,46457.763780975634,1
M00367,166655.80936526041,1
M00373,38963.796292406514,2
M00375,30986.637568134844,2
M00376,33890.71167008734,2
M00415,20186.90533320931,1
M00532,7508.9130376073035,2
M00546,16188.807100283753,1
M00549,14132.41169725448,3
M00554,199628.62866210772,1
M00621,38962.63125928261,1
M00632,196447.74177085338,1
M00740,21722.42987466452,1
M00741,41453.446515131036,2
M00849,23968.75664452998,1
M00854,164168.84729359465,2
M00855,20449.354434034238,1
M00861,21446.518594715886,1
M00862,19678.535446955048,1
M00872,18798.026829730617,2
M00873,32276.08534224689,2
M00874,4131.64295767158,3
M00885,37798.788905057285,2
M00886,38262.58339451203,2
M00892,16680.132397586007,2
M00909,17824.81042226635,2
M00911,31933.474028395776,1
M00912,26634.26138996753,1
M00917,19528.298240695287,1
M00938,31381.792186200273,2
M00955,80085.92049270206,1
M00958,9182.999391682091,2
M00959,8966.18711714667,2
M00976,14304.71875225028,6
M00977,15694.570261710718,6
M00987,16139.083421892512,1
M00991,39181.10183917157,2
M00992,39044.03548966719,2
M00995,18263.364061158758,2
M01000,6113.543253922939,3
M01002,18720.498745270386,2
M01015,5367.474651200173,4
hsa00010,16.102020910812456,11
hsa00020,87.90222769294927,6
hsa00030,39005.96973166948,1
hsa00040,12670.769390978681,3
hsa00051,2.03365321563325,16
hsa00052,26.878989078905107,9
hsa00053,14654.35323345727,6
hsa00061,4287.727369529317,3
hsa00062,18118.30684893455,2
hsa00071,192.12104636005984,6
hsa00100,1.473211265316131,9
hsa00120,9345.918008470586,3
hsa00130,6379.376901047173,4
hsa00140,44.25673801308024,11
hsa00190,4.132023513878906,10
hsa00220,17006.857598941384,2
hsa00230,6.067021815398507,21
hsa00232,17319.629330986045,1
hsa00240,27178.75136761427,4
hsa00250,3.412441794261108,9
hsa00260,6633.289902837634,5
hsa00270,24.233693048965034,8
hsa00280,182.6713828944109,6
hsa00310,6.697995759581557,8
hsa00330,5956.712885230662,3
hsa00350,3.5619531619638374,11
hsa00360,13283.167323647278,3
hsa00380,27970.23061558814,3
hsa00400,17637.138348426397,1
hsa00410,37.546867352095255,6
hsa00430,14.489285232990825,6
hsa00450,6.724947616016002,5
hsa00480,2.357318609818838,10
hsa00500,25.617905100016156,8
hsa00510,4.585750616291219,16
hsa00511,431.25399587249944,5
hsa00512,8239.918838244246,3
hsa00513,4.855351304607527,17
hsa00514,80.05501536733611,7
hsa00515,17953.996339174733,4
hsa00520,5.06640712197574,10
hsa00524,18826.496356771822,1
hsa00531,8198.336492204562,2
hsa00533,20563.32337936806,2
hsa00541,100350.63169083523,3
hsa00561,2.882227491840835,11
hsa00562,0.792794506927331,13
hsa00563,18294.623096266652,4
hsa00564,9.854169159187098,28
hsa00565,75.75742362284988,27
hsa00590,1.5805543693906532,36
hsa00591,2410.7703375312453,24
hsa00592,2459.7694844847197,24
hsa00600,43.84455934300592,7
hsa00601,17481.15959539749,2
hsa00603,18977.13631584938,2
hsa00604,17969.18693060111,2
hsa00620,83.259569492243,8
hsa00630,10605.209075092524,4
hsa00640,11139.368177440523,4
hsa00650,13565.477576967782,4
hsa00670,3966.3722907770552,3
hsa00730,28766.940286598743,3
hsa00740,22907.58484370869,3
hsa00750,12733.931690297428,2
hsa00760,26940.759520025797,4
hsa00770,7526.507746583439,4
hsa00785,35027.51645357335,1
hsa00790,177585.15494539047,2
hsa00830,29.577927890916904,16
hsa00860,171984.05169396035,1
hsa00900,14780.413222079504,4
hsa00910,9439.63007216217,2
hsa00920,9636.066887773424,2
hsa00970,932.9593347743851,5
hsa00980,9.862947327072217,7
hsa00982,6.57232672703357,8
hsa00983,53.847587785831024,6
hsa01040,9658.455991905052,2
hsa01100,0.19396256489901145,133
hsa01200,5.673791698958983,13
hsa01210,39000.93233406074,4
hsa01212,8.649450923274413,8
hsa01230,9.3458876309657,8
hsa01232,11.202030181207263,8
hsa01240,2.728227783656984,22
hsa01250,5.0914016502280255,10
hsa01320,16381.20893441817,1
hsa01521,1.1480596288685039,30
hsa01522,0.7990932228935986,45
hsa01523,19088.319690307133,4
hsa01524,4.276474341460067,13
hsa02010,19.31400196227291,10
hsa03008,14.560456941141418,8
hsa03010,1.6654957189849178,12
hsa03013,5.139942479695325,13
hsa03015,22.927495247469786,10
hsa03018,0.6618253594633309,12
hsa03020,1179.259862272917,5
hsa03022,2.576159975074209,9
hsa03030,26.64754633340173,7
hsa03040,1.0367682735354427,19
hsa03050,78.18866676161524,5
hsa03060,7.916242486816006,13
hsa03082,0.5235620362841539,15
hsa03083,7.249822632746989,10
hsa03250,6.0510532413082965,16
hsa03264,126318.50159686932,1
hsa03266,21022.00104169653,1
hsa03267,13386.871119923444,1
hsa03272,113.54267435990242,6
hsa03273,4354.957436657131,4
hsa03320,0.7209047817016455,25
hsa03410,532.2487388780246,11
hsa03420,14.927178222308294,9
hsa03430,10807.26347142784,4
hsa03440,0.8274704976445287,8
hsa03450,12957.598915756593,1
hsa03460,43.765142310465265,6
hsa04010,0.6037034986881017,65
hsa04012,1.66455922877453,27
hsa04014,0.8637679724119093,45
hsa04015,0.724609880533771,42
hsa04020,0.2917965502234319,57
hsa04022,0.8574117081697307,30
hsa04024,0.41945357489509016,39
hsa04060,0.3020039849176586,22
hsa04061,923.9393223691982,6
hsa04062,0.5779292774449933,36
hsa04064,2.3486356250014504,14
hsa04066,0.6870145928496421,28
hsa04068,1.5192190830184438,35
hsa04070,1.138472831091081,11
hsa04071,0.9871328441195351,31
hsa04072,0.8831467485345275,35
hsa04080,0.23593436286295114,37
hsa04081,0.36071303509697106,37
hsa04082,0.24878737630179268,22
hsa04110,0.47496409563690384,22
hsa04114,0.7140367238974067,15
hsa04115,6.5404896168874425,10
hsa04120,1.1486629768401346,22
hsa04122,145948.44173978452,2
hsa04130,128.39062419057223,11
hsa04136,51509.8943629696,4
hsa04137,0.6561006262405341,46
hsa04140,0.9864033562681969,44
hsa04141,0.2988973748228577,31
hsa04142,6.7687923835545165,12
hsa04144,0.5778713213213691,45
hsa04145,0.21504727258858283,25
hsa04146,2.248188188233312,11
hsa04148,0.2765156489289032,38
hsa04150,1.3997430232380128,36
hsa04151,0.3981677693322618,66
hsa04152,1.9396906803150156,19
hsa04210,0.5072337631765101,49
hsa04211,1.150365136891624,33
hsa04213,4.716692870026632,28
hsa04215,4.988049866664624,9
hsa04216,23436.366018463992,4
hsa04217,0.9310350596450169,22
hsa04218,0.9308469040740627,47
hsa04260,2.6340280104951264,17
hsa04261,1.1189596927162682,28
hsa04270,0.9559050263667815,29
hsa04310,0.481566080952308,31
hsa04330,154.2211975444359,14
hsa04340,20.96329037811232,11
hsa04350,0.6275864613016815,22
hsa04360,0.7145757655266941,41
hsa04370,5.31376051915999,24
hsa04371,0.781601515831026,50
hsa04380,0.5695516575781461,30
hsa04382,0.19361091965953334,35
hsa04390,0.4519410476292527,21
hsa04392,107380.66240291171,4
hsa04510,0.5441238607236994,54
hsa04512,0.6539641139990117,25
hsa04514,0.18099378987391873,17
hsa04520,1.5701309844493039,19
hsa04530,0.3175462975462347,28
hsa04540,0.8334749830931927,33
hsa04550,1.059808541547359,47
hsa04610,1.667896084526244,16
hsa04611,0.9952547273411143,17
hsa04612,6.816237248905474,14
hsa04613,1.0479951215199008,19
hsa04614,22862.483487892736,5
hsa04620,1.089098597501133,18
hsa04621,0.21763594315932974,32
hsa04622,0.9847804614916232,10
hsa04623,3.9780785833438705,10
hsa04625,1.1481473687410118,31
hsa04630,0.8600280395359027,35
hsa04640,115.71199836065728,9
hsa04650,0.9381808172404855,37
hsa04657,0.4643347824230521,16
hsa04658,6.086034474169824,8
hsa04659,0.8866989106343548,20
hsa04660,1.0592167046157337,31
hsa04662,1.4902139735486866,28
hsa04664,2.320123083736619,25
hsa04666,13.99672691395919,8
hsa04668,0.5810607296522595,20
hsa04670,1.4830157402839523,14
hsa04672,16148.330642704337,3
hsa04710,3.1137925040513297,10
hsa04713,0.4906946687114061,25
hsa04714,0.9370483681153966,52
hsa04720,1.515730271273205,30
hsa04721,1.020298634128043,9
hsa04722,1.9118028574448966,30
hsa04723,0.5131097908717625,22
hsa04724,0.3718570655280643,23
hsa04725,0.8522295493593256,36
hsa04726,0.9528094291916943,37
hsa04727,0.5618559993517459,21
hsa04728,0.9406276031647034,21
hsa04730,0.8052514615649861,34
hsa04740,0.33428940745686303,28
hsa04742,0.3488667611811197,18
hsa04744,249.91844803995286,9
hsa04750,0.6033465259068033,15
hsa04810,0.5129277843000064,52
hsa04814,0.5705460793340477,26
hsa04820,0.23409616642070427,40
hsa04910,1.4552289961528406,41
hsa04911,0.6019912047070212,17
hsa04912,0.9186195961916095,36
hsa04913,0.8234952097740929,8
hsa04914,1.3827953852294481,13
hsa04915,1.106231378784303,48
hsa04916,1.506001324314239,33
hsa04917,2.2094568711530633,25
hsa04918,0.5730862508084108,23
hsa04919,0.8515220094385906,46
hsa04920,1.1780136582814904,22
hsa04921,0.6594390298438859,48
hsa04922,0.7060904086511192,23
hsa04923,24.012843953026877,33
hsa04924,1.2617518658690265,24
hsa04925,0.6664959067900015,33
hsa04926,1.2591496109710014,31
hsa04927,0.4475539774708788,27
hsa04928,0.36940361629978924,36
hsa04929,0.861959228100811,42
hsa04930,2.6458125365035503,11
hsa04931,0.5497383803616526,18
hsa04932,0.9587135750933956,24
hsa04933,0.9523321387427123,34
hsa04934,0.1850232442895769,48
hsa04935,0.650840185751307,47
hsa04936,0.6033282608415773,22
hsa04940,14572.482344010568,3
