pathway_name,distance,n
M00001,0.16544972403040514,666
M00002,0.06071202804790895,359
M00003,0.1061807785647364,385
M00004,0.14710437483227964,180
M00005,0.36020101591211573,310
M00006,0.2732102800168466,51
M00007,0.09948647392516612,118
M00008,0.5891046294197059,39
M00009,0.18966524655617428,679
M00010,0.395065030213831,262
M00011,0.11259988598959181,450
M00012,0.6495837940193494,265
M00013,0.04970046518894345,274
M00014,0.038266513948902084,719
M00015,0.26597418845728577,213
M00017,0.21485534451757635,162
M00019,0.1700779049476972,159
M00020,0.19192063490318748,116
M00027,0.10027918917229169,286
M00028,0.6160758890087225,57
M00029,0.03923918046700837,351
M00032,0.11393723290328599,508
M00034,0.25794302922221307,833
M00035,0.16599027117535256,687
M00036,0.08865445313424185,499
M00037,0.14381177988422675,453
M00038,0.09428085330957472,306
M00042,0.06353108910716998,468
M00043,0.31826271370624465,66
M00044,0.021015561057400413,469
M00045,0.10363723755961934,170
M00046,0.2554379279362445,108
M00047,0.2825252516514095,796
M00048,0.12650911942237486,276
M00049,0.07371022035326708,842
M00050,0.3115386047180238,833
M00051,0.07722385004273116,168
M00052,0.07434147816388405,696
M00053,0.08806031304339793,1194
M00055,0.024447261791555708,350
M00056,0.03404904445406953,879
M00057,0.14862847624546077,235
M00058,0.09452617060176326,238
M00059,0.022809549551057774,692
M00065,0.0995675028672008,538
M00066,0.08916695230467049,227
M00067,0.13991958995855464,99
M00068,0.22168936604599976,427
M00069,0.056270374323953806,487
M00070,0.1566722843107757,242
M00071,0.11194430061048756,132
M00072,0.08604069897589865,507
M00073,0.0530559102040648,462
M00074,0.07466548430251153,390
M00075,0.01448720667213417,628
M00076,0.11447760402015975,473
M00077,0.03811209600202953,557
M00078,0.03164856610951943,508
M00079,0.03975254048541815,383
M00082,0.013412536125751651,247
M00083,0.16835667489843162,328
M00085,0.15502950210232253,231
M00086,0.016392953867606027,155
M00087,0.054039730219005995,340
M00088,0.07692764546187679,286
M00089,0.012528067475910547,1007
M00090,0.1041329568179625,165
M00091,0.09603195500670181,79
M00092,0.09882698663107478,209
M00093,0.08163287840570446,108
M00094,0.1330935295995709,599
M00095,0.09023467285059204,326
M00096,0.2616254907195514,44
M00098,0.0520168581426989,1256
M00099,0.07924765021496372,735
M00100,0.08620095912494805,415
M00101,0.07170065540783581,604
M00102,0.08493237935590961,491
M00103,0.15523610088005738,97
M00104,0.055593164226845626,481
M00106,0.05133147820045165,160
M00107,0.07615281962216311,330
M00108,0.022354906976022732,349
M00109,0.06302663150688079,419
M00110,0.08194148818845827,171
M00113,0.02277772988829013,158
M00114,0.1358329330627033,112
M00115,0.11824696908021201,482
M00118,0.1817694388177592,107
M00119,0.1602637414373668,159
M00120,0.11928454800429732,516
M00121,0.24001480674368003,301
M00122,0.2762466141972487,180
M00124,0.12151108674467377,77
M00126,0.2183104121798623,401
M00128,0.14031767991703234,180
M00129,0.0367712640076435,613
M00130,0.028972512112370362,885
M00131,0.12748079898566547,305
M00132,0.1213156263864676,346
M00133,0.5215036707113008,110
M00134,0.2857595057132223,68
M00135,0.0882124800600496,150
M00140,0.07747889667563024,98
M00141,0.1323250957133342,150
M00143,0.1899723414570841,101
M00146,0.09915325129946093,346
M00147,0.2545909781206148,135
M00148,0.5531472564683786,116
M00151,0.1460954966260036,93
M00152,0.12320882621703326,276
M00154,0.10543815849405114,493
M00158,0.05998326866065111,506
M00160,0.10511508932983765,392
M00165,0.028379530462714995,355
M00168,0.8072971574719774,56
M00169,0.11927020712409296,99
M00170,0.043523137984443336,196
M00171,0.169137374315561,336
M00172,0.11443649631880967,99
M00173,0.16751979659568542,126
M00307,0.0633818238587832,541
M00308,0.26137630372146303,126
M00338,0.3614341690600734,92
M00344,0.07898354703693206,142
M00345,0.31448663566496343,109
M00346,0.19035777130758855,227
M00357,0.10399804506840507,86
M00364,0.2708197615281674,44
M00365,0.2581428291595657,44
M00366,0.29107599530195766,146
M00367,0.3403028831175133,158
M00368,0.5550815313759112,246
M00373,0.16089735547218342,213
M00374,0.10333891967527016,110
M00375,0.09150106456243504,136
M00376,0.09057676194690363,139
M00415,0.034106759112901695,544
M00532,0.07463996951522013,382
M00546,0.059132243253341675,105
M00549,0.1911960992661969,416
M00552,0.24958194862092514,126
M00554,0.18147465244042804,128
M00555,0.5852196076009503,30
M00565,2.64868824822099,13
M00570,0.19044487329963322,251
M00572,0.10817573104402152,326
M00580,2.57600625578505,15
M00609,0.5612854928445444,246
M00621,0.16810037786152626,177
M00632,0.20950149670176887,187
M00740,0.1678070822759913,139
M00741,0.3742439982409368,137
M00761,4.990625806923422,12
M00793,0.24216575631884907,187
M00840,1.5880785057532285,118
M00841,0.4662237815449693,51
M00842,0.19302179904638925,110
M00843,0.29217240012080836,97
M00844,0.23846846903936025,194
M00845,0.4842317827584476,146
M00846,0.30615433794458413,72
M00849,0.1012419245971061,319
M00854,0.13461836422446108,255
M00855,0.07328415148232466,379
M00861,0.11135592740391717,217
M00862,0.24681053370478495,92
M00868,0.1482896636063266,426
M00872,0.00681317887817203,585
M00873,0.14055248929235492,496
M00874,0.030053157197023325,544
M00880,0.40409823928954874,309
M00881,0.9842180428735068,39
M00882,0.21849126000978208,75
M00883,0.11787047016394676,79
M00884,0.9919193807571113,39
M00885,0.14682929425068997,125
M00886,0.13136594196041207,125
M00892,0.27489912021926044,323
M00897,0.2091644471843033,54
M00898,0.19384132081468655,54
M00909,0.43674061466872544,260
M00911,0.30931097115511114,105
M00912,0.06337750324155161,614
M00913,0.399531273352239,48
M00917,0.09811483768153038,321
M00926,0.18201843700603443,154
M00936,0.13838802634260136,63
M00938,0.06867719859785391,1200
M00953,0.5524470760538984,246
M00955,0.06724939845171274,383
M00957,0.09961045094266592,197
M00958,0.05584444064481473,640
M00959,0.10808654430907517,511
M00968,3.173445599965307,20
M00970,0.49721033718143615,563
M00972,0.33544293846655965,753
