pathway_name,distance,n
M00001,27082.800659967863,3
M00002,41282.949739230346,1
M00003,45.83877228113639,5
M00004,22893.394809411195,1
M00005,45916.80938004464,2
M00007,24629.22092924813,1
M00009,2530.0403856885373,4
M00010,215801.32935991444,1
M00011,3002.0696477854776,3
M00012,96220.46133317496,1
M00013,16945.05178145858,2
M00014,11141.911021832007,4
M00015,8217.747821083709,3
M00017,20277.89497131861,2
M00019,21186.763696902566,2
M00020,7384.127064861681,3
M00027,8808.092473029516,2
M00029,9572.213809004008,2
M00032,7921.788500541696,4
M00034,11282.802168702676,5
M00035,228.15878742602848,6
M00036,130.6258199796365,6
M00037,616.8728055627198,5
M00038,8822.667980477463,3
M00042,3647.078353395693,3
M00044,12771.16058204967,4
M00045,22159.379141056346,1
M00047,83.90792690207518,6
M00048,8377.618601370206,3
M00049,12821.06159140984,4
M00050,7526.793678025755,2
M00051,2551.770210771572,4
M00052,7800.275602336873,2
M00053,6015.340120317999,4
M00055,2379.798690164424,5
M00056,14.414355674278244,8
M00057,15478.349207495196,2
M00058,15106.833500265795,3
M00059,21.68786759017686,8
M00065,5096.36901820897,4
M00066,19503.408229831122,1
M00067,22936.991359008567,1
M00068,5502.857904305483,4
M00069,6273.0524687897105,3
M00070,13434.530032323042,2
M00071,15279.521318780739,2
M00072,3658.817217585102,3
M00073,24358.29672802946,3
M00074,27463.11243250164,3
M00075,55559.4307018646,6
M00076,20640.823630083436,3
M00077,2672.8871034676054,4
M00078,72.74994864207702,6
M00079,44128.64606748997,4
M00082,1792.6848634290975,5
M00083,20729.794826616813,2
M00085,6089.670686056555,3
M00086,72533.83142904546,1
M00087,200.2291231417937,5
M00088,5924.076352985919,3
M00089,4.382874855104488,9
M00090,17513.07537154887,2
M00091,7963.784228503676,2
M00092,17044.24308535459,4
M00093,7773.051286760654,2
M00094,3459.956602798055,4
M00095,7778.732759101282,4
M00098,16.85261072119678,6
M00099,80.02883704325903,5
M00100,22762.74636882653,1
M00101,23.415328871108795,7
M00102,22.880478997490282,7
M00104,8397.51905776311,4
M00106,7432.4945483429565,3
M00107,19594.888668096457,1
M00108,117693.71062765687,1
M00109,17740.349357318584,2
M00110,4989.824515661232,3
M00113,19438.66067779246,2
M00114,6962.633443009687,3
M00115,3563.581733735214,3
M00119,21052.202482226436,2
M00120,567.008571020694,7
M00121,78754.3046209678,3
M00122,18145.157792964837,2
M00124,22142.103571786844,1
M00126,16551.329879742436,3
M00128,6265.155977142517,3
M00129,9503.474809968206,2
M00130,24566.01904279583,2
M00131,25176.69317611673,1
M00132,22454.59144506359,1
M00133,78753.80003164636,1
M00134,77528.42571051705,1
M00135,5436.769827420838,3
M00140,22744.780938127697,1
M00141,20261.909497236567,1
M00142,20920.72359039927,1
M00143,92402.43746588843,2
M00146,38198.99080373571,2
M00148,18022.865261533858,1
M00151,39608.68495212434,1
M00152,6232.433370896833,3
M00154,15270.335528551495,4
M00158,6642.759493610222,4
M00160,377.56498364110456,6
M00165,6381.28985361948,3
M00168,96242.20296057129,1
M00169,6016.703427897121,3
M00170,6377.494605659745,3
M00171,6042.779156142022,3
M00172,6193.334456617445,3
M00173,96279.06772975266,2
M00307,40073.364015587584,4
M00308,47898.2758907984,1
M00344,20232.505249909504,1
M00346,21447.102157573256,1
M00357,16894.218599730037,1
M00366,63953.396316004466,2
M00367,8284.552891342393,4
M00368,12950.28202923807,3
M00373,5207.302841643992,4
M00374,20459.925321036084,2
M00375,20128.94213891159,2
M00376,78276.75452128217,1
M00415,29.631634883406303,7
M00532,5210.587262670922,3
M00546,5984.287440271586,3
M00549,17238.79395181272,2
M00552,46810.95009932321,1
M00554,22577.715354232318,1
M00565,25049.28621356399,1
M00570,20823.87525491539,2
M00572,19319.43650587091,2
M00609,13114.213660235224,3
M00621,5140.484044491703,3
M00632,8399.46260736887,2
M00740,233536.72940138626,1
M00741,94476.29579787288,2
M00793,136229.35790271996,1
M00841,229370.5064490982,1
M00842,76107.33057363448,2
M00843,88182.47326461737,2
M00844,10008.74198854471,2
M00845,89009.30921226446,1
M00846,121444.47060706913,1
M00849,7724.678867270582,4
M00854,20726.339982303227,1
M00855,7165.034469108428,2
M00861,5902.656603411591,3
M00862,74882.76673564751,1
M00868,27385.912262014353,4
M00872,3.9340432389872912,6
M00873,3807.0920832569773,3
M00874,31.10248265693959,6
M00880,5215.194268215984,2
M00882,20952.9706524812,1
M00883,19557.024141110196,1
M00885,8962.546478709224,2
M00886,8713.495095470158,2
M00892,12339.072412187072,3
M00909,12540.646789863764,3
M00912,3489.7062168013567,4
M00913,59868.5091353735,1
M00917,48237.12204462632,4
M00926,79946.1567520793,3
M00936,124910.18725185272,1
M00938,5790.092734852601,4
M00953,12770.325196785783,3
M00955,6825.711218862054,3
M00957,5851.768744744332,4
M00958,11.850465414657421,6
M00959,16554.464581018157,4
M00970,18001.190588518046,3
M00972,12461.840635771903,5
M00974,4002.386351783831,3
M00975,23926.773004355306,1
M00976,5944.393153991387,3
M00977,16470.368294470016,4
M00978,9914.208229299806,2
M00981,125194.50838111374,1
M00982,91480.84470154099,1
M00983,25989.704544201308,1
M00987,38572.718883074966,1
M00988,85836.21938972175,2
M00991,19213.217339913394,1
M00992,18558.97662235389,1
M00994,29302.47802662888,1
M00995,11442.187199084958,2
M00997,108310.75947273927,1
M01000,7068.348870767441,3
M01001,19648.44449973333,3
M01002,11518.365076869179,2
M01003,19418.510449760026,1
M01006,18329.05384968758,2
M01015,4909.782626902955,4
M01022,133512.44570792245,1
M01023,136686.28115474278,1
M01024,134380.70426288797,1
M01025,132869.02373813977,1
M01026,130652.69054411254,1
M01027,136885.47502709765,1
hsa00010,0.5021580080836879,11
hsa00020,2.227463303823833,9
hsa00030,10322.819874203173,4
hsa00040,8.372987095004568,6
hsa00051,1.446884502816752,15
hsa00052,1.665296424527409,6
hsa00053,11651.868270076577,4
hsa00061,36.6370106453517,6
hsa00062,29.853017269789024,7
hsa00071,5.489506759080195,9
hsa00100,20.899978689156658,11
hsa00120,8312.314135062072,4
hsa00130,15130.62133476548,4
hsa00140,13.156348944938268,11
hsa00190,4.733092521683236,15
hsa00220,5077.312662289159,4
hsa00230,1.590879313643532,21
hsa00232,158.05932425349258,5
hsa00240,3.358003830982295,12
hsa00250,28.65681038039293,8
hsa00260,2.104627987003117,10
hsa00270,11.169065323851877,11
hsa00280,1.827366732937374,12
hsa00290,21405.62763737475,2
hsa00310,0.3738573171933178,19
hsa00330,2.46524900763849,12
hsa00340,12103.097345292348,4
hsa00350,1698.6872108965422,5
hsa00360,10797.067319525582,4
hsa00380,13.819171945682518,10
hsa00400,13346.664949685843,4
hsa00410,5.011029057058856,8
hsa00430,8555.563976929772,3
hsa00440,16870.454889007044,3
hsa00450,846.5832929915678,5
hsa00470,6032.804927962596,2
hsa00480,0.6239041187421399,15
hsa00500,48.10663213323572,6
hsa00510,1.8218127487866764,14
hsa00511,3.9991083884911016,6
hsa00512,0.20644138412393181,11
hsa00513,2.5175521319307856,12
hsa00514,4.341576054065198,12
hsa00515,3.5959928718286887,7
hsa00520,4.97921257377409,10
hsa00524,179236.28358553775,1
hsa00531,1.6832808199008555,8
hsa00532,4822.727256133226,5
hsa00533,25.514825309277356,7
hsa00534,23.647128566175542,9
hsa00541,393.92198023986185,5
hsa00561,0.2871025677250174,17
hsa00562,0.526053993017735,24
hsa00563,1212.957585631824,5
hsa00564,0.7734977675436573,18
hsa00565,88.40660793236529,5
hsa00590,6.8970304050927895,7
hsa00591,8743.663179596693,3
hsa00592,6241.083392902197,3
hsa00600,0.40431854481468077,10
hsa00601,99.29219305592072,5
hsa00603,124.70607685731095,5
hsa00604,1.4088297065842552,9
hsa00620,1.6008602302266528,12
hsa00630,69.27772486058731,6
hsa00640,793.8090918610435,7
hsa00650,69.4128252019503,7
hsa00670,5.764231326208882,8
hsa00730,63.10282033047266,5
hsa00740,22232.61631118264,4
hsa00750,26072.272229511014,1
hsa00760,4.457019514992136,9
hsa00770,23.03635750320655,10
hsa00780,18328.623207024404,2
hsa00785,17.98166451487751,7
hsa00790,26.913591376704478,9
hsa00830,228.92184314684715,7
hsa00860,21.147673357175325,6
hsa00900,35.10925312134677,6
hsa00910,72593.68824674078,1
hsa00920,10621.560470583127,4
hsa00970,1.8396490694849867,15
hsa00980,2.6921962507209902,7
hsa00982,5879.669643503294,4
hsa00983,11.891053428079154,13
hsa01040,28.390778336033364,7
hsa01100,0.03546264427378571,145
hsa01200,0.3182173008652487,14
hsa01210,4.3870330894469385,8
hsa01212,4.040468573427874,13
hsa01230,11.255481494097653,14
hsa01232,4.0625081280200215,17
hsa01240,0.3669551342948594,26
hsa01250,5.549912379159189,12
hsa01320,38579.93966070129,1
hsa01521,1.4465614696412148,44
hsa01522,0.29793703391586707,58
hsa01523,1.4300162391111237,12
hsa01524,1.1275477806023406,31
hsa02010,6.139755535758768,17
hsa03008,0.9454596338588505,23
hsa03010,4.138253897723842,15
hsa03013,0.5814971603489315,23
hsa03015,1.3028726560517867,18
hsa03018,2.3729439228501152,17
hsa03020,377.6069128334867,7
hsa03022,2.0859582348096546,9
hsa03030,0.5200464135723241,14
hsa03040,0.9644288239090846,20
hsa03050,3.4794663886246986,11
hsa03060,0.5465389818224902,10
hsa03082,0.6499260080333324,28
hsa03083,0.2863955644523584,27
hsa03250,0.7125332768528766,28
hsa03260,6502.759503456922,3
hsa03264,47.814185669865566,5
hsa03265,2.570660829826742,10
hsa03266,9.867568049677947,7
hsa03267,3521.434700701012,3
hsa03272,15.184561450084399,9
hsa03273,69.78411153293773,10
hsa03320,1.1140477043753687,17
hsa03410,0.588300655335431,18
hsa03420,2.944299524479746,21
hsa03430,2.6252947227807923,10
hsa03440,89.07215483311563,9
hsa03450,18.709679155302386,7
hsa03460,1.3138123721511183,21
hsa04010,0.3485949833477608,99
hsa04012,0.7318336818709277,44
hsa04014,0.3200740772518387,80
hsa04015,0.30148600330925673,89
hsa04020,0.17278279323761805,66
hsa04022,0.436755134838835,37
hsa04024,0.21271995424869325,55
hsa04060,0.3429921597142074,36
hsa04061,0.432258886271734,16
hsa04062,0.3075394721436559,60
hsa04064,1.1658539350534438,24
hsa04066,0.5911595072248248,36
hsa04068,0.5809367296189324,56
hsa04070,0.9342523748166168,31
hsa04071,0.4486546360946625,60
hsa04072,0.6139581566254109,80
hsa04080,0.26820239123103995,50
hsa04081,1.187072544443091,42
hsa04082,0.5811986046526065,37
hsa04110,0.36560258326319095,36
hsa04114,1.1756816235742855,27
hsa04115,0.7788930775335887,19
hsa04120,0.1701837755706211,32
hsa04122,7779.865990037406,2
hsa04130,19.62837121779987,5
hsa04136,118.96499835118034,7
hsa04137,1.152371457440749,47
hsa04140,0.22759623159281137,67
hsa04141,0.45416679080039213,29
hsa04142,0.24868544881451776,28
hsa04144,0.3181890168267517,34
hsa04145,0.34402162781971474,29
hsa04146,0.24532789127925161,18
hsa04148,0.0810987837539329,40
hsa04150,0.5032951141994035,58
hsa04151,0.369327785825151,125
hsa04152,1.1879836187468917,28
hsa04210,0.4219537808479394,70
hsa04211,1.3726498618860277,45
hsa04213,1.3368240877705684,40
hsa04215,1.299571682808833,14
hsa04216,0.4281917726549365,15
hsa04217,0.09574505687930761,34
hsa04218,0.40917115993707226,62
hsa04260,3.941502429304705,17
hsa04261,1.640510051385127,28
hsa04270,0.7262199277740138,27
hsa04310,0.3118361570270854,60
hsa04330,0.463413990534207,22
hsa04340,2.0875624744237213,12
hsa04350,0.5808392636187102,25
hsa04360,0.25330551439376675,61
hsa04370,1.109123742567107,41
hsa04371,0.2421290841659219,56
hsa04380,0.47652199949897106,43
hsa04382,0.3090205760281316,40
hsa04390,1.2809552222190173,25
hsa04392,6.388375843238413,9
hsa04510,0.16457961268978344,61
hsa04512,0.07460938703771104,36
hsa04514,1.2173697691707628,20
hsa04520,0.49670566930157145,32
hsa04530,0.34449107456699823,50
hsa04540,0.8877366089932338,44
hsa04550,0.6136300702194329,60
hsa04610,4.430715063064602,16
hsa04611,0.9511317821062939,31
hsa04612,1.0591555250063627,15
hsa04613,0.49202796491434964,47
hsa04614,3.13140233244331,7
hsa04620,0.22968984460110387,25
hsa04621,0.1631575705111875,41
hsa04622,2.149413982164838,18
hsa04623,1.5721784268305714,15
hsa04625,0.4352320723040153,55
hsa04630,0.25462315080256653,38
hsa04640,0.3773621452810505,49
hsa04650,0.7406394913033785,51
hsa04657,3.163816317844143,22
hsa04658,0.2682811581602723,21
hsa04659,0.4857344985689937,21
hsa04660,0.38803932853421663,52
hsa04662,0.7543917270817954,51
hsa04664,0.37393697662176456,47
hsa04666,0.6824707444970268,24
hsa04668,0.3804944602814693,34
hsa04670,0.27005488272767497,29
hsa04672,6.7727937822236655,9
hsa04710,2.9970019798961207,11
hsa04713,0.32567237919572883,30
hsa04714,0.4414913793618656,58
hsa04720,0.562899286861349,44
hsa04721,3.0552285999526583,16
hsa04722,0.7917322256309717,53
hsa04723,0.5585059829837251,32
hsa04724,0.20270674823723156,40
hsa04725,0.8516957684864518,55
hsa04726,0.2966228916479388,52
hsa04727,0.7416345217616083,23
hsa04728,0.875781033355683,26
hsa04730,1.2241489055128685,40
hsa04740,6.655088052260465,13
hsa04742,0.38514809864408955,23
hsa04744,24.71945195745302,8
hsa04750,0.47788218033011287,25
hsa04810,0.361603655457183,72
hsa04814,0.6027800521772134,30
hsa04820,0.07816051355473452,73
hsa04910,0.5834931351328402,57
hsa04911,1.1288300902231854,30
hsa04912,0.5105741868334001,46
hsa04913,4.349014199698724,11
hsa04914,0.5895129171868965,43
hsa04915,0.39289103348910537,58
hsa04916,0.698221727085352,64
hsa04917,0.8312062547778569,50
hsa04918,0.18020519167525426,30
hsa04919,0.21903497415680245,68
hsa04920,1.8243267267919077,20
hsa04921,0.3201903322792744,61
hsa04922,0.7190244909981494,31
hsa04923,4.3555400042770644,23
hsa04924,1.3949362634333622,23
hsa04925,1.3208958170077243,30
hsa04926,0.712616181857524,53
hsa04927,1.6886945224663836,26
hsa04928,2.0693509081647234,29
hsa04929,0.9838285936146832,48
hsa04930,0.6097391795847827,21
hsa04931,0.7578901825865952,34
hsa04932,0.41442148246809085,31
hsa04933,0.7483899117259185,50
hsa04934,0.727989359343971,40
hsa04935,0.6528005312871249,60
hsa04936,0.5307607137850451,21
hsa04940,93.09578379986347,5
hsa04950,1.8849659993778178,11
hsa04960,4.679602344591463,36
hsa04961,1.7358652282843272,14
hsa04962,4.85344698042639,8
hsa04964,14.225371786933009,8
hsa04966,28.572890457209667,7
hsa04970,0.6157822726171404,35
hsa04971,0.3066529324027851,22
hsa04972,0.6230360033772221,29
hsa04973,6.936142539420137,17
hsa04974,0.4982994292634799,27
hsa04975,1.5820572870352265,17
hsa04976,2.7132160203373332,19
