pathway_name,distance,n
M00001,0.0924723138751931,137
M00002,0.28349348467138435,65
M00003,0.3802465017260568,77
M00004,0.577722026269249,49
M00005,229.18242668589318,30
M00006,9.153624388395455,27
M00007,121.55676359665189,14
M00008,8869.6537667593,11
M00009,0.425173186945815,157
M00010,0.5076386564096398,66
M00011,0.9678996329243986,97
M00012,1.9302730985968821,40
M00013,0.42700141863847074,66
M00014,0.13001268371158473,127
M00015,1.3070744923029307,37
M00017,2.1999563341452997,34
M00019,0.28024450656953986,68
M00020,18.30746514903307,31
M00027,0.27872980275051135,86
M00028,49.084108465432635,22
M00029,0.11815231949683794,86
M00032,0.6801638106630831,89
M00034,0.3771031155005288,144
M00035,0.23342427845980573,133
M00036,0.32791614326470697,142
M00037,0.5708380011045869,88
M00038,0.3527418110003321,59
M00042,0.7594795112767578,70
M00043,241.01267836390613,18
M00044,2.1830234553388657,67
M00045,1.2599258089023806,55
M00046,0.3603047245167559,43
M00047,0.3700425144776837,302
M00048,0.32136824126663294,80
M00049,0.41323084706308455,157
M00050,0.33282932461234815,137
M00051,2.430334880945885,41
M00052,0.41443007998589565,113
M00053,0.3177941676731482,324
M00055,0.8463300314134249,94
M00056,0.12954804665834463,157
M00057,0.23045747505269545,80
M00058,2.142412184449592,61
M00059,0.23057753654459298,150
M00065,0.27294446629901686,109
M00066,6.398706878891947,37
M00067,27.798820709669204,22
M00068,4.154437436543359,49
M00069,2.4595758022314107,65
M00070,10.604125104519799,49
M00071,12.379205054954475,32
M00072,0.2728689476327518,88
M00073,0.33543299816121885,80
M00074,0.4043098460010673,68
M00075,0.37257488661442245,96
M00076,1.4606669656238775,55
M00077,0.8539125502899342,74
M00078,0.3589830221724691,91
M00079,0.9977112345193442,52
M00082,0.6323063870236355,80
M00083,0.5555333960474634,49
M00085,0.7608677453712679,81
M00086,1.130443726357881,43
M00087,0.9453370204036553,91
M00088,0.4382052925906448,62
M00089,0.1423664970760578,208
M00090,1.222112803261167,50
M00091,1.6922900715223004,27
M00092,0.8527218730628238,61
M00093,2.9618424968199593,26
M00094,1.250467415248899,130
M00095,0.48868852879557834,64
M00096,114595.56699278117,5
M00098,0.2620443839140497,189
M00099,1.1576458305967594,145
M00100,4.594696535312715,62
M00101,0.09083224618127193,154
M00102,0.06073326902338031,114
M00103,1.6113233183140072,39
M00104,0.18810626742985745,148
M00106,1.3057901163181198,38
M00107,103.35424581768164,39
M00108,0.9449207085776458,60
M00109,0.505503933876604,84
M00110,15.231275708718172,43
M00113,1.185140797001712,42
M00114,8.796350202157583,32
M00115,0.8403338095936828,68
M00118,7.540971822028891,11
M00119,0.2959086589393813,68
M00120,0.47028109088579795,99
M00121,0.12584352091824896,73
M00122,1.0892497930528287,54
M00124,12.664480917884848,25
M00126,0.7225782542851668,83
M00128,0.18798968928718787,61
M00129,0.4785002095523487,98
M00130,0.2800924642737276,161
M00131,621.2725408773152,28
M00132,30.719356263350864,38
M00133,1.779106528313883,29
M00134,3.8163174756563567,21
M00135,15.207006968720153,40
M00140,0.34983137670436026,44
M00141,0.2780328454725839,51
M00143,9.497615056772231,25
M00146,0.4357301388288755,102
M00147,3.3482032454582935,38
M00148,35.84796928426362,44
M00151,4.627415225855244,34
M00152,0.8167455613438782,86
M00154,0.8775714127790482,73
M00158,1.2958305064192874,87
M00160,1.1616775372467902,69
M00165,0.20048843107224062,62
M00168,12314.094765448328,2
M00169,4.290944697247297,16
M00170,0.325423094318323,55
M00171,0.2768852580004134,90
M00172,4.346601213589559,16
M00173,1.2221176929733233,46
M00307,1.5870414629082967,78
M00308,13.790735164132569,22
M00338,345.8704593199021,9
M00344,19.82639324799431,24
M00345,0.7367403202370011,30
M00346,0.3503580810216366,72
M00357,71.18941068765831,16
M00364,116084.25703368826,5
M00365,114516.09196569414,5
M00366,5.661014412798457,15
M00367,5.819357992480831,18
M00368,1.6474470991047925,45
M00373,0.5044740363837983,64
M00374,6.523975801669286,35
M00375,1.354869764594399,51
M00376,3.4866142971253504,38
M00415,0.17744055402892556,99
M00532,0.3080980403202881,81
M00546,13.64894296240653,23
M00549,0.15539442043292206,99
M00552,13.190278216031246,22
M00554,19.638251268853665,25
M00555,13293.800513223747,8
M00565,25443.678128527536,11
M00570,0.26555216094884776,91
M00572,0.5426526492073,48
M00609,1.6333266334128127,45
M00621,1.378304014907293,32
M00632,12.81201628513781,27
M00740,0.6262765232765638,44
M00741,4.977532575582583,35
M00761,12221.313238884239,9
M00793,0.8244008418421656,37
M00840,15081.817982048164,15
M00841,5801.036377032219,11
M00842,15.39327320794681,18
M00843,3532.611301064585,13
M00844,0.2887350415482175,64
M00845,0.4759057193944278,50
M00846,6.3446348240278185,24
M00849,0.6745212085365071,61
M00854,0.9860126743180142,82
M00855,0.896496814390233,52
M00861,0.7637794009233401,73
M00862,1.4625550008925419,40
M00868,0.32916149086376983,83
M00872,0.1298249767842094,114
M00873,0.2383240817435474,101
M00874,0.546040227137367,107
M00880,2.491347293957222,43
M00881,33047.09410315662,3
M00882,41.14091003181459,17
M00883,52.78223494824383,17
M00884,33653.24544530704,3
M00885,0.47237333741331733,53
M00886,0.4899935159218009,53
M00892,0.6417978904825948,107
M00897,4524.330234135474,9
M00898,4306.774706087465,9
M00909,0.6060786244797911,86
M00911,7.569631213632449,17
M00912,0.2362674027285845,96
M00913,12077.483172323218,8
M00917,0.4858386048086332,75
M00926,0.4648794226964456,50
M00936,132.86964555824895,10
M00938,0.3080695901335106,333
M00953,1.5631728843434696,45
M00955,5.7351964412731755,58
M00957,5.541043989787125,50
M00958,0.4849312505500884,115
M00959,1.291640137137244,92
M00968,41094.227036215045,3
M00970,0.4362436727718825,214
M00972,0.3013481524461558,265
M00974,1.5321677853331532,71
M00975,0.7010570289531032,62
M00976,0.25358937408710214,113
M00977,0.2672251680253088,101
M00978,0.32189273475695396,64
M00981,132.7762797521208,10
M00982,12843.814655394883,10
M00983,0.2311464649132115,62
M00987,28.206909672712232,24
M00988,3539.193611006423,13
M00991,1.8085178727655071,23
M00992,1.859551891898583,23
M00994,42836.908120463864,14
M00995,0.6722588969029689,80
M00997,96.34464682395861,14
M00999,12204.133364357274,9
M01000,7.91577502273776,32
M01001,1.8855945983495046,32
M01002,0.6705733099152467,80
M01003,4.745958985378214,21
M01004,39021.35669067315,1
M01006,2.475017585339389,32
M01015,0.2833458565942692,70
M01016,231.31901461069342,12
M01017,35401.78778415066,8
M01018,34905.29911509758,8
M01019,35234.473843415384,8
M01020,35835.604802202346,8
M01022,0.8889314267647951,37
M01023,0.888016731529097,37
M01024,0.8703908990660985,37
M01025,0.9319365848054305,37
M01026,0.8864084477414275,37
M01027,0.9012664116116408,37
M01034,34883.739648435505,8
hsa00010,0.06557319956498327,333
hsa00020,0.4142946442095843,213
hsa00030,0.13343185075067698,140
hsa00040,0.19538086890153905,195
hsa00051,0.10120307562724677,458
hsa00052,0.10237071060699914,226
hsa00053,0.27718814440599415,140
hsa00061,0.24213227933781872,181
hsa00062,0.09002859425912829,243
hsa00071,0.17639345670180367,279
hsa00100,0.03317444931308815,225
hsa00120,0.17802988795878188,158
hsa00130,0.12856383566477153,130
hsa00140,0.08530992891559488,352
hsa00190,0.11997851716533912,410
hsa00220,0.13908249198470568,233
hsa00230,0.05443045211902007,1019
hsa00232,0.3118845685672096,77
hsa00240,0.09502167591604496,563
hsa00250,0.17053642960599982,382
hsa00260,0.2511132633136177,451
hsa00270,0.051694806078384316,335
hsa00280,0.15289580416429008,284
hsa00290,0.2629313595681043,91
hsa00310,0.03743751997448871,579
hsa00330,0.0892207108022885,538
hsa00340,0.3428647339629179,149
hsa00350,0.17423302699796722,284
hsa00360,0.32293031064586714,159
hsa00380,0.13779014657463057,262
hsa00400,0.39863298060695523,87
hsa00410,0.1524376420617074,279
hsa00430,0.21590174571510487,144
hsa00440,0.8244097684374787,53
hsa00450,0.1923768780281271,153
