pathway_name,distance,n
M00001,12422.333186209255,4
M00002,16789.532158668775,2
M00003,22277.091640680057,1
M00009,7488.405296095416,2
M00011,7418.85150907795,2
M00014,6108.078391756139,3
M00017,19200.060313196223,1
M00019,22043.04324383475,1
M00020,21015.75540047472,1
M00027,21056.539193470282,1
M00029,22778.162930633134,1
M00032,19719.201817065717,2
M00034,9766.917497992548,2
M00035,14953.6350960771,4
M00036,6256.32574719722,3
M00037,19242.699737045652,1
M00042,20260.108351121486,1
M00044,23934.011880430724,1
M00045,7247.4498082296695,2
M00047,19905.185294950745,2
M00048,19972.903876455133,1
M00049,11397.952161938503,2
M00051,20366.575199693998,1
M00055,17948.166621970093,2
M00056,16828.724486604035,3
M00057,16456.4025095466,1
M00058,20813.14118081868,1
M00059,145.79058239686395,5
M00065,18412.930770361032,1
M00066,18892.186191177625,1
M00067,22121.272729320408,1
M00068,17956.580571586546,1
M00069,19063.119386900216,1
M00070,15723.512729669208,1
M00071,18720.61355064868,1
M00072,16249.131330952085,2
M00075,16922.228199364017,2
M00076,23940.323979407272,1
M00077,23610.344272033002,1
M00078,21085.372468572306,1
M00082,18953.28200170714,1
M00085,7000.198374994328,2
M00086,69574.99165362763,1
M00087,691.9755576305095,6
M00088,20931.08123196386,1
M00089,318.7517913838419,5
M00090,9991.271383375146,2
M00091,25381.817657121195,1
M00092,7683.95113709963,3
M00093,16700.196394916024,2
M00094,14459.074663288411,2
M00095,21254.14709664138,1
M00098,13385.116971782965,3
M00099,15252.29771373731,2
M00100,42930.822455653346,1
M00101,15637.354309162014,3
M00102,15687.332759541336,3
M00104,10258.388886664563,2
M00106,22932.300411294447,1
M00113,19261.38721434378,3
M00114,21835.739382614393,1
M00115,20890.465134391157,1
M00119,21953.109480449606,1
M00120,13460.299788338005,4
M00122,15643.123820896528,2
M00124,20880.91230700523,1
M00126,176755.38436813565,1
M00128,10816.532887047053,3
M00129,15053.32070024814,2
M00130,13236.04433588459,2
M00135,21993.52232770602,1
M00140,21582.34314031185,1
M00141,19716.27615833938,1
M00142,95.0385708296517,9
M00143,19927.186004672414,1
M00151,1313.2012255764478,5
M00152,1219.5932394898125,6
M00154,30.496200995662065,7
M00160,69169.81362631283,2
M00165,21447.69055965156,1
M00170,22261.518928597863,1
M00171,21749.433729534656,1
M00307,21024.349710025417,1
M00344,20794.932608008705,1
M00345,13848.06913176615,2
M00346,20265.70644433611,1
M00366,131414.1344106583,1
M00367,142050.63962162586,1
M00368,17593.015773947016,1
M00373,20587.9809378535,1
M00374,24725.715997871393,1
M00375,23986.74005936599,1
M00415,144701.1348176725,1
M00532,22225.018988074924,1
M00549,7461.991382363061,2
M00554,20663.587324299322,1
M00570,22059.864457699477,1
M00609,17271.52846329445,1
M00621,20223.707858214493,1
M00632,20088.5185355177,1
M00740,15693.205760112587,1
M00844,23401.87744856242,1
M00849,21113.375585486585,1
M00854,18888.128273378912,1
M00855,21238.52111240063,2
M00861,18039.459281422303,3
M00872,12610.689353687361,2
M00873,19945.518955936506,1
M00874,18024.089868363473,1
M00882,19832.10911739783,1
M00883,18078.428946047487,1
M00885,18624.08697636991,1
M00886,18835.099876853645,1
M00892,6777.757343062982,2
M00909,104349.72918668445,1
M00912,20806.660055555858,1
M00938,15745.961166660476,1
M00953,17411.4214591897,1
M00955,18986.86396737311,1
M00957,22412.3635390377,1
M00958,14996.846667968068,2
M00959,15058.415469018775,1
M00972,20091.207401956555,2
M00974,8632.042017518535,2
M00975,22000.259019951485,1
M00978,22879.67200905775,1
M00995,116527.31225338724,1
M01000,21824.48030544609,1
M01001,18763.317609093814,1
M01002,118249.22292923849,1
M01006,20846.3378040565,1
M01015,7420.948607059784,2
hsa00010,75.90201684434172,5
hsa00020,7520.908742997286,2
hsa00030,11969.576126000487,2
hsa00040,6286.184594138591,3
hsa00051,6.0108047496467,7
hsa00052,10.584643258508247,5
hsa00053,5985.047108482537,3
hsa00061,7772.735840726501,2
hsa00062,4086.3740835886224,4
hsa00071,124.44519280082146,7
hsa00100,15564.132144362069,4
hsa00120,10687.36024003045,2
hsa00130,11495.83884829607,3
hsa00140,7498.555973412987,3
hsa00190,0.40612011187691016,25
hsa00220,15795.776215183561,2
hsa00230,6.4819523482911965,10
hsa00232,25361.494616026375,1
hsa00240,3789.756006174417,5
hsa00250,10862.676975241813,4
hsa00260,7844.658937012725,3
hsa00270,344.9700339171734,5
hsa00280,112.88506740592213,7
hsa00290,21782.98822129743,1
hsa00310,17.63223425217433,11
hsa00330,6402.892884319185,4
hsa00340,8052.554176885506,2
hsa00350,11764.919813104309,2
hsa00360,23055.48762931054,1
hsa00380,20484.651759473214,2
hsa00400,22307.962229409324,1
hsa00410,20145.977553045253,2
hsa00430,22846.402290108435,1
hsa00440,15762.205953074796,2
hsa00450,14747.963986733183,4
hsa00480,9948.856565516282,3
hsa00500,15.468674166533729,6
hsa00510,12946.253638871065,5
hsa00512,17006.602839273666,4
hsa00513,12930.927068377312,5
hsa00514,17179.06166049732,4
hsa00515,8436.8862301626,4
hsa00520,6456.790771749434,3
hsa00524,73820.55503010466,1
hsa00531,21035.041202885663,2
hsa00532,17599.282354693976,1
hsa00533,11473.61761010319,2
hsa00534,13.4867626053761,6
hsa00541,20156.22326872753,1
hsa00561,58.79675699461279,8
hsa00562,190.29801218000847,6
hsa00563,14300.464749437624,2
hsa00564,29.560330403385073,9
hsa00565,4446.564498032426,4
hsa00590,24121.195548322015,1
hsa00591,23418.22169770982,1
hsa00592,17483.627574695318,3
hsa00600,4342.83539284623,3
hsa00601,17364.799212989623,1
hsa00603,19967.974798006384,1
hsa00604,15527.524939145693,2
hsa00620,10416.665106639877,2
hsa00630,21312.552154178367,1
hsa00640,6858.011617905147,3
hsa00650,8681.34047174722,3
hsa00670,11722.198749705567,2
hsa00730,17257.525236933125,2
hsa00750,24888.00016458031,1
hsa00760,126.25650393091449,7
hsa00770,15946.910755109453,4
hsa00780,95087.0410012676,1
hsa00785,19272.68459521113,1
hsa00790,18132.002305665075,3
hsa00830,15130.593890626002,3
hsa00860,219.44412005824555,5
hsa00900,14396.439883527226,2
hsa00910,17418.397531657134,1
hsa00920,18166.74121477141,3
hsa00970,61.2332193933111,9
hsa00980,14924.010249654186,3
hsa00982,15245.815961336795,3
hsa00983,5650.093238066768,4
hsa01040,636.616032148819,5
hsa01100,0.06331576673533539,101
hsa01200,27.254580744938256,7
hsa01210,19999.74241417758,1
hsa01212,62.952606044694726,8
hsa01230,5670.154026924528,5
hsa01232,244.5681947102381,7
hsa01240,15.39253978557461,13
hsa01250,6195.97305803316,3
hsa01521,2.836274086065357,15
hsa01522,6.244099942539527,21
hsa01523,12253.7573678626,2
hsa01524,14656.590856196994,2
hsa02010,16054.501299694592,1
hsa03008,63.94669207023809,9
hsa03010,36.893594004863075,9
hsa03013,20.07528607039356,8
hsa03015,180.58950840759,7
hsa03018,209.84315538619612,5
hsa03020,6387.110932478504,3
hsa03022,6411.915652837939,4
hsa03030,14049.196295407892,2
hsa03040,5.544254217041243,15
hsa03050,153932.95838379208,2
hsa03060,169934.52152977104,2
hsa03082,42.65191886757826,15
hsa03083,0.48133144785669263,17
hsa03250,5.278366474409418,10
hsa03260,114837.43297312951,2
hsa03264,117698.49580257547,3
hsa03265,127753.87151697745,2
hsa03266,13173.08158515743,3
hsa03267,71774.75957732684,1
hsa03272,3054.9625008699527,4
hsa03273,19367.243729344336,1
hsa03320,8.42827816714278,12
hsa03410,13139.03321469379,4
hsa03420,5916.824716878835,4
hsa03430,168221.31250608174,2
hsa03440,11361.931895616672,1
hsa03450,16246.75867976077,1
hsa03460,8595.983560890054,5
hsa04010,0.17793134211982664,35
hsa04012,1.4668863713475804,14
hsa04014,0.31874295857625246,24
hsa04015,0.14293473891101371,26
hsa04020,0.19529930611793236,30
hsa04022,2.9258038690737234,14
hsa04024,0.3434429448971879,23
hsa04060,0.3091903007324694,16
hsa04061,11147.818639338087,4
hsa04062,0.3547892974638692,19
hsa04064,134.02890741319786,8
hsa04066,1.9098948371528448,13
hsa04068,0.213753748523764,17
hsa04070,79.22622074172628,6
hsa04071,6.571868777607897,14
hsa04072,0.35002656081734423,20
hsa04080,0.2604491889089879,26
hsa04081,1.6385550938871034,20
hsa04082,1.6693063144830564,19
hsa04110,0.8744942299344112,21
hsa04114,42.936403199914004,10
hsa04115,8.212499959142281,6
hsa04120,10.23537970120552,10
hsa04122,20886.78510388137,1
hsa04136,6835.036694960469,2
hsa04137,1.9526030802591632,14
hsa04140,1.1813508389151481,15
hsa04141,8.652319403285183,12
hsa04142,1.9375224167020486,12
hsa04144,0.37286346915569973,21
hsa04145,0.8138570975869636,15
hsa04146,13.94038860046027,11
hsa04148,0.38883651086794685,27
hsa04150,0.5396289732285513,14
hsa04151,0.15791248192338683,53
hsa04152,1.3913407239834172,13
hsa04210,3.7570713538303884,11
hsa04211,0.917959289311154,11
hsa04213,97.51234824203254,7
hsa04215,9930.3781572542,2
hsa04216,60.786349124002435,6
hsa04217,0.7695754664014752,18
hsa04218,1.9801742581572646,22
hsa04260,0.3452874953561754,17
hsa04261,0.4673980402478085,14
hsa04270,20.679091603280547,12
hsa04310,0.6677325294705169,23
hsa04330,1.4477891750910177,10
hsa04340,2.4625697294593345,8
hsa04350,1.9784145008117682,11
hsa04360,0.2652693357696241,31
hsa04370,65.72084388546163,7
hsa04371,0.7431229479476248,15
hsa04380,3.7515552720954553,10
hsa04382,1.2722283517318491,22
hsa04390,2.602573280811425,16
hsa04392,5.908018363770115,8
hsa04510,0.11835800361370548,34
hsa04512,0.44658836941914315,27
hsa04514,0.3133777360468504,15
hsa04520,6.232661658253485,9
hsa04530,1.382150605017211,24
hsa04540,0.44885288101676923,10
hsa04550,1.27178287016251,13
hsa04610,4.252237079166061,13
hsa04611,6.9932130778324035,13
hsa04612,4741.358721674797,6
hsa04613,0.4032553342699214,18
hsa04614,6832.174704182092,3
hsa04620,12.502155512854058,7
hsa04621,0.603178837767842,20
hsa04622,3.2583597781484603,9
hsa04623,5.184577006502316,9
hsa04625,87.44575317930314,12
hsa04630,2.1269357837430594,18
hsa04640,0.5461391834832989,13
hsa04650,0.27603418680728237,21
hsa04657,431.4109065595826,5
hsa04658,2.070860470462067,13
hsa04659,2.039279621902956,18
hsa04660,19.922218200992788,13
hsa04662,209.32773670663772,8
hsa04664,18058.907353256156,5
hsa04666,0.9418330597796497,11
hsa04668,7.8791817810049745,12
hsa04670,0.8915912069073143,16
hsa04672,1121.9136584668142,6
hsa04710,9400.226225407892,3
hsa04713,39.47191397199954,8
hsa04714,0.3343867539360282,38
hsa04720,1.469692057037692,14
hsa04721,35.178099889961615,6
hsa04722,3.0618641338514236,11
hsa04723,0.9919397183706439,19
hsa04724,1.1822167559247596,20
hsa04725,2.7140378837618426,10
hsa04726,2.182700514931167,11
hsa04727,2.9185758928126653,10
hsa04728,10.303676367882252,9
hsa04730,5.383593975747711,7
hsa04740,0.6535141642432302,18
hsa04742,68.15381899941549,6
hsa04744,87473.7532644143,2
hsa04750,4.1237876287424555,6
hsa04810,0.3142569340915985,26
hsa04814,1.2689887203219588,21
hsa04820,0.298094786596043,41
hsa04910,8.434801543064536,16
hsa04911,24.983635741026387,7
hsa04912,2.103043903245982,12
hsa04913,52334.08192070796,3
hsa04914,5.953523818742383,9
hsa04915,9.119420476756824,10
hsa04916,0.7572379322112526,11
hsa04917,102.3374873298005,9
hsa04918,1.484027767167093,12
hsa04919,0.38869894929526805,23
hsa04920,1.1149429841426857,10
hsa04921,1.8592379229979255,17
hsa04922,1.0571503860838585,11
hsa04923,209.72400621103765,6
hsa04924,201.06596901482686,6
hsa04925,0.6256064236640587,9
hsa04926,2.5841172033532023,16
hsa04927,224.27882890700124,7
hsa04928,0.31052849374387953,19
hsa04929,131.94834763552532,7
hsa04930,67.78101463919869,5
hsa04931,5.085372393205811,12
hsa04932,2.963728254168238,19
hsa04933,4.219132176445269,14
hsa04934,0.43355841258478833,18
hsa04935,0.3384030739283467,17
hsa04936,6.847819085487022,12
hsa04940,57546.552751561474,3
hsa04950,14823.057495073032,1
hsa04960,12183.933255893495,2
hsa04961,20.53693818865193,7
hsa04962,94.28427714294088,5
hsa04964,15037.73356798688,1
hsa04966,72482.20849592016,2
hsa04970,1.6248348430621993,11
hsa04971,3062.7510264979883,4
hsa04972,97.16764980494638,6
hsa04973,18383.089715308393,4
hsa04974,19.3451332088347,14
hsa04975,363.01429797170806,6
hsa04976,203.63573632065408,5
hsa04977,1771.2392598091606,6
hsa04978,24.08789893011856,10
hsa04979,6572.8999239195455,4
hsa04980,11948.948050139144,5
hsa04981,12889.913227031802,2
hsa05010,0.4204802074284736,46
hsa05012,0.28211859512331766,34
hsa05014,0.21040464177074686,48
hsa05016,0.1108358954979403,47
hsa05017,0.8076857256003138,16
hsa05020,0.24058534656345965,35
hsa05022,0.206345989414413,56
hsa05030,20.12224160308331,7
hsa05031,649.1527849147916,6
hsa05032,149.88149568079282,7
hsa05033,14588.142144864281,3
hsa05034,1.5727779976093856,13
hsa05100,12.375042742434434,11
hsa05110,58.79434324304403,6
hsa05120,12860.90578851326,5
hsa05130,0.15582171428684946,23
hsa05131,0.613647399361955,22
hsa05132,1.5457179465763413,19
hsa05133,15779.397955593739,3
hsa05134,272.46775464548523,7
hsa05135,4.0541076545227215,20
hsa05140,5.8740417939568825,12
hsa05142,20.011374553830535,9
hsa05143,57.75586030661892,10
hsa05144,15.607152402063907,14
hsa05145,18.538109807606002,13
hsa05146,1.186403529609513,17
hsa05150,3.8573798796925534,12
hsa05152,0.5750499863226678,21
hsa05160,0.46433601834615085,24
hsa05161,0.3809335216213551,33
hsa05162,1.0799548801199736,14
hsa05163,0.17466669474865462,32
hsa05164,0.32074448544172107,23
hsa05165,0.1566533286971116,55
hsa05166,0.2543529601109153,34
hsa05167,0.3804804776483289,30
hsa05168,0.3283103705071779,19
hsa05169,0.4951587152162102,22
hsa05170,0.4680185204605381,25
hsa05171,0.40756911268209073,29
hsa05200,0.1015466141359414,57
hsa05202,0.6156028203505768,17
hsa05203,2.2098703173080643,16
hsa05204,15504.219538636007,2
hsa05205,0.21525837909204515,35
hsa05206,0.24236776815560648,33
hsa05207,1.667789528664443,20
hsa05208,0.23741055666350175,34
hsa05210,9.965301740282989,13
hsa05211,0.5153832848371334,13
hsa05212,7.690532689523647,15
hsa05213,727.7279991848255,6
hsa05214,2.7521836167658034,14
hsa05215,0.3834655460416726,23
hsa05216,3876.87958859551,5
hsa05217,4516.6786545675395,4
hsa05218,4.357074723713517,12
hsa05219,6.9209054318811205,10
hsa05220,2.717733335216266,14
hsa05221,1.2012827838587998,11
hsa05222,1.3323364164001847,16
hsa05223,2.65270464501476,17
hsa05224,0.7067558286474257,19
hsa05225,4.935382007896095,22
hsa05226,4.906143462904474,18
hsa05230,1.6288025530918369,11
hsa05231,4.451052387181991,11
hsa05235,0.929208011998191,17
hsa05310,40064.09881644251,3
hsa05320,312.3547169306752,6
hsa05321,5.036107600658126,10
