pathway_name,distance,n
M00001,0.20750345210678792,183
M00002,0.7148569633632572,63
M00003,0.38385462065673,93
M00004,5.0911419394161745,28
M00005,65.03574480775318,41
M00006,113655.81170540354,5
M00007,33.04743547243836,22
M00009,0.29302060951720743,206
M00010,1.1719227823617007,99
M00011,0.44126007524205363,114
M00012,1.7651543090450668,84
M00013,0.23091431977432866,89
M00014,0.22894525937813823,142
M00015,1.2519655121477833,45
M00017,2.3775816447532825,30
M00019,3.039546703880957,74
M00020,15.701964212288928,20
M00027,0.3938941851519883,73
M00028,11.360050407857765,25
M00029,0.3267693144440388,55
M00032,0.28775792963586616,162
M00034,0.5251607109630784,189
M00035,0.1533920573510411,159
M00036,0.19659964739707614,192
M00037,0.14713510753903242,119
M00038,1.365405528798269,73
M00042,0.13079203748989626,84
M00043,1756.1919387677915,11
M00044,0.3659129919157964,59
M00045,1.0916902357078957,40
M00046,11.818868699139104,19
M00047,0.3313728756933058,260
M00048,0.5718006456058237,79
M00049,0.515047286897643,131
M00050,0.504463622323056,162
M00051,0.3036460376657555,46
M00052,0.5931663778458269,106
M00053,0.24216917306009308,244
M00055,0.25039170419464934,63
M00056,0.20360172467329152,210
M00057,3.023209097208558,64
M00058,0.5973713813720214,58
M00059,0.26386421348911726,155
M00065,0.6808042277712044,73
M00066,0.19478406971916537,54
M00067,8.141862425288528,24
M00068,0.4762937154647092,69
M00069,0.5784756964814232,64
M00070,0.705233964112295,64
M00071,0.3795992377584092,53
M00072,0.5647099285457196,112
M00073,0.690079409991641,62
M00074,1.9153341069337029,53
M00075,0.1284689247909758,123
M00076,0.6297539501062578,93
M00077,0.37483074019396806,135
M00078,0.4505659130282443,95
M00079,0.7675891871311818,81
M00082,0.24379191238783607,87
M00083,9.341909496924092,42
M00085,0.6335965332296084,82
M00086,20.959111822630465,38
M00087,0.41244127207407966,104
M00088,0.33643445806927613,82
M00089,0.26389290105339014,181
M00090,0.9192419527397485,31
M00091,3.560206876260234,25
M00092,0.5832676209164206,50
M00093,3.98685206755759,31
M00094,0.33953445653095293,122
M00095,0.32242268310287203,87
M00096,17464.00290210775,4
