pathway_name,distance,n
M00001,0.23433612475423696,103
M00002,0.24869008354970407,61
M00003,0.15417014467373458,89
M00004,0.18831714547044123,52
M00005,4.718127977526004,41
M00006,4.010543146781235,23
M00007,2.1465197367289957,32
M00008,7.527291542240983,17
M00009,0.3220935255133996,121
M00010,2.900849478180717,43
M00011,0.3257696368732148,88
M00012,1.5054529596671808,45
M00013,0.389729924321993,123
M00014,0.15829145834847488,111
M00015,0.6575137857045711,46
M00017,1.6309164491877375,81
M00019,2.0719718353896566,33
M00020,2.3583295574836507,36
M00027,0.7311819281366512,117
M00028,13.406811574473823,13
M00029,0.5157483677703445,74
M00032,0.2586158731942107,118
M00034,0.42816663193377424,172
M00035,0.2663475058347272,163
M00036,0.1063821979486648,182
M00037,0.29527239081229056,141
M00038,0.5349495012793032,61
M00042,0.5610727660455549,120
M00043,20537.110902145774,1
M00044,0.5358694453309899,66
M00045,7.04270071268631,27
M00046,18.619298461920668,17
M00047,0.5914659876848551,142
M00048,1.4991581254897228,83
M00049,0.48957019807747565,99
M00050,0.46998514578464384,74
M00051,11.632566727948323,37
M00052,1.1099790849310018,55
M00053,0.941518142128496,78
M00055,0.26942799145777846,86
M00056,0.2368010401865649,115
M00057,2.1832208792155927,34
M00058,1.1757003346862016,47
M00059,0.2394786788403192,96
M00065,1.7262473121280746,48
M00066,2.5171461115268876,25
M00067,5.405682603469804,25
M00068,9.041253001352903,36
M00069,0.8309194961264671,54
M00070,2.004986912679432,27
M00071,4.593505764776701,28
M00072,0.2547531228999805,76
M00073,0.6429032198429991,54
M00074,2.22563613641327,41
M00075,0.6247641601536608,70
M00076,0.2960415113777245,68
M00077,0.24779890303450178,82
M00078,0.3110523083757746,81
M00079,0.15338815839372044,44
M00082,0.36153053566950905,82
M00083,0.2155123891595434,52
M00085,0.25682258962481774,84
M00086,0.37085082659982466,41
M00087,0.3456476893506189,104
M00088,0.8262397768058707,127
M00089,0.2741479667526277,166
M00090,1.7229924903121292,40
M00091,1.798116068232774,77
M00092,0.3360714065538457,59
M00093,5.4736198774280425,36
M00094,0.223943736694306,91
M00095,0.895409650162379,136
M00096,12.306219203613146,11
M00098,0.46812858830191817,170
M00099,0.1755802154928284,131
M00100,1.0818050171736153,40
M00101,0.33869902057788,188
M00102,0.37272062321095967,161
M00103,1.2022239980966927,19
M00104,0.8672733759234798,173
M00106,1.6612074824080467,39
M00107,8.009554554990906,26
M00108,1.014909158316535,36
M00109,0.15281927116968969,61
M00110,0.9744656369963691,51
M00113,0.4699617835965207,52
M00114,1.5076431250457296,21
M00115,1.4702138352182097,59
M00118,4.458775171526175,26
M00119,2.060294689020302,33
M00120,0.20371780210024681,109
M00121,0.6843672225688163,126
M00122,1.1569900256637244,89
M00124,3.6213155588355126,21
M00126,0.6344608857276531,65
M00128,0.9601334471747599,107
M00129,0.20316443249429753,93
M00130,0.10911290440920685,105
M00131,59.6598840986209,21
M00132,0.967167294636163,58
M00133,1.452024085839819,101
M00134,1.0788506644601343,27
M00135,0.43064763585254096,64
M00140,0.6404868999565219,95
M00141,0.3278740164995775,112
M00142,0.06195793573566475,46
M00143,2.158953015619809,39
M00146,0.37038622435423174,81
M00147,1.0684189665706494,47
M00148,1.628705067347134,27
M00151,0.5323243160576249,31
M00152,0.37639050329605195,66
M00154,0.10899968261292511,115
M00158,0.42111113999789923,90
M00160,0.3011634164955587,100
M00165,0.4228610427369649,61
M00168,43.38120696447678,17
M00169,16.38762725743042,33
M00170,0.5489674795451489,56
M00171,0.4655431894605845,72
M00172,17.2824672208035,33
M00173,2.1772251592754435,48
M00307,1.0300776344161353,57
M00308,106.15161653170442,13
M00338,25.76549283353545,23
M00344,7.906850133212487,37
M00345,0.7714367699491359,28
M00346,0.23569853986796657,133
M00357,0.9155684622131502,26
M00364,12.206234354952237,11
M00365,12.275920801077314,11
M00366,1.7891681406892632,33
M00367,1.5886552299916177,40
M00368,1.2894946860871925,102
M00373,0.6757174462999551,124
M00374,5.258104063725871,29
M00375,0.6071390787474662,95
M00376,1.0809372968960647,96
M00415,0.14446296149171994,96
M00532,0.2160831526632742,162
M00546,46.39081564061665,17
M00549,0.4592585902752906,54
M00552,108.54947269156268,13
M00554,1324.5778382428255,23
M00555,14466.7531175199,9
M00565,18947.435970893683,7
M00570,0.9200312379583273,49
M00572,0.19146083336953296,52
M00580,8591.090694701048,6
M00609,0.6678993165349724,102
M00621,1.090234317832053,105
M00632,3.4391273929356148,44
M00740,0.8534274097194984,31
M00741,0.7872025803014587,102
M00761,7483.894126654856,6
M00793,51.323453739337154,26
M00840,137308.76181778513,4
M00841,5079.766934536897,10
M00842,1.728806733064317,33
M00843,5.732528809190836,26
M00844,0.625151412149308,58
M00845,0.8150715654371439,51
M00846,1.260018047604769,78
M00849,0.8974592523724021,136
M00854,1.5393564403326299,38
M00855,1.3503520426085975,35
M00861,0.39106464615055037,89
M00862,0.41703356306678907,51
M00868,0.9262402009735761,121
M00872,0.3070944758230998,118
M00873,0.5600536295454869,155
M00874,0.21879157445812106,117
M00880,32.65671960413598,41
M00882,16314.094323441654,6
M00883,15046.424776643473,6
M00885,0.39848744938941855,50
M00886,0.39945148930676616,50
M00892,0.2877862939212468,82
M00897,14563.27772633835,11
M00898,14882.337718534649,11
M00909,0.33232836976708185,72
M00911,194.0756788568127,26
M00912,0.6034231447377221,75
M00913,3.467019843991683,34
M00917,0.7057151845024702,130
M00926,1.8074365415914642,107
M00936,3.11955469446392,26
M00938,0.24728446095298823,83
M00953,0.6806527804380905,102
M00955,0.952438208094712,59
M00957,0.4145242814744413,61
M00958,0.4681732321786405,158
M00959,0.9454897740132803,136
M00968,3335.680105089964,6
M00970,2.1703683392114965,41
M00972,0.682579569829345,65
M00974,0.6315850772592699,121
M00975,0.6506700639257134,98
M00976,0.5771763069150324,78
M00977,0.3083182168046965,81
M00978,0.5974551178256414,61
M00981,3.0435675527711976,26
M00982,56.40211977351266,23
M00983,0.47197259926837976,111
M00987,59.80307392404515,14
M00988,5.496286848481605,26
M00991,1.3314467686502798,83
M00992,0.8019192188906479,83
M00994,16745.985476933456,8
M00995,0.3839832550715249,50
M00997,15.751580599140416,22
M00999,7313.4646413086175,6
M01000,1.4983661675692859,21
M01001,2.3423605279101984,40
M01002,0.3704810623066696,50
M01003,0.22264548016693808,42
M01004,12474.714991521152,4
M01006,1.2995851127354707,21
M01015,0.6073650269131877,48
M01016,17.479283479653844,14
M01017,5384.195989247125,10
M01018,5369.377908720686,10
M01019,5390.552117538856,10
M01020,5390.392873399958,10
M01022,113.66779751118995,26
M01023,111.961807839026,26
M01024,111.25095223909274,26
M01025,109.2773538305363,26
M01026,51.87877114314451,26
M01027,110.65309927826813,26
M01034,5495.911129380022,10
hsa00010,0.17285708405365488,327
hsa00020,0.406443416842228,173
hsa00030,0.059098643982124346,112
hsa00040,0.1441934938473373,158
hsa00051,0.08281197015248186,198
hsa00052,0.1508867034161268,167
hsa00053,0.10348713102504667,132
hsa00061,0.38510501064891833,201
hsa00062,0.40271489218871276,238
hsa00071,0.2207862323111278,306
hsa00100,0.3573886210291568,231
hsa00120,0.6234784846810235,178
hsa00130,0.6496638722651207,138
hsa00140,0.2640725346315128,290
hsa00190,0.0939313786682824,444
hsa00220,0.2642136978157849,169
hsa00230,0.1416652719855135,608
hsa00232,0.38225398951415623,70
hsa00240,0.10361215519518617,350
hsa00250,0.07178103296871728,352
hsa00260,0.09133191820176365,289
hsa00270,0.22683102742877617,334
hsa00280,0.08049728847941669,323
hsa00290,0.9569121288590684,49
hsa00310,0.08890497566788211,576
hsa00330,0.24517744384002116,326
hsa00340,0.32934600367568784,202
hsa00350,0.19768440872949158,245
hsa00360,0.20918082971079321,120
hsa00380,0.12488962090580782,326
hsa00400,0.2994694136609628,84
hsa00410,0.20285628772572925,298
hsa00430,0.326958711939661,211
hsa00440,1.0646606192952004,42
hsa00450,0.23875897464557183,218
hsa00470,0.5296698157645264,60
hsa00480,0.2239501293695609,270
hsa00500,0.0882592644898015,191
hsa00510,0.1162662672868894,245
hsa00511,0.22043539036958446,91
hsa00512,0.36346104572215615,140
hsa00513,0.029037581788207156,221
hsa00514,0.09347959525282491,182
hsa00515,0.08770275775662308,168
hsa00520,0.0371675351317073,203
hsa00524,0.7101626110028786,37
hsa00531,0.19812809512405638,129
hsa00532,0.36199915746617223,114
hsa00533,0.21501287322140716,79
hsa00534,0.2784420605985307,130
hsa00541,0.29267072671780553,132
hsa00561,0.21439684607624596,407
hsa00562,0.09240565569161913,538
hsa00563,0.23571138203686387,203
hsa00564,0.20688657316008693,496
hsa00565,0.19772066924118187,221
hsa00590,0.15906882433962652,309
hsa00591,0.08978883813737538,129
hsa00592,0.22742152913193917,133
hsa00600,0.0938703089557333,226
hsa00601,0.2362325719214626,91
hsa00603,0.8197238777604776,63
hsa00604,0.13548567353342522,113
hsa00620,0.12418721193947581,271
hsa00630,0.24894109418157187,235
hsa00640,0.20178290538684326,251
hsa00650,0.2771597087697083,220
hsa00670,0.14417377422949354,274
hsa00730,0.23800023953169458,163
hsa00740,0.436227237932745,85
hsa00750,0.4314911425863469,52
hsa00760,0.09657776630754239,294
hsa00770,0.047308781832608005,224
hsa00780,0.28366172872440626,59
hsa00785,0.2567639915214133,200
hsa00790,0.259659148511525,167
hsa00830,0.25164052437101525,403
hsa00860,0.1827493332274929,259
hsa00900,0.4533929013242744,197
hsa00910,0.31702550944068075,70
hsa00920,0.4838018545690446,134
hsa00970,0.16831440009418136,369
hsa00980,0.1530606251551616,299
hsa00982,0.15737937179103514,282
hsa00983,0.29342166487448756,334
hsa01040,0.276282376937079,164
hsa01100,0.047554110628085844,4124
hsa01200,0.26872491338588744,467
hsa01210,0.2608276406716338,279
hsa01212,0.17234202171786578,373
hsa01230,0.24262154100692673,400
hsa01232,0.09636963040943979,402
hsa01240,0.13627737613319751,727
hsa01250,0.1093069754294871,241
hsa01320,60.21721327750047,14
hsa01521,0.14187553645723902,499
hsa01522,0.08175940091799891,660
hsa01523,0.19011610780415547,310
hsa01524,0.15235683557791646,377
hsa02010,0.04332460492256717,397
hsa03008,0.11241981027793266,504
hsa03010,0.06538931010943969,343
hsa03013,0.07169063802635535,588
hsa03015,0.06185492017689417,545
hsa03018,0.09926661535103815,391
hsa03020,0.06397856864861855,131
hsa03022,0.07265804399652967,244
hsa03030,0.117054164030694,180
hsa03040,0.03346455184041089,560
hsa03050,0.12914149158857208,233
hsa03060,0.4204589138719357,166
hsa03082,0.09463835610844537,735
hsa03083,0.10626843087293908,569
hsa03250,0.04889069309121895,453
hsa03260,0.7686949372831577,68
hsa03264,0.23055434169965056,65
hsa03265,0.09737434832777743,160
hsa03266,0.275921382515599,131
hsa03267,0.7610285527982622,53
hsa03271,5.443798509196721,28
hsa03272,0.051913833912051656,242
hsa03273,0.17820670033744726,197
hsa03320,0.170056571839338,445
hsa03410,0.13317034760754382,316
hsa03420,0.06623905338279137,245
hsa03430,0.1382369923305761,160
hsa03440,0.062424578970579,303
hsa03450,0.3847346488866816,111
hsa03460,0.0725522338969575,349
hsa04010,0.047982902644018416,1233
hsa04012,0.19469029281482064,470
hsa04014,0.027501198163979484,947
hsa04015,0.10573074154027891,1142
hsa04020,0.061513014487648766,1312
hsa04022,0.1205918453430326,851
hsa04024,0.05003692804682779,1028
hsa04060,0.05885034589100505,746
hsa04061,0.1712823171554509,320
hsa04062,0.07275923647249201,754
hsa04064,0.057835972698094894,454
hsa04066,0.10917864961452656,527
hsa04068,0.05478940896824534,696
hsa04070,0.06266561571967064,499
hsa04071,0.0899516937395077,571
hsa04072,0.13127272542268723,787
hsa04080,0.056610593540530975,998
hsa04081,0.03917906145855031,742
hsa04082,0.10736983722351433,720
hsa04110,0.06360932804801987,806
hsa04114,0.08354426555014247,550
hsa04115,0.1155745494079718,491
hsa04120,0.02183365861670198,727
hsa04122,0.26937152902751366,42
hsa04130,0.2907231601770968,103
hsa04136,0.06141687168116764,197
hsa04137,0.03167413072206833,622
hsa04140,0.026619957060803154,846
hsa04141,0.05047207089429176,692
hsa04142,0.03848082994461628,614
hsa04144,0.03295800530198802,963
hsa04145,0.07075791225172766,580
hsa04146,0.2088766753068332,504
hsa04148,0.02861180715331077,936
hsa04150,0.12573121626012548,739
hsa04151,0.02855996284487027,1560
hsa04152,0.05121273844078004,642
hsa04210,0.029611551020908268,712
hsa04211,0.06793080023700558,543
hsa04213,0.16734584715408513,333
hsa04215,0.20308077943956504,230
hsa04216,0.08458240988704774,377
hsa04217,0.03407873871697197,605
hsa04218,0.041450472917021,797
hsa04260,0.09202996228479025,458
hsa04261,0.04712114308778025,710
hsa04270,0.11095110432321424,638
hsa04310,0.051958711894817405,829
hsa04330,0.05384593904513333,497
hsa04340,0.1108829804718672,383
hsa04350,0.08426173887645891,549
hsa04360,0.03522670156465297,1002
hsa04370,0.05727395521521556,356
hsa04371,0.14181787087709694,752
hsa04380,0.13020240117845855,581
hsa04382,0.05820721355060957,800
hsa04390,0.02642219242861404,660
hsa04392,0.110520848352138,216
hsa04510,0.03368355869372228,1138
hsa04512,0.09166934385216557,657
hsa04514,0.08470933745094128,588
hsa04520,0.029616801923946275,645
hsa04530,0.05714969643493463,947
hsa04540,0.1349546089440923,531
