pathway_name,distance,n
M00001,207.48362899575358,5
M00002,8776.200513762544,2
M00003,15400.306551466549,4
M00004,48241.187769873366,1
M00005,27862.16023916291,1
M00007,46899.62156600498,1
M00009,7397.570701324017,5
M00010,23496.232594829573,2
M00011,17939.565612886017,3
M00012,224034.83839870006,1
M00013,4898.577312813156,3
M00014,54.774052681289156,6
M00015,127557.2086383576,1
M00017,212280.75230545827,2
M00019,7256.917796702929,4
M00020,164909.8374497025,1
M00027,20415.602057373017,1
M00029,9664.380433691365,2
M00032,470.94903218389635,7
M00034,1115.7862822601476,5
M00035,722.0010315222079,5
M00036,646.8973638661507,6
M00037,15932.675055067444,2
M00038,1339.8353152265915,5
M00042,8441.721859868403,4
M00044,22816.6852304461,1
M00045,9450.67494869168,2
M00046,23188.59670459403,1
M00047,6.923999913007279,17
M00048,16610.662133393176,2
M00049,16998.80583427038,3
M00050,6717.944548145083,4
M00051,216845.58445375977,1
M00052,16065.08832111372,2
M00053,4.69462290267421,13
M00055,1992.6730441172958,5
M00056,67.52356086688883,5
M00058,19374.691032490446,1
M00059,10603.874406950486,3
M00065,17798.672361192326,1
M00068,17324.63472120633,1
M00069,3653.6835516288675,3
M00070,15540.704867162996,1
M00071,17122.948766496662,1
M00072,94225.7220193591,3
M00075,12989.531005819988,2
M00076,8776.626135322324,4
M00077,71.3369230854042,6
M00078,9568.895258754459,2
M00079,9894.044382014954,2
M00082,8717.201538726396,3
M00083,83890.2127694033,1
M00085,8972.68580031209,3
M00087,11831.08209223547,4
M00088,16641.0430955549,2
M00089,1.4431152948483494,10
M00090,18570.863020529705,3
M00092,19313.68303108998,3
M00094,4733.834467776381,4
M00095,9122.523863789449,3
M00098,15.84525915710431,9
M00099,296.8745142117112,5
M00100,9767.097926425275,3
M00101,4107.408879952079,4
M00102,4724.932552201886,3
M00104,21570.695330783852,1
M00109,19974.556919474195,1
M00110,20639.809656657566,1
M00113,20276.270856740193,2
M00114,24698.14014649702,1
M00115,8701.88216749643,3
M00119,7509.199876427588,4
M00120,19793.20650439263,1
M00121,15663.973157291508,2
M00122,179664.0961732378,2
M00124,141849.06516273343,1
M00126,8491.362292162954,3
M00128,154708.76540989097,1
M00129,98375.33425565143,3
M00130,29.14181043659776,6
M00132,14668.918401957584,1
M00133,16329.156550840926,1
M00134,20771.425716679074,1
M00135,14594.999001982189,2
M00141,68873.30296430986,2
M00146,51710.06302143035,2
M00147,21777.11068181444,1
M00148,19957.06563565561,2
M00152,66661.90399443585,2
M00154,153794.97364215268,1
M00160,179333.47868310742,1
M00165,4112.219586125388,3
M00169,20135.49189174766,1
M00170,9611.190850592342,3
M00171,8607.722899078437,4
M00172,20731.02230548921,1
M00307,8471.263381208575,3
M00308,8264.616671308431,2
M00338,15315.793996484152,1
M00344,10472.735701513713,2
M00345,19101.555238525736,2
M00346,6776.617125323617,3
M00357,19043.741298651526,1
M00368,5464.206733474827,2
M00373,15605.388402126617,2
M00374,19583.787219137117,2
M00375,18254.44044935888,2
M00415,6748.96617325125,2
M00532,7374.401374637437,3
M00549,8925.419452156246,3
M00552,8224.409334374548,2
M00554,21765.647851017035,1
M00555,17053.693399104166,1
M00570,559.6584401498864,5
M00572,81020.37757110895,1
M00609,5233.973887520417,2
M00632,21971.985103989373,1
M00793,5439.558410470636,4
M00840,148300.7917002173,1
M00844,9521.018099682837,2
M00845,9449.655278564353,2
M00846,21614.771927154332,1
M00849,9225.439331273645,3
M00854,4868.182542189957,3
M00855,19720.77548931383,1
M00861,19125.560807786995,2
M00868,20177.09489672079,1
M00872,201.15646824837103,6
M00873,7784.836140056662,4
M00874,10711.350465351456,4
M00885,122135.9029987546,1
M00886,121545.13448814447,1
M00892,8640.164093395057,2
M00897,22826.50655844032,1
M00898,22697.034333650987,1
M00909,8379.442103373276,2
M00911,9202.716042470784,2
M00912,1283.0965316386853,5
M00917,13943.723238205415,2
M00926,21693.32229317878,1
M00938,4.377604900244788,13
M00953,5400.394092824551,2
M00955,9232.097629123009,3
M00957,17653.497707545714,2
M00958,8949.474201910185,2
M00959,8802.956608663038,2
M00968,110319.36411091503,1
M00970,144.82500066399987,11
M00972,1.459123397485581,13
M00974,100432.31099989811,1
M00976,20134.21963676002,2
M00977,22294.0269755718,1
M00978,9361.08315753053,2
M00983,14703.099387335398,2
M00987,26551.35621365846,1
M00991,20603.424989929266,1
M00992,20772.163769343708,1
M00995,26240.27831706846,1
M01000,24607.446771050174,1
M01001,15340.663001875126,2
