pathway_name,distance,n
M00001,0.10133253348860281,1994
M00002,0.09555812994797566,1220
M00003,0.04537813548703839,1298
M00004,0.03987554494982957,611
M00005,0.4773747910830547,742
M00006,0.14023430458749903,206
M00007,0.13675176300945155,405
M00008,0.293722830253857,100
M00009,0.3253474141695911,3191
M00010,0.6142120676929367,1778
M00011,0.17339718561127737,1609
M00012,0.7901718870445333,1672
M00013,0.06042474517324187,910
M00014,0.04715879124031313,3500
M00015,0.19204668674395597,804
M00017,0.3543729907717153,503
M00019,0.13787879746805493,570
M00020,0.2690089139391236,456
M00027,0.10499543077886972,996
M00028,1.1263709707195124,191
M00029,0.030653775307879896,885
M00032,0.08476749116785821,1449
M00034,0.500715835087991,3076
M00035,0.07615494600871617,2069
M00036,0.14685423364586714,1595
M00037,0.10753660183549885,1672
M00038,0.1373975433077806,1190
M00042,0.06481079833424844,1298
M00043,0.1396563551005455,307
M00044,0.11421117676758591,1237
M00045,0.16869293342803277,518
M00046,0.20260888891068085,667
M00047,0.10469221324563327,1144
M00048,0.15751523371415377,1093
M00049,0.11505394163639185,3144
M00050,0.3800168426500215,3534
M00051,0.10554533241065071,530
M00052,0.10951449145967806,2452
M00053,0.15033566531739015,2707
M00055,0.08427864793400497,1366
M00056,0.017635311016929667,3141
M00057,0.13276448962084078,958
M00058,0.05331946524358684,713
M00059,0.07023720264379522,1885
M00065,0.0735622671904533,1472
M00066,0.03922904530229986,655
M00067,0.1861318074140425,343
M00068,0.20628532760704188,1181
M00069,0.0719778506357371,1404
M00070,0.1551676996183965,764
M00071,0.19893466184809505,435
M00072,0.06060214508148147,1596
M00073,0.12540964956294523,1362
M00074,0.10389194902327153,1204
M00075,0.02288465030960134,1856
M00076,0.10888953439360198,1327
M00077,0.1227442943601739,1863
M00078,0.10009731186405901,1414
M00079,0.099304029892847,1319
M00082,0.04300229865359686,911
M00083,0.1319194340395717,825
M00085,0.0726710084857476,807
M00086,0.043463485359173736,706
M00087,0.08265860556046804,1135
M00088,0.08473409690436781,977
M00089,0.046753157358264005,3338
M00090,0.15008140090640681,677
M00091,0.29576435446027255,352
M00092,0.15487815443290362,897
M00093,0.2753057919317364,459
M00094,0.16471442501196942,1979
M00095,0.07486493597757608,1178
M00096,0.8206013128646557,104
M00098,0.15216852881137372,4408
M00099,0.13904247272683548,2629
M00100,0.09105535352174148,979
M00101,0.06805564487409006,2288
M00102,0.09036647089660339,1784
M00103,0.11417536231860986,409
M00104,0.08505823047101242,1856
M00106,0.06754864166242025,760
M00107,0.11158511684607601,933
M00108,0.08104036193130781,926
M00109,0.0643799798938907,1536
M00110,0.07885214426264531,777
M00113,0.12025409071945496,577
M00114,0.2836390728446066,422
M00115,0.10975519428508594,1259
M00118,0.216955276042006,395
M00119,0.08954925921989641,570
M00120,0.13717758511597702,2291
M00121,0.19400634849242085,1028
M00122,0.11250639973674222,687
M00124,0.44829431155445937,267
M00126,0.43139706722365806,2078
M00128,0.13138003036143578,690
M00129,0.0725331059630753,2806
M00130,0.07482134808527408,3445
M00131,0.1891078441111134,622
M00132,0.026661080027984292,948
M00133,0.3840583587477531,347
M00134,0.3874165365492402,240
M00135,0.08942613003224728,808
M00140,0.27142708634833684,388
M00141,0.25835143397756294,545
M00142,338.38717789508223,7
M00143,0.25282801768143265,293
M00146,0.041071167929824376,1254
M00147,0.18657833552034392,548
M00148,0.7000647505641421,580
