pathway_name,distance,n
M00001,0.029786048465375973,1131
M00002,0.06611311306803132,514
M00003,0.048930383406833804,678
M00004,0.15319274991204457,320
M00005,0.4359136578319423,277
M00006,0.21356340511157387,135
M00007,0.2822136331028886,175
M00008,1.039095050792248,79
M00009,0.1761124110981332,1218
M00010,0.33345112389981907,477
M00011,0.08432066910324654,785
M00012,0.6748696451535936,470
M00013,0.2607687387861945,372
M00014,0.09274532682997735,969
M00015,0.12805030368651554,391
M00017,0.3840353199551935,219
M00019,0.17747255881306473,349
M00020,0.09352067039925234,263
M00027,0.15689814558696494,423
M00028,0.4792982125216384,125
M00029,0.08078064365301119,586
M00032,0.16270939580173535,837
M00034,0.27636375617151604,1127
M00035,0.11948739177571911,953
M00036,0.18535363862022722,929
M00037,0.18533297321504683,676
M00038,0.20036115213886468,581
M00042,0.1958724747582031,464
M00043,0.19269165425000107,106
M00044,0.09594177520318906,487
M00045,0.3017417534525829,282
M00046,0.15540525774576494,174
M00047,0.14656159411577716,923
M00048,0.16708509714006906,550
M00049,0.06078333098122655,1025
M00050,0.24936054902886134,1009
M00051,0.2528373928881594,317
M00052,0.08104615664014549,778
M00053,0.08639377693587393,1279
M00055,0.01280831269919638,549
M00056,0.028456846598695205,1269
M00057,0.060975156110897384,444
M00058,0.03859801739934737,390
M00059,0.0871031451452154,945
M00065,0.027233929011750483,595
M00066,0.06890176432517583,293
M00067,0.3845779639298668,157
M00068,0.22195350204013548,334
M00069,0.025815881722905006,564
M00070,0.09966288513910429,277
M00071,0.28502051542956036,170
M00072,0.09752515852999723,683
M00073,0.06988145115035224,501
M00074,0.10487993857168347,406
M00075,0.07754340008672717,644
M00076,0.16464634380430185,569
M00077,0.18466120724742263,611
M00078,0.03597319034463197,634
M00079,0.19177840662889134,266
M00082,0.06245894991104609,489
M00083,0.17329675559340016,352
M00085,0.2267076333370106,466
M00086,0.14598048318621423,264
M00087,0.06492230201068962,569
M00088,0.19802687423434273,408
M00089,0.08347256236509847,1434
M00090,0.1296067739539151,357
M00091,0.7059823272957778,128
M00092,0.1118824317421656,390
M00093,0.281116889029394,232
M00094,0.05502607409843249,863
M00095,0.06572776902631842,478
M00096,98.78197260749877,58
M00098,0.06014197135327309,1764
M00099,0.049342559153804415,1005
M00100,0.058191738751714774,497
M00101,0.05703061873486943,1106
M00102,0.16215964897327753,904
M00103,0.3462076756182076,198
M00104,0.10326365140594872,819
M00106,0.25872219129324336,280
M00107,0.22715804181898552,269
M00108,0.16109626420606782,400
M00109,0.09629950619228336,579
M00110,0.1502028169238605,323
M00113,0.1512082813901939,224
M00114,0.3101264066844972,211
M00115,0.2714292731944994,591
M00118,0.2616043842714343,148
M00119,0.20096864489963182,349
M00120,0.10252994223926992,830
M00121,0.07030999549471545,650
M00122,0.9366084825838478,184
M00124,0.19413377162141543,109
M00126,0.2989440708682698,663
M00128,0.1694644320025718,354
M00129,0.09239144429991761,753
M00130,0.053378527555920596,1353
M00131,0.06582331400638457,225
M00132,0.27417524220401857,285
M00133,0.400063761739002,236
M00134,0.6944734557757453,180
M00135,0.2153980189482748,244
M00140,0.27898201849711013,126
M00141,0.28702019513063315,218
M00142,1.0453206678955937,15
M00143,0.1683180872708099,261
M00146,0.1774277995364735,596
M00147,0.24062922399981376,284
M00148,0.5919760140003093,272
M00151,0.1479979815296032,234
M00152,0.05429340603607765,588
M00154,0.19774997522876012,589
M00158,0.05702210315946451,652
M00160,0.03877586898526747,793
M00165,0.07030903885473395,514
M00168,0.30637838953494995,139
M00169,0.205309822866477,168
M00170,0.15340531397911186,370
M00171,0.23832937549623098,645
M00172,0.19873334484834704,168
M00173,0.16109237161338202,352
M00307,0.055310948807703916,560
M00308,0.6044894511777634,126
M00338,0.45416657541726907,139
M00344,0.15947822526593883,242
M00345,0.26944986530583354,229
M00346,0.3047841855802941,318
M00357,0.34924211433273383,157
M00364,98.95385232641392,58
M00365,41.353968853991475,58
M00366,0.5830570351413202,244
M00367,0.33492288065229686,300
M00368,0.4339702728174885,413
M00373,0.09207943345307801,409
M00374,0.2067464738660097,150
M00375,0.16915593984238184,185
M00376,0.15541858506045292,264
M00415,0.05392440305315922,929
M00532,0.10119572120120122,594
M00546,0.23660966447338716,227
M00549,0.1616908939535052,715
M00552,0.7879257663487886,126
M00554,0.4992320852615817,162
M00555,0.7192750203984799,68
M00565,127.10179147186294,21
M00570,0.1769897719760573,533
M00572,0.18752676204808147,340
M00580,9727.852503372227,10
M00609,0.447005807945558,413
M00621,0.2778702410506631,274
M00632,0.19951280666645035,307
M00740,0.28779345846942794,264
M00741,0.16261288408854493,303
M00761,1.4106652871672958,54
M00793,0.19871836707983567,394
M00840,4.029069421947327,143
M00841,0.6908241873923007,103
M00842,0.14024430388344597,244
M00843,0.15318609146010168,213
M00844,0.23221783194188128,449
M00845,0.3013722214324501,391
M00846,0.28303756403041597,142
M00849,0.06717517198394851,469
M00854,0.08740986555432409,441
M00855,0.13876939373860778,326
M00861,0.20969134094356523,374
M00862,0.11861976131622409,214
M00868,0.02976985060782019,591
M00872,0.02915210546229078,1029
M00873,0.10558433084444992,613
M00874,0.031390071567437866,740
M00880,0.5195577430839746,297
M00881,0.8084359907531712,47
M00882,0.275558237507477,96
M00883,0.109730189036301,106
M00884,0.7949260720686491,47
M00885,0.2784043579878019,290
M00886,0.24120866385100903,290
M00892,0.3413421539972268,668
M00897,1.9970510501401593,59
M00898,1.8761954599886368,59
M00909,0.5978879942276146,543
M00911,0.36644519638495665,190
M00912,0.0709295251889588,784
M00913,0.4603711758153265,107
M00917,0.10080738507411295,565
M00926,0.048885664607046714,373
M00936,0.5009048852595651,143
M00938,0.07449628341632875,1302
M00953,0.4254523085852167,413
M00955,0.10109279256692383,332
M00957,0.10040659756376391,344
M00958,0.030031186517116015,1021
M00959,0.06715139188083259,650
M00968,707.8606997537529,21
M00970,0.18277751558661662,635
M00972,0.15008696434447807,942
M00974,0.09132208312872993,425
M00975,0.11247688083039825,164
M00976,0.06543076553696762,610
M00977,0.12384962702461334,601
M00978,0.22387344390203076,469
M00981,0.48760252343419563,143
M00982,0.18914510236229,170
M00983,0.1455534761712367,407
M00987,0.163178337336613,141
M00988,0.14710798348805443,213
M00991,0.4769997989856087,103
M00992,0.483800997658643,103
M00994,0.2110082647561835,114
M00995,0.8928591253217099,481
M00997,0.19294481158345292,157
M00999,0.9593452299495048,54
M01000,0.31222169669172095,211
M01001,0.12531054532382327,228
M01002,0.9069516031309327,481
M01003,0.41360167645167983,202
M01004,9.65310523369903,34
M01006,0.15388018049487404,154
M01015,0.21164325477920629,576
M01016,0.5075761908650138,70
M01017,252.80497688835115,30
M01018,180.31017006844553,30
M01019,178.9193341746693,30
M01020,179.0366143694844,30
M01022,0.1932119482681318,394
M01023,0.19500660622900126,394
M01024,0.1880418157259377,394
M01025,0.20064105737167107,394
M01026,0.18371812958128206,394
M01027,0.20851859798014943,394
M01034,180.2147479049101,30
hsa00010,0.04323569260261101,2633
hsa00020,0.13472330474173483,1608
hsa00030,0.15716607771610488,955
hsa00040,0.06324106514742493,1411
hsa00051,0.04708081331084245,2422
hsa00052,0.07722393723727924,1775
hsa00053,0.0653637466144587,1102
hsa00061,0.04401357779520967,949
hsa00062,0.11775633390948387,1638
hsa00071,0.06225353780216858,1705
hsa00100,0.0739301462489856,1564
hsa00120,0.06965018325069877,927
hsa00130,0.08800440929241334,779
hsa00140,0.0470845186082117,2273
hsa00190,0.03110164521234205,3027
hsa00220,0.06669930453795386,1446
hsa00230,0.06820318082350552,6174
hsa00232,0.1339821388403029,486
hsa00240,0.057131333370356654,2919
hsa00250,0.07865334822025417,2476
hsa00260,0.09232273046000607,2133
hsa00270,0.10062831166772943,2626
hsa00280,0.06522721879614374,2069
hsa00290,0.1747893990007778,533
hsa00310,0.01777588947053877,4657
hsa00330,0.07779928880111027,2538
hsa00340,0.04266113870723881,1072
hsa00350,0.08236705741484593,1928
hsa00360,0.10595640307183289,1025
hsa00380,0.06806831129296721,2047
hsa00400,0.10302879722686308,661
hsa00410,0.05101593018387446,1821
hsa00430,0.09187821076473167,1177
hsa00440,0.08764440089800146,309
hsa00450,0.1588668960661664,1332
hsa00470,0.11207307715837912,377
hsa00480,0.09918252987766166,2635
hsa00500,0.09310083027980726,1891
hsa00510,0.029649065838041146,2638
hsa00511,0.050758020834746176,798
hsa00512,0.04089100217199638,1613
hsa00513,0.0425438907770272,2206
hsa00514,0.03825438408125863,2233
hsa00515,0.028935206151342163,1556
hsa00520,0.06145340670252217,2005
hsa00524,0.0676973755684879,478
hsa00531,0.011324868861485128,1045
hsa00532,0.05441858737864667,1321
hsa00533,0.035813449166808405,852
hsa00534,0.03679801977379635,1509
hsa00541,0.08750920766661441,1239
hsa00561,0.05838003473149649,3651
hsa00562,0.04601855174187736,4648
hsa00563,0.028077927099531177,1216
hsa00564,0.04486166929229424,4112
hsa00565,0.03329058911012098,2054
hsa00590,0.12565868094120766,3334
hsa00591,0.040950161250968745,1267
hsa00592,0.11387589156395571,1054
hsa00600,0.009865229190899438,2140
hsa00601,0.02284842763020244,923
hsa00603,0.017794420746161024,712
hsa00604,0.0393575514101237,1203
hsa00620,0.02188611945466768,2025
hsa00630,0.10044488512467104,1361
hsa00640,0.1048715130380073,1548
hsa00650,0.10822794605118392,1177
hsa00670,0.17286102655061258,1832
hsa00730,0.07856135382250354,1237
hsa00740,0.09269916623420536,733
hsa00750,0.2085411737609459,313
hsa00760,0.05385427178292597,2002
hsa00770,0.09071905284897573,1717
hsa00780,0.15214144232221014,378
hsa00785,0.09539813389397898,1030
hsa00790,0.12620817548457736,1764
hsa00830,0.09552299655441511,2748
hsa00860,0.09403748305746208,1763
hsa00900,0.10517034559553237,1257
hsa00910,0.07056365665875246,686
hsa00920,0.06132371126516025,488
hsa00970,0.14306434790378217,4224
hsa00980,0.08604774895600492,2143
hsa00982,0.05244654336499409,1900
hsa00983,0.0538461660481061,2998
hsa01040,0.05379085546703825,1320
hsa01100,0.008607142705620715,40109
hsa01200,0.11226379444983713,4214
hsa01210,0.11919305874936835,2084
hsa01212,0.06628873465277943,2570
hsa01230,0.0717886238280852,3388
hsa01232,0.08249117119184157,3730
hsa01240,0.06231979363991047,5779
hsa01250,0.08558013085811135,2436
hsa01320,0.26305084576817417,141
hsa01521,0.04118516313632162,5001
hsa01522,0.05785021214017701,6991
hsa01523,0.0893065715337111,2078
hsa01524,0.037614870866146816,4193
hsa02010,0.04066087998775462,4246
hsa03008,0.020809591841353815,4124
hsa03010,0.03623555218196884,2797
hsa03013,0.011911476676210038,5160
hsa03015,0.03319009118178136,4637
hsa03018,0.04667120214261098,3917
hsa03020,0.11318961622109776,1374
hsa03022,0.027125618768103266,2100
hsa03030,0.10216680840695487,1809
hsa03040,0.0822642629665713,5729
hsa03050,0.056137360660998364,1924
hsa03060,0.10206703799839485,1699
hsa03082,0.03302819734840505,6191
hsa03083,0.06491716127927588,4560
hsa03250,0.03647661053066577,4682
hsa03260,0.1447774943536017,498
hsa03264,0.10431696714211658,753
hsa03265,0.10930240302273983,1338
hsa03266,0.021126413040087774,1108
