pathway_name,distance,n
M00001,25712.462093392074,4
M00002,40398.07572979638,2
M00003,27761.1944067845,2
M00004,22946.422837055132,1
M00005,48133.95095747269,1
M00007,24674.854808917138,1
M00009,9178.685528214724,3
M00011,8870.771770610267,3
M00013,171711.27201460896,1
M00014,4336.987899908812,3
M00015,19398.371793255126,1
M00017,19992.306675582768,2
M00019,21271.58441543123,2
M00020,22448.85693667483,1
M00027,12427.87851984399,2
M00029,24280.426525737505,1
M00032,19430.240815326903,2
M00034,5939.833099184023,3
M00035,20.932382909088787,6
M00036,598.0919270103165,5
M00037,14957.539101413435,3
M00038,22758.210925033247,2
M00042,7526.306663214355,2
M00044,8397.43198845189,2
M00045,22191.3596341792,1
M00047,8274.839835926401,3
M00048,21538.194346881144,1
M00049,10.773798871093662,6
M00050,4790.905617261986,3
M00051,7458.75370708515,3
M00052,4099.264454626049,3
M00053,5261.987416165967,4
M00055,17904.913416865726,3
M00056,11870.038346698464,4
M00057,16096.670033925924,2
M00058,22057.823744509395,1
M00059,5.345615518561734,6
M00065,7044.8899021993775,2
M00066,9671.4804110416,2
M00067,23240.340152027853,1
M00068,5482.246855169421,4
M00069,7172.814778138877,2
M00070,8300.365088250914,2
M00071,19034.70042526505,1
M00072,4236.829669999796,3
M00073,13837.548292441452,2
M00074,14472.517475619949,2
M00075,98.26955093132378,6
M00076,23092.699087959547,2
M00077,23338.75048589483,2
M00078,6430.189031922159,4
M00079,6327.7609220133945,3
M00082,17534.283644246152,3
M00083,24074.49498929566,1
M00085,23825.755431762173,1
M00086,19123.243412384825,1
M00087,13251.311472146886,3
M00088,22455.09065570975,1
M00089,67.41686534089995,6
M00090,6321.80188949095,4
M00091,26870.68624052101,1
M00092,123.6081645884558,7
M00093,18361.39725068054,1
M00094,8066.720345563734,2
M00095,22955.81204678536,2
M00098,43.148039955839884,5
M00099,8107.997598297544,2
M00100,22796.259087487044,1
M00101,7672.850342559993,3
M00102,7895.830169025094,3
M00104,24009.85971937791,2
M00106,24787.865270372367,2
M00107,20031.08570526785,1
M00109,22620.835212549715,1
M00113,24955.139575065972,1
M00114,7828.137751229544,2
M00115,4654.449819231882,3
M00119,21509.51105217376,2
M00120,16202.055906115123,3
M00122,18401.47501556423,2
M00124,22399.010382755023,1
M00126,118825.06696653886,2
M00128,15766.2717964647,2
M00129,25103.95346253932,1
M00130,4472.91739054108,4
M00131,25746.614011009002,1
M00132,19626.602198560086,2
M00135,7983.758839387329,2
M00140,22878.139676743944,1
M00141,20812.298182908464,1
M00143,149535.6809921783,1
M00146,92210.4535995984,1
M00147,33682.68603397862,1
M00148,17753.547159430393,1
M00152,22945.994307986773,1
M00154,7411.705988300229,2
M00158,6980.031321246401,4
M00160,7108.14194309597,5
M00165,6245.317855685769,3
M00169,23437.15177922862,1
M00170,24149.674191262515,1
M00171,22827.919714988817,1
M00172,23806.5953659383,1
M00307,5732.687930629073,3
M00308,46929.10730621507,1
M00338,27354.522725276303,1
M00344,173425.3216946837,1
M00345,71851.57873047912,1
M00346,21420.763841222357,1
M00367,23464.147942119398,2
M00368,12789.216520538554,2
M00373,21905.746889001348,1
M00374,26135.97733070168,1
M00375,24952.1442353374,1
M00415,7079.31935566383,3
M00532,23647.50691784766,1
M00546,16398.126426788367,1
M00549,17051.854438316503,2
M00552,48080.53044287969,1
M00554,21957.058696748896,1
M00565,25018.661877902592,1
M00570,21612.96905558366,2
M00572,23776.918203191173,1
M00609,12740.513948559666,2
M00621,21530.393820600955,1
M00632,12446.83659818952,2
M00793,134094.11823649058,1
M00840,97083.28545239852,1
M00844,24188.759227384773,1
M00849,23032.267248405515,2
M00854,21057.419668564704,1
M00855,7052.781967276524,2
M00861,23848.97946386028,1
M00868,30959.550692198813,2
M00872,6918.98102281255,2
M00873,7178.284162525844,2
M00874,5519.317761279016,4
M00880,5064.848691070139,2
M00882,21145.531421905605,1
M00883,19753.03001256911,1
M00885,20717.05390736354,1
M00886,19678.115333992548,1
M00892,12319.641140206191,2
M00909,12774.616353302545,2
M00912,4741.274027344958,4
M00913,60495.58512313745,1
M00917,7615.133421062042,3
M00938,5094.4849367997285,4
M00953,13006.73187426322,2
M00955,7741.258685747306,2
M00957,21316.5450175276,2
M00958,4955.900249411681,4
M00959,8266.657651878166,3
M00970,8101.110123100181,2
M00972,73014.83108210751,4
M00974,7508.5362305393455,2
M00975,23232.98183138933,1
M00976,23797.03062807709,1
M00977,23255.46599968455,2
M00978,24606.96241560421,1
M00983,5912.510409689229,3
M00987,38179.86169998538,1
M00994,29231.063567777346,1
M00995,11678.459168928775,2
M01000,7725.000563277972,2
M01001,7012.043788842168,3
M01002,11780.352051093629,2
M01006,20754.45637787937,1
M01015,5493.591006120032,3
M01022,133387.65990624094,1
M01023,135588.72110707912,1
M01024,135399.9834002,1
M01025,133629.48723510414,1
M01026,134370.23376371793,1
M01027,135279.07432816023,1
hsa00010,12.117639951787545,9
hsa00020,2051.634933746697,6
hsa00030,18142.693985852373,4
hsa00040,11.216520772664538,5
hsa00051,3.0206308910716375,11
hsa00052,3.551090097821565,8
hsa00053,4943.541693493353,4
hsa00061,1136.433205919143,5
hsa00062,7336.594426848746,3
hsa00071,10.478149383161705,7
hsa00100,21.056639537143678,7
hsa00120,23876.32788535005,2
hsa00130,6564.404632490283,3
hsa00140,783.3677544620806,6
hsa00190,13.476805356042995,13
hsa00220,18248.65504381794,2
hsa00230,0.18813670747453748,23
hsa00232,15117.190339097988,2
hsa00240,2.0915454769416866,11
hsa00250,1.1165819330110576,9
hsa00260,71.3796061015637,6
hsa00270,9.500763428985628,9
hsa00280,3.572102557773934,8
hsa00290,21497.256199191026,2
hsa00310,15.198609239485307,13
hsa00330,0.3852079186272484,10
hsa00340,5676.634361187886,4
hsa00350,22340.587942782015,4
hsa00360,7944.424956255089,2
hsa00380,105.2916998286698,7
hsa00400,7764.949478103896,2
hsa00410,6.67790312038362,6
hsa00430,13830.178055997876,2
hsa00440,2465.2848499927295,5
hsa00450,4645.067451630725,4
hsa00470,7699.063906875878,2
hsa00480,5.102137273006699,12
hsa00500,18.2262206602246,6
hsa00510,2.6656203192209684,14
hsa00511,11347.500269171698,3
hsa00512,219.38719703536836,6
hsa00513,4.299874788152724,13
hsa00514,173.1538567859139,7
hsa00515,5622.32963142978,4
hsa00520,69.21650106158897,7
hsa00524,178147.3431493149,1
hsa00531,44.54598737412207,6
hsa00532,3590.186184939985,4
hsa00533,5.873320028551041,6
hsa00534,5.502218411611572,7
hsa00541,6923.38663331269,3
hsa00561,1.6666998384997456,16
hsa00562,0.2351930672477739,26
hsa00563,28968.051890724313,4
hsa00564,1.4455360556952201,18
hsa00565,4866.7476807205785,4
hsa00590,104.08504663608899,6
hsa00591,25134.70559783617,1
hsa00592,23457.914920372838,1
hsa00600,12.04405278991055,10
hsa00601,25.617573572924627,5
hsa00603,7.065958366533055,6
hsa00604,11.53705393958029,7
hsa00620,8.444955886053174,9
