pathway_name,distance,n
M00001,1.2847771607569165,49
M00002,301.9661398114597,21
M00003,12.897035226621181,32
M00004,38.347572682019276,18
M00005,3768.9012094081936,10
M00006,22211.744650635952,8
M00007,49.519631883210074,16
M00008,24647.626171273958,8
M00009,0.5843546809234869,45
M00010,6.028490565378042,24
M00011,8.334034417826919,28
M00012,55.27167429717337,16
M00013,66.31227625224614,17
M00014,1.4017420803609872,44
M00015,1452.9521158107232,13
M00017,8500.029957583169,6
M00019,6.121886949496393,22
M00020,21.614095386183898,18
M00027,21.27225095239986,22
M00028,10801.756048734765,11
M00029,13.80478740948246,18
M00032,11.843910074149699,28
M00034,0.9088686134708498,70
M00035,0.6273154585980221,70
M00036,1.0876840673812715,52
M00037,3.821905398606412,27
M00038,15.022092162266642,34
M00042,77.15657717429039,11
M00043,10568.322480659932,3
M00044,16.649856841776515,20
M00045,29.073832870928324,21
M00046,3515.2906255261614,12
M00047,3.21376979054912,33
M00048,3.2045860002044377,30
M00049,0.6815298747290967,35
M00050,1.1643042452470542,44
M00051,60337.79596585777,5
M00052,1.7814414453201028,29
M00053,1.8809981309153838,29
M00055,0.9461829785412857,51
M00056,0.4378471804770592,76
M00057,0.8093041673641375,33
M00058,10.667705444281038,11
M00059,0.24406392237525698,41
M00065,3.320064729214368,32
M00066,10.140224768470155,20
M00067,360.68775589244484,10
M00068,32.47958536291921,16
M00069,1.702098809286839,38
M00070,15.928784069459644,20
M00071,82.62996092521301,16
M00072,2.289731467782124,38
M00073,5.47378159446332,19
M00074,433.24533933301336,11
M00075,1.2685662702602332,32
M00076,5.4039705993519025,22
M00077,5.318515795735312,23
M00078,4.713901708176105,24
M00079,3.3909811654828763,19
M00082,11.86345860271613,21
M00083,16500.092606517715,11
M00085,26.351345150927937,19
M00086,18773.475425987966,7
M00087,6.208897969003695,31
M00088,1.7267314006151748,25
M00089,0.4452750002238399,64
M00090,5.062508085029772,12
M00091,3006.9081238695103,6
M00092,6.894762505564844,17
M00093,3150.266753436293,6
M00094,1.421565708415783,36
M00095,5.865150525125646,18
M00096,20187.55808518409,6
M00098,0.22258771783672887,86
M00099,1.2798000555303974,46
M00100,1.4284102284365625,27
M00101,0.3576522266353667,55
M00102,1.2429766045162354,48
M00103,630.3428667867732,11
M00104,1.3771024429367449,42
M00106,25038.043779881285,14
M00107,1066.9058361572418,17
M00108,0.7835204659549027,25
M00109,0.6885959300888846,32
M00110,82.1461703516471,13
M00113,15.351968412930681,13
M00114,19424.214430357886,9
M00115,7.464405967127206,27
M00118,22081.11896302836,6
M00119,6.106674710803196,22
M00120,1.9847798081077184,40
M00121,0.33615255030220914,56
M00122,536.2073511573566,13
M00124,38743.05281185317,10
M00126,1.007535526862356,45
M00128,20.92357091831653,16
M00129,0.7715559243957627,32
M00130,0.4182582014188172,62
M00131,20215.06320153688,6
M00132,81.3515753964914,13
M00133,42.899558223094374,21
M00134,23919.11296591757,6
M00135,23.601080198359753,16
M00140,21724.29581956079,10
M00141,0.8712497326404515,29
M00143,52.3999777309086,15
M00146,0.6418839007855897,33
M00147,8.899832946283977,17
M00148,31458.391829392214,12
M00151,1327.261638829207,11
M00152,1.4573781324961732,42
M00154,2.6348461074861085,23
M00158,47.97628282448813,27
M00160,3.9565141447103045,45
M00165,13.582794050732748,31
M00169,5498.479311021134,5
M00170,1.1847402241851186,22
M00171,1.323594304553722,32
M00172,5501.438344872897,5
M00173,12.08836694604854,27
M00307,4.626315312089452,24
M00338,104535.17797341061,8
M00344,54924.4151976077,13
M00345,5125.703884351667,12
M00346,1967.2349141040165,14
M00357,34220.85222428778,10
M00364,20131.830569730813,6
M00365,19947.741379086077,6
M00366,20.200769113760746,12
M00367,22.442484471443905,12
M00368,16.96939249915986,36
M00373,4.6036938361121065,21
M00374,18350.196074959455,9
M00375,68.97567183286685,12
M00376,198.08428323787905,15
M00415,0.20508444507131263,74
M00532,2.239128707451647,26
M00546,72515.69386878672,2
M00549,1.176801095263583,25
M00554,4862.075015561188,12
M00555,27729.590730471562,6
M00570,0.7749008009359993,33
M00572,15998.439206292576,11
M00609,17.932196637801937,36
M00621,3754.776652349081,8
M00632,4165.4303160103245,12
M00740,8.446630545419245,25
M00741,8.880465222439614,18
M00761,19471.41229821655,1
M00793,6.862514340498612,40
M00840,129710.91611431845,3
M00841,2571.3126918873513,8
M00842,7.028002952656714,19
M00843,5432.339545092773,9
M00844,66.93392992454424,12
