pathway_name,distance,n
M00001,8.772938842295897,15
M00002,7160.222733007382,8
M00003,2125.530602290003,12
M00004,644.0936929498072,12
M00005,16000.0815897713,5
M00006,50948.003833474875,3
M00007,16637.476410454037,6
M00009,9.48964365082368,18
M00010,6105.654980947178,9
M00011,10288.83822101097,9
M00012,12639.070542734804,2
M00013,21672.505312629426,1
M00014,4949.3816320342485,6
M00019,17066.705994210326,2
M00027,4171.302554014287,6
M00029,16445.672769440363,5
M00034,8857.654461834885,7
M00035,50.72131825340905,9
M00036,5138.50753469252,5
M00037,19962.870496207477,1
M00038,146.11437849254915,9
M00042,11465.725763931654,3
M00043,152104.21611475825,3
M00044,16485.960025921242,4
M00045,16943.400776024693,2
M00046,8197.944561082732,5
M00047,9289.856555286555,12
M00048,361.82484751251656,10
M00049,12167.925678782354,8
M00050,14328.858033378952,5
M00051,121526.1894696477,1
M00052,13102.46609920019,8
M00053,13409.773438381819,14
M00055,8358.708894689067,7
M00056,17.628333258383545,18
M00057,9135.809768541201,4
M00058,19749.13404149464,5
M00059,7.90240439969612,14
M00065,65.13464856553064,11
M00066,115523.35913507862,2
M00068,86230.8979722566,2
M00069,14187.362437735934,2
M00072,156227.43111757355,4
M00075,16600.743186001033,1
M00076,30805.014289600207,9
M00077,8696.360331047934,7
M00078,7.643345739737206,12
M00079,22284.391828486423,1
M00086,11234.991326276775,4
M00088,19421.5847019233,1
M00089,1100.1220484614955,9
M00090,52118.33816529652,9
M00092,7506.920263335169,6
M00094,149091.35075204048,2
M00095,16448.13117915257,2
M00098,510.9972601431379,9
M00099,6189.615362780841,9
M00100,7237.034960753756,4
M00101,28639.6492440263,6
M00102,28802.968848009383,6
M00104,17818.241789994638,3
M00107,88883.88541890217,1
M00108,143983.44605251862,1
M00109,60615.29503453766,2
M00110,84758.72275284534,1
M00115,5852.05163656416,4
M00118,96768.62940208655,1
M00119,16808.731002400982,2
M00120,7145.94154238449,6
M00121,8143.107056734476,6
M00122,11230.198815881615,2
M00126,48220.27738985331,12
M00129,26937.770462079556,4
M00130,3.238839847058367,15
M00131,26498.849464665378,3
M00132,12209.651189832592,2
M00134,15375.393103182667,5
M00142,5.247029045020443,12
M00146,136.3280220306884,10
M00148,3246.8373360257947,6
M00152,10391.37031233673,4
M00154,2.1125291258379306,17
M00158,101844.4214452805,6
M00160,5897.582502305377,8
M00165,55341.071148598196,11
M00169,132082.53412885813,1
M00170,4178.2327476417895,6
M00171,4743.882731438078,6
M00172,132510.03883356982,1
M00173,8421.676393126198,7
M00308,16093.36567740815,2
M00338,128089.70673118021,1
M00344,11962.416377967322,5
M00345,27445.286672612823,6
M00346,16012.858506783157,2
M00366,117304.30971138281,3
M00367,13228.996022749163,5
M00368,17226.350238037176,1
M00373,8788.49534446134,4
M00415,109.30735947148963,17
M00532,16897.990789173244,2
M00549,17102.604484296055,2
M00552,16236.641463018394,2
M00554,17052.52653013556,2
M00570,17476.938892342423,2
M00609,16785.99235548589,1
M00632,16642.029034245406,2
M00740,14798.561696640862,8
M00741,8105.7972080064865,4
M00841,5562.913852307989,7
M00842,7240.840359500018,7
M00843,6780.1752930313705,7
M00844,16678.673875188506,5
M00845,17257.98408408917,5
M00846,16674.625988247495,2
M00849,16771.666858268265,2
M00854,8282.246969191234,4
M00855,20934.038641166382,3
M00868,484.40554965518487,10
M00872,13.757985310789044,14
M00873,17553.12291359105,1
M00874,15444.96528657119,1
M00892,14107.810135757738,4
M00897,17331.779194254006,2
M00898,16877.271893909852,2
M00909,14059.981146309867,4
M00911,16185.898469281501,2
M00912,37.67319832003075,10
M00926,8068.31249414559,6
M00936,24435.324362393574,1
M00938,12426.682673680201,14
M00953,16106.626375403705,1
M00955,15402.331142197903,2
M00958,983.6226094128106,10
M00959,12098.507927487657,6
M00970,19360.040713681894,10
M00972,13369.593698195782,12
M00974,22261.377593405014,2
M00976,105790.03444617025,1
M00977,111355.9473399648,1
M00978,17437.04007765496,5
M00981,24812.960218196935,1
M00983,4497.7464418944755,6
M00988,6951.100813936776,7
M00995,12614.403834884035,4
M01001,15513.014428137314,2
M01002,12744.510379085255,4
M01003,6683.484402615668,3
M01015,16731.48957388776,2
hsa00010,1.8318602357109288,24
hsa00020,5.450596994616083,21
hsa00030,11.696900871926694,25
hsa00040,4.404210296282594,13
hsa00051,410.8067922208417,18
hsa00052,33.78317849212794,11
hsa00053,27319.411884654026,4
hsa00061,12715.891745688612,9
hsa00062,20.1850068708355,23
hsa00071,92.36956180541966,12
hsa00100,241.71959504928725,13
hsa00120,17002.64003933293,3
hsa00130,16801.539977098033,4
hsa00140,4.1129709275535395,18
hsa00190,0.14719019616592247,64
hsa00220,20.020694263193892,17
hsa00230,0.30988386739313395,58
hsa00232,49496.113624962614,5
hsa00240,2.7154866997155094,30
hsa00250,1.3046156124962964,18
hsa00260,5.936494027381021,22
hsa00270,3.119933086022687,18
hsa00280,33.43008525136998,10
hsa00290,17383.997258732343,2
hsa00310,0.5331731468370106,51
