pathway_name,distance,n
M00001,0.08265741771426156,3025
M00002,0.07737570862708767,1407
M00003,0.08263859316623748,1571
M00004,0.09016528527917204,877
M00005,0.1233478485314261,846
M00006,0.1155714580362022,269
M00007,0.15903252060424852,528
M00008,0.19183398492841078,156
M00009,0.21628550117190548,3183
M00010,0.29851738807398787,1354
M00011,0.09921494976912028,1929
M00012,0.3680569698661727,1214
M00013,0.13030559460981403,1131
M00014,0.10657143056749087,2743
M00015,0.17294903922595786,810
M00017,0.1539138197500125,669
M00019,0.13119681243241577,762
M00020,0.0764254133804922,551
M00027,0.06451491230836248,1104
M00028,0.35756629174841825,226
M00029,0.08047130678977428,1314
M00032,0.11845234245188375,2098
M00034,0.16363778713165397,3019
M00035,0.10613643068139136,2701
M00036,0.09225008405019935,2407
M00037,0.16881158545496258,1884
M00038,0.11070108854259149,1229
M00042,0.062027975811610826,1388
M00043,0.13615127253793455,156
M00044,0.0809446105094265,1335
M00045,0.14810761755802823,758
M00046,0.19375821998741435,385
M00047,0.02945921344599409,1797
M00048,0.08264457185911704,1481
M00049,0.12319624642721419,3063
M00050,0.3131058436941618,2927
M00051,0.10796613780915246,819
M00052,0.09216880250382482,2454
M00053,0.07442896311239527,2826
M00055,0.048168648186171205,1762
M00056,0.007344806261272946,3460
M00057,0.055380810987195286,1162
M00058,0.034933097763755146,1104
M00059,0.04942625915416315,2759
M00065,0.024131319265971864,1965
M00066,0.03524226251430041,875
M00067,0.08049674348390913,490
M00068,0.15853529773823774,1264
M00069,0.055242610773363426,1413
M00070,0.18188727736566498,900
M00071,0.05699502233556366,602
M00072,0.038215996339959465,1958
M00073,0.05135898576069601,1493
M00074,0.07947182297669358,1292
M00075,0.04479770225394915,2173
M00076,0.05150129867579692,1616
M00077,0.05621784284089588,1793
M00078,0.03828626376231755,1873
M00079,0.13385685704245515,995
M00082,0.0525922020899324,1274
M00083,0.07836041160101383,971
M00085,0.07995355617215089,1129
M00086,0.10726240697460876,926
M00087,0.06656037008906858,1622
M00088,0.0697068571536392,1215
M00089,0.056645253583599356,3871
M00090,0.06563157916869726,888
M00091,0.19363177549919072,428
M00092,0.07296784226582094,984
M00093,0.15576673868191257,553
M00094,0.14771958311887273,2280
M00095,0.01917554075928388,1487
M00096,0.3849019303292354,192
M00098,0.03310960334993525,4745
M00099,0.08236468857746632,2830
M00100,0.05404179220923895,1207
M00101,0.07303695187292679,2854
M00102,0.06672012816558855,2292
M00103,0.13858114803039098,551
M00104,0.04478861604996057,2280
M00106,0.08273346571601393,738
M00107,0.2341814604499423,845
M00108,0.0896329438166911,855
M00109,0.09028031685832787,1403
M00110,0.10570657464423003,771
M00113,0.09099117587090548,681
M00114,0.22534502874862683,597
M00115,0.05357446126775777,1650
M00118,0.08784719369727892,425
M00119,0.13875472170703457,762
M00120,0.11033687352052635,1894
M00121,0.1355842982594636,1443
M00122,0.19583696905898687,922
M00124,0.09275719103227104,346
M00126,0.31545839202483295,1636
M00128,0.012822937260012122,951
M00129,0.06758323334884485,2277
M00130,0.04649422869103196,3369
M00131,0.20013819890833953,814
M00132,0.04163419033860136,890
M00133,0.21853892191160593,554
M00134,0.11031689330047252,302
M00135,0.06164788069610315,798
M00140,0.055881627999606484,523
M00141,0.1440087259065876,807
M00142,24.96711015383684,11
M00143,0.08455665802826355,499
M00146,0.07146815487083302,1582
M00147,0.27080798452642985,643
M00148,0.35053358647566857,552
M00151,0.14070716090936494,430
M00152,0.07364464365105794,1281
M00154,0.17339652814181014,1678
M00158,0.20944694172308992,1763
M00160,0.08369412375111501,1910
M00165,0.09895931337415256,1374
M00168,0.458324991097571,275
M00169,0.19327112120120232,502
M00170,0.1412489934718437,949
M00171,0.21564284870097122,1682
M00172,0.2860866391317576,502
M00173,0.29790672409437413,770
M00307,0.03813415988090275,1638
M00308,0.3446451967183288,425
M00338,0.2854678368226769,473
M00344,0.09642690155724469,545
M00345,0.230048822765568,531
