pathway_name,distance,n
M00001,59201.49981863277,3
M00002,61971.782573089076,2
M00003,57278.33683119477,1
M00004,195597.07688916483,1
M00006,180695.09546905453,1
M00008,196190.46555357226,1
M00009,4276.840890054939,4
M00011,4097.929179196338,4
M00012,179958.58174505358,1
M00013,18537.72898437998,1
M00014,18423.98812997919,2
M00017,11453.6291668612,2
M00019,24927.05672318118,1
M00032,14773.767370328083,3
M00034,9425.455235256784,3
M00035,7789.614170406464,3
M00036,4328.765252322242,4
M00037,137904.00619621715,1
M00042,24457.229200481448,2
M00046,21597.724669241798,1
M00047,67.62857387364586,11
M00048,16593.006233312113,1
M00049,8874.851658628515,4
M00050,17601.40318245892,4
M00051,19971.62033240193,1
M00052,15398.480482510206,4
M00053,9.03472805282475,14
M00056,31570.3187680328,2
M00059,27059.95531885462,3
M00065,105999.89621063006,1
M00066,88856.55270323162,1
M00067,24740.501430476128,1
M00069,14034.269861484587,1
M00071,113592.12435136008,1
M00072,72638.78186780935,1
M00073,137895.65203198086,1
M00075,54037.36922154955,1
M00082,13547.095545549053,2
M00083,26768.069877565067,1
M00085,35648.51133043058,1
M00087,10324.16033150277,2
M00088,155680.99110595294,1
M00089,30355.722331957586,4
M00095,151108.87819249844,1
M00098,248.55657894362713,7
M00101,16029.56529416676,1
M00104,23913.245282371987,1
M00113,21979.00842032438,1
M00114,154906.16908688747,1
M00118,135379.91873950974,1
M00119,25371.985317038507,1
M00120,11366.263164747494,3
M00121,12381.978675534621,2
M00122,179688.29881149274,2
M00126,144747.8793221342,3
M00129,19225.14910347763,2
M00130,12607.801330429693,3
M00131,119796.52912379107,1
M00134,196213.92973872196,1
M00142,17516.934568795048,3
M00146,14503.42942945584,2
M00151,60150.33108309146,2
M00152,22898.488196862476,4
M00154,274.03093672209343,7
M00160,16730.54789134921,1
M00165,53585.395150954486,1
M00168,185823.56370634362,1
M00171,161263.95162962275,1
M00307,156006.31530300985,1
M00308,69444.59390910459,1
M00346,20070.55821301681,1
