pathway_name,distance,n
M00001,7874.614208963265,2
M00009,17116.391627512476,1
M00010,16936.218988944293,1
M00015,64613.37927964373,1
M00019,16882.56977747926,1
M00029,26766.351311812563,1
M00032,30079.169958144397,1
M00034,11132.65067148769,2
M00035,11060.691366476118,2
M00036,17125.716943383784,1
M00037,31711.68643876377,1
M00038,24422.591321424283,1
M00045,29561.86305466734,1
M00049,22810.63386946251,5
M00050,7205.328825510109,6
M00052,21893.42130358181,5
M00053,11573.566081305637,6
M00056,168301.4795867325,5
M00057,14531.37161533676,1
M00058,12200.677875884861,2
M00059,156892.0479945091,1
M00071,67198.67498641204,1
M00072,11109.038310569276,2
M00075,14594.207911038202,1
M00076,8872.281465081125,3
M00077,8608.361401260006,3
M00082,16228.175416841379,1
M00087,116425.6444656229,1
M00088,16670.610097695364,1
M00089,13694.043645394517,2
M00094,25664.90135687046,5
M00095,17299.19255511555,1
M00098,7194.438503640841,3
M00099,20576.441449094753,6
M00100,8798.005495124808,2
M00101,16266.434058675832,1
M00104,7965.371267019154,2
M00106,7172.294232369058,2
M00109,120462.63279339338,5
M00115,28478.79940539446,1
M00118,16408.072610923795,1
M00119,16982.071588176022,1
M00120,186070.32249286122,1
M00126,180261.82422993827,1
M00128,14348.888620205316,1
M00130,5855.1858202738495,9
M00131,15748.343226299263,1
M00133,29784.312620159966,1
M00135,19380.187662175027,3
M00170,16711.041646575417,1
M00171,10759.703502514296,2
M00338,33664.27635277651,1
M00344,191348.12310454404,1
M00346,32551.505094931315,1
M00368,11783.945256387105,2
M00373,17422.562264644755,1
M00374,18271.067779369943,1
M00375,17374.72120969715,1
M00415,83644.72053693277,1
M00532,10549.699615978938,2
M00549,8016.876882639926,6
M00570,11073.226456340597,2
M00609,11915.867851305597,2
M00632,159316.62264779414,1
M00793,14559.45239570522,1
M00844,29566.05980742383,1
M00845,31046.794049674987,1
M00849,16799.32171238432,1
M00854,30279.667120809067,5
M00855,155891.91848353858,1
M00872,160353.75378975048,5
M00873,16188.998580331754,1
M00874,15948.119791778678,1
M00880,16972.08821988928,1
M00885,15868.72113588471,1
M00886,15982.330271387413,1
M00892,20380.039570588477,2
M00909,22201.939093785648,2
M00911,30228.99120254865,1
M00912,24963.901501636028,1
M00913,27320.2093553289,2
M00938,11326.322467458975,6
M00953,12002.510568439882,2
M00957,18381.192598222147,1
M00958,24448.77356086153,1
M00959,24784.15106772047,1
M00972,60027.44031202154,1
M00978,29827.018305390215,1
M00983,117793.66607388548,1
M00987,16416.211542549336,1
M00995,23736.378082772564,2
M01002,24067.60702988181,2
M01015,8243.175915505957,2
M01022,14734.85513317459,1
M01023,14680.728886752344,1
M01024,14730.294448115403,1
M01025,14968.905502004573,1
M01026,15444.502789343636,1
M01027,14705.768710990667,1
hsa00010,145.60642614170303,11
hsa00020,17073.54110816211,1
hsa00030,20078.580597565855,1
hsa00040,28182.5836616904,5
hsa00051,4793.940335983709,4
hsa00052,4136.626044936488,8
hsa00053,26930.682637327944,6
hsa00061,16388.363806597466,1
hsa00062,22554.08113564763,2
hsa00071,5108.1162956422895,4
hsa00100,13243.744856303889,2
hsa00120,7755.334312251639,2
hsa00130,15051.275655697018,1
hsa00140,70.18086825085814,10
hsa00220,10622.521025697244,2
hsa00230,11.283438021436206,11
hsa00240,6048.15024151544,7
hsa00250,30.8976582037748,5
hsa00260,6568.209906272294,7
hsa00270,10618.194026727744,2
hsa00280,6064.044197382309,4
hsa00290,11055.9292088808,2
hsa00310,4604.139295243994,5
hsa00330,96.95363686635511,6
hsa00340,7030.613260768093,4
hsa00350,7030.784602265495,7
hsa00360,6615.7083936211375,7
hsa00380,90.42014390548945,11
hsa00400,10216.340315084479,2
