pathway_name,distance,n
M00001,0.18400038467331298,7
M00002,0.34821372680462376,5
M00003,0.3207218067716317,6
M00004,0.46485123351398006,2
M00005,0.2749474910470137,6
M00007,0.4619999092546974,2
M00009,0.17982002678396455,7
M00010,0.19022017958000106,2
M00011,0.24074236606994862,6
M00012,0.37849424213350735,2
M00013,0.482784565638143,1
M00014,0.11780707918031681,8
M00015,0.08719619530775205,3
M00017,0.5908854536108702,1
M00019,0.35207569610150957,3
M00020,0.33067161226751157,2
M00027,0.35624009624981956,4
M00028,0.5047738923307457,1
M00029,0.2653671183620559,5
M00032,0.3629290875156455,3
M00034,0.3635556379821531,9
M00035,0.3167873516717807,8
M00036,0.40817181472696745,6
M00037,0.32368661660924314,2
M00038,0.10994800283485916,6
M00042,0.288968353830101,5
M00043,0.37719559061803215,3
M00044,0.2521744527458728,3
M00045,0.44486235931196777,4
M00046,0.45013749899278566,2
M00047,0.20798301674662686,6
M00048,0.4009861668194852,4
M00049,0.1695788930430034,8
M00050,0.267033910835517,6
M00051,0.10547303541646745,3
M00052,0.23216628844568313,5
M00053,0.08999387420824297,9
M00055,0.3507476943730579,2
M00056,0.3465093757001103,7
M00057,0.32852731100871524,2
M00058,0.4040468435650149,1
M00059,0.2224028900663165,5
M00065,0.3039293782992606,3
M00066,0.32875582695665057,1
M00067,0.27715111833119566,1
M00068,0.19136304478875982,2
M00069,0.2736219923558568,5
M00070,0.1503546270025804,2
M00072,0.3344403777272077,6
M00073,0.11440301363370337,3
M00074,0.11617065419440539,3
M00075,0.33773041568332984,1
M00076,0.15897240705148838,9
M00077,0.3148037419950494,6
M00078,0.08128962543802373,9
M00079,0.1347962219559268,4
M00082,0.29456299303929107,2
M00083,0.22761011599168376,3
M00085,0.2332884786810879,2
M00086,0.08189444574968724,4
M00087,0.5002463131470001,1
M00088,0.31206821709452953,2
M00089,0.19679344902173032,9
M00090,0.08912565751055158,4
M00091,0.4832030649426295,1
M00092,0.15677042981339992,3
M00093,0.30321901809195273,2
M00094,0.09788540999650486,6
M00095,0.3397365256359721,5
M00096,0.35637044021448744,2
M00098,0.21835754402980007,11
M00099,0.09291475664355962,6
M00100,0.23854268411626464,3
M00101,0.22413192981290478,6
M00102,0.27748338814676954,3
M00103,0.3231692673102641,1
M00104,0.10428152224063299,4
M00106,0.2976618782595019,1
M00107,0.2814294325391992,1
M00110,0.2974585873286935,1
M00113,0.50808674291611,1
M00115,0.3362802442538924,6
M00118,0.44994165999962904,1
M00119,0.35207569610150957,3
M00120,0.3971280317808392,8
M00121,0.14032089907159834,10
M00122,0.47095543867700906,1
M00124,0.3442628497709685,1
M00126,0.362970982354124,3
M00128,0.25350099220180283,4
M00129,0.1374702611634011,7
M00130,0.07353461629528428,7
M00131,0.3252221832151243,2
M00132,0.3049178551727431,3
M00133,0.29127218376929126,3
M00134,0.3040424760805102,3
