pathway_name,distance,n
M00001,0.49222688824893096,1
M00009,0.045981883169795554,14
M00010,0.13917020946373015,8
M00011,0.14233097883967183,6
M00012,0.3141562801831297,1
M00014,0.4705251816631572,4
M00015,0.44752395600799766,2
M00017,0.37179006675721904,1
M00032,0.23932433771449546,2
M00034,0.15625900517070643,2
M00035,0.23765866410507916,50
M00036,0.18961528444926207,3
M00037,0.43011000430656166,1
M00043,0.36052679737225923,1
M00047,0.09996846573793879,5
M00048,0.3294899615696004,1
M00049,0.1376330928415493,4
M00050,0.1941024995545186,3
M00052,0.14847689926368332,3
M00053,0.08452615971658461,9
M00055,0.4065762248189357,3
M00056,0.3379907296826746,6
M00059,0.44429374716512005,1
M00065,0.22070294007950275,2
M00066,0.45294255297677355,1
M00067,0.4634549125728462,1
M00068,0.49383842113030796,1
M00069,0.42889202140147553,1
M00072,0.3892700194378692,2
M00073,0.3900987933370388,2
M00074,0.3663712935342961,2
M00075,0.40483657049115856,2
M00076,0.32763609653582915,1
M00077,0.3282049047912998,1
M00078,0.36322737952306705,1
M00085,0.4368214661993753,1
M00089,0.44466568298625914,2
M00094,0.3868251933638368,4
M00098,0.422638235830165,2
M00099,0.25647970284373495,5
M00100,0.24136015183274742,2
M00101,0.3207985964795721,3
M00102,0.3291500548134362,3
M00104,0.17081903945609234,2
M00106,0.19659560667513037,2
M00107,0.43941837535337114,2
M00108,0.5512425531165308,1
M00109,0.195816072072567,3
M00110,0.4663917847538103,1
M00114,0.4059675063267982,1
M00115,0.14183560538186218,2
M00118,0.32432656857919046,2
M00120,0.45060373198523396,3
M00122,0.47010540469235207,1
M00126,0.49331349040442646,1
M00129,0.4636452164326731,4
M00130,0.10516293595236355,9
M00135,0.4203846873769674,1
M00146,0.15705878857171973,2
M00147,0.7809162674648346,1
M00148,0.37037065783049944,1
M00151,0.37774642893647964,2
M00152,0.24198232448468793,5
M00158,0.1608468374411892,4
M00160,0.45473002229329945,5
M00170,0.3223160545962073,1
M00171,0.3438699475610474,1
M00173,0.11800367376608652,10
M00307,0.23687173913584114,2
M00376,0.14955306433157076,2
M00415,0.16479267840875705,4
M00532,0.2346556872591192,2
M00546,0.46893807323970493,1
M00549,0.4757273469417903,2
M00621,0.22953729071839846,2
M00740,0.16586443626124317,8
M00872,0.2727347566714684,4
M00873,0.4885769705467244,1
M00874,0.4255588917385187,1
M00892,0.08703741469599953,3
M00909,0.08583947700575154,3
M00911,0.3652800207596797,1
M00912,0.13165111607184923,2
M00917,0.3407792235095959,3
M00938,0.07986372167484149,9
M00955,0.5346710828064245,1
M00958,0.4111625378917285,3
M00959,0.3996365026005115,2
M00970,0.1036360180660617,5
