pathway_name,distance,n
M00001,0.10227469331844276,743
M00002,0.05512498680205767,402
M00003,0.020592963028946455,421
M00004,0.03288209450695536,212
M00005,0.12655675705492725,155
M00006,0.027214726840195363,85
M00007,0.04290434866520838,110
M00008,0.0484488070917538,40
M00009,0.09358104541829193,960
M00010,0.09737793120317115,370
M00011,0.08839627276940938,632
M00012,0.21690723527718567,294
M00013,0.06730820453123122,382
M00014,0.048658079238293385,741
M00015,0.09852839850084306,207
M00017,0.18212933746470739,200
M00019,0.10674248929303624,327
M00020,0.021048944492887838,168
M00027,0.07574647954054842,337
M00028,0.19171667336608025,65
M00029,0.05378299075252911,354
M00032,0.10650553534900616,625
M00034,0.1457751501772749,826
M00035,0.11499417618431532,728
M00036,0.12766819448999467,813
M00037,0.1949484094612355,549
M00038,0.13920456889296182,289
M00042,0.02381218371541825,354
M00043,0.0878251093821218,66
M00044,0.02316202168165922,336
M00045,0.16452458866656347,241
M00046,0.04251897393683277,151
M00047,0.06601312201350662,1128
M00048,0.05726540861397357,414
M00049,0.11016943189186516,721
M00050,0.16420694178887268,683
M00051,0.06936660517861473,185
M00052,0.06804913433762022,530
M00053,0.03760383011732387,1164
M00055,0.03839914132864775,430
M00056,0.017717633741899434,870
M00057,0.015721473465604,362
M00058,0.032385154595753814,303
M00059,0.015655897885689562,592
M00065,0.08641174143837418,488
M00066,0.11006829064501567,209
M00067,0.15414715398760873,163
M00068,0.1950744516397192,267
M00069,0.016448573159997988,368
M00070,0.12079719040114167,253
M00071,0.06255323398895654,208
M00072,0.04294764549208795,494
M00073,0.11002770859887298,384
M00074,0.12655970532681524,311
M00075,0.038563957501313306,583
M00076,0.030812060148155768,316
M00077,0.025596924388878513,371
M00078,0.04437344165885891,462
M00079,0.036186695171980365,251
M00082,0.01977756289024071,410
M00083,0.023005328314885852,203
M00085,0.07030470911972077,386
M00086,0.0523470568242768,147
M00087,0.07905881314700003,495
M00088,0.015517397185288126,418
M00089,0.07621202751925589,994
M00090,0.04197862283934422,260
M00091,0.051930001456979555,148
M00092,0.07519638928768073,317
M00093,0.026456214463247085,152
M00094,0.08985809539600276,567
M00095,0.02316840893027813,446
M00096,0.17713271229275984,69
M00098,0.06364779236387133,1159
M00099,0.08896374527164994,716
M00100,0.026238276160084242,351
M00101,0.08604643743724683,813
M00102,0.09331936846865886,670
M00103,0.041621059196340286,167
M00104,0.043307539017166434,729
M00106,0.07076360801125861,235
M00107,0.0205385190512454,195
M00108,0.0715997876342619,252
M00109,0.0388985007893315,354
M00110,0.029675702293468335,189
M00113,0.07917819260759738,239
M00114,0.13067994823918924,218
M00115,0.09107957534619676,403
M00118,0.03589574019344362,152
M00119,0.10674248929303624,327
M00120,0.11488975003938688,663
M00121,0.10335144739772328,412
M00122,0.08727448259324724,322
M00124,0.04054645561523812,121
M00126,0.11843313180324976,395
M00128,0.05830838521169698,309
M00129,0.03647558299771937,587
M00130,0.022325316556983554,870
M00131,0.10690851651513841,174
M00132,0.09391076801386089,243
M00133,0.15850661965171878,185
M00134,0.06088363695702288,84
M00135,0.08561721708623418,223
M00140,0.05259430281010186,178
M00141,0.06835210906282363,279
