pathway_name,distance,n
M00001,0.06328359730177342,539
M00002,0.09178785006753423,248
M00003,0.044969848996046335,333
M00004,0.10951240284965631,110
M00005,0.1088850634180876,118
M00006,0.18254409313780826,47
M00007,0.06411013150796094,48
M00008,0.06798735573711581,25
M00009,0.1606100140844666,672
M00010,0.2091719040897958,313
M00011,0.12897622689062962,380
M00012,0.3001225695258753,243
M00013,0.07321668104652307,276
M00014,0.013990393937036267,503
M00015,0.10615501035185351,188
M00017,0.2854484580770325,131
M00019,0.1211866018592924,154
M00020,0.08663712348717849,105
M00027,0.17488386661296015,255
M00028,0.36394023105838835,27
M00029,0.04261603380559662,339
M00032,0.07333750108947,449
M00034,0.13207079922614037,625
M00035,0.09774262057215582,565
M00036,0.15998735524033666,484
M00037,0.12288787946879973,419
M00038,0.13513431695497805,232
M00042,0.04613232142287882,264
M00043,0.18928353735276443,34
M00044,0.07550608150664875,241
M00045,0.04259164427488984,149
M00046,0.11660960436224924,39
M00047,0.2172286041051093,1177
M00048,0.09934056828868919,341
M00049,0.11678799836935733,663
M00050,0.19399411510079848,599
M00051,0.02150177032528999,176
M00052,0.10850392516083204,471
M00053,0.142576870557098,1381
M00055,0.014912124414065182,404
M00056,0.021739470784220283,650
M00057,0.028959102420091976,225
M00058,0.026048454089518724,193
M00059,0.055318574658889834,496
M00065,0.035001101166895005,370
M00066,0.12283717746453889,163
M00067,0.17477745508560275,90
M00068,0.19565847532205283,237
M00069,0.06218202589224511,262
M00070,0.1159414442809308,187
M00071,0.16494537619702468,115
M00072,0.04069310743955882,341
M00073,0.058494430747233685,281
M00074,0.036927009993420794,248
M00075,0.036241187966459545,410
M00076,0.05945894672600099,292
M00077,0.044218597258584895,346
M00078,0.017994597586511354,355
M00079,0.15372463586323218,215
M00082,0.07640226552791046,310
M00083,0.03987224757998117,185
M00085,0.03920587596813094,245
M00086,0.12774810917575485,168
M00087,0.04055067490239674,340
M00088,0.12013948294849378,262
M00089,0.08462014745108101,780
M00090,0.05427361471827539,195
M00091,0.09722713724514105,72
M00092,0.0412226230917926,188
M00093,0.08232137790161151,99
M00094,0.046040360784226804,420
M00095,0.10264983588545977,326
M00096,0.2295909708330945,55
M00098,0.04651234962525995,954
M00099,0.026602081822637316,524
M00100,0.02968409864339246,194
M00101,0.08539581285134472,583
M00102,0.10412485537103984,469
M00103,0.13342480523758274,90
M00104,0.03598163690794124,444
M00106,0.031655026586749874,152
M00107,0.06682452857447176,145
M00108,0.04461439868583299,232
M00109,0.04394234561395124,319
M00110,0.0649041803718206,157
M00113,0.03538877460789099,137
M00114,0.031704406735855756,95
M00115,0.07824158812148514,300
M00118,0.1497111760267809,86
M00119,0.1211866018592924,154
M00120,0.08578103103324268,443
M00121,0.14955486691254052,302
M00122,0.21222792864098122,212
M00124,0.07273851363079337,60
M00126,0.1481889343949937,342
M00128,0.017981865332634746,172
M00129,0.015838104561983115,422
M00130,0.011460512850552553,782
M00131,0.10029914274171658,133
M00132,0.04743415945482077,141
M00133,0.1542587748766424,121
M00134,0.0397424813774905,49
M00135,0.049642959785147725,159
M00140,0.17500522575076177,97
M00141,0.1200404952031212,168
M00142,0.1795378087467901,4
M00143,0.06706705151399926,125
M00146,0.12317950858271536,380
M00147,0.27881362879341887,167
M00148,0.2686784906105099,108
M00151,0.056330842590122596,74
M00152,0.028457574640071995,284
M00154,0.05264142867559131,296
M00158,0.09129835101515281,334
M00160,0.05894710267651571,383
M00165,0.055454892272741904,226
M00168,0.20254512765383031,38
M00169,0.13249832375400247,98
M00170,0.023783512715815382,159
M00171,0.10160321165256499,312
M00172,0.13249832375400247,98
M00173,0.12204030123704102,206
M00307,0.0654734973980399,336
M00308,0.07549435462341139,69
M00338,0.1659333626216297,97
M00344,0.10705394409963723,127
M00345,0.19025262324170178,104
M00346,0.17275146614640846,235
M00357,0.10875326924560864,86
M00364,0.2295909708330945,55
M00365,0.2295909708330945,55
M00366,0.2132865542073418,145
M00367,0.18527295195891572,158
M00368,0.22254248734482654,230
M00373,0.10001326115946671,221
M00374,0.05541675289973046,92
M00375,0.06878413293178799,126
M00376,0.1589774150689987,115
M00415,0.04584627017234297,566
M00532,0.1416945759273527,323
M00546,0.04792060703174053,88
M00549,0.045694429495783624,302
M00552,0.07549435462341139,69
M00554,0.06204968337991318,84
M00555,0.4033837273634023,20
M00565,0.3558087169317816,27
M00570,0.11140647124908559,240
M00572,0.04205807150899105,183
M00609,0.22254248734482654,230
M00621,0.20222071700676036,152
M00632,0.027704595842228105,151
M00740,0.16216741350194058,196
M00741,0.20829191989395138,137
M00761,0.11223681603427153,17
M00793,0.07355008038848522,185
M00840,0.3469025008200043,68
M00841,0.2663382858954479,49
M00842,0.16509079931127266,84
M00843,0.17890886681965393,81
M00844,0.08725088836640259,239
M00845,0.1485582693593261,197
M00846,0.33926586016905236,61
M00849,0.09755905607724233,316
M00854,0.02826967781197223,254
M00855,0.047841446678967545,194
M00861,0.053896800296210835,219
M00862,0.08105720185480804,102
M00868,0.10519266938032744,301
M00872,0.025046192151296408,487
M00873,0.01808355365816209,422
M00874,0.03481037667048758,482
M00880,0.25118693212452686,115
M00881,0.11258814186153528,17
M00882,0.11912516667263189,45
M00883,0.1847349524392089,50
M00884,0.11258814186153528,17
M00885,0.03854879787416229,154
M00886,0.03854879787416229,154
M00892,0.11111604786905901,329
M00897,0.07964539778737895,17
M00898,0.07964539778737895,17
M00909,0.164041702525508,282
M00911,0.037852886365223735,93
M00912,0.09609131062697082,382
M00913,0.232099347487715,34
M00917,0.11458380834404232,302
M00926,0.16646357368678266,171
M00936,0.05873600483744834,39
M00938,0.13350995484887052,1396
M00953,0.22254248734482654,230
M00955,0.037464760814934085,219
M00957,0.04973418820147186,193
M00958,0.0750731079626928,483
M00959,0.10607622984412401,327
M00968,0.128540212630588,18
M00970,0.20968098386606462,931
M00972,0.26924364490196423,1082
M00974,0.21151210167521914,238
M00975,0.17366012016675628,137
M00976,0.030302605304246867,345
M00977,0.03867142576632695,362
M00978,0.0839879468527643,250
M00981,0.05873600483744834,39
M00982,0.07086328684381447,58
M00983,0.07480794370786475,300
M00987,0.10682121334320979,89
