pathway_name,distance,n
M00001,0.17162726397793157,125
M00002,0.09688344695850312,70
M00003,0.12056745249993074,71
M00004,0.06710248385462077,47
M00005,0.2468622505329241,59
M00006,0.20092749408437935,19
M00007,0.1277974459713032,28
M00008,0.17252769755183467,19
M00009,0.08218336278501985,219
M00010,0.1668033791230012,89
M00011,0.032720459148664956,143
M00012,0.19069779076481377,78
M00013,0.10507067838328335,77
M00014,0.032847068336100765,164
M00015,0.10164482790180679,56
M00017,0.14467686657416576,38
M00019,0.1101093506884058,62
M00020,0.11455515677701562,34
M00027,0.12675840549263231,54
M00028,0.2146815799636862,8
M00029,0.05288311672367342,73
M00032,0.08718917701048373,149
M00034,0.06850649774650355,204
M00035,0.04718150513588593,155
M00036,0.08427024063684758,188
M00037,0.0803506585586428,100
M00038,0.13323112055328615,52
M00042,0.0684283543749468,77
M00043,0.12996294120786722,13
M00044,0.05934875287161937,63
M00045,0.09436256448447577,32
M00046,0.19749458839412984,23
M00047,0.06238766841919087,122
M00048,0.05742274199756357,77
M00049,0.09463268081815973,150
M00050,0.18697371790236106,138
M00051,0.0951718038780699,43
M00052,0.05451089497594266,109
M00053,0.04488620849120542,146
M00055,0.05500101395269065,119
M00056,0.12525028095225013,247
M00057,0.16642544758710648,69
M00058,0.07722382405160788,72
M00059,0.03050817623367734,181
M00065,0.03360923805433542,120
M00066,0.2951217240637575,49
M00067,0.372133501970348,34
M00068,0.3082600471556444,69
M00069,0.06591853214168625,88
M00070,0.21958054500524118,52
M00071,0.20146125008989246,42
M00072,0.050987305674287164,84
M00073,0.03603822425600112,60
M00074,0.05034811866836207,49
M00075,0.10122206914629969,120
M00076,0.05405209195867156,97
M00077,0.03610217213318039,111
M00078,0.044337713701060766,115
M00079,0.06939329042863311,71
M00082,0.07934105701642594,79
M00083,0.08287822379392375,46
M00085,0.03235182771759404,92
M00086,0.037943754851132876,65
M00087,0.032467358003094686,113
M00088,0.07806098107858919,84
M00089,0.08630924922560407,226
M00090,0.06617222658751076,41
M00091,0.15250550375098507,31
M00092,0.12266143598715717,77
M00093,0.18940260653452873,35
M00094,0.02992521306870471,132
M00095,0.0743057811298004,116
M00096,0.36975913656833564,21
M00098,0.05022173925048927,245
M00099,0.0484006446838626,171
M00100,0.04277346357367365,59
M00101,0.07523445780816482,159
M00102,0.07459570441537935,139
M00103,0.14062017258545698,16
M00104,0.06429799729769196,145
M00106,0.1585936764203719,57
M00107,0.09791292799524244,43
M00108,0.06597302270675519,38
M00109,0.1144517290993986,68
M00110,0.19987038591278525,40
M00113,0.1082248861008267,36
M00114,0.10763662159530794,30
M00115,0.10208030437288997,91
M00118,0.09471813563269159,34
M00119,0.1101093506884058,62
M00120,0.08416575159596262,132
M00121,0.10280048411090689,65
M00122,0.06856500551828175,58
M00124,0.05882365606613782,32
M00126,0.14572784218688883,106
M00128,0.07163029612083731,70
M00129,0.06647074119633994,140
M00130,0.03516406687216533,182
M00131,0.09494957701368664,31
M00132,0.07378147592629902,51
M00133,0.11984345993697709,33
M00134,0.1751046665509387,12
M00135,0.08843796501177252,51
M00140,0.1424394773845599,48
M00141,0.08324567728855879,67
M00142,0.14048805450062146,8
M00143,0.16848850034398563,38
M00146,0.15540756779146628,86
M00147,0.3262091960536056,31
M00148,0.10184038644257769,31
M00151,0.2887184188865214,36
M00152,0.14523513105732497,76
M00154,0.056616435141535776,77
M00158,0.10610640356227789,119
M00160,0.1273865673608547,98
M00165,0.08336714305782603,58
M00168,0.23668432179302493,13
M00169,0.22300970844705925,26
M00170,0.06507863637612923,50
M00171,0.10564926708786657,85
M00172,0.22300970844705925,26
M00173,0.1237226813222947,32
M00307,0.09547708930690688,104
M00308,0.32345804396240596,17
M00338,0.1923321571049968,30
M00344,0.14804124256959098,26
M00345,0.17405390529298437,30
M00346,0.0520679686365217,78
M00357,0.05136920259321051,45
M00364,0.36975913656833564,21
M00365,0.36975913656833564,21
M00366,0.27274462864202637,52
M00367,0.2740908396682497,61
M00368,0.13181990449470335,55
M00373,0.08181358894278794,67
M00374,0.10067809272996082,30
M00375,0.13328338517813126,43
M00376,0.1815314944877034,34
M00415,0.06743583993114562,119
M00532,0.08850198023982385,119
M00546,0.07089646036554377,28
M00549,0.11252671963464578,75
M00552,0.32345804396240596,17
M00554,0.17078088219174564,37
M00555,0.4693837273634023,8
M00565,0.16450538580306454,6
M00570,0.11792485986066963,86
M00572,0.08888807629570436,46
M00609,0.13181990449470335,55
M00621,0.06891103871038466,67
M00632,0.09789588033668585,59
M00740,0.18531295932220337,39
M00741,0.08609345978039268,42
M00793,0.0485901431517451,54
M00840,0.2777912476230734,23
M00841,0.4569781233144784,8
M00842,0.29791458645610414,17
M00843,0.3246103705444315,17
M00844,0.08082192878305179,56
M00845,0.10021184340996882,42
M00846,0.10713693666476426,26
M00849,0.08818176693232488,112
M00854,0.07444041076990436,54
M00855,0.04744365691479309,72
M00861,0.10627632094004574,55
M00862,0.2851347634950821,28
M00868,0.07643975757713514,88
M00872,0.1200637211860355,137
M00873,0.10011214416141145,109
M00874,0.026534669280709182,112
M00880,0.15262815595705503,48
M00881,0.24880378598167532,14
M00882,0.08291699519978116,26
M00883,0.07826980068855081,26
M00884,0.24880378598167532,14
M00885,0.11722107214665532,42
M00886,0.11722107214665532,42
M00892,0.24900472001525006,87
M00897,0.17091837839980875,7
M00898,0.17091837839980875,7
M00909,0.30896834664566347,74
M00911,0.08761029265109642,27
M00912,0.06020498374431458,101
M00913,0.2538867962914607,16
M00917,0.08903990040445327,86
M00926,0.08438891403084192,48
M00936,0.134809690972811,12
M00938,0.047732862897595624,149
M00953,0.13181990449470335,55
M00955,0.0713260648742148,66
M00957,0.10232103575186714,46
M00958,0.10090661246997308,132
M00959,0.11175835754659554,100
M00968,0.2564758597624973,4
M00970,0.11359703287520584,39
M00972,0.07314017303482781,91
M00974,0.03416972086738458,89
M00975,0.12096650904893672,67
M00976,0.055931846389097525,74
M00977,0.06687244767611457,65
M00978,0.08392488605807104,56
M00981,0.134809690972811,12
M00982,0.14189534990467373,12
M00983,0.08109834237705146,67
M00987,0.10589433439162137,33
M00988,0.3246103705444315,17
M00991,0.1037882862271828,32
M00992,0.1037882862271828,32
M00994,0.12790212718563607,22
M00995,0.3797388570071528,58
M00997,0.4996036247073141,6
M01000,0.10763662159530794,30
M01001,0.09027912267526414,47
M01002,0.3797388570071528,58
M01003,0.06446639071630814,35
M01004,0.11907125234499132,9
M01006,0.076134207846183,22
M01015,0.0982038198287832,54
M01016,0.060924675015258445,24
M01017,0.3462242172442728,2
M01018,0.3462242172442728,2
M01019,0.3462242172442728,2
M01020,0.3462242172442728,2
M01022,0.0485901431517451,54
M01023,0.0485901431517451,54
M01024,0.0485901431517451,54
M01025,0.0485901431517451,54
M01026,0.0485901431517451,54
M01027,0.0485901431517451,54
M01034,0.3462242172442728,2
hsa00010,0.08413948621396464,407
hsa00020,0.09851503815093128,283
hsa00030,0.06995413832339617,166
hsa00040,0.06743616661561752,242
hsa00051,0.05132449103172832,303
hsa00052,0.025760119052183988,279
hsa00053,0.06320515468546167,185
hsa00061,0.05837173267587476,191
hsa00062,0.0331065449527141,261
hsa00071,0.025954037359749313,317
hsa00100,0.058484087820576666,220
hsa00120,0.06111002092894809,162
hsa00130,0.06091537169586463,134
hsa00140,0.03109540399032636,334
hsa00190,0.022201562909926066,473
hsa00220,0.034867033404268145,215
hsa00230,0.011360488682933302,883
hsa00232,0.08792074459970789,73
hsa00240,0.03529575191408392,381
hsa00250,0.11380361084342974,360
hsa00260,0.0367465860143755,362
hsa00270,0.06664532262344683,447
hsa00280,0.04453862408997308,367
hsa00290,0.11792485986066963,86
hsa00310,0.05259243750263721,808
hsa00330,0.029243374475828858,387
hsa00340,0.12286108460665361,166
hsa00350,0.032787698344624014,312
hsa00360,0.030242133419797975,152
hsa00380,0.028597832443113005,350
hsa00400,0.04709417559111807,82
hsa00410,0.03273210386834577,304
hsa00430,0.0722330357371364,171
hsa00440,0.04022854751553951,48
hsa00450,0.10595879668898,207
