pathway_name,distance,n
M00001,0.06258311021624911,326
M00002,0.048115114926354105,176
M00003,0.042975418263916716,177
M00004,0.06068979564788984,96
M00005,0.4676370689348606,90
M00006,0.06028810615041761,43
M00007,0.17845322552623943,44
M00008,0.12113559290003223,20
M00009,0.16212080616910723,332
M00010,0.19022562001347665,107
M00011,0.15561156054779562,236
M00012,0.22275964643491666,114
M00013,0.04326479218351704,124
M00014,0.0627132643574918,310
M00015,0.16691395609847082,71
M00017,0.2687828242647343,49
M00019,0.27550145619971017,75
M00020,0.1462847942735125,64
M00027,0.1712847840849187,114
M00028,0.277795405398121,18
M00029,0.16846168884441434,126
M00032,0.07708020583497341,230
M00034,0.19676044603486328,323
M00035,0.15456027446298026,284
M00036,0.17147761011290066,247
M00037,0.20854788066825644,197
M00038,0.12099969474803236,114
M00042,0.18959155277652034,145
M00043,0.10001677460667499,28
M00044,0.09474549440440416,169
M00045,0.11595102812853134,80
M00046,0.06641076891531904,40
M00047,0.05020200854647983,174
M00048,0.13849611083871446,168
M00049,0.08899605721281384,289
M00050,0.1903947892107625,291
M00051,0.07337940965658876,104
M00052,0.07240886495436981,222
M00053,0.03091710937492669,290
M00055,0.13763925960804788,162
M00056,0.026409479799959754,300
M00057,0.04256494369442172,145
M00058,0.03871233923506545,108
M00059,0.06012186240893103,279
M00065,0.029864525472234234,191
M00066,0.02382825328827343,98
M00067,0.039357620494028765,52
M00068,0.12736066913885533,123
M00069,0.13213951058545279,164
M00070,0.04634716587750973,78
M00071,0.051798093932517206,61
M00072,0.08509992122120322,225
M00073,0.05793278583565762,174
M00074,0.059134553664502335,159
M00075,0.12101842103759763,272
M00076,0.0970669963202806,153
M00077,0.1168432503934118,166
M00078,0.062225078462934055,229
M00079,0.07767932079632194,111
M00082,0.031581024701374416,168
M00083,0.07414748806057835,121
M00085,0.16506390973212162,138
M00086,0.12502371014250344,88
M00087,0.0667913869944223,172
M00088,0.22954550243517327,116
M00089,0.10965456013284143,433
M00090,0.11276138882955301,112
M00091,0.1924036818721126,37
M00092,0.18108868670254305,118
M00093,0.1979631784199067,82
M00094,0.13198906130058086,269
M00095,0.15088723540432383,141
M00096,0.12807585924984005,23
M00098,0.114393294418794,469
M00099,0.11210956987963056,321
M00100,0.04016801423184687,146
M00101,0.14620685340981046,267
M00102,0.1536246218513707,210
M00103,0.04964448878154776,38
M00104,0.03324467194529411,290
M00106,0.02715276190669768,106
M00107,0.048820891702097774,95
M00108,0.0759412973412464,83
M00109,0.03784882833610888,146
M00110,0.06402928740115821,91
M00113,0.09248689774349615,73
M00114,0.15857975036187327,51
M00115,0.1930712477958842,189
M00118,0.1128956305739987,41
M00119,0.27550145619971017,75
M00120,0.15617348811176762,228
M00121,0.1741075128481653,164
M00122,0.19280598771271107,80
M00124,0.20819103513229925,22
M00126,0.14203953049857704,164
M00128,0.060297814537583136,126
M00129,0.07544726019715874,254
M00130,0.04015011394035017,378
M00131,0.04105889838159428,90
M00132,0.03789906738030809,77
M00133,0.29969213918008997,76
M00134,0.11251446598335861,52
M00135,0.1378965420803339,76
M00140,0.2277480600662549,44
M00141,0.20450640491084768,87
M00142,0.05570946373887769,20
M00143,0.15244605584914636,55
M00146,0.044179275002543796,217
M00147,0.2823797723538263,89
M00148,0.25986980401962284,65
M00151,0.05951867122826677,59
M00152,0.056700214775476446,148
M00154,0.13225852659369602,161
M00158,0.047744531809468416,198
M00160,0.13073967467639774,160
M00165,0.09960016905376767,130
M00168,0.1544191309965767,39
M00169,0.21797451577512772,53
M00170,0.1019137951140541,115
M00171,0.18463851439969442,203
M00172,0.21797451577512772,53
M00173,0.11886942412250215,88
M00307,0.05909869172723176,176
M00308,0.13238766938399993,33
M00338,0.2519910718336788,43
M00344,0.07397923656494228,51
M00345,0.2137092725246224,59
M00346,0.21480431446487103,124
M00357,0.1265321903712265,41
M00364,0.12807585924984005,23
M00365,0.12807585924984005,23
M00366,0.14318381894411977,88
M00367,0.1296762717300556,101
M00368,0.3603677539568035,106
M00373,0.15159824394101798,102
M00374,0.10839124784509592,52
M00375,0.1168877573404694,62
M00376,0.1019816652718783,80
M00415,0.11618285895023887,255
M00532,0.19302294117168003,168
M00546,0.09018367507093243,60
M00549,0.11618941240344331,166
M00552,0.13238766938399993,33
M00554,0.15212150232391058,67
M00555,0.10471917868135149,10
M00565,0.14795390424977406,2
M00570,0.25810648486008336,124
M00572,0.08749127349052842,119
M00580,0.10653289361681768,9
M00609,0.3603677539568035,106
M00621,0.2035289607343587,79
M00632,0.1427987355311445,117
M00740,0.1516476430937775,64
M00741,0.20376888630342158,66
M00761,0.11681263716750938,11
M00793,0.20515097356305634,87
M00840,0.382853667178607,25
M00841,0.09793274104861187,18
M00842,0.17017668202222208,58
M00843,0.17428494523479462,55
M00844,0.2203857961478671,98
M00845,0.23738827513624597,79
M00846,0.1634155932178007,47
M00849,0.15336839546329356,136
M00854,0.1722328441466838,109
M00855,0.049412991490709615,101
M00861,0.13873245029084794,158
M00862,0.14292071536265627,100
M00868,0.05826641709579094,183
M00872,0.08140909129639987,318
M00873,0.02132700366022007,229
M00874,0.03775555300702076,266
M00880,0.17013701934997122,93
M00881,0.1002185418994681,8
M00882,0.11243214193970587,27
M00883,0.051195674387079775,27
M00884,0.1002185418994681,8
M00885,0.11302587668063388,100
M00886,0.11302587668063388,100
M00892,0.2428559484046951,168
M00897,0.3197441681132106,13
M00898,0.3197441681132106,13
M00909,0.26452478543739627,144
M00911,0.21992456298160493,49
M00912,0.16372686524552435,210
M00913,0.20923866638052013,23
M00917,0.11749261696339107,111
M00926,0.1404791454916312,103
M00936,0.25690871941594573,41
M00938,0.03906950501263893,294
M00953,0.3603677539568035,106
M00955,0.12918422562149626,121
