pathway_name,distance,n
M00001,0.23772984985689524,3
M00003,0.571969350433869,1
M00005,0.3898035103016808,2
M00009,0.18594040127743566,4
M00010,0.3989644111391712,3
M00011,0.5717770952808359,1
M00012,0.17318699774405463,2
M00013,0.4053327168726567,3
M00014,0.22810075811905503,2
M00015,0.21106358006097842,2
M00019,0.4062168625196633,1
M00020,0.14855763710367406,2
M00027,0.41618712226958793,2
M00029,0.1726023384651169,3
M00032,0.1875091374603379,7
M00034,0.2660556379821532,3
M00035,0.2694988596233378,5
M00036,0.4642100172115926,5
M00037,0.19353781708565254,3
M00038,0.20782566199470445,4
M00042,0.16794113762986443,2
M00044,0.15997665797835398,2
M00045,0.3128443250460407,3
M00047,0.42183972002868864,2
M00048,0.5561937695699494,1
M00049,0.33289044738067847,1
M00050,0.21198458852192498,2
M00051,0.465848810668234,4
M00052,0.35108567750703795,1
M00053,0.29237767253329444,3
M00055,0.3471114408276309,1
M00056,0.35281628957838307,2
M00059,0.08295884438685834,4
M00065,0.3936075817781857,1
M00068,0.42884285248101767,1
M00069,0.38702221167528805,1
M00072,0.17172746293536353,3
M00073,0.11527091545879761,3
M00074,0.1070071819958463,3
M00075,0.3789055359903823,1
M00076,0.15889532063699682,2
M00077,0.15884822322319248,2
M00078,0.1524687356076669,3
M00079,0.16843474546950318,2
M00082,0.426576557002252,4
M00083,0.15315568836969692,2
M00085,0.5267284302047496,1
M00086,0.4834432912393732,1
M00087,0.4228388083389169,3
M00088,0.5147970601582679,1
M00089,0.21466568298625927,4
M00093,0.505377465517011,1
M00094,0.23543991357782115,3
M00095,0.5033816764784323,1
M00098,0.10356863972539168,6
M00099,0.22557757812467608,3
M00100,0.14041233225768637,2
M00101,0.16281166805241057,6
M00102,0.388621204837285,4
M00104,0.16415515132772032,3
M00106,0.14618175298604372,2
M00107,0.35985537071345974,2
M00108,0.15884215467171003,2
M00109,0.19186518944512168,2
M00110,0.145392314509293,2
M00115,0.24094807152990633,3
M00119,0.4062168625196633,1
M00120,0.47297762865540327,2
M00121,0.4932497620659493,1
M00128,0.1564848863583549,2
M00129,0.5043260400531566,1
M00130,0.16461815191654153,3
M00131,0.37357153316584835,1
M00132,0.13622077976453262,2
M00133,0.44189227732437186,2
M00134,0.5015558664949883,1
M00141,0.32981626140894094,1
M00142,0.5590686853252476,1
M00143,0.5474785274834355,1
M00146,0.321119010444605,1
M00151,0.44069334581936087,1
M00152,0.16455857241844454,2
M00154,0.07840343389928653,5
M00158,0.3426138024990914,2
M00160,0.4869295468848148,3
M00168,0.5913669058798063,1
M00169,0.5878649401851911,1
M00170,0.4494170575402428,1
M00171,0.4782712059189044,2
M00172,0.5878649401851911,1
M00173,0.15219879349622895,3
M00307,0.2607292242278919,2
M00338,0.4809653632438268,1
M00344,0.38587062555907603,1
M00346,0.4841880494063806,1
M00357,0.34518782142937265,1
M00366,0.4280825912219431,2
M00367,0.17915150486236825,3
M00368,0.5308424539185709,1
M00373,0.548881536859621,1
M00376,0.5089534991533561,1
M00415,0.3957437155878182,2
M00532,0.45656920002112544,2
M00546,0.16414120435355722,2
M00549,0.22415397803592826,3
M00570,0.39161460718102564,2
M00572,0.14990588744172373,2
M00609,0.5308424539185709,1
M00621,0.5818462864884881,1
M00632,0.42206646897139843,2
M00740,0.3653836069062222,2
M00741,0.5621539954624292,1
M00842,0.4839171607619285,1
M00843,0.5114896755484037,1
M00844,0.4895806641389711,2
M00845,0.512590419292767,2
M00849,0.5012509744053861,1
M00854,0.4399546012782252,1
M00855,0.31370388340016325,1
M00861,0.5477338971816009,1
M00862,0.4887430660516106,1
M00868,0.17559381896816165,2
M00872,0.41293627881396455,3
M00873,0.17907961691092572,2
M00874,0.2854103318371331,5
M00880,0.33336125906062325,1
M00885,0.5205806976239193,1
M00886,0.5205806976239193,1
M00911,0.43184395704171963,1
M00912,0.13155943077369367,5
M00917,0.1674293954183857,2
M00926,0.514256042444781,1
M00936,0.6915979018889093,1
M00938,0.28624645638966495,3
M00953,0.5308424539185709,1
M00955,0.37041116732295065,1
M00957,0.3310833897303173,5
M00958,0.19123375879850238,3
M00959,0.20253855059967507,3
M00970,0.11147516749624631,3
M00972,0.12982097313087582,4
M00974,0.22344050985935998,2
M00976,0.15357037780457505,2
M00977,0.1771906297767925,3
M00978,0.4936211671637479,2
M00981,0.6915979018889093,1
M00982,0.5682829111895438,1
M00983,0.374615621483947,1
M00987,0.3155055404679389,1
M00988,0.5114896755484037,1
M00994,0.3285926919806538,1
M00997,0.6087940601712437,1
M01015,0.21442737101692871,3
hsa00010,0.18871536101916572,8
hsa00020,0.10291167215611945,6
hsa00030,0.22935493897106007,2
hsa00040,0.24632541178852074,5
hsa00051,0.07095904078049713,8
hsa00052,0.20125761139970486,8
hsa00053,0.19820956601836937,2
hsa00061,0.17219902077820545,6
hsa00062,0.41740336618633456,3
hsa00071,0.14861398873927661,9
hsa00100,0.16340945122077485,7
hsa00120,0.13151478115016538,4
hsa00130,0.183357750432927,3
hsa00140,0.060631268496703875,8
hsa00190,0.06767375158829333,11
hsa00220,0.12786059032667654,7
hsa00230,0.05531437077378415,11
hsa00232,0.42732890310975824,1
hsa00240,0.053028661708992904,9
hsa00250,0.194212354018926,8
hsa00260,0.09181622097336667,6
hsa00270,0.20370458890997226,10
hsa00280,0.4275355073778869,6
hsa00290,0.39161460718102564,2
hsa00310,0.1132988978747218,18
hsa00330,0.09936320379089107,8
hsa00340,0.25866720646432195,5
hsa00350,0.0879881745110747,4
hsa00360,0.2647504799721623,3
hsa00380,0.126770301498797,9
hsa00400,0.1973302810765356,3
hsa00410,0.2972017068614859,7
hsa00430,0.3581458573850224,4
hsa00450,0.13176836099508035,4
hsa00470,0.45238439140687,1
hsa00480,0.12554950109011775,11
hsa00500,0.18024894228269453,7
hsa00510,0.08106124857535357,6
hsa00511,0.20090665382876063,3
hsa00512,0.3095665922860945,3
hsa00513,0.08489730991273112,6
hsa00514,0.06869027218939132,4
hsa00515,0.25510920592225755,4
hsa00520,0.2695056945044299,4
hsa00524,0.22545381985627483,3
hsa00531,0.11351136033260978,4
hsa00532,0.3599635884051275,1
hsa00533,0.1960486173638184,4
hsa00534,0.07239157974941775,4
hsa00541,0.3412951868388911,1
hsa00561,0.15981971493020392,10
hsa00562,0.13673296480927002,10
hsa00563,0.3674971608934933,2
hsa00564,0.14566021962998307,9
hsa00565,0.07354728992556991,6
hsa00590,0.15886530210566333,5
hsa00591,0.09918632368395178,3
hsa00592,0.09548109362762545,3
hsa00600,0.19407762159203856,4
hsa00601,0.4005820309651147,3
hsa00603,0.3814826131021336,1
hsa00604,0.15093601919846264,3
hsa00620,0.1943027400813103,8
hsa00630,0.1550837173091691,4
hsa00640,0.21766083644515208,7
hsa00650,0.2233975674390413,6
hsa00670,0.24119565907800175,5
hsa00730,0.1891566937657659,3
hsa00740,0.21368029547460507,3
hsa00750,0.15901063731061943,2
hsa00760,0.2327365810664012,7
hsa00770,0.263634484139232,5
hsa00780,0.14377060397230906,2
hsa00785,0.24183647668945027,4
hsa00790,0.1035375381149354,5
hsa00830,0.30807112363558825,7
hsa00860,0.10123486411077233,5
hsa00900,0.12173424826877531,4
