pathway_name,distance,n
M00001,0.40116771305193455,3
M00002,0.32257067328764294,2
M00003,0.5454547903023057,1
M00004,0.16206705577836292,2
M00007,0.16272668434303894,2
M00009,0.41035476386346603,1
M00011,0.4088908091204507,1
M00019,0.46077924281381294,3
M00029,0.47783084930058,1
M00032,0.15616117439126842,2
M00034,0.4927223046488198,3
M00035,0.2751572259928182,4
M00036,0.2898912035829396,4
M00037,0.37921454733492366,5
M00038,0.1364920340968974,2
M00042,0.4634804416654093,1
M00043,0.46125790120608817,1
M00045,0.4957349187903306,1
M00047,0.09725396574126242,19
M00048,0.16311315508069743,2
M00050,0.5353461261770996,1
M00053,0.15494017404493535,16
M00057,0.08229482228777471,4
M00058,0.3791364281288327,1
M00059,0.17306724419814126,4
M00065,0.3829078461904919,1
M00067,0.3060851184904075,1
M00068,0.5918403993743332,1
M00069,0.3626752248711671,2
M00070,0.33782291099595435,1
M00075,0.3523714537508178,1
M00077,0.37477391741837923,2
M00078,0.11100152644959121,6
M00079,0.4261858668399722,2
M00085,0.3804147113614182,1
M00087,0.38789468585503334,1
M00089,0.29506175332728307,7
M00094,0.4665375844850904,1
M00095,0.44484747413780323,1
M00098,0.39176663493889086,4
M00099,0.45663670585448823,1
M00100,0.3543770965106284,3
M00101,0.14850907963323215,3
M00102,0.15179647181859532,3
M00103,0.30472375711676347,1
M00104,0.3227555810439479,2
M00106,0.574115015855185,1
M00109,0.2845954978266707,1
M00114,0.16669632812351695,2
M00115,0.4720618221257167,1
M00119,0.46077924281381294,3
M00120,0.38057756514418395,1
M00121,0.1878957351948831,3
M00122,0.4367263493593233,1
M00126,0.4844045454355853,2
M00130,0.1306798084284011,4
M00133,0.4828728556875994,1
M00140,0.3957459104233638,1
M00141,0.35196604369785933,1
M00143,0.3784188882623542,1
M00146,0.21604657707237943,2
M00148,0.385053272903454,1
M00151,0.3267979704000764,1
M00152,0.4319823244846884,3
M00154,0.15538583694892638,2
M00158,0.240749061648639,3
M00160,0.382930752639859,3
M00165,0.13764242223547948,3
M00171,0.2791886698642858,3
M00307,0.4004358276157181,1
M00308,0.6262601325991878,1
M00338,0.5425080206143428,1
M00346,0.1522531967611259,2
M00366,0.4927133312346504,1
M00367,0.47183094329275177,1
M00368,0.5933177539545192,3
M00415,0.3957437155878182,2
M00532,0.11062844020219968,3
M00549,0.5571680457026228,1
M00552,0.6262601325991878,1
M00570,0.45408510515904676,4
M00609,0.5933177539545192,3
M00621,0.32189038512064466,1
M00740,0.36690582074935385,1
M00793,0.3620666862166049,5
M00842,0.352422323665777,1
M00843,0.37557576628520667,1
M00844,0.530551402251198,1
M00845,0.5535162589653615,1
M00846,0.43650583898681594,1
M00849,0.44677095531617894,1
M00854,0.49693936942059985,1
M00868,0.4779665458589536,1
M00872,0.11194057468400888,4
M00873,0.3859410016472137,1
M00880,0.14211486576376076,2
M00911,0.18906916127359588,2
M00912,0.13424616944636023,2
M00917,0.1611773681465773,3
M00926,0.4359436343372552,1
M00936,0.7008673003272906,1
M00938,0.14864722718761275,16
M00953,0.5933177539545192,3
M00958,0.125312723774179,2
M00959,0.12487525807112318,2
M00970,0.11078699453823812,17
M00972,0.19593271938873208,17
M00975,0.4185313282775153,1
M00978,0.534568355287021,1
M00981,0.7008673003272906,1
M00988,0.37557576628520667,1
M01000,0.16669632812351695,2
M01015,0.24695452378573177,3
M01022,0.3620666862166049,5
M01023,0.3620666862166049,5
M01024,0.3620666862166049,5
M01025,0.3620666862166049,5
M01026,0.3620666862166049,5
M01027,0.3620666862166049,5
hsa00010,0.30129436572771046,6
hsa00020,0.35759031412573067,2
hsa00030,0.14721211511809734,2
hsa00040,0.4863899321851974,2
hsa00051,0.05368250512386291,21
hsa00052,0.43676290552836805,2
hsa00061,0.37421693670585393,1
hsa00062,0.158736699519668,5
hsa00071,0.15908544022064597,5
hsa00100,0.10369114157148365,6
hsa00120,0.3454376478048602,2
hsa00140,0.28901755051013844,4
hsa00190,0.2013289268530025,15
hsa00220,0.09607715965806925,4
hsa00230,0.03702270357632194,28
hsa00240,0.11315403336754071,20
hsa00250,0.11494728901279415,6
hsa00260,0.08633210790936756,23
hsa00270,0.26640232395401686,8
hsa00280,0.2001193119463739,6
hsa00290,0.45408510515904676,4
hsa00310,0.13680729698164182,12
hsa00330,0.060253239364100354,22
hsa00340,0.4466714691677186,2
hsa00350,0.1803036999549592,7
hsa00360,0.5040262200164214,2
hsa00380,0.23478197994244981,6
hsa00400,0.4284042271378037,1
hsa00410,0.4529785747970658,2
hsa00430,0.4273125240516891,3
hsa00450,0.36948620878490773,5
hsa00480,0.10275394811194073,22
hsa00500,0.46515332089871225,2
hsa00510,0.10365350316459107,3
hsa00513,0.10487442686955269,3
hsa00514,0.25316135405742357,2
hsa00515,0.10309876472381994,7
hsa00520,0.2997691194144127,4
hsa00524,0.5575976856426256,1
hsa00531,0.11492121030637524,8
hsa00532,0.09644376074518299,4
hsa00534,0.0877503278491287,8
hsa00541,0.47803167835352567,7
hsa00561,0.2231458591270321,16
hsa00562,0.04557253050278706,16
hsa00563,0.1857672659855435,2
hsa00564,0.2293854471191457,16
hsa00565,0.4046167768484543,7
hsa00590,0.09877065304831394,24
hsa00591,0.4012413786880673,5
hsa00592,0.40167614975690297,4
hsa00600,0.3619724496995502,6
hsa00601,0.25914176717268145,3
hsa00603,0.23148312021586212,3
hsa00604,0.174305692014636,5
hsa00620,0.09580973499347799,5
hsa00630,0.1475628347626425,4
hsa00670,0.22919565907800285,5
hsa00730,0.46389465806462576,3
hsa00740,0.16428662648627837,2
hsa00760,0.26221819282860614,6
hsa00770,0.31459516613848876,5
hsa00785,0.1047124834213393,3
hsa00790,0.12849494219721294,10
hsa00830,0.3001934211861977,7
hsa00860,0.13870907469475519,5
hsa00900,0.14359257778790788,2
hsa00910,0.4937765150136979,1
hsa00920,0.42282332591640365,1
hsa00970,0.22308478542333687,8
hsa00980,0.1134677216585759,8
hsa00982,0.17146012695466342,5
hsa00983,0.11240218567938738,23
hsa01040,0.46543506518878414,3
hsa01100,0.02413464060310575,143
hsa01200,0.04856166616239794,14
hsa01210,0.21399231521798834,8
hsa01212,0.13966256684422862,7
hsa01230,0.2683649740191613,13
hsa01232,0.09956267833250432,22
hsa01240,0.06324524167480045,22
hsa01250,0.41443602104159794,9
hsa01521,0.10751411009480805,27
hsa01522,0.12937853416505601,35
hsa01523,0.06401145352460019,7
hsa01524,0.1387514671033615,30
hsa02010,0.25176104831339036,11
hsa03008,0.11140528833589239,8
hsa03010,0.0685576159150256,11
hsa03013,0.14008025383625877,16
hsa03015,0.15834536235177202,13
hsa03018,0.323925357239536,12
hsa03020,0.183488399951353,3
hsa03022,0.09296006620121931,6
hsa03030,0.17663037151784078,5
hsa03040,0.15067012743181962,20
hsa03050,0.23516779918273664,5
hsa03060,0.08375635626197325,7
hsa03082,0.07772973863489248,24
hsa03083,0.1518547162149588,11
hsa03250,0.04222541016534825,19
hsa03265,0.0950239355144681,5
hsa03266,0.1381245536188367,6
hsa03271,0.4347990995548546,3
hsa03272,0.06980163863967699,5
hsa03273,0.08216637571251233,7
hsa03320,0.20328590808451477,11
hsa03410,0.07770805055073271,6
hsa03420,0.08252132984038134,10
hsa03430,0.1474477753220204,2
hsa03440,0.24420758863520292,6
hsa03450,0.08102634042643939,4
hsa03460,0.14253680229986196,6
hsa04010,0.09482690141664363,69
hsa04012,0.12639933576283305,24
hsa04014,0.037862343478332415,36
hsa04015,0.06046464511196784,32
hsa04020,0.03590476355182882,43
hsa04022,0.029280432360225605,26
hsa04024,0.11986685510187577,32
hsa04060,0.07002286053353886,27
hsa04061,0.10973718851690607,7
hsa04062,0.03396031299318579,24
