pathway_name,distance,n
M00001,0.06802277552908667,306
M00002,0.0591500784836118,140
M00003,0.03783212256514314,170
M00004,0.03432807371233522,81
M00005,0.18015031068662354,76
M00006,0.07162029175685568,28
M00007,0.03772669768277508,49
M00008,0.10234006476381756,14
M00009,0.14746032041214113,368
M00010,0.1743381479220741,145
M00011,0.12391914556723206,235
M00012,0.2465377907648138,135
M00013,0.0605736368868185,140
M00014,0.09070676531979184,293
M00015,0.09282798324779272,96
M00017,0.17710913324114308,79
M00019,0.1416528301145904,98
M00020,0.0368657030719083,69
M00027,0.07893241474732478,155
M00028,0.27470131449325996,21
M00029,0.0802861904801092,156
M00032,0.09821358958295844,247
M00034,0.17722261065758105,320
M00035,0.12375102393350006,257
M00036,0.14600530516948176,302
M00037,0.15552591421732612,208
M00038,0.09298323220392485,159
M00042,0.014819525360565865,158
M00043,0.13907925730308593,31
M00044,0.03415570030634516,145
M00045,0.0897745440092296,82
M00046,0.04515760821068537,56
M00047,0.11960851555764884,359
M00048,0.10056690688261252,163
M00049,0.10775617934211151,311
M00050,0.21187187595380647,294
M00051,0.0640359106205616,104
M00052,0.1011143348827009,235
M00053,0.03618845486448149,416
M00055,0.024984062069745697,193
M00056,0.01508622143346342,415
M00057,0.04009745531949064,120
M00058,0.03871582573630087,127
M00059,0.05026999052991603,301
M00065,0.048005682527119266,165
M00066,0.12832853102952846,96
M00067,0.1212485793072583,55
M00068,0.1775084139038699,111
M00069,0.035287488800358015,137
M00070,0.15074209164722108,96
M00071,0.18368193067146094,74
M00072,0.040665530210438214,204
M00073,0.061633776397677933,150
M00074,0.08445635424632714,132
M00075,0.03171506867815732,228
M00076,0.019280386259245823,159
M00077,0.02219092423938541,192
M00078,0.021512509901882377,201
M00079,0.06786090735086568,88
M00082,0.0443399085082472,171
M00083,0.040780796000281595,100
M00085,0.10045928730534906,159
M00086,0.08231755362019895,94
M00087,0.07261817448712009,177
M00088,0.05422679417472647,144
M00089,0.03956770683169156,424
M00090,0.018844229047696746,101
M00091,0.03259069170949329,55
M00092,0.07765006678125798,119
M00093,0.023511519534495096,66
M00094,0.09158968145119334,270
M00095,0.048520132132156335,183
M00096,0.1168858365739201,15
M00098,0.07311614191710222,505
M00099,0.08254673134093324,345
M00100,0.05516573249815434,117
M00101,0.05255594137825034,333
M00102,0.0551161794665402,288
M00103,0.05757609209743523,56
M00104,0.022310719754578753,267
M00106,0.06990064119804247,104
M00107,0.10661774784945235,60
M00108,0.13460605329842243,95
M00109,0.01621126823855229,161
M00110,0.02684481676296897,93
M00113,0.03274735948605344,81
M00114,0.034732774512022446,62
M00115,0.08888321034336069,175
M00118,0.06957083917556095,36
M00119,0.1416528301145904,98
M00120,0.08065901154396089,245
M00121,0.14158220920444045,168
M00122,0.0705612619743145,97
M00124,0.038316420237465273,40
M00126,0.17399095382239657,203
M00128,0.06258240347251566,123
M00129,0.0958629653445866,247
M00130,0.03502957117658825,382
M00131,0.025373693399419618,62
M00132,0.04611050114379963,68
M00133,0.1422961453434186,65
M00134,0.07461194125788462,42
M00135,0.0844534307495356,93
M00140,0.04094563745402155,63
M00141,0.07445342394965943,102
M00143,0.13271862952413746,61
M00146,0.03173949308281002,188
M00147,0.15785802069724336,79
M00148,0.2576390347888535,78
M00151,0.14607450932618854,50
M00152,0.053603685037547276,149
M00154,0.060495044619598363,173
M00158,0.0869173114390334,201
M00160,0.12071721388760484,231
M00165,0.0353247717839637,138
M00168,0.13218562237199744,39
M00169,0.14103666225741215,64
M00170,0.039586395887910485,125
M00171,0.1335509117308864,194
M00172,0.14103666225741215,64
M00173,0.1293365305585869,89
M00307,0.03821067127768304,174
M00308,0.21352972847456506,36
