pathway_name,distance,n
M00001,0.06702041382502626,659
M00002,0.05174725317051912,311
M00003,0.03270465775392646,383
M00004,0.04661924735918472,175
M00005,0.21335135464914654,158
M00006,0.0700891511391721,50
M00007,0.05048237090868536,112
M00008,0.11310681824250594,25
M00009,0.16725113295499305,830
M00010,0.20611479369009955,352
M00011,0.13582011165042743,494
M00012,0.2781803082473311,308
M00013,0.044410148633666977,258
M00014,0.09474829610566925,679
M00015,0.13806896106080338,198
M00017,0.22245411928929262,172
M00019,0.12743715763519212,242
M00020,0.028857475670351115,139
M00027,0.08778365650554629,324
M00028,0.28097765309581046,37
M00029,0.1231837822201444,345
M00032,0.11754916282517043,563
M00034,0.19342287474208764,723
M00035,0.13009344998537695,629
M00036,0.16932897512806755,667
M00037,0.16824712878855774,423
M00038,0.10910962051538106,361
M00042,0.02749011373269404,313
M00043,0.0982961743109588,58
M00044,0.03618047258441578,312
M00045,0.0696156832951895,183
M00046,0.059188637076031274,138
M00047,0.12264262073719281,801
M00048,0.112178867803172,395
M00049,0.12814099732509512,704
M00050,0.2430231580050887,683
M00051,0.05497635423966543,227
M00052,0.11851627168585029,542
M00053,0.03713249650364044,939
M00055,0.016200986475970885,414
M00056,0.01735790277418896,922
M00057,0.04294604815473518,247
M00058,0.026806802805710045,249
M00059,0.05705406650396945,605
M00065,0.03998814747393513,375
M00066,0.08344411097390969,231
M00067,0.11488087006936011,122
M00068,0.1581634287981569,261
M00069,0.022918686014039038,318
M00070,0.14466002477792037,212
M00071,0.17706979706546241,165
M00072,0.0518193956480843,428
M00073,0.10825785974071128,358
M00074,0.10852162091584505,301
M00075,0.016093707280742733,497
M00076,0.09293801031568844,332
M00077,0.09424349944078517,407
M00078,0.02810187094968469,407
M00079,0.11329275046370496,205
M00082,0.028424033080605114,319
M00083,0.07506237499950229,196
M00085,0.09647531159118121,299
M00086,0.08417348582358893,208
M00087,0.0586062058772854,380
M00088,0.05503865689144282,267
M00089,0.056388453604932665,965
M00090,0.02499480453975404,235
M00091,0.038991022253724944,99
M00092,0.07984132437186466,249
M00093,0.02099559418134217,144
M00094,0.10450764250596764,596
M00095,0.06262509732101494,339
M00096,0.10442213966426332,35
M00098,0.08507029724749522,1154
M00099,0.09114057763156856,742
M00100,0.027873633987974482,268
M00101,0.06653570519004133,708
M00102,0.06993576532677757,584
M00103,0.04461798846198286,123
M00104,0.026358447225421102,526
M00106,0.06906481310047038,207
M00107,0.09744028000584364,143
M00108,0.11149026382473869,225
M00109,0.011739922366805298,341
M00110,0.03623786949806049,173
M00113,0.05389769338477041,161
M00114,0.04137965417165221,154
M00115,0.08017956412196181,379
M00118,0.09471491922513495,105
M00119,0.12743715763519212,242
M00120,0.07700440655232282,583
M00121,0.1534049646223976,353
M00122,0.09903095894401151,220
M00124,0.05693131816330316,89
M00126,0.18898678715572992,421
M00128,0.039323474901087105,247
M00129,0.08829713364505046,546
M00130,0.045311896631071866,760
M00131,0.0334653912850439,136
M00132,0.053124514598138446,178
M00133,0.17532936212663497,126
M00134,0.09547155372124612,89
M00135,0.03950487208539165,202
M00140,0.03596446592613367,116
M00141,0.06867337242280672,198
M00143,0.0601477205003451,126
M00146,0.029139026917779507,377
M00147,0.11419167609437758,143
M00148,0.2730904396713967,167
M00151,0.16965262047527976,93
M00152,0.06863433281213915,330
M00154,0.09408374759434285,367
M00158,0.1013923906669212,448
M00160,0.15001426994414338,498
M00165,0.0258031465630745,323
M00168,0.17112310521744578,70
M00169,0.08799953170688753,132
M00170,0.026385483509821533,251
M00171,0.13143120386828192,403
M00172,0.08799953170688753,132
M00173,0.1261545139719436,196
M00307,0.030358159155849884,369
M00308,0.10236594457716075,108
M00338,0.13568068423068588,102
M00344,0.05979098993541844,138
M00345,0.08664810819153503,115
M00346,0.13085991883288944,257
M00357,0.11491032145486516,86
M00364,0.10442213966426332,35
M00365,0.10442213966426332,35
M00366,0.19777024374614993,132
M00367,0.15106654026037755,154
M00368,0.2505283862872476,259
M00373,0.09859398994641333,270
M00374,0.054691939920703384,107
M00375,0.048552854429704424,153
M00376,0.09522467430327115,143
M00415,0.05140025702057833,562
M00532,0.09628910153904127,407
M00546,0.10376018200052974,104
M00549,0.09741780272623475,436
M00552,0.10236594457716075,108
M00554,0.04629938106718608,150
M00555,0.1429076881111297,41
M00565,0.04910478552630903,31
M00570,0.1403141024227064,358
M00572,0.07172634613185216,190
M00580,0.19323507888639646,15
M00609,0.2505283862872476,259
M00621,0.06818192676866823,194
M00632,0.05663563125038652,222
M00740,0.11754192500867132,188
M00741,0.15838062957137147,177
M00761,0.09558205389955272,19
M00793,0.13120848664011192,228
M00840,0.30295122815421693,123
M00841,0.21601262371568253,59
M00842,0.11212954176919585,128
M00843,0.14031875054058396,120
M00844,0.13562771338939225,253
M00845,0.2273237590072143,177
M00846,0.12646679673780492,89
M00849,0.059736139324325144,328
M00854,0.08327810081646089,286
M00855,0.020964077218315336,224
M00861,0.0661009490535589,267
M00862,0.12713119693605965,125
M00868,0.0627347695468942,371
M00872,0.027324970498058754,630
M00873,0.07676962453629817,430
M00874,0.10193052816977793,471
M00880,0.17938353994730266,159
M00881,0.09307173131364738,31
M00882,0.0844112674733315,82
M00883,0.1427535091402399,97
M00884,0.09307173131364738,31
M00885,0.05209321684098711,184
M00886,0.05209321684098711,184
M00892,0.21680847941374592,480
M00897,0.09993864239068696,41
M00898,0.09993864239068696,41
M00909,0.2734832963780043,418
M00911,0.1483494714065139,117
M00912,0.08043015386636132,496
M00913,0.10633350919387861,67
M00917,0.08920256069494752,360
M00926,0.09511530108108811,213
M00936,0.23735378681377736,59
