pathway_name,distance,n
M00001,0.13566437557530547,457
M00002,0.057618646467334785,220
M00003,0.035127369077872235,266
M00004,0.09462222588039211,131
M00005,0.07475330246377407,109
M00006,0.07364307059034084,51
M00007,0.1611665759213639,72
M00008,0.07267542115461033,43
M00009,0.2569305340231553,2027
M00010,0.31732296863510123,1753
M00011,0.13508806411898583,288
M00012,0.24598514708665278,177
M00013,0.024391827930189475,282
M00014,0.05032626578414651,597
M00015,0.047619255716763745,107
M00017,0.2096575122500196,120
M00019,0.20553747148677065,93
M00020,0.08579495683855672,84
M00027,0.01801845797287522,214
M00028,0.2662861124976874,27
M00029,0.09893516832259458,199
M00032,0.07717479866032029,318
M00034,0.1316158810349942,486
M00035,0.08248191174016621,392
M00036,0.11928851826829058,341
M00037,0.1736529857733624,336
M00038,0.17827470414601634,194
M00042,0.05599549688615225,215
M00043,0.11792755173669778,51
M00044,0.056437585179675454,188
M00045,0.18650989246527605,114
M00046,0.03612035959004818,40
M00047,0.2578310461894598,1589
M00048,0.09570515365914041,183
M00049,0.0563544254320013,492
M00050,0.17827500985694097,473
M00051,0.035664885630266374,112
M00052,0.040552121065172614,366
M00053,0.20297166530750405,1718
M00055,0.07684499452667908,256
M00056,0.02521645628402699,567
M00057,0.07904488220460505,201
M00058,0.05021128667709868,150
M00059,0.09217695135815333,375
M00065,0.020567439364626298,269
M00066,0.021581374657927813,132
M00067,0.12862821240195507,61
M00068,0.11599018208817843,186
M00069,0.07629967489791604,216
M00070,0.08646986394537537,152
M00071,0.05416161911557337,96
M00072,0.06927930185557624,246
M00073,0.03436093577797939,217
M00074,0.027097293525147177,185
M00075,0.035677708925207614,324
M00076,0.1565515066904209,140
M00077,0.12274689039135214,192
M00078,0.017446377451045804,236
M00079,0.1262946328501956,134
M00082,0.02148160509960529,198
M00083,0.04525340925451632,114
M00085,0.10834275588596781,163
M00086,0.08073834569940715,104
M00087,0.08800462228853999,256
M00088,0.04466933950145166,215
M00089,0.08805618297103136,541
M00090,0.03659132511563908,133
M00091,0.0419686517016457,78
M00092,0.07761137749774341,157
M00093,0.08528995066478397,57
M00094,0.07162961553023886,374
M00095,0.09183440388542631,239
M00096,0.19656885781098166,37
M00098,0.06380539039904932,764
M00099,0.06595214370931353,467
M00100,0.07825631220336521,164
M00101,0.032707838977274674,437
M00102,0.025674304698061663,340
M00103,0.08128942194124703,109
M00104,0.029346054897240882,343
M00106,0.07687945619401362,96
M00107,0.05279714938490018,110
M00108,0.03952962297407422,165
M00109,0.06878450228074945,260
M00110,0.05840076305411893,129
M00113,0.17387258492356714,108
M00114,0.09865056078555737,70
M00115,0.052707320782489006,207
M00118,0.08533472244001376,68
M00119,0.20553747148677065,93
M00120,0.05846676675019079,263
M00121,0.10582199792522858,234
M00122,0.17377994562611948,160
M00124,0.08539486292641338,41
M00126,0.1737796442985872,296
M00128,0.05854031162156367,141
M00129,0.05460227887202885,482
M00130,0.04937479681430469,526
M00131,0.196571786082941,78
M00132,0.12042069568152446,107
M00133,0.21836622110099435,99
M00134,0.13536951602304192,39
M00135,0.07556697755212805,149
M00140,0.07885665211164779,87
M00141,0.13971836635158041,119
M00143,0.06175333565961444,40
M00146,0.10454119382192699,259
M00147,0.2665975921065231,106
M00148,0.2601550604298794,96
M00151,0.08954481441946259,90
M00152,0.019838733808936745,250
M00154,0.040822859431742076,183
M00158,0.03222142433869778,290
M00160,0.10086604247506635,270
M00165,0.05362375163093353,215
M00168,0.23746078012212285,23
M00169,0.11967795625289993,80
M00170,0.04867210558938244,127
M00171,0.20772619016478963,263
M00172,0.11967795625289993,80
M00173,0.3412883193175964,1658
M00307,0.13212080379534646,256
M00308,0.18636859007980644,70
M00338,0.13106443773208634,70
M00344,0.05756048551478566,112
M00345,0.17806779980064463,88
M00346,0.15870104619177486,173
M00357,0.20586048756782208,70
M00364,0.19656885781098166,37
M00365,0.19656885781098166,37
M00366,0.0817292347080491,70
M00367,0.08361460453470888,83
M00368,0.3005928826017436,176
M00373,0.04770771201186434,182
M00374,0.10368492887351304,84
M00375,0.09903507887298746,126
M00376,0.07837124603632387,109
M00415,0.024651811413268478,318
M00532,0.07330441968515242,277
M00546,0.1478453756353651,81
M00549,0.22431956743215978,279
M00552,0.18636859007980644,70
M00554,0.15115986942319729,55
M00555,0.15677443984278838,25
M00565,0.336360580200164,2
M00570,0.22400894261738,168
M00572,0.045269317296429405,114
M00580,0.17921204180248795,11
M00609,0.3005928826017436,176
M00621,0.05822960589564917,128
M00632,0.09741554648955578,87
M00740,0.31474013201123535,1671
M00741,0.05332840488993374,119
M00761,0.16165930429700004,5
M00793,0.21850795254993732,105
M00840,0.24273855459646465,77
M00841,0.08635034382579994,28
M00842,0.04758915511169867,61
M00843,0.03677394099311939,55
M00844,0.20615524787041567,132
M00845,0.28444476405992525,100
M00846,0.15590024845436162,73
M00849,0.08105203823972021,225
M00854,0.15232869989890727,157
M00855,0.056805443328910736,136
M00861,0.1604626250591666,154
M00862,0.09456012458001602,70
M00868,0.04427554613743671,224
M00872,0.06621387013335682,405
M00873,0.0375824873639869,281
M00874,0.045950169621916455,332
M00880,0.2117624181324185,114
M00881,0.2044756368666423,20
M00882,0.030070903797666367,41
M00883,0.07452680624771443,42
M00884,0.2044756368666423,20
M00885,0.04896923869718142,67
M00886,0.04896923869718142,67
M00892,0.22583907741412357,282
M00897,0.1349989926347418,18
M00898,0.1349989926347418,18
M00909,0.2658916392328565,242
M00911,0.15721667385580587,67
M00912,0.1133957956360164,293
M00913,0.07106022201266189,37
M00917,0.029404690475879906,297
M00926,0.05663008145721843,126
M00936,0.04758383684578378,31
M00938,0.19530313634527682,1721
M00953,0.3005928826017436,176
M00955,0.034263201548407556,180
M00957,0.0475686013931827,141
M00958,0.0463838929439418,405
M00959,0.08035231846255443,301
M00968,0.19844487802301017,22
M00970,0.2198798625480281,1363
M00972,0.2859490286003035,1456
M00974,0.06268993028302891,171
M00975,0.02316655336752963,109
M00976,0.02025821773119544,300
M00977,0.020143401293049597,289
M00978,0.1857259299890185,143
