pathway_name,distance,n
M00001,0.11790726397793172,34
M00002,0.09223845304068114,15
M00003,0.08582563730079013,32
M00004,0.13895273479083103,7
M00005,0.16979341335596682,12
M00006,0.11683438792338362,7
M00008,0.45022554225463035,3
M00009,0.05624266984843704,54
M00010,0.08977195580074926,26
M00011,0.056197959499120015,34
M00012,0.09760595243800933,30
M00013,0.1279084309659064,20
M00014,0.05400119343749796,28
M00015,0.12025111623221113,21
M00017,0.13694754573877183,6
M00019,0.39632996472421816,12
M00020,0.2434885635519106,11
M00027,0.05907125767805601,22
M00028,0.36210644562985683,1
M00029,0.15949445585526523,20
M00032,0.07766750696231833,35
M00034,0.09499910673908549,42
M00035,0.10445674957785687,33
M00036,0.14765857662491633,49
M00037,0.12462572040347378,33
M00038,0.16718149498311247,23
M00042,0.12180395871904759,24
M00043,0.3598622572846988,10
M00044,0.0566679742195791,24
M00045,0.45736235931196784,2
M00046,0.12865779160948623,10
M00047,0.07203452758147275,34
M00048,0.1338595959898117,22
M00049,0.14980883535951833,31
M00050,0.23975789088298222,35
M00051,0.08118283023117966,11
M00052,0.1511089823292691,34
M00053,0.10474926133759663,37
M00055,0.18083335473413192,23
M00056,0.05917094582647895,44
M00057,0.10110653599075722,14
M00058,0.3678290946586481,10
M00059,0.04134804596955147,39
M00065,0.05809154885700041,24
M00066,0.18902949435227465,13
M00067,0.5218248823803766,10
M00068,0.12323454021446559,13
M00069,0.09675653700419837,17
M00070,0.2749683363555368,9
M00071,0.19352319963903641,8
M00072,0.08355623084236954,24
M00073,0.04073566674188077,30
M00074,0.10843851659976397,20
M00075,0.06581246358545349,23
M00076,0.15185536126760382,28
M00077,0.12407382203542966,33
M00078,0.06469920264018685,31
M00079,0.18841788970218967,12
M00082,0.14937474083999983,23
M00083,0.18135660896435982,21
M00085,0.19610557076175994,20
M00086,0.2820662934659645,22
M00087,0.25047486038377814,43
M00088,0.12815712380384434,25
M00089,0.05419982642269779,52
M00090,0.22043604931808017,10
M00091,0.15003553319202573,7
M00092,0.1267185705666416,12
M00093,0.20467621095893443,7
M00094,0.11043991357782112,39
M00095,0.21359495441438414,31
M00096,0.4377860260143978,1
M00098,0.04804553738419985,49
M00099,0.10438710193419981,43
M00100,0.07039172593429249,14
M00101,0.05925697320420642,43
M00102,0.0635783862717963,39
M00103,0.2713365860974179,6
M00104,0.09055262364079986,48
M00106,0.14890917068507775,23
M00107,0.1525370467031036,10
M00108,0.3344569304914052,12
M00109,0.13286945981518827,19
M00110,0.1923113834480397,12
M00113,0.275858536392277,29
M00114,0.41665356043102375,7
M00115,0.08410833330131462,15
M00118,0.18904215429877208,10
M00119,0.39632996472421816,12
M00120,0.0411029178837398,30
M00121,0.11256939313077824,20
