pathway_name,distance,n
M00001,0.06793970275278056,318
M00002,0.07111809336878042,143
M00003,0.08724585625579892,196
M00004,0.018417331855702136,96
M00005,0.20261467284003173,96
M00006,0.06285093410698538,40
M00007,0.08180383082332511,51
M00008,0.10626500624021308,23
M00009,0.15884464809415105,386
M00010,0.2299849486342888,152
M00011,0.11534165755693253,249
M00012,0.2918012390406756,161
M00013,0.040016635607729875,127
M00014,0.06226845007227674,289
M00015,0.09146356925909653,126
M00017,0.1795450306770405,78
M00019,0.18273106732759956,112
M00020,0.09268252941994312,98
M00027,0.11799613552052332,139
M00028,0.2592193545310839,39
M00029,0.09589976826367498,189
M00032,0.08252531634798194,268
M00034,0.1969941888446523,371
M00035,0.13364516763749362,294
M00036,0.13191838972309577,304
M00037,0.1971357296009338,217
M00038,0.08936122414190165,191
M00042,0.0625087478282346,158
M00043,0.06463695604122051,31
M00044,0.020027694233260458,166
M00045,0.1381154977574727,88
M00046,0.07858972848746373,49
M00047,0.12942363819790662,366
M00048,0.14939523364573232,176
M00049,0.11262202653237306,317
M00050,0.22569678984588476,326
M00051,0.055171202879763744,110
M00052,0.1128483435248493,241
M00053,0.07185939057095775,464
M00055,0.012682591159067386,162
M00056,0.034692664383009504,386
M00057,0.031055093715238156,140
M00058,0.027145040181315406,136
M00059,0.06619360116175425,296
M00065,0.03250347151527428,192
M00066,0.036808188327378435,92
M00067,0.07819223800596894,51
M00068,0.16621111660657267,112
M00069,0.06850014082032824,174
M00070,0.1345485265200806,84
M00071,0.0702912542137513,58
M00072,0.04025774933342911,227
M00073,0.0887485457925054,174
M00074,0.059381787135927594,147
M00075,0.02465245365393124,231
M00076,0.07350497379811749,180
M00077,0.09648562723444702,201
M00078,0.0212862756293651,217
M00079,0.1475687815356239,94
M00082,0.04519534629047154,168
M00083,0.03606619807413464,123
M00085,0.09629847428712894,158
M00086,0.09198395439562958,89
M00087,0.0204843295590478,179
M00088,0.043947209910228345,136
M00089,0.06505699385563231,473
M00090,0.05387957023664841,95
M00091,0.09134431060113078,39
M00092,0.06429688231990532,113
M00093,0.09254731303529143,78
M00094,0.0669852266050182,272
M00095,0.07617705996572771,145
M00096,0.25807936767248957,18
M00098,0.08875657769199587,545
M00099,0.06771287230796307,325
M00100,0.022402789816838582,151
M00101,0.05203134644039885,350
M00102,0.060361214472178966,291
M00103,0.09433483994284984,62
M00104,0.031676886010599085,260
M00106,0.03157310170701205,93
M00107,0.07564522321528779,90
M00108,0.04760752182683838,120
M00109,0.09009200440350827,175
M00110,0.03292118750171029,107
M00113,0.021869726362001022,69
M00114,0.17402092683246087,60
M00115,0.13109031809030586,194
M00118,0.10878705005284338,44
M00119,0.18273106732759956,112
M00120,0.046106901520189585,260
M00121,0.16967132403697677,199
M00122,0.13497396038701295,63
M00124,0.09838502303071431,42
M00126,0.21374789826684096,207
M00128,0.024519702518253157,121
M00129,0.0593624736747788,236
M00130,0.04875854534387879,422
M00131,0.06375301447824853,82
M00132,0.05487170342969833,87
M00133,0.18573488052128412,83
M00134,0.12976150425172353,60
M00135,0.11948693778081264,81
M00140,0.06577291922988697,43
M00141,0.05427848943954942,73
M00142,0.05505407885574093,38
M00143,0.17880996079348743,95
M00146,0.04238772128731779,180
M00147,0.1037743923240685,78
M00148,0.2850380906917727,82
M00151,0.0318189713393022,69
M00152,0.04087656039330426,165
M00154,0.06504724544669697,239
M00158,0.052249790576952934,211
M00160,0.09696945957198541,232
M00165,0.04557590354244843,148
M00168,0.2680315711879638,53
M00169,0.17544816314363945,58
M00170,0.06879120439504131,116
M00171,0.20259607559850473,203
M00172,0.17544816314363945,58
M00173,0.1611994914831879,107
M00307,0.055453173827058756,185
M00308,0.19535673240315993,38
M00338,0.2516676123352613,45
M00344,0.04991048685995165,66
M00345,0.23746416170324078,52
M00346,0.21192883154057132,103
M00357,0.08552655623324418,58
M00364,0.25807936767248957,18
M00365,0.25807936767248957,18
M00366,0.17194835170116923,88
M00367,0.12464065553879497,107
M00368,0.3194821787894266,124
M00373,0.08200079839420583,128
M00374,0.02715664533543988,49
M00375,0.03392952648996377,60
M00376,0.04853619050591323,88
M00415,0.08240341044993806,277
M00532,0.11936067764621307,193
M00546,0.023135245169715123,80
M00549,0.08586934056603314,205
M00552,0.19535673240315993,38
M00554,0.12596480811945357,57
M00555,0.22317794891664017,20
M00565,0.11738611893583037,11
M00570,0.1926430541151151,170
M00572,0.029990539019574443,119
M00580,0.13444838910091667,4
M00609,0.3194821787894266,124
M00621,0.11293887418833191,96
M00632,0.10557598371046331,108
M00740,0.15100193526245242,84
M00741,0.13573945075814947,95
M00761,0.1313443481558826,15
M00793,0.14286041871772995,125
M00840,0.36702603023176894,50
M00841,0.261237800960929,25
M00842,0.11465568673854301,76
M00843,0.12857482592839822,66
M00844,0.18025769812503262,147
M00845,0.23013449266407943,127
M00846,0.11156840334854265,49
M00849,0.07696800760620401,143
M00854,0.08759393423677188,134
M00855,0.026725786070857654,113
M00861,0.061470549702849125,125
M00862,0.07092507296294528,79
M00868,0.061769723130003326,190
M00872,0.022111993457753994,314
M00873,0.08110207369633346,199
M00874,0.08704731578467846,241
M00880,0.19630374124133604,101
M00881,0.09964250234603321,17
M00882,0.030882991085138357,35
M00883,0.08359470741439423,37
M00884,0.09964250234603321,17
M00885,0.14718932137372867,100
M00886,0.14718932137372867,100
M00892,0.19988739951191906,196
M00897,0.15327177473841308,17
M00898,0.15327177473841308,17
M00909,0.23615260637709226,161
M00911,0.17581742012446308,56
M00912,0.07628384036178926,259
M00913,0.17555346295812713,33
M00917,0.060352264871441595,166
M00926,0.10214935477793206,119
M00936,0.3130895225495129,50
M00938,0.06715318576871931,472
M00953,0.3194821787894266,124
M00955,0.0237246078989851,117
M00957,0.06549143207849241,116
M00958,0.05773298306760751,303
M00959,0.13520471880127694,214
M00968,0.1872813466559347,9
M00970,0.12911132403870781,277
M00972,0.158249207345071,366
M00974,0.1391334252046307,152
M00975,0.0378127909730646,57
M00976,0.03411225890281592,192
M00977,0.05557678234730066,193
M00978,0.17105289980885421,154
M00981,0.3130895225495129,50
M00982,0.05807989583953913,54
M00983,0.041920273832811016,135
M00987,0.04182807828284692,53
M00988,0.12857482592839822,66
M00991,0.10335253320244872,38
M00992,0.10335253320244872,38
M00994,0.18363747613667297,43
M00995,0.3176049239736689,138
M00997,0.18920935438397316,55
M00999,0.1313443481558826,15
M01000,0.17402092683246087,60
M01001,0.03202209551876016,73
M01002,0.3176049239736689,138
M01003,0.08027755182809913,62
M01004,0.043371510285655335,15
M01006,0.1266706960568642,44
M01015,0.12305514241706736,163
M01016,0.07503749580208346,27
M01017,0.3482097048285845,9
M01018,0.3482097048285845,9
M01019,0.3482097048285845,9
M01020,0.3482097048285845,9
M01022,0.14286041871772995,125
M01023,0.14286041871772995,125
M01024,0.14286041871772995,125
M01025,0.14286041871772995,125
M01026,0.14286041871772995,125
M01027,0.14286041871772995,125
M01034,0.3482097048285845,9
hsa00010,0.04899225984749222,789
hsa00020,0.13969084707746368,511
