pathway_name,distance,n
M00001,0.11641187441074588,160
M00002,0.1879176712309634,68
M00003,0.04029427653696507,70
M00004,0.09411986800044057,35
M00005,0.16277429918271072,57
M00006,0.2752925357053329,7
M00007,0.119309248137675,18
M00008,0.24228553125979782,5
M00009,0.16610914084777387,201
M00010,0.3571466999719398,72
M00011,0.06847081110389475,136
M00012,0.38867095725962825,76
M00013,0.02675875159096111,100
M00014,0.04220271157344353,158
M00015,0.24652934071385565,46
M00017,0.2129062346904185,69
M00019,0.1672476644783298,58
M00020,0.04307311191810729,43
M00027,0.12426404534651098,83
M00028,0.28181550837723807,16
M00029,0.12521223493441028,111
M00032,0.0715836032425776,149
M00034,0.17987648618899457,247
M00035,0.15482773447951056,180
M00036,0.13760958974113924,174
M00037,0.2104051840962721,133
M00038,0.07983974014416002,110
M00042,0.08724168473138343,103
M00043,0.07410447298031243,17
M00044,0.0614877717735053,97
M00045,0.060142919096022,52
M00046,0.14684728606515457,23
M00047,0.18222365948885536,406
M00048,0.12788208125826067,88
M00049,0.1590353788850323,206
M00050,0.26636518699059647,228
M00051,0.05540059358486091,67
M00052,0.17121284079843543,161
M00053,0.11615896482145933,477
M00055,0.11810608200685967,70
M00056,0.05752768130912638,237
M00057,0.09397124513996684,61
M00058,0.055070441616166525,90
M00059,0.07274805952488711,183
M00065,0.08686717056519042,117
M00066,0.04083661784851883,48
M00067,0.13944837897346357,30
M00068,0.22465726540069816,78
M00069,0.07012852577807167,108
M00070,0.2674507997902866,42
M00071,0.11153560598852164,36
M00072,0.06430258765523522,140
M00073,0.03742166863989702,104
M00074,0.046958503237857614,95
M00075,0.026620168877857602,180
M00076,0.042072628614776245,99
M00077,0.0654627876037364,122
M00078,0.07150743984097951,123
M00079,0.14985191018407898,72
M00082,0.06157328915586678,100
M00083,0.07827858946355298,72
M00085,0.0832574995573754,77
M00086,0.18449560067655493,40
M00087,0.05253301358512096,99
M00088,0.04368839450023436,78
M00089,0.09393443019238798,284
M00090,0.13638447910715484,50
M00091,0.06003529341176614,31
M00092,0.07932676050491201,46
M00093,0.1652729375876763,33
M00094,0.04158284001524654,166
M00095,0.0362631064051803,67
M00096,0.27392582477223687,5
M00098,0.08394227720347082,325
M00099,0.064889871797248,207
M00100,0.052802930054285574,83
M00101,0.06901892382800535,182
