pathway_name,distance,n
M00001,0.11169514276581044,165
M00002,0.14095072822481422,77
M00003,0.19959434110428398,92
M00004,0.07516641229987484,46
M00005,0.12427719451220715,76
M00006,0.26640929950884396,15
M00007,0.08744276500075314,27
M00008,0.12112528840978773,9
M00009,0.14767199198937647,304
M00010,0.1417039099998061,139
M00011,0.13137275314369093,174
M00012,0.19969779076481384,114
M00013,0.06419623270320571,88
M00014,0.05186909832021616,220
M00015,0.11702948075192536,96
M00017,0.15762752305510438,37
M00019,0.17177114119480605,51
M00020,0.04276616607333505,47
M00027,0.16665882038279556,110
M00028,0.2946119953848747,18
M00029,0.022274587986107736,125
M00032,0.043394809197096595,196
M00034,0.11912820336071181,297
M00035,0.1345729777150128,189
M00036,0.12330620082236553,202
M00037,0.15580500027274272,140
M00038,0.08112886960232348,92
M00042,0.03547137841206231,108
M00043,0.1293446166001484,43
M00044,0.06415323272738863,123
M00045,0.09129047434588643,45
M00046,0.08060116821876213,34
M00047,0.19167172946191133,306
M00048,0.059820192339220195,144
M00049,0.07562684028148786,214
M00050,0.20731670076250577,232
M00051,0.057797760775031216,51
M00052,0.07455609138541235,182
M00053,0.09945195950778211,390
M00055,0.027128511503922734,105
M00056,0.02167127912033702,301
M00057,0.04599916541936107,80
M00058,0.049909931896204476,98
M00059,0.0347795168166677,164
M00065,0.0764610094775487,131
M00066,0.03354425675950772,55
M00067,0.2564915490470431,31
M00068,0.1518453008384451,88
M00069,0.03634586559924019,119
M00070,0.09656306075497684,47
M00071,0.10216149559169685,28
M00072,0.03230014635705804,158
M00073,0.16346848714147966,143
M00074,0.22505189022871094,130
M00075,0.03784774001469785,200
M00076,0.037347580773197206,135
M00077,0.02329621366982435,137
M00078,0.02477698104875482,147
M00079,0.08648207935729091,50
M00082,0.03618440330604937,132
M00083,0.0790148229846608,129
M00085,0.039012969959346486,135
M00086,0.040725064777932606,62
M00087,0.06788820002260464,120
M00088,0.10242170851564261,112
M00089,0.09703547322415063,352
M00090,0.10734425701932994,67
M00091,0.18561380493212007,19
M00092,0.052506919905842664,62
M00093,0.12085425164118285,40
M00094,0.08638293038637401,207
M00095,0.09580737715292478,155
M00096,0.2597860260143979,15
M00098,0.05700190078335934,412
M00099,0.09606007755885719,259
M00100,0.08586129905817427,95
M00101,0.13492198946423253,254
M00102,0.11644735673064396,192
M00103,0.05485202473330373,53
M00104,0.03523729167016443,211
M00106,0.047391510978609185,78
M00107,0.056826976218025384,72
M00108,0.04195758960029307,112
M00109,0.04487802031520881,144
M00110,0.02792181215372982,73
M00113,0.15929736524174604,34
M00114,0.10108235158704823,29
M00115,0.06772499929235122,129
M00118,0.19644835025905133,27
M00119,0.17177114119480605,51
M00120,0.1853180541873181,145
M00121,0.1335776407815906,123
M00122,0.17770851175529717,64
M00124,0.0904113519225096,18
M00126,0.1729070574260006,118
