pathway_name,distance,n
M00001,0.12088993527415652,180
M00002,0.08366630880451612,75
M00003,0.017635019999097307,103
M00004,0.022403472822120084,79
M00005,0.29883021866472204,82
M00006,0.20348414063534884,25
M00007,0.09036945143213089,46
M00008,0.15002024357089397,20
M00009,0.14895216682960344,202
M00010,0.21639273171797177,84
M00011,0.10104793874917065,126
M00012,0.264998866033631,93
M00013,0.1121311336396765,78
M00014,0.09754430131025808,176
M00015,0.07280976686035764,39
M00017,0.06345108845146509,24
M00019,0.10887597377427981,46
M00020,0.11479834685035657,26
M00027,0.06509234970972502,68
M00028,0.3097317790016758,17
M00029,0.08171134166569609,69
M00032,0.16158269339716227,158
M00034,0.14162441465696268,237
M00035,0.11574283112383527,223
M00036,0.0986395474129352,153
M00037,0.09513580435145988,90
M00038,0.18349284276459174,84
M00042,0.08014032533257341,127
M00043,0.08278293639113445,16
M00044,0.033598374566339455,107
M00045,0.10246947737266181,34
M00046,0.05569465380181572,26
M00047,0.27895343428963754,837
M00048,0.09039459869641812,82
M00049,0.1755949101275646,232
M00050,0.22481846528560404,218
M00051,0.12105355582094066,55
M00052,0.14453109775446188,191
M00053,0.19892667314421225,942
M00055,0.061209693460083585,118
M00056,0.02522567209907557,187
M00057,0.0456283559649293,47
M00058,0.07126478751124965,73
M00059,0.06526600811928067,199
M00065,0.055863672227838335,149
M00066,0.11049054380397276,52
M00067,0.2361485597331431,17
M00068,0.1288866896937477,101
M00069,0.06730922146741462,140
M00070,0.10159689027747806,60
M00071,0.17167338366291393,26
M00072,0.03958392866353965,128
M00073,0.049809577917231174,128
M00074,0.05695134799767225,109
M00075,0.03324429500202506,175
M00076,0.025555505938315792,125
M00077,0.029644804671878147,138
M00078,0.04636465710024601,130
M00079,0.14173901887558193,102
M00082,0.05973239595444591,67
M00083,0.031182007489651817,70
M00085,0.08552465654767626,57
M00086,0.12097744864033168,47
M00087,0.14353346844238607,95
M00088,0.06257184585352414,76
M00089,0.06944756493166021,301
M00090,0.10210284924222118,33
M00091,0.15491558724202384,21
M00092,0.09163566634526236,56
M00093,0.07624865118776689,21
M00094,0.04650229921747866,159
M00095,0.031683430756170146,100
M00096,0.058917642960107604,21
M00098,0.044119114763436655,354
M00099,0.06412053126790432,191
M00100,0.029405312085201522,109
M00101,0.05501669997292748,169
M00102,0.03954535623770001,136
M00103,0.157348621341813,24
M00104,0.07662800851804849,139
M00106,0.18099628917887126,48
M00107,0.054428365827950985,85
M00108,0.05394012436484362,75
M00109,0.02250544424469531,93
M00110,0.04115055270865676,45
M00113,0.09082348164287392,22
M00114,0.19598955934362725,23
M00115,0.12087943532572956,131
M00118,0.08673870069532623,45
M00119,0.10887597377427981,46
M00120,0.04876237382091237,137
M00121,0.0622251720011046,112
M00122,0.1192524522460709,47
M00124,0.06555914086402972,21
M00126,0.17980011080436928,102
M00128,0.27226644723789517,48
M00129,0.09900875657687065,165
M00130,0.02628439957791557,265
M00131,0.05162506441635807,71
M00132,0.04022986551675912,100
M00133,0.06086592308572975,35
M00134,0.06985665605462343,26
M00135,0.054110748618932905,53
M00140,0.14846559101170126,35
M00141,0.04420281726508188,75
M00143,0.06597051730903195,29
M00146,0.0905293412037465,91
M00147,0.3860448338840559,63
M00148,0.24978336000512258,37
M00151,0.20356853390044286,31
M00152,0.09295455193889676,69
M00154,0.11660569838329309,123
M00158,0.12173199797666488,158
M00160,0.05511606004498854,123
M00165,0.04255674507345629,104
M00168,0.2400689371776402,25
M00169,0.16014430312493336,43
M00170,0.07053439245428751,53
M00171,0.16498648411966751,81
M00172,0.16014430312493336,43
M00173,0.10678723498285643,47
M00307,0.12950977294510174,114
M00308,0.20005112968669103,31
M00338,0.27216991112773764,26
M00344,0.09528479563448922,34
M00345,0.23460322368436104,34
M00346,0.08068108133249864,69
M00357,0.20261540202121617,28
M00364,0.058917642960107604,21
M00365,0.058917642960107604,21
M00366,0.10143153363677698,52
M00367,0.12155126094796437,52
M00368,0.18067063379791592,76
M00373,0.06833265300968525,65
M00374,0.060618514532690744,28
M00375,0.09502556612568494,42
M00376,0.08126613538391296,36
M00415,0.027392244780492955,156
M00532,0.10627271425372335,130
M00546,0.07528060329968998,24
M00549,0.19924725362341505,113
M00552,0.20005112968669103,31
M00554,0.29656727683060446,30
M00555,0.14956949853021093,10
M00570,0.10213483930061894,72
M00572,0.03273390750614994,70
M00580,0.36791741961804164,4
M00609,0.18067063379791592,76
M00621,0.09580575087459262,50
M00632,0.19425239800983432,49
M00740,0.12526331116193862,45
M00741,0.05214803262438078,41
M00761,0.16127502229605495,11
M00793,0.09783758324801417,77
M00840,0.22845366717860696,25
M00841,0.2062745898438274,15
M00842,0.09603773224507481,38
M00843,0.09801349746618575,33
M00844,0.15962506212204827,49
M00845,0.20541600280632744,40
M00846,0.0892295711742288,27
M00849,0.034494542240803394,98
M00854,0.11196259925249273,66
M00855,0.03727161694986392,88
M00861,0.07941668000973169,42
M00862,0.08112060176342868,24
M00868,0.03294299176546615,125
M00872,0.023575632705346745,156
M00873,0.049683767020289336,137
M00874,0.0643632297585878,142
M00880,0.15772286461727478,85
M00881,0.3962905796800343,13
M00882,0.12832831915978013,17
M00883,0.0769496953805519,18
M00884,0.3962905796800343,13
M00885,0.0634052598284363,30
M00886,0.0634052598284363,30
M00892,0.2665508112024314,93
M00897,0.15208649097519614,14
M00898,0.15208649097519614,14
M00909,0.3144975848784493,85
M00911,0.2694508855741405,34
M00912,0.1149220463462418,169
M00913,0.2340957467326911,18
M00917,0.10672039998018418,89
M00926,0.05746047221974485,55
M00936,0.07776375701943723,22
M00938,0.192482116229548,942
M00953,0.18067063379791592,76
M00955,0.046807113945846995,91
M00957,0.09577332989315362,68
M00958,0.05257454832950387,180
M00959,0.056880038861561566,142
M00968,0.3698103634193809,3
M00970,0.23273943963349208,770
M00972,0.3071698776838335,796
M00974,0.06383987272217924,109
M00975,0.1610195794598479,40
M00976,0.02919955068398337,105
M00977,0.03815733089141472,105
M00978,0.16690695819766624,51
M00981,0.07776375701943723,22
M00982,0.09218610698359861,17
M00983,0.049228620924485926,119
M00987,0.1726207330784179,58
M00988,0.09801349746618575,33
M00991,0.14037956597001783,34
M00992,0.14037956597001783,34
M00994,0.12442109157629519,52
M00995,0.3840280621595317,61
M00997,0.11470180983295165,28
M00999,0.16127502229605495,11
M01000,0.19598955934362725,23
M01001,0.037313236042108636,37
M01002,0.3840280621595317,61
M01003,0.24812097299458868,46
M01004,0.1527683129980565,5
M01006,0.2118940093175243,15
M01015,0.19520013782081927,76
M01016,0.420950455408875,5
M01017,0.540037940210429,2
M01018,0.540037940210429,2
M01019,0.540037940210429,2
M01020,0.540037940210429,2
M01022,0.09783758324801417,77
M01023,0.09783758324801417,77
M01024,0.09783758324801417,77
M01025,0.09783758324801417,77
M01026,0.09783758324801417,77
M01027,0.09783758324801417,77
M01034,0.540037940210429,2
hsa00010,0.053730838074496516,458
hsa00020,0.13927052729821787,309
hsa00030,0.08894058448542458,220
hsa00040,0.09895282193732836,306
hsa00051,0.15654295033049745,1088
hsa00052,0.10133648544787252,394
hsa00053,0.08335241430219083,248
hsa00061,0.03438369879931116,212
hsa00062,0.06446750854652503,264
hsa00071,0.02226931627856493,351
hsa00100,0.04178744211254217,267
hsa00120,0.07389846366015784,157
hsa00130,0.04623644512295475,147
hsa00140,0.06567689429078556,483
hsa00190,0.05672413159090914,534
hsa00220,0.09376667218732353,192
hsa00230,0.0848980418400571,1881
hsa00232,0.04561676865885792,84
hsa00240,0.1675339421647503,1228
hsa00250,0.11979187633664548,408
hsa00260,0.18907980341948472,1073
hsa00270,0.10210681329613143,495
hsa00280,0.06338165509716515,354
hsa00290,0.10213483930061894,72
hsa00310,0.01024206226152161,876
hsa00330,0.21069750485818597,1086
hsa00340,0.028388789307735505,198
hsa00350,0.04336028923279665,386
hsa00360,0.054193778717022904,210
hsa00380,0.11147589456551979,383
hsa00400,0.04199151286733196,127
hsa00410,0.04454389301498579,328
hsa00430,0.042427241842437055,212
hsa00440,0.045766716255562896,34
hsa00450,0.139530489227712,272
hsa00470,0.0795243156640757,58
hsa00480,0.16158179815555027,1205
hsa00500,0.09948159561967668,372
hsa00510,0.0436529660921253,531
hsa00511,0.08390205159947793,176
hsa00512,0.03168616626190408,276
hsa00513,0.02949870369137946,441
hsa00514,0.05773511327342,375
hsa00515,0.024172097084861247,303
hsa00520,0.16755303108633682,329
hsa00524,0.23616911421405382,70
hsa00531,0.05220198057074259,226
hsa00532,0.06575353630451844,181
hsa00533,0.02373689941298552,159
hsa00534,0.04348323725351054,261
hsa00541,0.11922029442495415,268
hsa00561,0.060755350426716696,782
hsa00562,0.0100081837510443,814
hsa00563,0.02886612902632689,290
hsa00564,0.07251720255749518,806
hsa00565,0.062299630990965436,372
hsa00590,0.20127600080004607,1286
hsa00591,0.06863383530091656,234
hsa00592,0.08729777137852489,185
hsa00600,0.014322544386236586,388
hsa00601,0.023396241871966764,217
hsa00603,0.04364471397839033,183
hsa00604,0.07552108558052455,262
hsa00620,0.09931581986383183,368
hsa00630,0.16763163539454864,269
hsa00640,0.09766552474599856,259
hsa00650,0.06028361461453373,231
hsa00670,0.12214989640003847,338
hsa00730,0.10235040648763943,260
hsa00740,0.05421905996616939,140
hsa00750,0.07614114423192635,64
hsa00760,0.10074101544157156,410
hsa00770,0.04991365758920188,298
hsa00780,0.05937704478019182,86
hsa00785,0.09219202647345023,215
hsa00790,0.09226328999294164,287
hsa00830,0.07316625519000203,547
hsa00860,0.07914047960670861,400
hsa00900,0.09066508576457619,216
hsa00910,0.12870309907295704,142
hsa00920,0.05232914520488465,122
hsa00970,0.13003017212618717,760
hsa00980,0.05703543394814152,437
hsa00982,0.054587862025242066,417
hsa00983,0.12719681934275914,1290
hsa01040,0.0685748288847061,216
hsa01100,0.010811734843222157,7893
hsa01200,0.09530577857307058,753
hsa01210,0.136680877368675,363
hsa01212,0.045735655989297824,499
hsa01230,0.11321736629062312,538
hsa01232,0.13237060279874027,1395
hsa01240,0.10170357203019632,1145
hsa01250,0.16266562513195376,446
hsa01320,0.1726207330784179,58
hsa01521,0.07226407572291463,855
hsa01522,0.11499145335592534,1822
hsa01523,0.06630215773220868,379
hsa01524,0.21628316366676414,1367
hsa02010,0.03814790523846539,797
hsa03008,0.058716159010869844,772
hsa03010,0.01071541921608645,511
hsa03013,0.01648690334440481,889
hsa03015,0.010422013265907018,720
hsa03018,0.04176894121632754,667
hsa03020,0.09535003511484867,237
hsa03022,0.053922792023718115,449
hsa03030,0.06698717051578588,275
hsa03040,0.0825528711257751,1001
hsa03050,0.03307248305118582,319
hsa03060,0.029889166843090495,343
hsa03082,0.0223667793259885,1109
hsa03083,0.03198361558535606,918
