pathway_name,distance,n
M00001,0.10154923928657349,567
M00002,0.08704923349313082,265
M00003,0.04799301164833414,288
M00004,0.10855530362112721,148
M00005,0.14439193337277825,233
M00006,0.04593202273808027,37
M00007,0.1699942114699555,106
M00008,0.140361990985382,27
M00009,0.1843843052479587,720
M00010,0.2506531247620125,335
M00011,0.12642247408756935,410
M00012,0.31081740885156295,310
M00013,0.11257627100515716,167
M00014,0.05326824829645994,550
M00015,0.11237210089485136,147
M00017,0.26085361140370056,87
M00019,0.11676812286637663,150
M00020,0.1286092235624261,95
M00027,0.1417990733736306,182
M00028,0.21023097421353823,59
M00029,0.05465530742904402,290
M00032,0.12586326893673094,429
M00034,0.18968041029544996,728
M00035,0.12311942266914115,593
M00036,0.1345964906415444,419
M00037,0.08956040301701011,417
M00038,0.10207755276393018,284
M00042,0.06363358750946077,345
M00043,0.11431558077580978,47
M00044,0.07317697261878339,333
M00045,0.18415616761393203,152
M00046,0.027344580360163875,104
M00047,0.22346346044482499,1116
M00048,0.13652333079715834,326
M00049,0.0937460660252382,695
M00050,0.21074490832683926,702
M00051,0.14787841915376426,121
M00052,0.06728063801657173,506
M00053,0.1590320938334369,1396
M00055,0.04739585312206854,335
M00056,0.06384737269027702,671
M00057,0.03748362016647661,245
M00058,0.0342863677283872,223
M00059,0.04501377660035051,554
M00065,0.02409162298872157,410
M00066,0.04061115463175101,181
M00067,0.11701471390495734,84
M00068,0.14111596181059663,314
M00069,0.03780667371256169,376
M00070,0.08662555578181223,160
M00071,0.024947475970711556,105
M00072,0.10826444091203846,418
M00073,0.14083174978621188,380
M00074,0.14618569684900598,314
M00075,0.05009861357915104,452
M00076,0.053358229217699026,373
M00077,0.05428781646930228,428
M00078,0.030396515552512177,439
M00079,0.04226534052954425,310
M00082,0.10930347638164666,242
M00083,0.10376763014040105,266
M00085,0.10656696718289503,237
M00086,0.04869135111683142,142
M00087,0.11308001986565805,300
M00088,0.08567615371670624,212
M00089,0.06314610602656123,836
M00090,0.08511688223499447,157
M00091,0.1258090312629533,57
M00092,0.12539318699477023,203
M00093,0.08265926989107761,92
M00094,0.10568568583234413,572
M00095,0.08326889452354493,275
M00096,0.1573418673407751,47
M00098,0.0708980728406349,1082
M00099,0.07200716562703867,681
M00100,0.0662467896036868,314
M00101,0.09453634260080396,436
M00102,0.12315924457480418,358
M00103,0.03943809374885228,107
M00104,0.028960468424826386,473
M00106,0.047730888857616276,180
M00107,0.1363623691526519,246
M00108,0.05923785899366634,195
M00109,0.07783781653624042,271
M00110,0.06902808183270495,136
M00113,0.1282153840494384,113
M00114,0.13068544974726876,107
M00115,0.07930091921971445,376
M00118,0.1019307569499786,103
M00119,0.11676812286637663,150
M00120,0.13598021300393573,365
M00121,0.1724400454667589,259
M00122,0.17527056786936843,178
M00124,0.0868718726508185,61
M00126,0.15528615752626512,408
M00128,0.04168233592067796,181
M00129,0.08103690020074977,475
M00130,0.03397715645864566,821
M00131,0.07004503681467317,248
M00132,0.0727407160656026,273
M00133,0.1782738468871578,111
M00134,0.0935939417809473,57
M00135,0.19176345520785104,150
M00140,0.12063753254641042,80
M00141,0.12574725670189996,133
M00142,0.437869883873766,4
M00143,0.24077244679572699,103
M00146,0.03626301053999653,309
M00147,0.16665004842907,122
M00148,0.2880501753724081,87
M00151,0.03484494689599478,105
M00152,0.01778443689446156,262
M00154,0.10077216783156016,374
M00158,0.04791022790214981,439
M00160,0.12696319304593354,370
M00165,0.058434151749833685,261
M00168,0.39206893717764,54
M00169,0.1585188609136912,85
M00170,0.038912078113215225,165
M00171,0.14856673103324766,349
M00172,0.1585188609136912,85
M00173,0.2246719397510324,192
M00307,0.06343263272525361,464
M00308,0.06888299121762441,59
M00338,0.07920212907713917,93
M00344,0.04828810310555233,108
M00345,0.21277107701015552,99
M00346,0.21261895594907682,193
M00357,0.06330817149239558,75
M00364,0.1573418673407751,47
M00365,0.1573418673407751,47
M00366,0.20701116265051447,121
M00367,0.21049934421073146,127
M00368,0.26136968912855013,195
M00373,0.09000661304702995,205
M00374,0.07353128791699888,91
M00375,0.07777409743694579,107
M00376,0.10425226694523285,129
M00415,0.08164923676955776,486
M00532,0.09282179009804564,356
M00546,0.04598826944765645,64
M00549,0.1534025673488058,344
M00552,0.06888299121762441,59
M00554,0.08861593907508411,104
M00555,0.24161912538722888,34
M00570,0.12022132356976095,250
M00572,0.08402897816765705,260
M00580,0.10299874452145413,16
M00609,0.26136968912855013,195
M00621,0.17567706917986695,144
M00632,0.12151095497592791,138
M00740,0.263322275446719,170
M00741,0.1484905262275384,137
M00761,0.11397961497782315,18
M00793,0.08953395913656362,152
M00840,0.28801624002197856,143
M00841,0.28672639575054376,61
M00842,0.17793133348252144,103
M00843,0.18930611844540485,92
M00844,0.11438915902859227,215
M00845,0.12849484580273215,177
M00846,0.24266432760200257,52
M00849,0.07553097440538607,259
M00854,0.07358613099128589,236
M00855,0.06086327181523035,311
M00861,0.12919245739751672,191
M00862,0.09137648565197945,100
M00868,0.13138476439766716,354
M00872,0.025390207530889778,512
M00873,0.07501011967334514,427
M00874,0.1169604876839478,469
M00880,0.2263591974130706,243
M00881,0.34509057968003426,25
M00882,0.17006900070975686,57
M00883,0.09815075702404097,61
M00884,0.34509057968003426,25
M00885,0.14644159126869047,146
M00886,0.14644159126869047,146
M00892,0.126391191159999,315
M00897,0.09205894395099033,21
M00898,0.09205894395099033,21
M00909,0.12985728827239088,257
