pathway_name,distance,n
M00001,0.08577482169360579,825
M00002,0.06750002225679402,443
M00003,0.02609031848709317,477
M00004,0.05378604593968056,238
M00005,0.11803760298025479,403
M00006,0.04019885281997925,84
M00007,0.12892477487547288,145
M00008,0.061957535347631106,54
M00009,0.15454058497374315,874
M00010,0.24318689618630687,320
M00011,0.11047671224707067,599
M00012,0.3067716162681695,308
M00013,0.056316353838070446,366
M00014,0.05580209573552159,995
M00015,0.0741143488557549,251
M00017,0.09716564233132041,205
M00019,0.06048044159707519,230
M00020,0.14909918250440576,170
M00027,0.06795078048440661,385
M00028,0.2759695445046584,92
M00029,0.07282687792412879,475
M00032,0.05881563084923096,641
M00034,0.14942137309758455,1123
M00035,0.08157872574909325,975
M00036,0.06680260980418516,712
M00037,0.10432048014890387,582
M00038,0.03465969129728238,415
M00042,0.020385134233982246,606
M00043,0.03038396188289178,100
M00044,0.045422293024329194,608
M00045,0.07864211630194354,208
M00046,0.03858553376751287,150
M00047,0.19654292113721522,922
M00048,0.16241526794128497,339
M00049,0.1325396515324828,1111
M00050,0.22752426301830736,1031
M00051,0.05393302128088577,211
M00052,0.1074977916933557,895
M00053,0.059779329302254255,1422
M00055,0.03878099709968378,477
M00056,0.035202897550772994,1154
M00057,0.03629697787388086,344
M00058,0.027755142048926297,321
M00059,0.013910834744853518,987
M00065,0.05147177055157853,709
M00066,0.06795747897917136,292
M00067,0.10655130398038073,130
M00068,0.18332003343188658,551
M00069,0.06675369615167051,648
M00070,0.15386105620054288,315
M00071,0.06170125791513394,167
M00072,0.03659435289662237,667
M00073,0.1311429718915517,572
M00074,0.140112679799339,501
M00075,0.01611700470319328,881
M00076,0.06684174242487463,606
M00077,0.07354181016036172,674
M00078,0.03181251902557601,647
M00079,0.1256621326607845,441
M00082,0.03428668824036607,322
M00083,0.02895139969075026,431
M00085,0.0621402120183008,304
M00086,0.02457434901863568,190
M00087,0.040925530634349394,464
M00088,0.0666272647710783,390
M00089,0.04600648670447634,1343
M00090,0.06995844609476373,220
M00091,0.02638676453265305,116
M00092,0.12592241747516217,295
M00093,0.07971386156330948,136
M00094,0.07936059432942347,759
M00095,0.06403363499364884,439
M00096,0.19372826211324307,49
M00098,0.05134710018336508,1646
M00099,0.05764990464281143,962
M00100,0.026871743546824336,556
M00101,0.07115175456957351,839
M00102,0.06703738553778718,710
M00103,0.09223011736389705,122
M00104,0.03171664203855706,629
M00106,0.025586167067561325,217
M00107,0.036783625917223284,433
M00108,0.03747617998840512,466
M00109,0.07574849926577153,523
M00110,0.033337272959197334,241
M00113,0.08943626461033938,218
M00114,0.08968804318964448,145
M00115,0.04469495241553364,608
M00118,0.05810373332271811,156
M00119,0.06048044159707519,230
M00120,0.06652764406939005,781
M00121,0.14965951585738105,424
M00122,0.08856679447777241,242
M00124,0.08497762410058829,116
M00126,0.138818645043602,494
M00128,0.051752441139326914,256
M00129,0.06951199820010942,855
M00130,0.044341878463436936,1186
M00131,0.057343760392445216,390
M00132,0.07703778932492408,493
M00133,0.08645848300575601,150
M00134,0.09210870659667965,68
M00135,0.09700489090224866,220
M00140,0.05031867166856968,147
M00141,0.06129530088476456,215
M00143,0.13241960991629417,130
M00146,0.09086874824955522,427
M00147,0.18460481556903802,210
M00148,0.25062350310766984,163
M00151,0.07461799195260253,119
M00152,0.022124782036872435,364
M00154,0.11021566661983132,609
M00158,0.04474125723592387,685
M00160,0.09827390031292152,521
M00165,0.049614539493836214,447
M00168,0.27379938726872816,62
M00169,0.11709570941595998,140
M00170,0.013992791246246358,264
M00171,0.1290437423280536,424
M00172,0.11709570941595998,140
M00173,0.1121615651047998,186
M00307,0.09268865165718959,713
M00308,0.1318889173125864,182
M00338,0.16700343345837906,109
M00344,0.0625006101825338,169
M00345,0.20957016545558574,164
