pathway_name,distance,n
M00001,0.1004371444560193,753
M00002,0.057212925487011485,370
M00003,0.0417530637167408,389
M00004,0.034500082918058915,236
M00005,0.11081113462841825,330
M00006,0.05345971002614255,71
M00007,0.083579939683153,141
M00008,0.11125233376639011,45
M00009,0.1847142133115424,750
M00010,0.26243689618630717,300
M00011,0.12845738409977972,470
M00012,0.33040123246497477,298
M00013,0.024117456414637802,284
M00014,0.10075047023117528,778
M00015,0.14019241727968668,238
M00017,0.17755517133801912,168
M00019,0.10915549566981396,171
M00020,0.057348233040630414,145
M00027,0.06185571866831775,311
M00028,0.19884803697706932,38
M00029,0.04349542299437494,426
M00032,0.10077223665393646,555
M00034,0.20762396096352015,910
M00035,0.15684636454731735,711
M00036,0.13191612748107293,544
M00037,0.19311838353159075,498
M00038,0.12349025802842323,341
M00042,0.028240725990000156,513
M00043,0.0694629327324898,68
M00044,0.03184845421588298,517
M00045,0.053078365215129354,197
M00046,0.06037813167087977,116
M00047,0.2195015590244043,1002
M00048,0.13579262900645886,309
M00049,0.11144375241568327,911
M00050,0.24543543095550643,958
M00051,0.02477907777078717,184
M00052,0.07755437893979102,784
M00053,0.10689421409779176,1509
M00055,0.010035426056584225,379
M00056,0.023666740557713412,958
M00057,0.04389382982222726,241
M00058,0.04038287852505825,211
M00059,0.03692400913641691,787
M00065,0.051209610069317214,578
M00066,0.06839971666584915,272
M00067,0.12339412651217979,107
M00068,0.17625851428562192,484
M00069,0.041674734630256324,506
M00070,0.17023718606588134,281
M00071,0.12673315186833567,137
M00072,0.029324162395402167,545
M00073,0.09566407327522049,518
M00074,0.08967936955536214,440
M00075,0.01736908459216955,636
M00076,0.030566379646786147,499
M00077,0.03378552308329175,625
M00078,0.03126618077095867,539
M00079,0.09102555569433823,457
M00082,0.027542655820265407,251
M00083,0.042402403055725756,343
M00085,0.0653362278831377,237
M00086,0.04390685903297168,166
M00087,0.019880639894298426,351
M00088,0.07185265480720258,299
M00089,0.045849595011248634,1121
M00090,0.01595984489771733,175
M00091,0.04587006220671636,78
M00092,0.10472276938678345,233
M00093,0.07785609799564366,128
M00094,0.13167492556822868,676
M00095,0.10009713722951612,313
M00096,0.1341687479412867,54
M00098,0.1064763258327922,1475
M00099,0.11091565641649095,824
M00100,0.062251853720954986,456
M00101,0.07319724440255808,669
M00102,0.06505889465441272,509
M00103,0.07478641372846184,93
M00104,0.02584001499658923,532
M00106,0.04455545325976002,197
M00107,0.0701578239953806,363
M00108,0.03318623895548822,427
M00109,0.07433283218884593,506
M00110,0.052221809215143515,185
M00113,0.035076410093536306,153
M00114,0.08671877856653036,132
M00115,0.0976947092817468,525
M00118,0.1310931647893774,91
M00119,0.10915549566981396,171
M00120,0.10169935435912719,487
M00121,0.19010238464303697,322
M00122,0.10780380503407194,252
M00124,0.034396600182328055,83
M00126,0.17762213802817808,447
M00128,0.05779746954932102,185
M00129,0.10262588549365124,658
M00130,0.048771771566109866,980
M00131,0.04637615016044045,348
M00132,0.10457940265511599,359
M00133,0.2839975404822668,106
M00134,0.11390410920244126,78
M00135,0.09053170215784163,161
M00140,0.03434039808761958,89
M00141,0.029799833275092547,164
M00143,0.18977711116051155,129
M00146,0.042845163577955224,443
M00147,0.15283376567298834,150
M00148,0.25942656718523316,138
M00151,0.07709554835318094,99
M00152,0.04524033542112501,314
M00154,0.11348499418709282,548
M00158,0.06182620910074006,587
M00160,0.07439699055107389,495
M00165,0.020535371294498235,381
M00168,0.3502507553594584,66
M00169,0.10149682533366701,89
M00170,0.030483840456260757,203
M00171,0.16848014825095975,376
M00172,0.10149682533366701,89
M00173,0.15184655569660205,138
M00307,0.09431863528494704,591
M00308,0.05963368872482316,131
M00338,0.26278922569129837,85
M00344,0.06437934566782141,129
M00345,0.23089701617023978,117
M00346,0.17693914790417525,209
M00357,0.052013451140437136,74
M00364,0.1341687479412867,54
M00365,0.1341687479412867,54
M00366,0.23326781269311114,175
M00367,0.21693034019737498,197
M00368,0.31652288215964786,234
M00373,0.060177173268339504,227
M00374,0.044543896158692496,103
M00375,0.027793639940007706,127
M00376,0.0520451047204962,135
M00415,0.05418106144188665,545
M00532,0.10228127420461958,382
M00546,0.03348597994847469,113
M00549,0.16974530944835048,532
M00552,0.05963368872482316,131
M00554,0.0596973422006462,130
M00555,0.2744485139168624,27
M00565,0.14512756081518396,18
M00570,0.138872500192419,270
M00572,0.03995433022289517,341
M00580,0.10051663226684326,14
M00609,0.31652288215964786,234
M00621,0.14831704543193133,171
M00632,0.07174694192891296,187
M00740,0.1647942137334868,158
M00741,0.11760335991957872,153
M00761,0.054727133954644035,17
M00793,0.1468611906937656,187
M00840,0.37803013776684236,136
M00841,0.2833809035176733,67
M00842,0.17866153050707095,113
M00843,0.2058405007903506,104
M00844,0.1526516677406717,224
M00845,0.23966205066185137,161
M00846,0.15006720629939116,71
M00849,0.10361486977194508,303
M00854,0.14963576314529056,336
M00855,0.03814042958348457,431
M00861,0.0638180334476877,220
M00862,0.04185444975359165,91
M00868,0.11445614346904624,462
M00872,0.01641149637971753,651
M00873,0.023406216114398727,540
M00874,0.04151976491126542,588
M00880,0.15083699122279814,318
M00881,0.2724103032842441,43
M00882,0.06292332431889157,88
M00883,0.03851961254354201,93
M00884,0.2724103032842441,43
M00885,0.05492974418864055,131
M00886,0.05492974418864055,131
M00892,0.12234813317443399,331
M00897,0.08949270035441965,42
M00898,0.08949270035441965,42
M00909,0.16682181055138326,256
M00911,0.2425968318891684,85
M00912,0.07149807030561406,679
M00913,0.19509574673269106,45
M00917,0.07437735896672948,357
M00926,0.1640636527616073,156
M00936,0.18165945937989741,77
M00938,0.101307315238173,1515
M00953,0.31652288215964786,234
M00955,0.06915549868266017,401
M00957,0.06103698188850564,223
M00958,0.08139654874844487,692
M00959,0.11573314803064934,552
M00968,0.14131158018301965,16
M00970,0.1991861453924698,799
M00972,0.21448967232056534,1000
M00974,0.08985737683408535,453
M00975,0.030115834442051025,116
M00976,0.06848002312199628,413
M00977,0.10119402390111308,397
M00978,0.14628375153543718,237
M00981,0.18165945937989741,77
M00982,0.07895516647030792,62
M00983,0.03225206859884664,541
M00987,0.09882727214409787,273
M00988,0.2058405007903506,104
M00991,0.1254319125347094,82
M00992,0.1254319125347094,82
M00994,0.4772780808748747,249
M00995,0.2574442691364569,211
M00997,0.1525126606477525,62
M00999,0.054727133954644035,17
M01000,0.08671877856653036,132
M01001,0.10731413831275789,119
M01002,0.2574442691364569,211
M01003,0.07214218490014827,98
M01004,0.08025993921447978,28
M01006,0.061788104503714684,107
M01015,0.1354663473149068,341
M01016,0.13235586081428038,37
M01017,0.2579124782610559,10
M01018,0.2579124782610559,10
M01019,0.2579124782610559,10
M01020,0.2579124782610559,10
M01022,0.1468611906937656,187
M01023,0.1468611906937656,187
M01024,0.1468611906937656,187
M01025,0.1468611906937656,187
M01026,0.1468611906937656,187
M01027,0.1468611906937656,187
M01034,0.2579124782610559,10
hsa00010,0.08290054416797825,1804
hsa00020,0.16551779048138776,1203
hsa00030,0.08635658136308803,807
hsa00040,0.12022505763322586,1380
hsa00051,0.05042847462118262,2029
hsa00052,0.09763987975945683,1462
hsa00053,0.09619549641496218,912
hsa00061,0.016934412600107238,793
hsa00062,0.08992860022527646,1062
hsa00071,0.02751849353428236,1208
hsa00100,0.07605714970212617,1049
hsa00120,0.026814041687794412,576
hsa00130,0.01749163177155773,645
hsa00140,0.06788593425670303,2041
hsa00190,0.04387524217042984,2185
hsa00220,0.059283293665639634,987
hsa00230,0.01782601859884009,5120
hsa00232,0.03291149220320533,292
hsa00240,0.06499245221633099,2587
hsa00250,0.07634223844260737,1831
hsa00260,0.07768374289715547,1891
hsa00270,0.1288809603651143,1814
hsa00280,0.09247748901203551,1253
hsa00290,0.138872500192419,270
hsa00310,0.02110508783764272,3643
hsa00330,0.06950780662201145,2126
hsa00340,0.08078651341550615,823
hsa00350,0.10984803433163098,1488
hsa00360,0.09131216360279212,812
hsa00380,0.09418741286407654,1395
hsa00400,0.04765252514424142,592
hsa00410,0.06198057080504976,1263
hsa00430,0.0695577191743162,699
hsa00440,0.08655369024425599,168
hsa00450,0.19278138244830662,1002
hsa00470,0.03200555012834022,152
hsa00480,0.04066707692028593,2357
hsa00500,0.09450406752978908,1598
hsa00510,0.049056565873686106,1989
hsa00511,0.06976247469147953,673
hsa00512,0.01688187664343445,1503
hsa00513,0.056678430745816695,1610
hsa00514,0.014719354519352874,1679
hsa00515,0.01290690945116833,1191
hsa00520,0.09325913605334768,1258
hsa00524,0.16044365296841281,299
hsa00531,0.017411550137316722,904
hsa00532,0.02682615819693621,747
hsa00533,0.04133373987199238,791
hsa00534,0.018002696142076113,1077
hsa00541,0.1368032151536849,944
hsa00561,0.07988659412287061,2923
hsa00562,0.01990014667787477,3405
hsa00563,0.02854622230321661,1042
hsa00564,0.07203962111348304,2843
hsa00565,0.030630015955869873,1249
hsa00590,0.08257927582735823,2358
hsa00591,0.03046056975336874,689
hsa00592,0.013528618580156112,609
hsa00600,0.03912462565729529,1748
hsa00601,0.020685934082478628,995
hsa00603,0.01957026258998275,881
hsa00604,0.05416157061495716,973
hsa00620,0.09229118895922182,1353
hsa00630,0.14215578152278627,853
hsa00640,0.05581855653667222,1045
hsa00650,0.036784264265307176,954
hsa00670,0.21171204438088242,1266
hsa00730,0.07570113831318317,1028
hsa00740,0.06835635436233421,625
hsa00750,0.027947098023713476,268
hsa00760,0.03356125370753497,1572
hsa00770,0.08732019505809155,1101
hsa00780,0.08085395856212887,374
hsa00785,0.10826040934797004,887
hsa00790,0.1513662565903709,1297
hsa00830,0.10198248330603314,2087
hsa00860,0.1007860562304446,1645
hsa00900,0.1602198327130069,866
hsa00910,0.10474417454966967,637
hsa00920,0.06354093528994931,463
hsa00970,0.16807101963556498,3432
hsa00980,0.08297060746650133,1519
hsa00982,0.07171236672135096,1523
hsa00983,0.0256276809503298,2729
hsa01040,0.07279801036685543,858
hsa01100,0.011169454306193313,29477
hsa01200,0.0827269434790219,3158
hsa01210,0.15307126258640918,1472
hsa01212,0.055225613552024044,1897
hsa01230,0.1271392460397592,2465
hsa01232,0.02001925598330986,3182
hsa01240,0.10198762495010533,4192
hsa01250,0.13809990607661926,1615
hsa01320,0.09882727214409787,273
hsa01521,0.06910396045803506,3215
hsa01522,0.00994044665558923,5164
hsa01523,0.11870555344379995,1470
hsa01524,0.05984667898848684,3381
hsa02010,0.0584299528201846,3523
hsa03008,0.06311857128936875,3061
hsa03010,0.05656710962287607,1933
hsa03013,0.026902017677412557,3456
hsa03015,0.07911904511445271,3046
hsa03018,0.08138082000287715,2683
hsa03020,0.10454801590303009,1122
hsa03022,0.05758089929866835,1714
hsa03030,0.10464620263479797,1133
hsa03040,0.09416163660738845,4003
hsa03050,0.12215460657059922,1174
hsa03060,0.12273526641067702,1309
hsa03082,0.018354311297282527,4137
hsa03083,0.010603125777980916,3136
hsa03250,0.025203645757208643,3142
hsa03260,0.0643202698258405,557
hsa03264,0.024579328592490582,711
hsa03265,0.07976368848768385,1133
hsa03266,0.023413440330977718,922
hsa03267,0.028582132880552488,400
hsa03271,0.1471333650280326,237
hsa03272,0.02140553130018519,1480
hsa03273,0.009414278748773802,2094
hsa03320,0.04437184096563328,2444
hsa03410,0.10498904962380091,1777
hsa03420,0.1122741595510688,1605
hsa03430,0.13998651927139913,1226
hsa03440,0.019301019643454296,1815
hsa03450,0.01814037629396935,804
hsa03460,0.013225895574934601,2280
hsa04010,0.01049085767728306,9845
hsa04012,0.07792306469962698,3240
hsa04014,0.044315754713461185,6746
hsa04015,0.05201265440739865,8620
hsa04020,0.041083912820656106,11431
hsa04022,0.06185787511969974,6623
hsa04024,0.048891904253487946,8989
hsa04060,0.04763927626316209,5690
hsa04061,0.06316976948948029,2436
hsa04062,0.05123490963324084,5443
hsa04064,0.015469259123436326,3399
hsa04066,0.07532188944583755,3580
hsa04068,0.04631099857090952,4605
hsa04070,0.03289279119523987,3724
hsa04071,0.035582936463958596,4786
hsa04072,0.057688636752926375,6031
hsa04080,0.013100365579072624,9983
hsa04081,0.05492512740063357,6848
hsa04082,0.031421462240056354,6968
hsa04110,0.04951450810867653,5643
hsa04114,0.013607210039360005,4565
hsa04115,0.10639218179632853,3416
hsa04120,0.02065268686221838,4669
hsa04122,0.04875643330185932,475
hsa04130,0.11061992192185485,791
hsa04136,0.11205790673792773,1247
hsa04137,0.008634872982820847,4231
hsa04140,0.00630892202591849,5944
hsa04141,0.052558003282437656,4943
hsa04142,0.028053569865598024,4326
