pathway_name,distance,n
M00001,0.11004681982661234,5
M00002,0.3075451244700678,2
M00003,0.3285874770775337,2
M00004,0.2080942402757468,2
M00005,0.25240284780812977,2
M00007,0.5026812325403882,1
M00009,0.24916643698173746,3
M00010,0.5408443647004311,2
M00011,0.4088908091204507,1
M00012,0.16546995034650644,2
M00013,0.49138352668633356,1
M00014,0.167299694936793,3
M00015,0.30603476185024664,3
M00017,0.5996889872850552,1
M00019,0.4764185516067394,1
M00020,0.44805744310424067,1
M00027,0.15541077823698102,2
M00029,0.2837401460179695,2
M00032,0.1359268364369738,2
M00034,0.19892055309119044,3
M00035,0.5105373516717805,3
M00036,0.26641319319735557,5
M00037,0.11668413020258411,8
M00038,0.5331912644403708,1
M00042,0.22684738277530409,3
M00043,0.38933962185977583,1
M00044,0.5415183514452991,1
M00047,0.3191026948990144,5
M00048,0.22692055582795184,4
M00049,0.32735357513949986,1
M00050,0.3012013951840672,2
M00051,0.44482879712023604,1
M00052,0.33273439266305166,1
M00053,0.22125272204157698,4
M00055,0.25853925062636535,3
M00056,0.19963420255350695,3
M00057,0.2635395706462962,3
M00058,0.3791364281288327,1
M00059,0.15358461095146891,3
M00065,0.13967254026307366,2
M00066,0.32875582695665057,1
M00071,0.628042721329768,1
M00072,0.5192700194378692,1
M00073,0.1597056742555018,3
M00074,0.17312889335604384,3
M00075,0.20922717910824906,2
M00076,0.1167979572393926,4
M00077,0.11713615865768663,4
M00078,0.14262313929027814,2
M00082,0.4841428513019691,1
M00083,0.5680145480774211,1
M00085,0.4037822441140322,2
M00086,0.14545795651043514,3
M00088,0.22151356587766996,3
M00089,0.07447286168684984,5
M00091,0.4920254899963212,1
M00093,0.4754214369647085,1
M00094,0.14878997551666379,2
M00095,0.21348327020327323,3
M00098,0.12941490341863277,5
M00099,0.13189550836185837,4
M00101,0.14365114110081867,4
M00102,0.1364875788346152,4
M00104,0.1112121732159414,3
M00106,0.6112338704813675,1
M00108,0.3452194723125967,1
M00109,0.1629906560663454,4
M00110,0.6480373871897178,1
M00114,0.30492491859839704,2
M00115,0.14358673044886783,2
M00119,0.4764185516067394,1
M00120,0.12947770301901865,2
M00121,0.1428811052881885,2
M00122,0.5012860196744925,1
M00126,0.36107121210225207,3
M00128,0.16212401769766624,2
M00129,0.17180266359965865,3
M00130,0.06232742576606079,8
M00131,0.45418660846720016,1
M00132,0.3610132625125761,1
M00133,0.14292575022890686,2
M00134,0.4790060582190526,1
M00140,0.5170090538229624,1
M00141,0.5754749303288863,2
M00143,0.2491876165313078,2
M00146,0.3026533173844091,3
M00152,0.193691820313821,2
M00154,0.12973964845398628,3
M00158,0.32120725934789,6
M00160,0.155667718718986,2
M00165,0.1741526290518125,2
M00168,0.38908522811588747,1
M00169,0.16838457585485989,2
M00170,0.1683673294565938,2
M00171,0.21866267310249554,4
M00172,0.16838457585485989,2
M00173,0.16846584021338637,2
M00308,0.2713018762360444,1
M00338,0.5514951080442394,1
M00345,0.6060223452551899,1
M00346,0.5504725208609597,1
M00357,0.36932170742952136,1
M00366,0.5276583276824218,1
M00367,0.5059413337553701,1
M00368,0.5975710669704579,1
M00373,0.15766892277308778,2
M00375,0.48668094574216003,1
M00376,0.15922534378449923,2
M00415,0.19676557818107734,4
M00532,0.21900642067129322,3
M00546,0.5453746881258005,1
M00552,0.2713018762360444,1
M00554,0.37023394349727107,2
M00570,0.4730814604529539,2
M00572,0.5779710218323431,1
M00609,0.5975710669704579,1
M00621,0.16517148053928027,2
M00632,0.12638686285738854,3
M00740,0.5875157327208287,1
M00741,0.15521003241297202,2
M00793,0.3665246328977746,1
M00840,0.40316781159222503,1
