pathway_name,distance,n
M00001,0.08421623430082265,6
M00002,0.11817729749910694,4
M00003,0.10574227939525452,4
M00009,0.14586092172052503,5
M00010,0.4122977444725045,1
M00011,0.21199314759463853,4
M00012,0.293105817554541,2
M00013,0.24356012506846744,2
M00014,0.3596395770445239,1
M00017,0.3914975344000071,1
M00027,0.1283786463495659,2
M00032,0.33306495847109346,1
M00034,0.34215538071796603,1
M00035,0.4255698631895804,1
M00036,0.3277567317826149,2
M00037,0.49599952658081703,2
M00043,0.4761102594293006,1
M00044,0.22092340914366598,2
M00048,0.33105538534803003,1
M00049,0.22201375148959054,2
M00050,0.27034612617709985,2
M00052,0.19248350071690037,2
M00053,0.23936675956541673,2
M00056,0.3525842828034311,3
M00065,0.3259690039697506,1
M00066,0.15021843362467405,2
M00067,0.35741158256646505,1
M00068,0.15742670205322448,2
M00069,0.35986740453330035,1
M00070,0.23523683064402512,1
M00072,0.31179115364245125,4
M00073,0.3715437617858137,8
M00074,0.35246543765230365,8
M00075,0.21873841587294948,3
M00076,0.4388220701984059,1
M00077,0.4391205013619322,1
M00078,0.3322155383081335,1
M00082,0.14786241006111184,3
M00083,0.2297337259728508,2
M00087,0.32794270780582424,1
M00088,0.45651305942438763,1
M00089,0.4199690669997676,4
M00092,0.36878289854449475,1
M00094,0.3261481429625986,1
M00095,0.46799610458915,1
M00098,0.17295995600097105,3
M00099,0.1909396940377764,2
M00101,0.13978083853225973,2
M00102,0.14190650446033687,2
M00103,0.1634884017870639,2
M00104,0.25061625418781114,3
M00107,0.34938448307997994,1
M00108,0.13827869433787068,2
M00109,0.1643789571718265,2
M00114,0.10111442146247089,3
M00115,0.3403202822578275,1
M00120,0.14383928010756644,2
M00122,0.5012860196744925,1
M00126,0.46790841640411157,1
M00128,0.5766169064883583,1
M00129,0.45172409394759966,2
M00130,0.12957172112031567,2
M00131,0.4650127285112118,1
M00132,0.20027673499198512,2
M00146,0.6497258717377944,2
M00148,0.3273033763729912,1
M00151,0.32488818306304373,1
M00152,0.33632942696404117,1
M00154,0.21336072348539975,2
M00158,0.2545450970663645,3
M00160,0.3666619077569939,1
M00165,0.22966855283443297,3
M00168,0.29304705284622756,2
M00169,0.29520387285692956,2
M00170,0.3630245606841765,1
M00171,0.20370468664865318,3
M00172,0.29520387285692956,2
M00173,0.39901789982115976,1
M00307,0.33391969055143367,1
M00338,0.4056008022480547,1
M00344,0.22526053406524307,2
M00345,0.33195573412492946,1
M00367,0.45746275571651696,1
M00373,0.2822597614885878,2
M00375,0.24202853781721043,2
M00376,0.2556777550552192,2
M00415,0.5180547538100871,1
M00532,0.24143783615090247,2
M00546,0.39375063003796157,1
M00549,0.23805701465369888,3
M00554,0.5236115478566435,1
M00621,0.334898800881312,1
M00632,0.5164509396267445,1
M00740,0.3753836069062222,1
M00741,0.2955911048866946,2
M00849,0.4700637821981729,1
M00854,0.4564940687157712,2
M00855,0.3640661327725224,1
M00861,0.3199396248011231,1
M00862,0.34728833720283736,1
M00872,0.14764999204054108,2
M00873,0.2500659818481498,2
M00874,0.14363072804722624,3
M00885,0.27416115663600765,2
M00886,0.27416115663600765,2
M00892,0.19928855272338522,2
M00909,0.22622859178702864,2
M00911,0.3447673213968313,1
M00912,0.33901189928777553,1
M00917,0.3502544834099907,1
M00938,0.24582130757334217,2
M00955,0.3363624614982121,1
M00958,0.3026486548847201,2
M00959,0.29254195745316125,2
M00976,0.45300626585614034,6
M00977,0.4244986122733693,6
M00987,0.3103310255776573,1
M00991,0.28038369297304744,2
M00992,0.28038369297304744,2
M00995,0.27669815103223677,2
M01000,0.10111442146247089,3
M01002,0.27669815103223677,2
M01015,0.10150914395452036,4
hsa00010,0.11816117797164905,11
hsa00020,0.12456733883497556,6
hsa00030,0.33059556334265294,1
hsa00040,0.2166014512143533,3
hsa00051,0.11848478340176492,16
hsa00052,0.13145286878168008,9
hsa00053,0.34983180603724184,6
hsa00061,0.14714359516110012,3
hsa00062,0.1386560143973341,2
hsa00071,0.23500222811023305,6
hsa00100,0.0711770770674537,9
hsa00120,0.2605094773388753,3
hsa00130,0.19274237964341992,4
hsa00140,0.2928180195058051,11
hsa00190,0.14522493116861762,10
hsa00220,0.28332329464373723,2
hsa00230,0.13682874876726242,21
hsa00232,0.3954979023357287,1
hsa00240,0.27323725576707614,4
hsa00250,0.07218753470037091,9
hsa00260,0.09200247379375112,5
hsa00270,0.15275502188688297,8
hsa00280,0.15721653465015764,6
hsa00310,0.18474732529414248,8
hsa00330,0.25161488570635804,3
hsa00350,0.09594771105763018,11
hsa00360,0.22771746115840028,3
hsa00380,0.28342914467644864,3
hsa00400,0.3693637829831044,1
hsa00410,0.17830695407142763,6
hsa00430,0.07102437454837836,6
hsa00450,0.07364433834260435,5
hsa00480,0.10086459537520592,10
hsa00500,0.05544456356623716,8
hsa00510,0.08303865555161287,16
hsa00511,0.13012203461958669,5
hsa00512,0.3571657588558586,3
hsa00513,0.1348728298761006,17
hsa00514,0.06762671206530581,7
hsa00515,0.14993530041323624,4
hsa00520,0.1817074816963666,10
hsa00524,0.35707380223655444,1
hsa00531,0.28285398728246286,2
hsa00533,0.15544172216074598,2
hsa00541,0.4005016599987621,3
hsa00561,0.10859008229898967,11
hsa00562,0.10316811644098672,13
hsa00563,0.15527713285177594,4
hsa00564,0.3698728910098774,28
hsa00565,0.37256630494366655,27
hsa00590,0.29018943720669677,36
hsa00591,0.42257585993074354,24
hsa00592,0.4245595373071399,24
hsa00600,0.09916861960119962,7
hsa00601,0.15571972192748484,2
hsa00603,0.1502677136991143,2
hsa00604,0.3396482979763008,2
hsa00620,0.17518958037631827,8
hsa00630,0.16233615820547576,4
hsa00640,0.16884155416579347,4
hsa00650,0.11994719429860569,4
hsa00670,0.1454947906940113,3
hsa00730,0.29952292939736674,3
hsa00740,0.2483318051325591,3
hsa00750,0.13057807618765563,2
hsa00760,0.2616987490755767,4
hsa00770,0.1431561626362351,4
hsa00785,0.3378293463948254,1
hsa00790,0.4774427958564129,2
hsa00830,0.2794446349012691,16
hsa00860,0.463181643306883,1
hsa00900,0.2240280499135118,4
hsa00910,0.29313172320234887,2
hsa00920,0.2445896480217834,2
hsa00970,0.23462841944549562,5
hsa00980,0.11714123764584153,7
hsa00982,0.12109959542554123,8
hsa00983,0.13080855344551673,6
hsa01040,0.32617730059377376,2
hsa01100,0.12110873199746884,133
hsa01200,0.10154030025986754,13
hsa01210,0.25398105974944357,4
hsa01212,0.10758417530550815,8
hsa01230,0.10000039092104117,8
hsa01232,0.1147877539175422,8
hsa01240,0.07916377901102059,22
hsa01250,0.1855025403326122,10
hsa01320,0.3103310255776573,1
hsa01521,0.25155042632288155,30
hsa01522,0.2221999410267101,45
hsa01523,0.20388908532999486,4
hsa01524,0.1373231656491143,13
hsa02010,0.20776377001571422,10
hsa03008,0.11711844561473952,8
hsa03010,0.08535131396544327,12
hsa03013,0.15548216437089582,13
hsa03015,0.1824608099999722,10
hsa03018,0.10460589061260417,12
hsa03020,0.132603363190738,5
hsa03022,0.0805370034606759,9
hsa03030,0.20099073790523017,7
hsa03040,0.06733021102703997,19
hsa03050,0.22806348752245156,5
hsa03060,0.19687189709877576,13
hsa03082,0.059431879370428216,15
hsa03083,0.15911359156491559,10
hsa03250,0.1415999444948656,16
hsa03264,0.3653509934970389,1
hsa03266,0.35866951184459084,1
hsa03267,0.5455413798559176,1
hsa03272,0.1144543763351291,6
hsa03273,0.21537915304185098,4
hsa03320,0.22740259038933439,25
hsa03410,0.22976805679645007,11
hsa03420,0.11984415457047352,9
hsa03430,0.2122686761897807,4
hsa03440,0.1391208419134279,8
hsa03450,0.4299439249501351,1
hsa03460,0.12013123073859068,6
hsa04010,0.1581280757787886,65
hsa04012,0.206383319321641,27
hsa04014,0.22808738360434128,45
hsa04015,0.18314049369728114,42
hsa04020,0.03794252103186825,57
hsa04022,0.07271839949370346,30
hsa04024,0.11933910872024565,39
hsa04060,0.07568734613091144,22
hsa04061,0.1031655581217515,6
hsa04062,0.22009777796196184,36
hsa04064,0.1338066304964237,14
hsa04066,0.12991838992537869,28
hsa04068,0.26630649326261174,35
hsa04070,0.06227964543712606,11
hsa04071,0.18670952997308612,31
hsa04072,0.14999752522964904,35
hsa04080,0.08412372659857126,37
hsa04081,0.0638258717884284,37
hsa04082,0.054527800160142074,22
hsa04110,0.15469103356848213,22
hsa04114,0.09200600194281038,15
hsa04115,0.045681388861143916,10
hsa04120,0.07330490952057107,22
hsa04122,0.4314136326909672,2
hsa04130,0.3534493866755268,11
hsa04136,0.2731999058959303,4
hsa04137,0.22129242389832665,46
hsa04140,0.3186412803110377,44
hsa04141,0.0715925546474091,31
hsa04142,0.14419028410562734,12
hsa04144,0.1505961895440365,45
hsa04145,0.0335264722869008,25
hsa04146,0.15923485281470862,11
hsa04148,0.07861222253534396,38
hsa04150,0.22233809155893786,36
hsa04151,0.14609022707887684,66
hsa04152,0.11250929854171426,19
hsa04210,0.2240735051943138,49
