pathway_name,distance,n
M00001,0.0874855772309434,666
M00002,0.05161168737739336,359
M00003,0.035637121852947144,385
M00004,0.024078220715201843,180
M00005,0.14064458773185343,310
M00006,0.08919361323433356,51
M00007,0.08403380755978197,118
M00008,0.10667504605165509,39
M00009,0.1720372570693662,679
M00010,0.26458924692664343,262
M00011,0.1132602206278331,450
M00012,0.32197192027533994,265
M00013,0.047204032073367805,274
M00014,0.06539417435314043,719
M00015,0.13737079509453246,213
M00017,0.16324098914340224,162
M00019,0.09964791497344963,159
M00020,0.10260293425425003,116
M00027,0.07564125087192798,286
M00028,0.19044606471596193,57
M00029,0.05522968715005754,351
M00032,0.08961246071368568,508
M00034,0.18362635345636305,833
M00035,0.13527984094216708,687
M00036,0.10338257936185927,499
M00037,0.13169646874889535,453
M00038,0.08282120163920542,306
M00042,0.00895483949687081,468
M00043,0.040695506863814526,66
M00044,0.0228169075765255,469
M00045,0.061516449733697465,170
M00046,0.03299798027031349,108
M00047,0.20054673763566427,796
M00048,0.1353567656709088,276
M00049,0.1192822033419348,842
M00050,0.2453884827498017,833
M00051,0.04925986805965008,168
M00052,0.10269675295618667,696
M00053,0.08460172555511379,1194
M00055,0.015960325377040976,350
M00056,0.03397870477284069,879
M00057,0.029121159231915786,235
M00058,0.044829832215831915,238
M00059,0.009124051084261174,692
M00065,0.05440497430772816,538
M00066,0.05479509637907235,227
M00067,0.10442778035833393,99
M00068,0.17520691538773422,427
M00069,0.04008182154022393,487
M00070,0.16813956708993222,242
M00071,0.10312084632976819,132
M00072,0.01588938769846456,507
M00073,0.07086021305727422,462
M00074,0.07001540429503365,390
M00075,0.018156065398018163,628
M00076,0.035314748530395366,473
M00077,0.033658694237988576,557
M00078,0.017179665914689682,508
M00079,0.07361350068546041,383
M00082,0.007910459472178747,247
M00083,0.037376179924610675,328
M00085,0.060260375705525795,231
M00086,0.015151313549645079,155
M00087,0.0371373079521545,340
M00088,0.07099632215088765,286
M00089,0.03551075688741941,1007
M00090,0.04180155892104646,165
M00091,0.04362124412204782,79
M00092,0.0782335905277859,209
M00093,0.050747833493677647,108
M00094,0.10261977626591207,599
M00095,0.06311021957484797,326
M00096,0.10753209920313524,44
M00098,0.08023048549912982,1256
M00099,0.07874513958942776,735
M00100,0.03612506191960437,415
M00101,0.08840243102041122,604
M00102,0.08021648163671659,491
M00103,0.06183802677745157,97
M00104,0.02876358579353734,481
M00106,0.04214785849422408,160
M00107,0.01986692907129642,330
M00108,0.03964222988414561,349
M00109,0.10208304308732052,419
M00110,0.036150011226939865,171
