pathway_name,distance,n
M00001,0.21138047866716486,3
M00002,0.33296861564770047,1
M00003,0.24928118241318972,5
M00004,0.4576004558736409,1
M00005,0.3369339939204712,2
M00007,0.4599375494454662,1
M00009,0.09114219083177084,4
M00010,0.5508443647004311,1
M00011,0.11880054291288888,3
M00012,0.3938526295503677,1
M00013,0.13846739156136173,2
M00014,0.19716623460374366,4
M00015,0.16412236095579727,3
M00017,0.18559940015435683,2
M00019,0.15147050286274988,2
M00020,0.2016444377386768,3
M00027,0.15302091876435525,2
M00029,0.16542255912287485,2
M00032,0.14710290607131915,4
M00034,0.20589632882399533,5
M00035,0.07317469262797616,6
M00036,0.19512438264054768,6
M00037,0.10690229916871515,5
M00038,0.1014924551343374,3
M00042,0.16809701209036945,3
M00044,0.23263317621859114,4
M00045,0.45852790709994323,1
M00047,0.14184514977942098,6
M00048,0.14827390378460525,3
M00049,0.18311299628512837,4
M00050,0.21609915700233237,2
M00051,0.07653811805279687,4
M00052,0.2959460939055476,2
M00053,0.24134247835784636,4
M00055,0.3093007581565206,5
M00056,0.06738005964768753,8
M00057,0.1527371432998157,2
M00058,0.21982747893896168,3
M00059,0.18670182978541988,8
M00065,0.230647276863657,4
M00066,0.623982736904941,1
M00067,0.6551071834113973,1
M00068,0.36223340067557297,4
M00069,0.4172558629658743,3
M00070,0.6548724510657212,2
M00071,0.5691651748031408,2
M00072,0.16740343581172298,3
M00073,0.1927488116839116,3
M00074,0.209073260575832,3
M00075,0.38203620593889986,6
M00076,0.1741856326113383,3
M00077,0.0881149653122835,4
M00078,0.13422399090341386,6
M00079,0.29131413316002763,4
M00082,0.08535859932700895,5
M00083,0.22325158161286043,2
M00085,0.1901547995327086,3
M00086,0.34286626545343646,1
M00087,0.09685467603882357,5
M00088,0.20159299985663057,3
M00089,0.07655107795470804,9
M00090,0.13087981136639376,2
M00091,0.21106685469444886,2
M00092,0.2741869915679918,4
M00093,0.15318703543862547,2
M00094,0.07677397578647319,4
M00095,0.10527449048216082,4
M00098,0.05588178433161672,6
M00099,0.0854465703406626,5
M00100,0.340026132677906,1
M00101,0.1456804887699174,7
M00102,0.13918748991862345,7
M00104,0.16532346181950558,4
M00106,0.13897573343974645,3
M00107,0.34938448307997994,1
M00108,0.3561156544295124,1
M00109,0.5739033749827889,2
M00110,0.1133696056385245,3
M00113,0.39736129749774773,2
M00114,0.28817663074250455,3
M00115,0.15447629793816448,3
M00119,0.15147050286274988,2
M00120,0.17503315035968978,7
M00121,0.3294031415819071,3
M00122,0.13081220406588073,2
M00124,0.48908681520821673,1
M00126,0.17147125677935574,3
M00128,0.32809978057122857,3
M00129,0.15729117928397915,2
M00130,0.2452258951309151,2
M00131,0.3530190109532466,1
M00132,0.37835276265563295,1
M00133,0.3597941447600921,1
M00134,0.3626559595850232,1
M00135,0.20705135404363345,3
M00140,0.4370566299193415,1
M00141,0.3837359119883166,1
M00142,0.35621004663587225,1
M00143,0.37756724892585164,2
M00146,0.17523837746190907,2
M00148,0.37037065783049944,1
M00151,0.3108401454213478,1
M00152,0.09959744635417038,3
M00154,0.2678174678169192,4
M00158,0.16110557117422977,4
M00160,0.12124261716049071,6
M00165,0.18731731530380755,3
M00168,0.39357366665055615,1
M00169,0.13677481462689856,3
M00170,0.2663005530651538,3
M00171,0.18827116954096668,3
M00172,0.13677481462689856,3
M00173,0.4239877358066587,2
M00307,0.27899442579889683,4
M00308,0.3273124013280536,1
M00344,0.39604584082810257,1
M00346,0.40375515772989,1
M00357,0.36539322981168987,1
M00366,0.29173405442949985,2
M00367,0.13366335841228322,4
M00368,0.29129149252321834,3
M00373,0.0715357112285347,4
M00374,0.40947239641953764,2
M00375,0.4267194188106195,2
M00376,0.3580166212706347,1
M00415,0.05297998713883567,7
M00532,0.1417525140253492,3
M00546,0.2237506300379615,3
M00549,0.1442395125880493,2
M00552,0.3273124013280536,1
M00554,0.41503914680849774,1
M00565,0.4808877631874903,1
M00570,0.1513902916778273,2
M00572,0.2255337595698604,2
M00609,0.29129149252321834,3
M00621,0.14291905056447166,3
M00632,0.1411171077679211,2
M00740,0.5875157327208287,1
M00741,0.40458504350455227,2
M00793,0.3892050117681428,1
M00841,0.552990481096273,1
M00842,0.3268433486888892,2
M00843,0.3546182785681282,2
M00844,0.14673662621678937,2
M00845,0.3755712956650132,1
M00846,0.4061416975757365,1
M00849,0.10629881055508165,4
M00854,0.45770440621438546,1
M00855,0.1857935057347447,2
M00861,0.1692463862817278,3
M00862,0.34612450441177933,1
M00868,0.2302439811211452,4
M00872,0.06958675089525038,6
M00873,0.15806102686274515,3
M00874,0.08809053951367718,6
M00880,0.17317677302506201,2
M00882,0.4498902838423159,1
M00883,0.5447133157280314,1
M00885,0.14656536219235647,2
M00886,0.14656536219235647,2
M00892,0.311885280655591,3
M00909,0.284620801366162,3
M00912,0.07996222526676007,4
M00913,0.33812741124732437,1
M00917,0.3217369593868372,4
M00926,0.35018433701924123,3
M00936,0.4610851803241832,1
M00938,0.24088875886501157,4
M00953,0.29129149252321834,3
M00955,0.3680044161397577,3
M00957,0.07541232195864507,4
M00958,0.14000972407288678,6
M00959,0.226898279204599,4
M00970,0.2125445702335778,3
M00972,0.2310297194667843,5
M00974,0.13487303547032012,3
M00975,0.46125661746375896,1
M00976,0.3300682414962122,3
M00977,0.35769583172521763,4
M00978,0.1464031941243354,2
M00981,0.4610851803241832,1
M00982,0.3903046833346217,1
M00983,0.35463091171790495,1
M00987,0.32946942856315553,1
M00988,0.3546182785681282,2
M00991,0.3550225228274995,1
M00992,0.3550225228274995,1
M00994,0.32347551709468036,1
M00995,0.23371785321964955,2
M00997,0.43070147036174933,1
M01000,0.28817663074250455,3
M01001,0.16430810653064432,3
M01002,0.23371785321964955,2
M01003,0.39294117482998725,1
M01006,0.4113798992638553,2
M01015,0.08603711650582566,4
M01022,0.3892050117681428,1
M01023,0.3892050117681428,1
M01024,0.3892050117681428,1
M01025,0.3892050117681428,1
M01026,0.3892050117681428,1
M01027,0.3892050117681428,1
hsa00010,0.09026565329981359,11
hsa00020,0.046984340129164595,9
hsa00030,0.1570868300651187,4
hsa00040,0.09051464514530465,6
hsa00051,0.07561457898327781,15
hsa00052,0.07267699440801494,6
hsa00053,0.14320545538820437,4
hsa00061,0.055216885887672325,6
hsa00062,0.06161754158184957,7
hsa00071,0.07463320637395462,9
hsa00100,0.18655359629003526,11
hsa00120,0.18779517133974802,4
hsa00130,0.27449238380298296,4
hsa00140,0.06311933613516678,11
hsa00190,0.050963346352953236,15
hsa00220,0.07326110253364336,4
hsa00230,0.08887846916705848,21
hsa00232,0.29593257411285545,5
hsa00240,0.09283017307573069,12
hsa00250,0.08205306504553848,8
hsa00260,0.07822232065526172,10
hsa00270,0.05830232980190202,11
hsa00280,0.15846438499893156,12
hsa00290,0.1513902916778273,2
hsa00310,0.07073033102138752,19
hsa00330,0.11468628322539431,12
hsa00340,0.1485139832081819,4
hsa00350,0.1765427009753417,5
hsa00360,0.1678907608804111,4
hsa00380,0.09929111427634796,10
hsa00400,0.2348365658114816,4
hsa00410,0.10136505865431843,8
hsa00430,0.09530389392714787,3
hsa00440,0.2029457428111756,3
hsa00450,0.16950951322875654,5
hsa00470,0.17263234981813605,2
hsa00480,0.11562369824410375,15
hsa00500,0.17082171508921598,6
hsa00510,0.12171123321072062,14
hsa00511,0.07058102655134964,6
hsa00512,0.037458618337927546,11
hsa00513,0.08309320435148955,12
hsa00514,0.05507956628167058,12
hsa00515,0.09776742163873862,7
hsa00520,0.05169781136813123,10
hsa00524,0.5027998555251422,1
hsa00531,0.10703959255544024,8
hsa00532,0.09583183723674499,5
hsa00533,0.2450374669794234,7
hsa00534,0.14583397480389249,9
hsa00541,0.16486453509295082,5
hsa00561,0.08645285871939712,17
hsa00562,0.05377836209939943,24
hsa00563,0.13021653005284745,5
hsa00564,0.04853587824949521,18
hsa00565,0.10777030157916123,5
hsa00590,0.08400736837667423,7
hsa00591,0.09592429289899802,3
hsa00592,0.30289628164458005,3
hsa00600,0.15969421696711647,10
hsa00601,0.17143843394820552,5
hsa00603,0.20548928477621728,5
hsa00604,0.13026671601465573,9
hsa00620,0.12008016615438877,12
hsa00630,0.09703774282740925,6
hsa00640,0.17485520403685914,7
hsa00650,0.07622292533835856,7
hsa00670,0.07475788179477492,8
hsa00730,0.06942971922894269,5
hsa00740,0.20603942223925556,4
hsa00750,0.5025639837238666,1
hsa00760,0.06627045749735525,9
hsa00770,0.20627735694439875,10
hsa00780,0.2296880126009,2
hsa00785,0.15268012549418164,7
hsa00790,0.05989652839567933,9
hsa00830,0.13440675595012627,7
hsa00860,0.14204249912266584,6
hsa00900,0.10716696353036072,6
hsa00910,0.34485429131098394,1
hsa00920,0.1548780828131588,4
hsa00970,0.1611988768228087,15
hsa00980,0.08579581969807157,7
hsa00982,0.13102036920255955,4
hsa00983,0.1211701329918653,13
hsa01040,0.07505151568670566,7
hsa01100,0.01644385563817012,145
hsa01200,0.057166453567239685,14
hsa01210,0.05260846673165784,8
hsa01212,0.07083221301014504,13
hsa01230,0.04610301725022716,14
hsa01232,0.13323194326278348,17
hsa01240,0.03702359184504546,26
hsa01250,0.0832963677754245,12
hsa01320,0.32946942856315553,1
hsa01521,0.22072808087272433,44
hsa01522,0.15061168081748336,58
hsa01523,0.15686397217564543,12
hsa01524,0.10414234750874449,31
hsa02010,0.10312156964009676,17
hsa03008,0.1289236435047589,23
hsa03010,0.1470049947742992,15
hsa03013,0.04703189651435089,23
hsa03015,0.08446895070805835,18
hsa03018,0.03489903885746701,17
hsa03020,0.07698241658056863,7
hsa03022,0.15638035234866957,9
hsa03030,0.15803679627077036,14
hsa03040,0.19812465373647897,20
hsa03050,0.1897889675159724,11
hsa03060,0.1528248690344698,10
hsa03082,0.08339329301877949,28
hsa03083,0.06392871043857964,27
hsa03250,0.11646623356759722,28
hsa03260,0.43416284257602017,3
hsa03264,0.12268775495183741,5
hsa03265,0.13108269103255882,10
hsa03266,0.05767610269609926,7
hsa03267,0.341960633648266,3
hsa03272,0.14726664287705948,9
hsa03273,0.10044110422046787,10
hsa03320,0.031404015561488544,17
hsa03410,0.08609130725992303,18
hsa03420,0.06826305269435563,21
hsa03430,0.045345840035861534,10
hsa03440,0.0792763255708834,9
hsa03450,0.11503949120069291,7
hsa03460,0.06947508682664769,21
hsa04010,0.187602995946346,99
hsa04012,0.22838023066659974,44
hsa04014,0.20666437703825208,80
hsa04015,0.17809094138970175,89
hsa04020,0.06005097775819471,66
hsa04022,0.022506551741852683,37
hsa04024,0.02788389019406958,55
hsa04060,0.02991401906117275,36
hsa04061,0.07697380186669225,16
hsa04062,0.14566196594604772,60
hsa04064,0.06945043299259063,24
hsa04066,0.09834710076877055,36
hsa04068,0.14799353834349344,56
hsa04070,0.035547457923211935,31
hsa04071,0.10009639824294878,60
hsa04072,0.21490282036738717,80
hsa04080,0.02576941380831628,50
hsa04081,0.04593193985909422,42
hsa04082,0.06574889546340328,37
hsa04110,0.06283865266265323,36
hsa04114,0.055287945014016855,27
hsa04115,0.039270731520066646,19
hsa04120,0.050418127803366866,32
hsa04122,0.27796064962274586,2
hsa04130,0.08005431252599829,5
hsa04136,0.16810728256594223,7
hsa04137,0.14391736259047852,47
hsa04140,0.1470584674934702,67
hsa04141,0.13350089174040114,29
hsa04142,0.10631858641888155,28
hsa04144,0.08932267307840033,34
hsa04145,0.10825790931679191,29
hsa04146,0.05292200344811866,18
hsa04148,0.033997632181161294,40
hsa04150,0.12782330141724568,58
hsa04151,0.15980774264392936,125
hsa04152,0.06572253730617457,28
hsa04210,0.16539489072951477,70
hsa04211,0.2747840634046327,45
hsa04213,0.2204576213267704,40
hsa04215,0.09304067242501901,14
hsa04216,0.1516018975499165,15
hsa04217,0.019799646318910912,34
hsa04218,0.1409042205672401,62
hsa04260,0.06537793064936447,17
hsa04261,0.06016163391080427,28
hsa04270,0.061299434103126896,27
hsa04310,0.07139924147605418,60
hsa04330,0.07724136402137771,22
hsa04340,0.08153311016725828,12
hsa04350,0.10183772595354496,25
hsa04360,0.12677657417261123,61
hsa04370,0.17896284471902207,41
hsa04371,0.10995667539600067,56
hsa04380,0.0476749350504638,43
hsa04382,0.04040544041703495,40
hsa04390,0.0640083224125848,25
hsa04392,0.11491374923937948,9
hsa04510,0.046376186692775226,61
hsa04512,0.0430955606381444,36
hsa04514,0.12156364589567696,20
hsa04520,0.05846329294371659,32
hsa04530,0.04786463717515094,50
hsa04540,0.17975648156105356,44
hsa04550,0.13744533049882696,60
hsa04610,0.09232257571039107,16
hsa04611,0.03637559152506322,31
hsa04612,0.043115766620351395,15
hsa04613,0.07574874793797258,47
hsa04614,0.045427592145397544,7
hsa04620,0.0550077697758018,25
hsa04621,0.04047361823875893,41
hsa04622,0.1938480123727091,18
hsa04623,0.07427836649672889,15
hsa04625,0.20909601831608754,55
hsa04630,0.04801005177239772,38
hsa04640,0.24722506210044384,49
hsa04650,0.2105103786103593,51
hsa04657,0.04634805381691554,22
hsa04658,0.025291990087720803,21
hsa04659,0.051430840142072415,21
hsa04660,0.163605258737188,52
hsa04662,0.2022235113796848,51
hsa04664,0.15507293579108702,47
hsa04666,0.07858010878177839,24
hsa04668,0.050848410129055555,34
hsa04670,0.04488829298965331,29
hsa04672,0.19886573685217768,9
hsa04710,0.1744873302825109,11
hsa04713,0.06656483634829373,30
hsa04714,0.19597118569724672,58
hsa04720,0.1432380533100783,44
hsa04721,0.21977185010355774,16
hsa04722,0.20307596638966713,53
hsa04723,0.09642950656318179,32
hsa04724,0.12468798470039046,40
hsa04725,0.1322144365990944,55
hsa04726,0.1264059396298649,52
hsa04727,0.1356945961097101,23
hsa04728,0.15649586415850097,26
hsa04730,0.16280625025965706,40
hsa04740,0.0575939817764911,13
hsa04742,0.04919258303841003,23
hsa04744,0.16820864116400966,8
hsa04750,0.05109694127570321,25
hsa04810,0.1267152902547086,72
hsa04814,0.09075968507439175,30
hsa04820,0.01981819590978838,73
hsa04910,0.11881490155843678,57
hsa04911,0.047528499904658884,30
hsa04912,0.1827581235043412,46
hsa04913,0.06393813573741464,11
hsa04914,0.12087845168043065,43
hsa04915,0.12870167467555957,58
hsa04916,0.24715353881898516,64
hsa04917,0.20802755246926885,50
hsa04918,0.0672621405966958,30
hsa04919,0.12218446395015964,68
hsa04920,0.07267936850500235,20
hsa04921,0.09139688373897266,61
hsa04922,0.050760060688518314,31
hsa04923,0.0780185115510711,23
hsa04924,0.030281481395289824,23
hsa04925,0.03850831528513784,30
hsa04926,0.21788984234869377,53
hsa04927,0.09500955123253782,26
hsa04928,0.04580600851426302,29
hsa04929,0.12039045411077294,48
hsa04930,0.12841561485393962,21
hsa04931,0.05050785439884707,34
hsa04932,0.04072638590038746,31
hsa04933,0.19761948554570513,50
hsa04934,0.03429445947004993,40
hsa04935,0.16481790382502873,60
hsa04936,0.09816215045502841,21
hsa04940,0.16141729994029078,5
hsa04950,0.06270057825705572,11
hsa04960,0.17933490084602363,36
hsa04961,0.03840279287020357,14
hsa04962,0.12005169457914563,8
hsa04964,0.10770503727720387,8
hsa04966,0.20011937763360552,7
hsa04970,0.07086871824987197,35
hsa04971,0.07531518571317901,22
hsa04972,0.027306387511775516,29
hsa04973,0.1150247138740081,17
hsa04974,0.03904460004500778,27
hsa04975,0.08410532074012536,17
hsa04976,0.053099710421239184,19
hsa04977,0.05001584218914889,11
hsa04978,0.08516326021954583,19
hsa04979,0.09686954317803279,18
hsa04980,0.119720470064959,5
hsa04981,0.056200375815332416,11
hsa05010,0.052633388421355114,94
hsa05012,0.08693443503143206,44
hsa05014,0.0406248592465063,58
hsa05016,0.06291055804060253,60
hsa05017,0.07221551569788191,56
hsa05020,0.10764160512351406,62
hsa05022,0.05064095759696941,110
hsa05030,0.053428842954922756,10
hsa05031,0.04664980118648038,15
hsa05032,0.05813715350184154,15
hsa05033,0.08345226987373927,15
hsa05034,0.2002767036314902,42
hsa05100,0.10305547427271645,34
hsa05110,0.06843546300134686,11
hsa05120,0.05924111433057581,19
hsa05130,0.04592584185532259,40
hsa05131,0.07091892369159482,57
hsa05132,0.05494470555019641,52
hsa05133,0.04902886468324228,9
hsa05134,0.039648377313012344,16
hsa05135,0.05967911452671937,32
hsa05140,0.09749016949515052,13
hsa05142,0.05473864986248594,22
hsa05143,0.0688378708211571,9
hsa05144,0.13695209040307157,17
hsa05145,0.09736247808548616,26
hsa05146,0.04724671698457793,35
hsa05150,0.048886903686849816,17
hsa05152,0.03986983440997982,29
hsa05160,0.2040987505560916,56
hsa05161,0.12164588201369052,66
hsa05162,0.056637713092174115,33
hsa05163,0.14896035158768278,71
hsa05164,0.0468005830522934,40
hsa05165,0.09533050457349859,104
hsa05166,0.11364984385114378,82
hsa05167,0.12935934855104797,73
hsa05168,0.056972121327670724,35
hsa05169,0.04478286043870129,44
hsa05170,0.12231821603313939,70
hsa05171,0.02435291016078706,44
hsa05200,0.13802888071179972,149
hsa05202,0.11400659628662611,41
hsa05203,0.09975402330235149,71
hsa05204,0.06594327279863858,9
hsa05205,0.10623120974583797,80
hsa05206,0.14898191903124305,80
hsa05207,0.12127361039183181,62
hsa05208,0.1673788068480759,62
hsa05210,0.19812635892788535,54
hsa05211,0.14181296567889867,53
hsa05212,0.17872147394543714,43
hsa05213,0.18675374764863711,52
hsa05214,0.1834520451126762,44
hsa05215,0.14033556365786537,65
hsa05216,0.2794508594110264,37
hsa05217,0.11897452497647996,15
hsa05218,0.1862777004407283,45
hsa05219,0.2559438246249272,38
hsa05220,0.2346117357521943,44
hsa05221,0.30714772472047464,66
hsa05222,0.07204032426608396,37
hsa05223,0.1914403761528975,49
hsa05224,0.23032499077952448,83
hsa05225,0.17827402624641397,52
hsa05226,0.15442268374937745,58
hsa05230,0.19781313464502392,73
hsa05231,0.15796848055080281,51
hsa05235,0.20276042398984978,49
hsa05310,0.14604048881515613,4
hsa05320,0.21967296842489853,5
hsa05321,0.07616931327233993,13
hsa05322,0.06751772811296365,13
hsa05323,0.04552956267926882,16
hsa05330,0.19162296695326494,5
hsa05332,0.4160685640221234,3
hsa05340,0.07920543401297617,12
hsa05410,0.06566169152513956,34
hsa05412,0.08312139208054836,27
hsa05414,0.046934335686397675,36
hsa05415,0.05456226133096321,44
hsa05416,0.062296046379494985,17
hsa05417,0.09452557810515708,76
hsa05418,0.07167615499542354,36
