pathway_name,distance,n
M00001,0.08257704142316284,137
M00002,0.07930102937608499,65
M00003,0.09585215173120762,77
M00004,0.08099913956134445,49
M00005,0.13898694421533722,30
M00006,0.11094133097671756,27
M00007,0.3327141949689832,14
M00008,0.38877949940289036,11
M00009,0.16940664615562956,157
M00010,0.20523565816612502,66
M00011,0.16170277205420155,97
M00012,0.3151977907648134,40
M00013,0.05217820955512535,66
M00014,0.026928472927967625,127
M00015,0.1677975720162162,37
M00017,0.06316634137187628,34
M00019,0.05663317661544155,68
M00020,0.059627524399149236,31
M00027,0.038654810225090326,86
M00028,0.33761096292269266,22
M00029,0.02618438980965486,86
M00032,0.03862873826200177,89
M00034,0.06423721287595903,144
M00035,0.040597422647914695,133
M00036,0.0593996212372589,142
M00037,0.1446286054314826,88
M00038,0.13098134190805394,59
M00042,0.07068330870811484,70
M00043,0.08598142747017967,18
M00044,0.09422672393479649,67
M00045,0.06624014421848898,55
M00046,0.0684042943339464,43
M00047,0.18134376458338936,302
M00048,0.0704496316111171,80
M00049,0.04350195443878298,157
M00050,0.13315168288708312,137
M00051,0.10160465362093007,41
M00052,0.05720129762223799,113
M00053,0.1279280064054427,324
M00055,0.04113483166880725,94
M00056,0.02938128464040851,157
M00057,0.028872399922112255,80
M00058,0.06969672719389773,61
M00059,0.048322865643875994,150
M00065,0.03395665478822897,109
M00066,0.10355518367867411,37
M00067,0.16781748336927116,22
M00068,0.21292926208107615,49
M00069,0.06373760479613177,65
M00070,0.15693064636473097,49
M00071,0.1931139284115841,32
M00072,0.02879617915773957,88
M00073,0.17708821508047756,80
M00074,0.18584406090366176,68
M00075,0.04632735063342249,96
M00076,0.08256296868929928,55
M00077,0.06739802562511721,74
M00078,0.07362204229611832,91
M00079,0.03362829226241498,52
M00082,0.04748199436439892,80
M00083,0.13334407272421825,49
M00085,0.05814245484880089,81
M00086,0.047652665425777715,43
M00087,0.08395819925909989,91
M00088,0.038586426479312166,62
M00089,0.08374894934845441,208
M00090,0.05913191640630931,50
M00091,0.07107620662744216,27
M00092,0.08492535122328843,61
M00093,0.047232023224329456,26
M00094,0.13900753018143924,130
M00095,0.06869393477740249,64
M00096,0.41175913656833557,5
M00098,0.06322383313535225,189
M00099,0.1151173422538164,145
M00100,0.1214320064096545,62
M00101,0.021509638465404768,154
M00102,0.02329414128506768,114
M00103,0.1262142935388866,39
M00104,0.03957104142077337,148
M00106,0.1310579578248057,38
M00107,0.12500768964420597,39
M00108,0.13853415016159065,60
M00109,0.045892925727792966,84
M00110,0.08340484980352138,43
M00113,0.08649890463406436,42
M00114,0.07616823722873733,32
M00115,0.08049117987329972,68
M00118,0.21760758194644264,11
M00119,0.05663317661544155,68
M00120,0.06502432353034962,99
M00121,0.06937395255905343,73
M00122,0.06992457843681878,54
M00124,0.07525243251402011,25
M00126,0.04077533092611856,83
M00128,0.07602350591313374,61
M00129,0.05089661439784629,98
M00130,0.03359380809873658,161
M00131,0.19752964149975574,28
M00132,0.07917328233973815,38
M00133,0.14902856242995727,29
M00134,0.1585892489462169,21
M00135,0.09174874525725663,40
M00140,0.092741367748173,44
M00141,0.17929373632871273,51
M00143,0.22467852748343559,25
M00146,0.046047579486234155,102
M00147,0.05986027558377561,38
M00148,0.3135635895831245,44
M00151,0.09556620371181253,34
M00152,0.12714896548968696,86
M00154,0.1329930700065889,73
M00158,0.06037570479966014,87
M00160,0.11373295172798635,69
M00165,0.10684726430760852,62
M00168,0.1341530125555474,2
M00169,0.18354857809283237,16
M00170,0.07083967993563227,55
M00171,0.10401636409628644,90
M00172,0.18354857809283237,16
M00173,0.1877212306136226,46
M00307,0.05802961356667965,78
M00308,0.053411987474553856,22
M00338,0.388161774710906,9
M00344,0.10746047247873654,24
M00345,0.12048328552717703,30
M00346,0.12916778029686812,72
M00357,0.17236758498790056,16
M00364,0.41175913656833557,5
M00365,0.41175913656833557,5
M00366,0.14330756365970884,15
M00367,0.10433043192484241,18
M00368,0.20927845385217167,45
M00373,0.12307702222473813,64
M00374,0.0761779648109503,35
M00375,0.05251865935711967,51
M00376,0.19492950316010263,38
M00415,0.06496510439766014,99
M00532,0.1085577825007045,81
M00546,0.1431210074471994,23
M00549,0.11629616178348882,99
M00552,0.053411987474553856,22
M00554,0.0747303100642714,25
M00555,0.1980307890575123,8
M00565,0.23519556453708484,11
M00570,0.06576195674908306,91
M00572,0.12164120192604581,48
M00609,0.20927845385217167,45
M00621,0.05522011843010126,32
M00632,0.07889234185217912,27
M00740,0.15438912036650487,44
M00741,0.27128340297948783,35
M00761,0.3193187233048447,9
M00793,0.16077417954451706,37
M00840,0.28022603023176906,15
M00841,0.15484969148270586,11
M00842,0.102560298905509,18
M00843,0.10658584931699032,13
M00844,0.06902070793151971,64
M00845,0.14616630570051403,50
M00846,0.14046086789123147,24
M00849,0.06246338803178532,61
M00854,0.11149619902936206,82
M00855,0.04556874864386632,52
M00861,0.11220316658733094,73
M00862,0.1211914006141992,40
M00868,0.03830293421292533,83
M00872,0.033345557342447485,114
M00873,0.047011992899628985,101
M00874,0.07856971712490848,107
M00880,0.2994355719086245,43
M00881,0.3585198676334754,3
M00882,0.10315233282706879,17
M00883,0.195664364203915,17
M00884,0.3585198676334754,3
M00885,0.13470596203416568,53
M00886,0.13470596203416568,53
M00892,0.11979696233506298,107
M00897,0.11618404880188346,9
M00898,0.11618404880188346,9
M00909,0.16423954559311776,86
M00911,0.06430304503571278,17
M00912,0.09484338642882198,96
M00913,0.2137978092979034,8
M00917,0.11915586040526249,75
M00926,0.057173802877356183,50
